network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,14.743599,False
ContA-ContC,13.72416,False
ContA-DefaultA,4.738151,False
ContA-DefaultB,1.016331,False
ContA-DefaultC,4.331692,False
ContA-DorsAttnA,0.337221,False
ContA-DorsAttnB,1.004722,False
ContA-LimbicA,20.699775,False
ContA-LimbicB,4.453816,False
ContA-SalVentAttnA,0.989861,False
ContA-SalVentAttnB,2.482683,False
ContA-SomMotA,2.489749,False
ContA-SomMotB,1.255816,False
ContA-TempPar,4.043291,False
ContA-VisCent,0.095511,False
ContA-VisPeri,2.681251,False
ContB-ContA,2.655946,False
ContB-ContB,0.0,True
ContB-ContC,4.64673,False
ContB-DefaultA,1.880756,False
ContB-DefaultB,0.529517,False
ContB-DefaultC,5.206363,False
ContB-DorsAttnA,1.305584,False
ContB-DorsAttnB,0.78974,False
ContB-LimbicA,1.797739,False
ContB-LimbicB,0.091644,False
ContB-SalVentAttnA,0.344517,False
ContB-SalVentAttnB,1.362855,False
ContB-SomMotA,5.941805,False
ContB-SomMotB,1.454802,False
ContB-TempPar,1.967433,False
ContB-VisCent,1.086816,False
ContB-VisPeri,0.148077,False
ContC-ContA,1.422436,False
ContC-ContB,6.258727,False
ContC-ContC,0.0,True
ContC-DefaultA,2.782691,False
ContC-DefaultB,0.851942,False
ContC-DefaultC,1.769921,False
ContC-DorsAttnA,3.607678,False
ContC-DorsAttnB,1.119909,False
ContC-LimbicA,4.634247,False
ContC-LimbicB,3.701358,False
ContC-SalVentAttnA,0.972245,False
ContC-SalVentAttnB,1.907463,False
ContC-SomMotA,0.810681,False
ContC-SomMotB,0.700471,False
ContC-TempPar,1.368061,False
ContC-VisCent,3.006805,False
ContC-VisPeri,3.412516,False
DefaultA-ContA,3.457952,False
DefaultA-ContB,2.664761,False
DefaultA-ContC,31.479199,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.10056,False
DefaultA-DefaultC,1.496693,False
DefaultA-DorsAttnA,0.162511,False
DefaultA-DorsAttnB,1.269058,False
DefaultA-LimbicA,22.525616,False
DefaultA-LimbicB,14.578045,False
DefaultA-SalVentAttnA,0.658912,False
DefaultA-SalVentAttnB,5.781655,False
DefaultA-SomMotA,2.615079,False
DefaultA-SomMotB,1.827808,False
DefaultA-TempPar,2.460768,False
DefaultA-VisCent,0.517169,False
DefaultA-VisPeri,2.123041,False
DefaultB-ContA,1.362236,False
DefaultB-ContB,4.082462,False
DefaultB-ContC,7.760056,False
DefaultB-DefaultA,5.060535,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.816019,False
DefaultB-DorsAttnA,3.795747,False
DefaultB-DorsAttnB,3.785379,False
DefaultB-LimbicA,2.053063,False
DefaultB-LimbicB,10.753588,False
DefaultB-SalVentAttnA,0.112114,False
DefaultB-SalVentAttnB,2.704971,False
DefaultB-SomMotA,3.523867,False
DefaultB-SomMotB,0.158297,False
DefaultB-TempPar,6.701868,False
DefaultB-VisCent,1.588822,False
DefaultB-VisPeri,2.576046,False
DefaultC-ContA,4.047906,False
DefaultC-ContB,1.915769,False
DefaultC-ContC,2.819287,False
DefaultC-DefaultA,1.260091,False
DefaultC-DefaultB,3.618265,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.606658,False
DefaultC-DorsAttnB,3.367341,False
DefaultC-LimbicA,8.994017,False
DefaultC-LimbicB,0.969182,False
DefaultC-SalVentAttnA,2.1238,False
DefaultC-SalVentAttnB,1.282162,False
DefaultC-SomMotA,3.246318,False
DefaultC-SomMotB,0.581744,False
