network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.128578,False
ContA-ContC,0.342958,False
ContA-DefaultA,0.379428,False
ContA-DefaultB,0.355716,False
ContA-DefaultC,0.325049,False
ContA-DorsAttnA,0.969036,False
ContA-DorsAttnB,0.339739,False
ContA-LimbicA,11.036269,False
ContA-LimbicB,2.407656,False
ContA-SalVentAttnA,0.084907,False
ContA-SalVentAttnB,6.41653,False
ContA-SomMotA,2.651632,False
ContA-SomMotB,0.521585,False
ContA-TempPar,3.368995,False
ContA-VisCent,0.831062,False
ContA-VisPeri,3.157564,False
ContB-ContA,8.614458,False
ContB-ContB,0.0,True
ContB-ContC,1.299286,False
ContB-DefaultA,1.07811,False
ContB-DefaultB,0.513145,False
ContB-DefaultC,1.213517,False
ContB-DorsAttnA,2.286542,False
ContB-DorsAttnB,0.890208,False
ContB-LimbicA,2.31132,False
ContB-LimbicB,2.927362,False
ContB-SalVentAttnA,3.095979,False
ContB-SalVentAttnB,3.654777,False
ContB-SomMotA,0.852775,False
ContB-SomMotB,0.770885,False
ContB-TempPar,0.659456,False
ContB-VisCent,1.918716,False
ContB-VisPeri,7.632131,False
ContC-ContA,0.676389,False
ContC-ContB,1.374858,False
ContC-ContC,0.0,True
ContC-DefaultA,5.361523,False
ContC-DefaultB,7.801528,False
ContC-DefaultC,1.691402,False
ContC-DorsAttnA,6.667216,False
ContC-DorsAttnB,4.686028,False
ContC-LimbicA,0.341972,False
ContC-LimbicB,12.226961,False
ContC-SalVentAttnA,0.112315,False
ContC-SalVentAttnB,1.356942,False
ContC-SomMotA,0.513587,False
ContC-SomMotB,9.080806,False
ContC-TempPar,0.57847,False
ContC-VisCent,1.050948,False
ContC-VisPeri,1.707381,False
DefaultA-ContA,1.091478,False
DefaultA-ContB,1.827143,False
DefaultA-ContC,65.284203,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,13.3201,False
DefaultA-DefaultC,2.440836,False
DefaultA-DorsAttnA,8.547065,False
DefaultA-DorsAttnB,4.45417,False
DefaultA-LimbicA,1.215086,False
DefaultA-LimbicB,13.73282,False
DefaultA-SalVentAttnA,0.548855,False
DefaultA-SalVentAttnB,1.110274,False
DefaultA-SomMotA,0.183173,False
DefaultA-SomMotB,2.049897,False
DefaultA-TempPar,0.545822,False
DefaultA-VisCent,2.08887,False
DefaultA-VisPeri,0.935751,False
DefaultB-ContA,0.767437,False
DefaultB-ContB,0.549044,False
DefaultB-ContC,13.705549,False
DefaultB-DefaultA,10.637039,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.226505,False
DefaultB-DorsAttnA,10.671652,False
DefaultB-DorsAttnB,7.553472,False
DefaultB-LimbicA,0.0661,False
DefaultB-LimbicB,10.595167,False
DefaultB-SalVentAttnA,2.864581,False
DefaultB-SalVentAttnB,1.204851,False
