network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.890879,False
ContA-ContC,6.648335,False
ContA-DefaultA,5.14563,False
ContA-DefaultB,2.554737,False
ContA-DefaultC,1.351294,False
ContA-DorsAttnA,0.849246,False
ContA-DorsAttnB,2.576762,False
ContA-LimbicA,11.140361,False
ContA-LimbicB,2.011222,False
ContA-SalVentAttnA,1.391849,False
ContA-SalVentAttnB,3.735634,False
ContA-SomMotA,1.483017,False
ContA-SomMotB,2.181945,False
ContA-TempPar,3.881562,False
ContA-VisCent,0.101595,False
ContA-VisPeri,2.295805,False
ContB-ContA,8.968928,False
ContB-ContB,0.0,True
ContB-ContC,4.718427,False
ContB-DefaultA,4.975238,False
ContB-DefaultB,3.475556,False
ContB-DefaultC,5.732853,False
ContB-DorsAttnA,0.849467,False
ContB-DorsAttnB,6.794009,False
ContB-LimbicA,4.413954,False
ContB-LimbicB,3.924356,False
ContB-SalVentAttnA,2.390039,False
ContB-SalVentAttnB,1.791872,False
ContB-SomMotA,0.095352,False
ContB-SomMotB,2.076034,False
ContB-TempPar,4.585809,False
ContB-VisCent,1.854181,False
ContB-VisPeri,0.034478,False
ContC-ContA,4.543668,False
ContC-ContB,1.833543,False
ContC-ContC,0.0,True
ContC-DefaultA,7.083345,False
ContC-DefaultB,0.93509,False
ContC-DefaultC,0.157339,False
ContC-DorsAttnA,1.344094,False
ContC-DorsAttnB,2.079362,False
ContC-LimbicA,2.071007,False
ContC-LimbicB,10.981224,False
ContC-SalVentAttnA,2.337359,False
ContC-SalVentAttnB,5.691582,False
ContC-SomMotA,0.20986,False
ContC-SomMotB,0.08,False
ContC-TempPar,5.815175,False
ContC-VisCent,4.198431,False
ContC-VisPeri,4.078974,False
DefaultA-ContA,5.617591,False
DefaultA-ContB,0.978118,False
DefaultA-ContC,19.483735,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.250255,False
DefaultA-DefaultC,2.155943,False
DefaultA-DorsAttnA,1.51389,False
DefaultA-DorsAttnB,3.082505,False
DefaultA-LimbicA,6.144046,False
DefaultA-LimbicB,13.869342,False
DefaultA-SalVentAttnA,3.857625,False
DefaultA-SalVentAttnB,11.540918,False
DefaultA-SomMotA,0.240617,False
DefaultA-SomMotB,1.653575,False
DefaultA-TempPar,2.354693,False
DefaultA-VisCent,0.636462,False
DefaultA-VisPeri,1.522132,False
DefaultB-ContA,4.877453,False
DefaultB-ContB,0.21563,False
DefaultB-ContC,11.789348,False
DefaultB-DefaultA,10.132749,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.292816,False
DefaultB-DorsAttnA,0.566253,False
DefaultB-DorsAttnB,0.845294,False
DefaultB-LimbicA,5.159486,False
DefaultB-LimbicB,8.707533,False
DefaultB-SalVentAttnA,1.368831,False
DefaultB-SalVentAttnB,6.876547,False
DefaultB-SomMotA,0.18519,False
DefaultB-SomMotB,2.584425,False
DefaultB-TempPar,2.483284,False
DefaultB-VisCent,0.306107,False
DefaultB-VisPeri,0.870458,False
DefaultC-ContA,9.959343,False
DefaultC-ContB,1.34056,False
DefaultC-ContC,3.459777,False
DefaultC-DefaultA,9.334192,False
DefaultC-DefaultB,19.957584,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.556799,False
DefaultC-DorsAttnB,0.556546,False
DefaultC-LimbicA,5.340119,False
DefaultC-LimbicB,4.499462,False
DefaultC-SalVentAttnA,1.177758,False
DefaultC-SalVentAttnB,2.183824,False
DefaultC-SomMotA,0.921896,False
DefaultC-SomMotB,0.922816,False
DefaultC-TempPar,5.327259,False
DefaultC-VisCent,0.237884,False
DefaultC-VisPeri,0.410737,False
DorsAttnA-ContA,0.092632,False
DorsAttnA-ContB,0.317188,False
DorsAttnA-ContC,3.039164,False
DorsAttnA-DefaultA,6.415903,False
DorsAttnA-DefaultB,3.832997,False
DorsAttnA-DefaultC,1.206401,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.501063,False
DorsAttnA-LimbicA,0.560668,False
DorsAttnA-LimbicB,2.218091,False
DorsAttnA-SalVentAttnA,5.978722,False
DorsAttnA-SalVentAttnB,1.411112,False
DorsAttnA-SomMotA,0.176698,False
DorsAttnA-SomMotB,1.00935,False
DorsAttnA-TempPar,0.262159,False
DorsAttnA-VisCent,0.118343,False
DorsAttnA-VisPeri,0.18485,False
DorsAttnB-ContA,8.681005,False
DorsAttnB-ContB,3.464074,False
DorsAttnB-ContC,0.430287,False
DorsAttnB-DefaultA,1.25433,False
DorsAttnB-DefaultB,0.613537,False
DorsAttnB-DefaultC,0.303268,False
DorsAttnB-DorsAttnA,2.904705,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,10.786594,False
DorsAttnB-LimbicB,3.205261,False
DorsAttnB-SalVentAttnA,3.451071,False
DorsAttnB-SalVentAttnB,4.86027,False
DorsAttnB-SomMotA,1.540116,False
DorsAttnB-SomMotB,0.891689,False
DorsAttnB-TempPar,3.064973,False
DorsAttnB-VisCent,1.441729,False
DorsAttnB-VisPeri,0.336692,False
LimbicA-ContA,18.399181,False
LimbicA-ContB,0.513618,False
LimbicA-ContC,3.632172,False
LimbicA-DefaultA,2.236487,False
LimbicA-DefaultB,1.60662,False
LimbicA-DefaultC,2.3942,False
LimbicA-DorsAttnA,0.503113,False
LimbicA-DorsAttnB,5.155693,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,5.74362,False
LimbicA-SalVentAttnA,4.65749,False
LimbicA-SalVentAttnB,5.075584,False
LimbicA-SomMotA,0.319083,False
LimbicA-SomMotB,2.223146,False
LimbicA-TempPar,4.149279,False
LimbicA-VisCent,0.277097,False
LimbicA-VisPeri,2.923727,False
LimbicB-ContA,12.676873,False
LimbicB-ContB,0.034418,False
LimbicB-ContC,6.928411,False
LimbicB-DefaultA,7.469971,False
LimbicB-DefaultB,3.164605,False
LimbicB-DefaultC,1.248967,False
LimbicB-DorsAttnA,2.764053,False
LimbicB-DorsAttnB,8.659378,False
LimbicB-LimbicA,8.416159,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,10.0018,False
LimbicB-SalVentAttnB,15.870995,False
LimbicB-SomMotA,0.056857,False
LimbicB-SomMotB,2.002794,False
LimbicB-TempPar,3.813624,False
