network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.055148,False
ContA-ContC,0.836849,False
ContA-DefaultA,1.829968,False
ContA-DefaultB,0.586924,False
ContA-DefaultC,1.025866,False
ContA-DorsAttnA,0.037443,False
ContA-DorsAttnB,1.268123,False
ContA-LimbicA,20.917011,False
ContA-LimbicB,5.37934,False
ContA-SalVentAttnA,4.028117,False
ContA-SalVentAttnB,5.943678,False
ContA-SomMotA,3.178851,False
ContA-SomMotB,0.616848,False
ContA-TempPar,5.806907,False
ContA-VisCent,1.205537,False
ContA-VisPeri,0.092149,False
ContB-ContA,0.142383,False
ContB-ContB,0.0,True
ContB-ContC,0.255474,False
ContB-DefaultA,1.443858,False
ContB-DefaultB,0.255075,False
ContB-DefaultC,0.946875,False
ContB-DorsAttnA,0.848683,False
ContB-DorsAttnB,0.540706,False
ContB-LimbicA,1.574923,False
ContB-LimbicB,0.266539,False
ContB-SalVentAttnA,3.502052,False
ContB-SalVentAttnB,0.462337,False
ContB-SomMotA,0.632253,False
ContB-SomMotB,3.544968,False
ContB-TempPar,4.710897,False
ContB-VisCent,5.401272,False
ContB-VisPeri,0.309353,False
ContC-ContA,2.613491,False
ContC-ContB,5.542187,False
ContC-ContC,0.0,True
ContC-DefaultA,15.024446,False
ContC-DefaultB,6.126464,False
ContC-DefaultC,0.545714,False
ContC-DorsAttnA,0.147217,False
ContC-DorsAttnB,3.165216,False
ContC-LimbicA,2.663312,False
ContC-LimbicB,8.862385,False
ContC-SalVentAttnA,1.844763,False
ContC-SalVentAttnB,2.288207,False
ContC-SomMotA,6.203721,False
ContC-SomMotB,1.511889,False
ContC-TempPar,0.375429,False
ContC-VisCent,3.231998,False
ContC-VisPeri,5.617283,False
DefaultA-ContA,6.353933,False
DefaultA-ContB,1.456792,False
DefaultA-ContC,28.896562,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.204261,False
DefaultA-DefaultC,1.344422,False
DefaultA-DorsAttnA,0.183411,False
DefaultA-DorsAttnB,6.829657,False
DefaultA-LimbicA,8.253143,False
DefaultA-LimbicB,16.940214,False
DefaultA-SalVentAttnA,3.056139,False
DefaultA-SalVentAttnB,4.878275,False
DefaultA-SomMotA,4.029605,False
DefaultA-SomMotB,2.143889,False
DefaultA-TempPar,0.753589,False
DefaultA-VisCent,1.626014,False
DefaultA-VisPeri,4.702157,False
DefaultB-ContA,1.899154,False
DefaultB-ContB,2.812199,False
DefaultB-ContC,2.134138,False
DefaultB-DefaultA,3.179084,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,12.483603,False
DefaultB-DorsAttnA,5.979704,False
DefaultB-DorsAttnB,0.235499,False
DefaultB-LimbicA,2.139924,False
DefaultB-LimbicB,6.981669,False
DefaultB-SalVentAttnA,2.129065,False
DefaultB-SalVentAttnB,1.073052,False
DefaultB-SomMotA,5.820232,False
DefaultB-SomMotB,1.152136,False
DefaultB-TempPar,7.317563,False
DefaultB-VisCent,2.971288,False
DefaultB-VisPeri,3.46178,False
DefaultC-ContA,3.713428,False
DefaultC-ContB,1.92872,False
DefaultC-ContC,2.609188,False
DefaultC-DefaultA,1.341262,False
DefaultC-DefaultB,5.92172,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,11.214144,False
DefaultC-DorsAttnB,4.893811,False
DefaultC-LimbicA,6.538125,False
DefaultC-LimbicB,1.440729,False
DefaultC-SalVentAttnA,1.778533,False
DefaultC-SalVentAttnB,2.135786,False
DefaultC-SomMotA,0.266134,False
DefaultC-SomMotB,4.788101,False
DefaultC-TempPar,4.018491,False
DefaultC-VisCent,4.784011,False
DefaultC-VisPeri,6.751666,False
DorsAttnA-ContA,0.05466,False
DorsAttnA-ContB,0.044812,False
DorsAttnA-ContC,0.376537,False
DorsAttnA-DefaultA,0.199756,False
DorsAttnA-DefaultB,4.1597,False
DorsAttnA-DefaultC,2.069467,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.415686,False
DorsAttnA-LimbicA,0.205269,False
DorsAttnA-LimbicB,0.232152,False
DorsAttnA-SalVentAttnA,8.288184,False
DorsAttnA-SalVentAttnB,0.973008,False
DorsAttnA-SomMotA,3.492774,False
DorsAttnA-SomMotB,1.474812,False
DorsAttnA-TempPar,4.185154,False
DorsAttnA-VisCent,0.99148,False
DorsAttnA-VisPeri,0.146328,False
DorsAttnB-ContA,4.640587,False
DorsAttnB-ContB,4.880389,False
DorsAttnB-ContC,2.997347,False
DorsAttnB-DefaultA,1.023932,False
DorsAttnB-DefaultB,3.059753,False
DorsAttnB-DefaultC,2.078663,False
DorsAttnB-DorsAttnA,1.222093,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,6.349058,False
DorsAttnB-LimbicB,7.027206,False
DorsAttnB-SalVentAttnA,3.80293,False
DorsAttnB-SalVentAttnB,5.324613,False
DorsAttnB-SomMotA,10.273483,False
DorsAttnB-SomMotB,2.188923,False
DorsAttnB-TempPar,1.207278,False
DorsAttnB-VisCent,1.110311,False
DorsAttnB-VisPeri,8.875718,False
LimbicA-ContA,26.647075,False
LimbicA-ContB,0.066655,False
LimbicA-ContC,2.358061,False
LimbicA-DefaultA,1.586361,False
LimbicA-DefaultB,0.654204,False
LimbicA-DefaultC,1.550381,False
LimbicA-DorsAttnA,0.387057,False
LimbicA-DorsAttnB,3.492976,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,17.3226,False
LimbicA-SalVentAttnA,1.634344,False
LimbicA-SalVentAttnB,7.809355,False
LimbicA-SomMotA,5.394063,False
LimbicA-SomMotB,0.598753,False
LimbicA-TempPar,2.057412,False
LimbicA-VisCent,0.213244,False
LimbicA-VisPeri,1.961497,False
LimbicB-ContA,4.970138,False
LimbicB-ContB,0.784073,False
LimbicB-ContC,7.797647,False
LimbicB-DefaultA,2.49461,False
LimbicB-DefaultB,3.584497,False
LimbicB-DefaultC,4.419289,False
LimbicB-DorsAttnA,1.546501,False
LimbicB-DorsAttnB,1.581914,False
LimbicB-LimbicA,12.690872,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.017232,False
LimbicB-SalVentAttnB,3.105049,False
LimbicB-SomMotA,12.257772,False
LimbicB-SomMotB,0.782319,False
LimbicB-TempPar,0.839992,False
LimbicB-VisCent,0.813999,False
LimbicB-VisPeri,8.918468,False
SalVentAttnA-ContA,0.539305,False
SalVentAttnA-ContB,1.240757,False
SalVentAttnA-ContC,9.617173,False
SalVentAttnA-DefaultA,3.620597,False
SalVentAttnA-DefaultB,1.260685,False
SalVentAttnA-DefaultC,1.030107,False
SalVentAttnA-DorsAttnA,1.04534,False
SalVentAttnA-DorsAttnB,1.942146,False
SalVentAttnA-LimbicA,2.854235,False
SalVentAttnA-LimbicB,3.319428,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.538436,False
SalVentAttnA-SomMotA,2.279172,False
SalVentAttnA-SomMotB,1.203355,False
SalVentAttnA-TempPar,0.68815,False
SalVentAttnA-VisCent,0.866389,False
SalVentAttnA-VisPeri,1.467917,False
SalVentAttnB-ContA,16.299947,False
SalVentAttnB-ContB,0.889797,False
SalVentAttnB-ContC,1.325756,False
SalVentAttnB-DefaultA,1.926025,False
SalVentAttnB-DefaultB,2.532289,False
SalVentAttnB-DefaultC,3.150338,False
SalVentAttnB-DorsAttnA,0.645649,False
SalVentAttnB-DorsAttnB,10.757235,False
SalVentAttnB-LimbicA,17.198729,False
SalVentAttnB-LimbicB,29.503317,False
SalVentAttnB-SalVentAttnA,2.891937,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,13.050792,False
SalVentAttnB-SomMotB,1.024799,False
SalVentAttnB-TempPar,0.765605,False
SalVentAttnB-VisCent,1.648049,False
SalVentAttnB-VisPeri,14.850279,False
SomMotA-ContA,1.846605,False
SomMotA-ContB,2.496238,False
SomMotA-ContC,0.563733,False
SomMotA-DefaultA,0.296263,False
SomMotA-DefaultB,3.012636,False
SomMotA-DefaultC,6.989208,False
SomMotA-DorsAttnA,4.90608,False
SomMotA-DorsAttnB,1.184942,False
SomMotA-LimbicA,0.270095,False
SomMotA-LimbicB,0.166761,False
SomMotA-SalVentAttnA,1.176082,False
SomMotA-SalVentAttnB,2.423017,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,9.657302,False
SomMotA-TempPar,0.197164,False
SomMotA-VisCent,2.644771,False
SomMotA-VisPeri,17.567217,False
SomMotB-ContA,1.699665,False
SomMotB-ContB,0.706498,False
SomMotB-ContC,2.274997,False
SomMotB-DefaultA,1.19539,False
SomMotB-DefaultB,5.050532,False
SomMotB-DefaultC,3.449015,False
SomMotB-DorsAttnA,5.514637,False
SomMotB-DorsAttnB,0.265673,False
SomMotB-LimbicA,0.347854,False
SomMotB-LimbicB,1.819625,False
SomMotB-SalVentAttnA,4.557831,False
SomMotB-SalVentAttnB,0.499567,False
SomMotB-SomMotA,3.374721,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.10899,False
SomMotB-VisCent,1.644318,False
SomMotB-VisPeri,1.857257,False
TempPar-ContA,8.684395,False
TempPar-ContB,2.014437,False
TempPar-ContC,4.773463,False
TempPar-DefaultA,3.888111,False
TempPar-DefaultB,0.898519,False
TempPar-DefaultC,13.957766,False
TempPar-DorsAttnA,14.405984,False
TempPar-DorsAttnB,12.995801,False
TempPar-LimbicA,12.707576,False
TempPar-LimbicB,11.680578,False
TempPar-SalVentAttnA,5.515057,False
TempPar-SalVentAttnB,10.936837,False
TempPar-SomMotA,0.746072,False
TempPar-SomMotB,9.883638,False
TempPar-TempPar,0.0,True
TempPar-VisCent,14.694544,False
TempPar-VisPeri,6.245799,False
VisCent-ContA,1.150465,False
VisCent-ContB,3.977273,False
VisCent-ContC,3.15466,False
VisCent-DefaultA,0.245865,False
VisCent-DefaultB,2.493101,False
VisCent-DefaultC,1.081023,False
VisCent-DorsAttnA,6.700601,False
VisCent-DorsAttnB,4.671052,False
VisCent-LimbicA,1.440223,False
VisCent-LimbicB,6.147823,False
VisCent-SalVentAttnA,0.097124,False
VisCent-SalVentAttnB,2.618239,False
VisCent-SomMotA,0.589125,False
VisCent-SomMotB,1.262996,False
VisCent-TempPar,0.411093,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,0.053647,False
VisPeri-ContA,0.161158,False
VisPeri-ContB,0.606049,False
VisPeri-ContC,0.328041,False
VisPeri-DefaultA,1.961209,False
VisPeri-DefaultB,3.826091,False
VisPeri-DefaultC,6.129032,False
VisPeri-DorsAttnA,2.36149,False
VisPeri-DorsAttnB,5.34964,False
VisPeri-LimbicA,0.08857,False
VisPeri-LimbicB,1.451895,False
VisPeri-SalVentAttnA,2.162624,False
