network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.527733,False
ContA-ContC,2.157803,False
ContA-DefaultA,2.940101,False
ContA-DefaultB,0.292658,False
ContA-DefaultC,0.897303,False
ContA-DorsAttnA,0.875311,False
ContA-DorsAttnB,1.102635,False
ContA-LimbicA,24.25011,False
ContA-LimbicB,14.982607,False
ContA-SalVentAttnA,8.383323,False
ContA-SalVentAttnB,13.35465,False
ContA-SomMotA,3.537799,False
ContA-SomMotB,8.44629,False
ContA-TempPar,2.544898,False
ContA-VisCent,1.31867,False
ContA-VisPeri,1.852261,False
ContB-ContA,4.491382,False
ContB-ContB,0.0,True
ContB-ContC,6.039618,False
ContB-DefaultA,4.174156,False
ContB-DefaultB,2.487975,False
ContB-DefaultC,3.413083,False
ContB-DorsAttnA,2.601646,False
ContB-DorsAttnB,0.28828,False
ContB-LimbicA,5.956193,False
ContB-LimbicB,1.067535,False
ContB-SalVentAttnA,0.004448,False
ContB-SalVentAttnB,1.231884,False
ContB-SomMotA,1.592376,False
ContB-SomMotB,9.707116,False
ContB-TempPar,0.586458,False
ContB-VisCent,0.828381,False
ContB-VisPeri,1.555276,False
ContC-ContA,0.243257,False
ContC-ContB,1.188152,False
ContC-ContC,0.0,True
ContC-DefaultA,6.197363,False
ContC-DefaultB,0.985721,False
ContC-DefaultC,0.290524,False
ContC-DorsAttnA,0.387025,False
ContC-DorsAttnB,0.037841,False
ContC-LimbicA,2.253735,False
ContC-LimbicB,3.118281,False
ContC-SalVentAttnA,1.258705,False
ContC-SalVentAttnB,3.119883,False
ContC-SomMotA,0.59481,False
ContC-SomMotB,0.086794,False
ContC-TempPar,0.200571,False
ContC-VisCent,0.095885,False
ContC-VisPeri,1.023358,False
DefaultA-ContA,2.147087,False
DefaultA-ContB,2.903058,False
DefaultA-ContC,8.510181,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.312458,False
DefaultA-DefaultC,4.535,False
DefaultA-DorsAttnA,6.895645,False
DefaultA-DorsAttnB,0.743072,False
DefaultA-LimbicA,7.085934,False
DefaultA-LimbicB,9.92306,False
DefaultA-SalVentAttnA,2.004848,False
DefaultA-SalVentAttnB,8.033136,False
DefaultA-SomMotA,1.301457,False
DefaultA-SomMotB,4.602948,False
DefaultA-TempPar,0.649147,False
DefaultA-VisCent,3.423626,False
DefaultA-VisPeri,0.317332,False
DefaultB-ContA,1.928569,False
DefaultB-ContB,7.787285,False
DefaultB-ContC,12.84582,False
DefaultB-DefaultA,20.944437,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,22.081233,False
DefaultB-DorsAttnA,5.764082,False
DefaultB-DorsAttnB,3.242996,False
DefaultB-LimbicA,2.170749,False
DefaultB-LimbicB,1.746819,False
DefaultB-SalVentAttnA,0.256845,False
DefaultB-SalVentAttnB,1.900174,False
DefaultB-SomMotA,1.076315,False
DefaultB-SomMotB,5.334082,False
DefaultB-TempPar,5.5639,False
DefaultB-VisCent,1.601869,False
DefaultB-VisPeri,0.066697,False
DefaultC-ContA,1.648976,False
DefaultC-ContB,1.601889,False
DefaultC-ContC,5.658612,False
DefaultC-DefaultA,9.758601,False
DefaultC-DefaultB,5.353876,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.16376,False
DefaultC-DorsAttnB,0.204395,False
DefaultC-LimbicA,3.526858,False
DefaultC-LimbicB,4.725184,False
DefaultC-SalVentAttnA,0.356759,False
DefaultC-SalVentAttnB,3.304251,False
DefaultC-SomMotA,2.958364,False
DefaultC-SomMotB,7.315717,False
DefaultC-TempPar,2.043054,False
DefaultC-VisCent,0.47583,False
DefaultC-VisPeri,0.399009,False
DorsAttnA-ContA,5.26727,False
DorsAttnA-ContB,1.757837,False
DorsAttnA-ContC,5.649687,False
DorsAttnA-DefaultA,13.16167,False
DorsAttnA-DefaultB,3.910206,False
DorsAttnA-DefaultC,3.494881,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.29952,False
DorsAttnA-LimbicA,6.354041,False
DorsAttnA-LimbicB,15.089796,False
DorsAttnA-SalVentAttnA,0.88274,False
DorsAttnA-SalVentAttnB,6.588459,False
DorsAttnA-SomMotA,0.893451,False
DorsAttnA-SomMotB,0.273396,False
DorsAttnA-TempPar,9.187402,False
DorsAttnA-VisCent,8.344055,False
DorsAttnA-VisPeri,3.273846,False
DorsAttnB-ContA,3.135295,False
DorsAttnB-ContB,0.930382,False
DorsAttnB-ContC,1.524809,False
DorsAttnB-DefaultA,2.945672,False
DorsAttnB-DefaultB,4.84409,False
DorsAttnB-DefaultC,4.189178,False
DorsAttnB-DorsAttnA,2.699619,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.590172,False
DorsAttnB-LimbicB,3.890016,False
DorsAttnB-SalVentAttnA,2.870181,False
DorsAttnB-SalVentAttnB,1.864064,False
DorsAttnB-SomMotA,1.597538,False
DorsAttnB-SomMotB,2.364346,False
DorsAttnB-TempPar,2.33648,False
DorsAttnB-VisCent,0.283942,False
DorsAttnB-VisPeri,6.593102,False
