network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.29033,False
ContA-ContC,7.558494,False
ContA-DefaultA,0.496242,False
ContA-DefaultB,5.440448,False
ContA-DefaultC,0.555962,False
ContA-DorsAttnA,4.64333,False
ContA-DorsAttnB,0.054761,False
ContA-LimbicA,26.504739,False
ContA-LimbicB,24.746804,False
ContA-SalVentAttnA,2.053074,False
ContA-SalVentAttnB,3.570229,False
ContA-SomMotA,4.3837,False
ContA-SomMotB,2.915584,False
ContA-TempPar,5.447214,False
ContA-VisCent,1.046677,False
ContA-VisPeri,6.065827,False
ContB-ContA,16.440436,False
ContB-ContB,0.0,True
ContB-ContC,11.304587,False
ContB-DefaultA,2.329469,False
ContB-DefaultB,6.028844,False
ContB-DefaultC,8.714194,False
ContB-DorsAttnA,3.417444,False
ContB-DorsAttnB,2.459595,False
ContB-LimbicA,21.263312,False
ContB-LimbicB,17.450349,False
ContB-SalVentAttnA,9.575715,False
ContB-SalVentAttnB,1.499971,False
ContB-SomMotA,7.952287,False
ContB-SomMotB,6.113371,False
ContB-TempPar,1.034514,False
ContB-VisCent,1.323558,False
ContB-VisPeri,4.64184,False
ContC-ContA,10.822952,False
ContC-ContB,6.912321,False
ContC-ContC,0.0,True
ContC-DefaultA,12.884839,False
ContC-DefaultB,11.471865,False
ContC-DefaultC,4.712115,False
ContC-DorsAttnA,2.258315,False
ContC-DorsAttnB,2.058196,False
ContC-LimbicA,10.730608,False
ContC-LimbicB,19.616764,False
ContC-SalVentAttnA,7.216081,False
ContC-SalVentAttnB,3.88951,False
ContC-SomMotA,7.540713,False
ContC-SomMotB,8.675279,False
ContC-TempPar,0.122661,False
ContC-VisCent,0.910387,False
ContC-VisPeri,1.016463,False
DefaultA-ContA,14.375831,False
DefaultA-ContB,19.964462,False
DefaultA-ContC,47.879648,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,31.796393,False
DefaultA-DefaultC,6.719869,False
DefaultA-DorsAttnA,5.575779,False
DefaultA-DorsAttnB,3.217099,False
DefaultA-LimbicA,25.074633,False
DefaultA-LimbicB,32.15804,False
DefaultA-SalVentAttnA,11.700134,False
DefaultA-SalVentAttnB,1.855358,False
DefaultA-SomMotA,14.964222,False
DefaultA-SomMotB,19.207085,False
DefaultA-TempPar,1.821235,False
DefaultA-VisCent,0.162111,False
DefaultA-VisPeri,6.687627,False
DefaultB-ContA,6.195278,False
DefaultB-ContB,8.400284,False
DefaultB-ContC,22.923187,False
DefaultB-DefaultA,5.852178,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,10.014718,False
DefaultB-DorsAttnA,8.9806,False
DefaultB-DorsAttnB,1.599855,False
DefaultB-LimbicA,7.120543,False
DefaultB-LimbicB,16.815303,False
DefaultB-SalVentAttnA,10.842002,False
DefaultB-SalVentAttnB,2.639738,False
DefaultB-SomMotA,6.944757,False
DefaultB-SomMotB,9.307444,False
DefaultB-TempPar,12.052604,False
DefaultB-VisCent,0.286338,False
DefaultB-VisPeri,2.505064,False
DefaultC-ContA,1.878895,False
DefaultC-ContB,2.209172,False
DefaultC-ContC,0.871172,False
DefaultC-DefaultA,0.328255,False
DefaultC-DefaultB,5.254033,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.306418,False
DefaultC-DorsAttnB,4.117191,False
DefaultC-LimbicA,0.533534,False
DefaultC-LimbicB,3.91549,False
DefaultC-SalVentAttnA,3.694114,False
DefaultC-SalVentAttnB,1.142646,False
DefaultC-SomMotA,2.398599,False
DefaultC-SomMotB,4.66697,False
DefaultC-TempPar,1.355894,False
DefaultC-VisCent,6.697461,False
DefaultC-VisPeri,5.177765,False
DorsAttnA-ContA,0.277075,False
DorsAttnA-ContB,0.318678,False
DorsAttnA-ContC,0.531762,False
DorsAttnA-DefaultA,2.771156,False
DorsAttnA-DefaultB,2.897439,False
DorsAttnA-DefaultC,4.881179,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,12.29997,False
DorsAttnA-LimbicA,0.026519,False
DorsAttnA-LimbicB,7.732077,False
DorsAttnA-SalVentAttnA,0.605433,False
DorsAttnA-SalVentAttnB,0.336054,False
DorsAttnA-SomMotA,2.741426,False
DorsAttnA-SomMotB,1.016125,False
DorsAttnA-TempPar,5.643995,False
DorsAttnA-VisCent,0.731549,False
DorsAttnA-VisPeri,0.298707,False
DorsAttnB-ContA,4.298042,False
DorsAttnB-ContB,1.55229,False
DorsAttnB-ContC,0.104012,False
DorsAttnB-DefaultA,0.212112,False
DorsAttnB-DefaultB,0.485336,False
DorsAttnB-DefaultC,4.208924,False
DorsAttnB-DorsAttnA,2.985631,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.279808,False
DorsAttnB-LimbicB,0.496879,False
DorsAttnB-SalVentAttnA,0.712965,False
DorsAttnB-SalVentAttnB,0.930332,False
DorsAttnB-SomMotA,2.839355,False
DorsAttnB-SomMotB,2.446636,False
DorsAttnB-TempPar,2.106789,False
DorsAttnB-VisCent,1.966144,False
DorsAttnB-VisPeri,0.465777,False
LimbicA-ContA,8.494816,False
LimbicA-ContB,4.404834,False
LimbicA-ContC,1.04394,False
LimbicA-DefaultA,0.458185,False
LimbicA-DefaultB,3.427247,False
LimbicA-DefaultC,2.019154,False
LimbicA-DorsAttnA,0.875761,False
LimbicA-DorsAttnB,0.22675,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,26.180788,False
LimbicA-SalVentAttnA,0.301547,False
LimbicA-SalVentAttnB,4.956619,False
LimbicA-SomMotA,5.11957,False
LimbicA-SomMotB,1.467361,False
LimbicA-TempPar,3.416811,False
LimbicA-VisCent,0.426894,False
LimbicA-VisPeri,4.143329,False
LimbicB-ContA,0.179607,False
LimbicB-ContB,1.313773,False
LimbicB-ContC,1.5363,False
LimbicB-DefaultA,7.984777,False
LimbicB-DefaultB,2.907616,False
LimbicB-DefaultC,2.604615,False
LimbicB-DorsAttnA,4.911924,False
