network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.823913,False
ContA-ContC,1.022705,False
ContA-DefaultA,1.33567,False
ContA-DefaultB,3.386662,False
ContA-DefaultC,3.862185,False
ContA-DorsAttnA,0.456621,False
ContA-DorsAttnB,1.254059,False
ContA-LimbicA,20.089964,False
ContA-LimbicB,4.03127,False
ContA-SalVentAttnA,1.41803,False
ContA-SalVentAttnB,3.663175,False
ContA-SomMotA,4.111146,False
ContA-SomMotB,1.853056,False
ContA-TempPar,5.16892,False
ContA-VisCent,0.300126,False
ContA-VisPeri,10.283634,False
ContB-ContA,14.20884,False
ContB-ContB,0.0,True
ContB-ContC,4.739219,False
ContB-DefaultA,5.914253,False
ContB-DefaultB,7.435029,False
ContB-DefaultC,1.353786,False
ContB-DorsAttnA,2.029763,False
ContB-DorsAttnB,1.525932,False
ContB-LimbicA,7.78754,False
ContB-LimbicB,2.754627,False
ContB-SalVentAttnA,7.438761,False
ContB-SalVentAttnB,1.9395,False
ContB-SomMotA,9.548996,False
ContB-SomMotB,1.916265,False
ContB-TempPar,2.695828,False
ContB-VisCent,3.204121,False
ContB-VisPeri,7.821693,False
ContC-ContA,0.503007,False
ContC-ContB,0.044286,False
ContC-ContC,0.0,True
ContC-DefaultA,7.278348,False
ContC-DefaultB,2.693702,False
ContC-DefaultC,1.560902,False
ContC-DorsAttnA,0.645608,False
ContC-DorsAttnB,0.404918,False
ContC-LimbicA,1.111999,False
ContC-LimbicB,11.003776,False
ContC-SalVentAttnA,0.870098,False
ContC-SalVentAttnB,4.562436,False
ContC-SomMotA,8.204753,False
ContC-SomMotB,0.043959,False
ContC-TempPar,3.209258,False
ContC-VisCent,0.00421,False
ContC-VisPeri,4.629054,False
DefaultA-ContA,1.611027,False
DefaultA-ContB,2.378474,False
DefaultA-ContC,15.285009,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.938429,False
DefaultA-DefaultC,1.738331,False
DefaultA-DorsAttnA,2.540073,False
DefaultA-DorsAttnB,1.65499,False
DefaultA-LimbicA,1.089889,False
DefaultA-LimbicB,10.882196,False
DefaultA-SalVentAttnA,0.716517,False
DefaultA-SalVentAttnB,2.418439,False
DefaultA-SomMotA,2.067463,False
DefaultA-SomMotB,1.447714,False
DefaultA-TempPar,2.704835,False
DefaultA-VisCent,0.023004,False
DefaultA-VisPeri,5.084405,False
DefaultB-ContA,5.293557,False
DefaultB-ContB,6.007081,False
DefaultB-ContC,12.703689,False
DefaultB-DefaultA,18.051329,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,6.441699,False
DefaultB-DorsAttnA,3.679029,False
DefaultB-DorsAttnB,0.447648,False
DefaultB-LimbicA,2.487681,False
DefaultB-LimbicB,4.853401,False
DefaultB-SalVentAttnA,4.697263,False
DefaultB-SalVentAttnB,4.027772,False
DefaultB-SomMotA,5.221017,False
DefaultB-SomMotB,4.688666,False
DefaultB-TempPar,1.543232,False
DefaultB-VisCent,0.369532,False
DefaultB-VisPeri,7.260715,False
DefaultC-ContA,3.635696,False
DefaultC-ContB,9.801156,False
DefaultC-ContC,5.110611,False
DefaultC-DefaultA,5.885824,False
DefaultC-DefaultB,31.101075,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.031156,False
DefaultC-DorsAttnB,1.300627,False
DefaultC-LimbicA,1.847056,False
DefaultC-LimbicB,3.543387,False
DefaultC-SalVentAttnA,17.903678,False
DefaultC-SalVentAttnB,13.921387,False
DefaultC-SomMotA,11.149643,False
DefaultC-SomMotB,8.642878,False
DefaultC-TempPar,2.318584,False
DefaultC-VisCent,1.113217,False
DefaultC-VisPeri,10.864968,False
DorsAttnA-ContA,1.468557,False
DorsAttnA-ContB,2.2951,False
DorsAttnA-ContC,2.034659,False
DorsAttnA-DefaultA,3.320419,False
DorsAttnA-DefaultB,2.64644,False
DorsAttnA-DefaultC,10.0973,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.832237,False
DorsAttnA-LimbicA,6.086163,False
DorsAttnA-LimbicB,3.002585,False
DorsAttnA-SalVentAttnA,5.283181,False
DorsAttnA-SalVentAttnB,1.733548,False
DorsAttnA-SomMotA,0.664243,False
DorsAttnA-SomMotB,0.847751,False
DorsAttnA-TempPar,7.985317,False
DorsAttnA-VisCent,0.982362,False
DorsAttnA-VisPeri,1.108872,False
DorsAttnB-ContA,0.875541,False
DorsAttnB-ContB,1.123094,False
DorsAttnB-ContC,1.276504,False
DorsAttnB-DefaultA,1.615604,False
DorsAttnB-DefaultB,0.292968,False
DorsAttnB-DefaultC,0.067303,False
DorsAttnB-DorsAttnA,0.832625,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.849188,False
DorsAttnB-LimbicB,2.203932,False
DorsAttnB-SalVentAttnA,1.849783,False
DorsAttnB-SalVentAttnB,0.197244,False
DorsAttnB-SomMotA,3.602497,False
DorsAttnB-SomMotB,7.644857,False
DorsAttnB-TempPar,0.159166,False
DorsAttnB-VisCent,0.214963,False
DorsAttnB-VisPeri,0.590353,False
LimbicA-ContA,6.931624,False
LimbicA-ContB,2.752265,False
LimbicA-ContC,0.64042,False
LimbicA-DefaultA,0.783648,False
LimbicA-DefaultB,4.370834,False
LimbicA-DefaultC,7.135431,False
LimbicA-DorsAttnA,1.22468,False
LimbicA-DorsAttnB,1.039449,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,6.660462,False
LimbicA-SalVentAttnA,0.033517,False
LimbicA-SalVentAttnB,4.250289,False
LimbicA-SomMotA,3.281325,False
LimbicA-SomMotB,1.235414,False
LimbicA-TempPar,2.997632,False
LimbicA-VisCent,0.273123,False
LimbicA-VisPeri,2.691257,False
LimbicB-ContA,2.183649,False
LimbicB-ContB,0.632086,False
LimbicB-ContC,1.14002,False
LimbicB-DefaultA,1.212741,False
LimbicB-DefaultB,4.326243,False
LimbicB-DefaultC,2.679249,False
LimbicB-DorsAttnA,1.526578,False
LimbicB-DorsAttnB,0.869962,False
LimbicB-LimbicA,2.239486,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,3.173539,False
LimbicB-SalVentAttnB,6.754327,False
LimbicB-SomMotA,2.162666,False
LimbicB-SomMotB,3.329041,False
LimbicB-TempPar,2.565174,False
LimbicB-VisCent,0.178175,False
LimbicB-VisPeri,0.4761,False
SalVentAttnA-ContA,0.124241,False
SalVentAttnA-ContB,0.929761,False
SalVentAttnA-ContC,1.001876,False
SalVentAttnA-DefaultA,0.314243,False
SalVentAttnA-DefaultB,0.429193,False
SalVentAttnA-DefaultC,0.661912,False
SalVentAttnA-DorsAttnA,4.371035,False
SalVentAttnA-DorsAttnB,0.067083,False
SalVentAttnA-LimbicA,2.883434,False
SalVentAttnA-LimbicB,0.57577,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.922799,False
SalVentAttnA-SomMotA,0.623582,False
SalVentAttnA-SomMotB,2.057254,False
SalVentAttnA-TempPar,1.788849,False
SalVentAttnA-VisCent,5.326432,False
SalVentAttnA-VisPeri,0.42159,False
SalVentAttnB-ContA,1.118989,False
SalVentAttnB-ContB,3.33616,False
SalVentAttnB-ContC,7.309492,False
SalVentAttnB-DefaultA,4.316695,False
SalVentAttnB-DefaultB,11.817064,False
SalVentAttnB-DefaultC,4.733639,False
SalVentAttnB-DorsAttnA,1.595547,False
SalVentAttnB-DorsAttnB,1.590795,False
SalVentAttnB-LimbicA,0.213109,False
SalVentAttnB-LimbicB,10.243408,False
SalVentAttnB-SalVentAttnA,23.962063,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,3.427424,False
SalVentAttnB-SomMotB,1.895792,False
SalVentAttnB-TempPar,0.682015,False
SalVentAttnB-VisCent,0.343481,False
SalVentAttnB-VisPeri,2.464063,False
SomMotA-ContA,6.943944,False
SomMotA-ContB,9.828905,False
SomMotA-ContC,9.740982,False
SomMotA-DefaultA,9.577646,False
SomMotA-DefaultB,9.87225,False
SomMotA-DefaultC,4.696387,False
SomMotA-DorsAttnA,0.186179,False
SomMotA-DorsAttnB,1.397673,False
SomMotA-LimbicA,7.368025,False
SomMotA-LimbicB,3.245093,False
SomMotA-SalVentAttnA,0.438815,False
SomMotA-SalVentAttnB,2.593998,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.549175,False
SomMotA-TempPar,3.811831,False
SomMotA-VisCent,3.049767,False
SomMotA-VisPeri,14.022227,False
SomMotB-ContA,2.466745,False
SomMotB-ContB,5.31599,False
SomMotB-ContC,5.361991,False
SomMotB-DefaultA,3.686007,False
SomMotB-DefaultB,14.718167,False
SomMotB-DefaultC,10.81881,False
SomMotB-DorsAttnA,5.987706,False
SomMotB-DorsAttnB,4.067148,False
SomMotB-LimbicA,1.77403,False
SomMotB-LimbicB,1.883344,False
SomMotB-SalVentAttnA,8.087169,False
SomMotB-SalVentAttnB,2.737854,False
SomMotB-SomMotA,10.997257,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,8.057474,False
SomMotB-VisCent,1.22332,False
SomMotB-VisPeri,5.569974,False
TempPar-ContA,0.091412,False
TempPar-ContB,2.93677,False
TempPar-ContC,0.371325,False
TempPar-DefaultA,0.612327,False
TempPar-DefaultB,5.947039,False
TempPar-DefaultC,3.304454,False
TempPar-DorsAttnA,6.149824,False
TempPar-DorsAttnB,0.200394,False
TempPar-LimbicA,2.019708,False
TempPar-LimbicB,9.257832,False
TempPar-SalVentAttnA,11.033832,False
TempPar-SalVentAttnB,19.294174,False
TempPar-SomMotA,4.92321,False
TempPar-SomMotB,6.057933,False
TempPar-TempPar,0.0,True
TempPar-VisCent,2.254558,False
TempPar-VisPeri,5.899613,False
VisCent-ContA,3.610605,False
VisCent-ContB,4.986788,False
VisCent-ContC,0.91185,False
VisCent-DefaultA,2.912073,False
VisCent-DefaultB,3.032538,False
VisCent-DefaultC,2.80375,False
VisCent-DorsAttnA,1.131294,False
VisCent-DorsAttnB,2.908976,False
VisCent-LimbicA,0.664496,False
VisCent-LimbicB,0.001176,False
VisCent-SalVentAttnA,0.565299,False
VisCent-SalVentAttnB,0.246126,False
VisCent-SomMotA,1.518007,False
VisCent-SomMotB,5.539762,False
VisCent-TempPar,1.112276,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,1.294917,False
VisPeri-ContA,3.054853,False
VisPeri-ContB,12.356729,False
VisPeri-ContC,2.044253,False
VisPeri-DefaultA,5.710735,False
VisPeri-DefaultB,4.003748,False
VisPeri-DefaultC,6.942302,False
VisPeri-DorsAttnA,0.599101,False
VisPeri-DorsAttnB,0.176832,False
VisPeri-LimbicA,2.510838,False
VisPeri-LimbicB,2.733648,False
VisPeri-SalVentAttnA,1.6406,False
VisPeri-SalVentAttnB,0.841918,False
VisPeri-SomMotA,8.410207,False
VisPeri-SomMotB,0.57691,False
VisPeri-TempPar,3.604309,False
VisPeri-VisCent,11.985236,False
VisPeri-VisPeri,0.0,True
