network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.426449,False
ContA-ContC,0.643479,False
ContA-DefaultA,0.42916,False
ContA-DefaultB,1.127103,False
ContA-DefaultC,1.018083,False
ContA-DorsAttnA,0.222651,False
ContA-DorsAttnB,0.170668,False
ContA-LimbicA,34.538161,False
ContA-LimbicB,6.498047,False
ContA-SalVentAttnA,0.152192,False
ContA-SalVentAttnB,1.982298,False
ContA-SomMotA,8.920866,False
ContA-SomMotB,0.828616,False
ContA-TempPar,1.126719,False
ContA-VisCent,1.910894,False
ContA-VisPeri,3.56928,False
ContB-ContA,19.251892,False
ContB-ContB,0.0,True
ContB-ContC,2.217252,False
ContB-DefaultA,1.653143,False
ContB-DefaultB,9.920639,False
ContB-DefaultC,3.192353,False
ContB-DorsAttnA,0.92465,False
ContB-DorsAttnB,0.381369,False
ContB-LimbicA,15.114486,False
ContB-LimbicB,0.145407,False
ContB-SalVentAttnA,5.805214,False
ContB-SalVentAttnB,0.187707,False
ContB-SomMotA,3.050142,False
ContB-SomMotB,1.962531,False
ContB-TempPar,3.518834,False
ContB-VisCent,3.322508,False
ContB-VisPeri,1.430646,False
ContC-ContA,8.61252,False
ContC-ContB,3.650978,False
ContC-ContC,0.0,True
ContC-DefaultA,9.314722,False
ContC-DefaultB,5.038978,False
ContC-DefaultC,0.875195,False
ContC-DorsAttnA,1.280021,False
ContC-DorsAttnB,3.584931,False
ContC-LimbicA,4.571887,False
ContC-LimbicB,1.050483,False
ContC-SalVentAttnA,0.182067,False
ContC-SalVentAttnB,0.256806,False
ContC-SomMotA,6.119453,False
ContC-SomMotB,2.334589,False
ContC-TempPar,2.787033,False
ContC-VisCent,11.325544,False
ContC-VisPeri,2.090843,False
DefaultA-ContA,14.598991,False
DefaultA-ContB,7.87266,False
DefaultA-ContC,23.25536,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,16.189339,False
DefaultA-DefaultC,3.860514,False
DefaultA-DorsAttnA,1.755188,False
DefaultA-DorsAttnB,0.52018,False
DefaultA-LimbicA,11.44442,False
DefaultA-LimbicB,1.258263,False
DefaultA-SalVentAttnA,1.110267,False
DefaultA-SalVentAttnB,0.016859,False
DefaultA-SomMotA,5.933034,False
DefaultA-SomMotB,1.105336,False
DefaultA-TempPar,5.408093,False
DefaultA-VisCent,14.693771,False
DefaultA-VisPeri,2.960123,False
DefaultB-ContA,5.233368,False
DefaultB-ContB,1.400546,False
DefaultB-ContC,10.108814,False
DefaultB-DefaultA,4.999423,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.507132,False
DefaultB-DorsAttnA,1.86608,False
DefaultB-DorsAttnB,2.058991,False
DefaultB-LimbicA,2.008348,False
DefaultB-LimbicB,0.021609,False
DefaultB-SalVentAttnA,0.090082,False
DefaultB-SalVentAttnB,0.876218,False
DefaultB-SomMotA,2.206107,False
DefaultB-SomMotB,0.553041,False
DefaultB-TempPar,1.191519,False
DefaultB-VisCent,8.308801,False
DefaultB-VisPeri,2.780327,False
DefaultC-ContA,2.350152,False
DefaultC-ContB,4.618983,False
DefaultC-ContC,4.232973,False
DefaultC-DefaultA,4.228615,False
DefaultC-DefaultB,9.917954,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.349092,False
DefaultC-DorsAttnB,9.460576,False
DefaultC-LimbicA,1.693879,False
DefaultC-LimbicB,1.836935,False
DefaultC-SalVentAttnA,1.50874,False
DefaultC-SalVentAttnB,5.252078,False
DefaultC-SomMotA,3.172553,False
DefaultC-SomMotB,2.716932,False
DefaultC-TempPar,5.346975,False
DefaultC-VisCent,4.436645,False
DefaultC-VisPeri,8.5943,False
DorsAttnA-ContA,0.035105,False
DorsAttnA-ContB,0.509933,False
DorsAttnA-ContC,0.347753,False
DorsAttnA-DefaultA,0.039662,False
DorsAttnA-DefaultB,2.36227,False
DorsAttnA-DefaultC,1.886434,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.014191,False
DorsAttnA-LimbicA,1.507592,False
DorsAttnA-LimbicB,3.494261,False
DorsAttnA-SalVentAttnA,0.746503,False
DorsAttnA-SalVentAttnB,2.092325,False
DorsAttnA-SomMotA,0.301667,False
DorsAttnA-SomMotB,3.93634,False
DorsAttnA-TempPar,0.13602,False
DorsAttnA-VisCent,1.492961,False
DorsAttnA-VisPeri,0.123225,False
DorsAttnB-ContA,12.509556,False
DorsAttnB-ContB,11.216998,False
DorsAttnB-ContC,2.865851,False
DorsAttnB-DefaultA,3.464146,False
DorsAttnB-DefaultB,3.080653,False
DorsAttnB-DefaultC,0.085097,False
DorsAttnB-DorsAttnA,5.053709,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,17.045078,False
DorsAttnB-LimbicB,5.533013,False
DorsAttnB-SalVentAttnA,1.710181,False
DorsAttnB-SalVentAttnB,7.928567,False
DorsAttnB-SomMotA,0.216654,False
DorsAttnB-SomMotB,5.8999,False
DorsAttnB-TempPar,1.896695,False
DorsAttnB-VisCent,6.195215,False
DorsAttnB-VisPeri,0.781022,False
LimbicA-ContA,10.046711,False
LimbicA-ContB,0.41722,False
LimbicA-ContC,0.566354,False
LimbicA-DefaultA,1.240771,False
LimbicA-DefaultB,0.147271,False
LimbicA-DefaultC,0.193032,False
LimbicA-DorsAttnA,0.4397,False
LimbicA-DorsAttnB,2.015139,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,9.186712,False
LimbicA-SalVentAttnA,0.253122,False
LimbicA-SalVentAttnB,4.699918,False
LimbicA-SomMotA,6.167345,False
LimbicA-SomMotB,1.114504,False
LimbicA-TempPar,1.421479,False
LimbicA-VisCent,0.78522,False
LimbicA-VisPeri,0.909637,False
LimbicB-ContA,0.098288,False
LimbicB-ContB,1.220487,False
LimbicB-ContC,2.335516,False
LimbicB-DefaultA,1.040107,False
LimbicB-DefaultB,4.12679,False
LimbicB-DefaultC,3.637263,False
LimbicB-DorsAttnA,0.081389,False
LimbicB-DorsAttnB,0.532058,False
LimbicB-LimbicA,0.236289,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.628418,False
LimbicB-SalVentAttnB,3.364924,False
LimbicB-SomMotA,1.679557,False
LimbicB-SomMotB,2.153472,False
LimbicB-TempPar,3.669078,False
LimbicB-VisCent,1.854421,False
LimbicB-VisPeri,0.020025,False
SalVentAttnA-ContA,7.074012,False
SalVentAttnA-ContB,8.15372,False
SalVentAttnA-ContC,0.690178,False
SalVentAttnA-DefaultA,2.104157,False
SalVentAttnA-DefaultB,5.855547,False
SalVentAttnA-DefaultC,5.374091,False
SalVentAttnA-DorsAttnA,3.598887,False
SalVentAttnA-DorsAttnB,0.258118,False
SalVentAttnA-LimbicA,3.753992,False
SalVentAttnA-LimbicB,6.787481,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.944767,False
SalVentAttnA-SomMotA,0.223451,False
SalVentAttnA-SomMotB,3.999709,False
SalVentAttnA-TempPar,1.570377,False
SalVentAttnA-VisCent,2.16536,False
SalVentAttnA-VisPeri,0.712768,False
SalVentAttnB-ContA,1.085023,False
SalVentAttnB-ContB,0.336932,False
SalVentAttnB-ContC,0.718935,False
SalVentAttnB-DefaultA,1.287986,False
SalVentAttnB-DefaultB,3.878642,False
SalVentAttnB-DefaultC,3.385876,False
SalVentAttnB-DorsAttnA,1.338004,False
SalVentAttnB-DorsAttnB,3.558121,False
SalVentAttnB-LimbicA,4.099904,False
SalVentAttnB-LimbicB,30.645397,False
SalVentAttnB-SalVentAttnA,9.923138,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,0.374209,False
SalVentAttnB-SomMotB,0.755362,False
SalVentAttnB-TempPar,1.609223,False
SalVentAttnB-VisCent,2.982485,False
SalVentAttnB-VisPeri,1.36549,False
SomMotA-ContA,3.113912,False
SomMotA-ContB,2.514366,False
SomMotA-ContC,1.965555,False
SomMotA-DefaultA,4.694338,False
SomMotA-DefaultB,4.490892,False
SomMotA-DefaultC,0.815347,False
SomMotA-DorsAttnA,0.086122,False
SomMotA-DorsAttnB,4.304063,False
SomMotA-LimbicA,0.173585,False
SomMotA-LimbicB,1.860161,False
SomMotA-SalVentAttnA,2.235387,False
SomMotA-SalVentAttnB,1.421562,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,1.380756,False
SomMotA-TempPar,3.437466,False
SomMotA-VisCent,13.034771,False
SomMotA-VisPeri,13.539379,False
SomMotB-ContA,13.665514,False
SomMotB-ContB,11.553211,False
SomMotB-ContC,2.218643,False
SomMotB-DefaultA,2.772916,False
SomMotB-DefaultB,4.111334,False
SomMotB-DefaultC,5.363858,False
SomMotB-DorsAttnA,0.017255,False
SomMotB-DorsAttnB,2.630035,False
SomMotB-LimbicA,10.989731,False
SomMotB-LimbicB,1.919613,False
SomMotB-SalVentAttnA,9.45412,False
SomMotB-SalVentAttnB,1.120286,False
SomMotB-SomMotA,2.926169,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,2.924714,False
SomMotB-VisCent,1.296887,False
SomMotB-VisPeri,0.57352,False
TempPar-ContA,0.233681,False
TempPar-ContB,0.018552,False
TempPar-ContC,0.697012,False
TempPar-DefaultA,4.193146,False
TempPar-DefaultB,0.188,False
TempPar-DefaultC,0.478787,False
TempPar-DorsAttnA,0.503118,False
TempPar-DorsAttnB,0.742161,False
TempPar-LimbicA,0.203832,False
TempPar-LimbicB,3.461896,False
TempPar-SalVentAttnA,4.720179,False
TempPar-SalVentAttnB,5.083084,False
TempPar-SomMotA,1.759632,False
TempPar-SomMotB,2.749333,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.077694,False
TempPar-VisPeri,2.912982,False
VisCent-ContA,7.17304,False
VisCent-ContB,1.1418,False
VisCent-ContC,12.820019,False
VisCent-DefaultA,5.821375,False
VisCent-DefaultB,9.61393,False
VisCent-DefaultC,2.576989,False
VisCent-DorsAttnA,2.248348,False
VisCent-DorsAttnB,0.020323,False
VisCent-LimbicA,5.111569,False
VisCent-LimbicB,2.63888,False
VisCent-SalVentAttnA,1.511205,False
VisCent-SalVentAttnB,0.207946,False
VisCent-SomMotA,3.821999,False
VisCent-SomMotB,0.838509,False
VisCent-TempPar,2.196004,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,2.29452,False
VisPeri-ContA,2.750736,False
VisPeri-ContB,3.011244,False
VisPeri-ContC,5.309087,False
VisPeri-DefaultA,8.056724,False
VisPeri-DefaultB,7.556581,False
VisPeri-DefaultC,2.415636,False
VisPeri-DorsAttnA,4.699314,False
VisPeri-DorsAttnB,4.417376,False
VisPeri-LimbicA,0.46918,False
VisPeri-LimbicB,0.497591,False
VisPeri-SalVentAttnA,1.592782,False
VisPeri-SalVentAttnB,2.153652,False
VisPeri-SomMotA,30.555048,False
VisPeri-SomMotB,0.881424,False
VisPeri-TempPar,6.964226,False
VisPeri-VisCent,19.272163,False
VisPeri-VisPeri,0.0,True
