network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.3374,False
ContA-ContC,5.747163,False
ContA-DefaultA,10.528975,False
ContA-DefaultB,7.844642,False
ContA-DefaultC,0.08164,False
ContA-DorsAttnA,7.923009,False
ContA-DorsAttnB,3.472827,False
ContA-LimbicA,36.275028,False
ContA-LimbicB,8.506678,False
ContA-SalVentAttnA,7.616077,False
ContA-SalVentAttnB,19.580422,False
ContA-SomMotA,6.665125,False
ContA-SomMotB,1.957436,False
ContA-TempPar,5.86066,False
ContA-VisCent,0.859264,False
ContA-VisPeri,8.104904,False
ContB-ContA,16.618546,False
ContB-ContB,0.0,True
ContB-ContC,0.878341,False
ContB-DefaultA,2.09381,False
ContB-DefaultB,17.246515,False
ContB-DefaultC,7.870668,False
ContB-DorsAttnA,5.566209,False
ContB-DorsAttnB,4.530286,False
ContB-LimbicA,14.565187,False
ContB-LimbicB,9.071036,False
ContB-SalVentAttnA,1.585771,False
ContB-SalVentAttnB,7.769814,False
ContB-SomMotA,11.925325,False
ContB-SomMotB,0.291806,False
ContB-TempPar,1.021089,False
ContB-VisCent,1.196887,False
ContB-VisPeri,8.51634,False
ContC-ContA,6.400445,False
ContC-ContB,1.173802,False
ContC-ContC,0.0,True
ContC-DefaultA,14.57896,False
ContC-DefaultB,1.9464,False
ContC-DefaultC,5.11194,False
ContC-DorsAttnA,3.522373,False
ContC-DorsAttnB,1.629778,False
ContC-LimbicA,2.129935,False
ContC-LimbicB,1.102253,False
ContC-SalVentAttnA,6.71148,False
ContC-SalVentAttnB,0.736189,False
ContC-SomMotA,0.455955,False
ContC-SomMotB,1.479381,False
ContC-TempPar,11.049227,False
ContC-VisCent,0.218529,False
ContC-VisPeri,0.474952,False
DefaultA-ContA,9.381256,False
DefaultA-ContB,3.08352,False
DefaultA-ContC,42.033752,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.496129,False
DefaultA-DefaultC,5.594997,False
DefaultA-DorsAttnA,6.57292,False
DefaultA-DorsAttnB,0.207601,False
DefaultA-LimbicA,13.636715,False
DefaultA-LimbicB,20.638487,False
DefaultA-SalVentAttnA,8.929833,False
DefaultA-SalVentAttnB,5.816402,False
DefaultA-SomMotA,1.459631,False
DefaultA-SomMotB,1.586031,False
DefaultA-TempPar,10.583824,False
DefaultA-VisCent,0.599921,False
DefaultA-VisPeri,1.496963,False
DefaultB-ContA,1.359531,False
DefaultB-ContB,1.797142,False
DefaultB-ContC,5.433202,False
DefaultB-DefaultA,9.710434,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.381,False
DefaultB-DorsAttnA,2.298996,False
DefaultB-DorsAttnB,1.027854,False
DefaultB-LimbicA,0.395003,False
DefaultB-LimbicB,5.695104,False
DefaultB-SalVentAttnA,1.52255,False
DefaultB-SalVentAttnB,6.230092,False
DefaultB-SomMotA,1.480546,False
DefaultB-SomMotB,0.5937,False
DefaultB-TempPar,1.688119,False
DefaultB-VisCent,2.014965,False
DefaultB-VisPeri,0.138452,False
DefaultC-ContA,1.265374,False
DefaultC-ContB,3.630612,False
DefaultC-ContC,2.721278,False
DefaultC-DefaultA,5.162472,False
DefaultC-DefaultB,34.701367,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.63935,False
DefaultC-DorsAttnB,0.285227,False
DefaultC-LimbicA,1.543755,False
DefaultC-LimbicB,8.654856,False
DefaultC-SalVentAttnA,0.73872,False
DefaultC-SalVentAttnB,8.230169,False
DefaultC-SomMotA,7.701907,False
DefaultC-SomMotB,4.982115,False
DefaultC-TempPar,4.6188,False
DefaultC-VisCent,1.779689,False
DefaultC-VisPeri,1.211265,False
DorsAttnA-ContA,3.346848,False
DorsAttnA-ContB,0.73759,False
DorsAttnA-ContC,3.084096,False
DorsAttnA-DefaultA,3.584101,False
DorsAttnA-DefaultB,7.056788,False
DorsAttnA-DefaultC,8.331564,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.941282,False
DorsAttnA-LimbicA,1.657723,False
DorsAttnA-LimbicB,2.221281,False
DorsAttnA-SalVentAttnA,2.141194,False
DorsAttnA-SalVentAttnB,2.290292,False
DorsAttnA-SomMotA,1.374482,False
DorsAttnA-SomMotB,0.776822,False
DorsAttnA-TempPar,1.466097,False
DorsAttnA-VisCent,1.472638,False
DorsAttnA-VisPeri,1.428642,False
DorsAttnB-ContA,0.801294,False
DorsAttnB-ContB,0.884749,False
DorsAttnB-ContC,1.943679,False
DorsAttnB-DefaultA,0.782771,False
DorsAttnB-DefaultB,0.624422,False
DorsAttnB-DefaultC,0.062173,False
DorsAttnB-DorsAttnA,10.518318,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.277734,False
DorsAttnB-LimbicB,4.766598,False
DorsAttnB-SalVentAttnA,0.047549,False
DorsAttnB-SalVentAttnB,0.00866,False
DorsAttnB-SomMotA,0.844249,False
DorsAttnB-SomMotB,7.544636,False
DorsAttnB-TempPar,0.456515,False
DorsAttnB-VisCent,0.115283,False
DorsAttnB-VisPeri,1.201218,False
LimbicA-ContA,16.230783,False
LimbicA-ContB,4.695488,False
LimbicA-ContC,7.907389,False
LimbicA-DefaultA,4.13016,False
LimbicA-DefaultB,5.353768,False
LimbicA-DefaultC,0.137412,False
LimbicA-DorsAttnA,5.68974,False
LimbicA-DorsAttnB,1.392295,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,10.663631,False
LimbicA-SalVentAttnA,1.97006,False
LimbicA-SalVentAttnB,14.335341,False
LimbicA-SomMotA,8.757308,False
LimbicA-SomMotB,1.740116,False
LimbicA-TempPar,7.092741,False
LimbicA-VisCent,0.78208,False
LimbicA-VisPeri,10.958212,False
LimbicB-ContA,22.133376,False
LimbicB-ContB,0.667624,False
LimbicB-ContC,13.153091,False
LimbicB-DefaultA,15.899557,False
LimbicB-DefaultB,8.58887,False
LimbicB-DefaultC,1.898875,False
LimbicB-DorsAttnA,6.143287,False
LimbicB-DorsAttnB,1.847641,False
LimbicB-LimbicA,32.731289,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,11.585616,False
LimbicB-SalVentAttnB,28.381644,False
LimbicB-SomMotA,5.726064,False
LimbicB-SomMotB,1.630846,False
LimbicB-TempPar,6.921952,False
LimbicB-VisCent,0.231362,False
LimbicB-VisPeri,0.301756,False
SalVentAttnA-ContA,2.818162,False
SalVentAttnA-ContB,2.839004,False
SalVentAttnA-ContC,2.547558,False
SalVentAttnA-DefaultA,0.44977,False
SalVentAttnA-DefaultB,0.627957,False
SalVentAttnA-DefaultC,5.740095,False
SalVentAttnA-DorsAttnA,0.036672,False
SalVentAttnA-DorsAttnB,2.569843,False
SalVentAttnA-LimbicA,2.051066,False
SalVentAttnA-LimbicB,0.55501,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,1.949982,False
SalVentAttnA-SomMotA,0.037583,False
SalVentAttnA-SomMotB,6.796723,False
SalVentAttnA-TempPar,6.825111,False
SalVentAttnA-VisCent,2.11389,False
SalVentAttnA-VisPeri,0.357927,False
SalVentAttnB-ContA,43.159866,False
SalVentAttnB-ContB,5.207039,False
SalVentAttnB-ContC,12.867513,False
SalVentAttnB-DefaultA,19.471393,False
SalVentAttnB-DefaultB,16.782444,False
SalVentAttnB-DefaultC,2.614605,False
SalVentAttnB-DorsAttnA,4.915546,False
SalVentAttnB-DorsAttnB,0.981736,False
SalVentAttnB-LimbicA,52.205747,False
SalVentAttnB-LimbicB,53.230631,False
SalVentAttnB-SalVentAttnA,6.074328,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,10.336886,False
SalVentAttnB-SomMotB,0.720776,False
SalVentAttnB-TempPar,10.487309,False
SalVentAttnB-VisCent,0.329863,False
SalVentAttnB-VisPeri,2.581074,False
SomMotA-ContA,16.869059,False
SomMotA-ContB,13.863066,False
SomMotA-ContC,3.72022,False
SomMotA-DefaultA,7.3764,False
SomMotA-DefaultB,14.929975,False
SomMotA-DefaultC,10.188969,False
SomMotA-DorsAttnA,5.725827,False
SomMotA-DorsAttnB,5.852668,False
SomMotA-LimbicA,22.259624,False
SomMotA-LimbicB,23.493197,False
SomMotA-SalVentAttnA,0.813338,False
SomMotA-SalVentAttnB,24.32655,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,6.989723,False
SomMotA-TempPar,1.593841,False
SomMotA-VisCent,6.170652,False
SomMotA-VisPeri,9.872766,False
SomMotB-ContA,0.778186,False
SomMotB-ContB,0.038117,False
SomMotB-ContC,0.482161,False
SomMotB-DefaultA,0.448016,False
SomMotB-DefaultB,2.983302,False
SomMotB-DefaultC,10.10611,False
SomMotB-DorsAttnA,0.106281,False
SomMotB-DorsAttnB,1.829209,False
SomMotB-LimbicA,0.569144,False
SomMotB-LimbicB,5.079222,False
SomMotB-SalVentAttnA,1.370391,False
SomMotB-SalVentAttnB,2.492888,False
SomMotB-SomMotA,5.512124,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,4.974934,False
SomMotB-VisCent,3.143834,False
SomMotB-VisPeri,1.004115,False
TempPar-ContA,0.049815,False
TempPar-ContB,1.644411,False
TempPar-ContC,0.72973,False
TempPar-DefaultA,0.943703,False
TempPar-DefaultB,2.644549,False
TempPar-DefaultC,0.853382,False
TempPar-DorsAttnA,0.295969,False
TempPar-DorsAttnB,2.574816,False
TempPar-LimbicA,0.670432,False
TempPar-LimbicB,0.605052,False
TempPar-SalVentAttnA,3.266331,False
