network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.46729,False
ContA-ContC,2.751579,False
ContA-DefaultA,21.504544,False
ContA-DefaultB,1.664511,False
ContA-DefaultC,6.659741,False
ContA-DorsAttnA,1.121307,False
ContA-DorsAttnB,1.747822,False
ContA-LimbicA,29.012422,False
ContA-LimbicB,3.264418,False
ContA-SalVentAttnA,3.670546,False
ContA-SalVentAttnB,3.530509,False
ContA-SomMotA,0.326101,False
ContA-SomMotB,1.623184,False
ContA-TempPar,0.844011,False
ContA-VisCent,2.089967,False
ContA-VisPeri,0.089623,False
ContB-ContA,0.377412,False
ContB-ContB,0.0,True
ContB-ContC,4.876377,False
ContB-DefaultA,4.096867,False
ContB-DefaultB,1.534589,False
ContB-DefaultC,2.039992,False
ContB-DorsAttnA,3.296241,False
ContB-DorsAttnB,2.937632,False
ContB-LimbicA,4.032977,False
ContB-LimbicB,6.570892,False
ContB-SalVentAttnA,5.142691,False
ContB-SalVentAttnB,7.093699,False
ContB-SomMotA,0.743769,False
ContB-SomMotB,0.321937,False
ContB-TempPar,0.037574,False
ContB-VisCent,1.284375,False
ContB-VisPeri,0.747783,False
ContC-ContA,2.456585,False
ContC-ContB,0.071768,False
ContC-ContC,0.0,True
ContC-DefaultA,0.773814,False
ContC-DefaultB,0.728263,False
ContC-DefaultC,3.165131,False
ContC-DorsAttnA,0.257849,False
ContC-DorsAttnB,0.442095,False
ContC-LimbicA,0.107097,False
ContC-LimbicB,6.701096,False
ContC-SalVentAttnA,3.622657,False
ContC-SalVentAttnB,13.133767,False
ContC-SomMotA,0.853569,False
ContC-SomMotB,0.58061,False
ContC-TempPar,5.232146,False
ContC-VisCent,1.707942,False
ContC-VisPeri,0.016978,False
DefaultA-ContA,2.493889,False
DefaultA-ContB,0.587634,False
DefaultA-ContC,7.719671,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.526178,False
DefaultA-DefaultC,2.908127,False
DefaultA-DorsAttnA,0.5784,False
DefaultA-DorsAttnB,0.783579,False
DefaultA-LimbicA,5.178563,False
DefaultA-LimbicB,4.06765,False
DefaultA-SalVentAttnA,0.077063,False
DefaultA-SalVentAttnB,5.151003,False
DefaultA-SomMotA,0.790881,False
DefaultA-SomMotB,1.094929,False
DefaultA-TempPar,3.86628,False
DefaultA-VisCent,0.129114,False
DefaultA-VisPeri,0.419549,False
DefaultB-ContA,4.3065,False
DefaultB-ContB,0.219402,False
DefaultB-ContC,1.654304,False
DefaultB-DefaultA,0.597514,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.19986,False
DefaultB-DorsAttnA,2.805916,False
DefaultB-DorsAttnB,1.341031,False
DefaultB-LimbicA,6.164984,False
DefaultB-LimbicB,0.384727,False
DefaultB-SalVentAttnA,1.292049,False
DefaultB-SalVentAttnB,2.125324,False
DefaultB-SomMotA,1.226136,False
DefaultB-SomMotB,0.575227,False
DefaultB-TempPar,0.606908,False
DefaultB-VisCent,2.645759,False
DefaultB-VisPeri,0.216381,False
DefaultC-ContA,3.737685,False
DefaultC-ContB,0.928366,False
DefaultC-ContC,0.371111,False
DefaultC-DefaultA,6.07908,False
DefaultC-DefaultB,5.012871,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.924866,False
DefaultC-DorsAttnB,3.534001,False
DefaultC-LimbicA,10.330974,False
DefaultC-LimbicB,0.729353,False
DefaultC-SalVentAttnA,0.538146,False
DefaultC-SalVentAttnB,0.252937,False
DefaultC-SomMotA,1.066777,False
DefaultC-SomMotB,1.587032,False
DefaultC-TempPar,1.321844,False
DefaultC-VisCent,5.189156,False
DefaultC-VisPeri,0.477314,False
DorsAttnA-ContA,3.699296,False
DorsAttnA-ContB,0.518256,False
DorsAttnA-ContC,1.456249,False
DorsAttnA-DefaultA,1.972087,False
DorsAttnA-DefaultB,8.056948,False
DorsAttnA-DefaultC,6.933108,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.695795,False
DorsAttnA-LimbicA,3.280682,False
DorsAttnA-LimbicB,5.387924,False
DorsAttnA-SalVentAttnA,0.895677,False
DorsAttnA-SalVentAttnB,3.628434,False
DorsAttnA-SomMotA,0.742869,False
DorsAttnA-SomMotB,0.919024,False
DorsAttnA-TempPar,0.717644,False
DorsAttnA-VisCent,3.92895,False
DorsAttnA-VisPeri,0.060032,False
DorsAttnB-ContA,1.345644,False
DorsAttnB-ContB,0.222486,False
DorsAttnB-ContC,1.95725,False
DorsAttnB-DefaultA,0.35896,False
DorsAttnB-DefaultB,2.832397,False
DorsAttnB-DefaultC,3.652415,False
DorsAttnB-DorsAttnA,4.17503,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.466687,False
DorsAttnB-LimbicB,3.686975,False
DorsAttnB-SalVentAttnA,1.212896,False
DorsAttnB-SalVentAttnB,2.387318,False
DorsAttnB-SomMotA,0.742755,False
DorsAttnB-SomMotB,1.29642,False
DorsAttnB-TempPar,1.481899,False
DorsAttnB-VisCent,6.449403,False
DorsAttnB-VisPeri,0.018291,False
LimbicA-ContA,2.430988,False
LimbicA-ContB,0.792977,False
LimbicA-ContC,1.117827,False
LimbicA-DefaultA,11.580486,False
LimbicA-DefaultB,0.530391,False
LimbicA-DefaultC,4.093505,False
LimbicA-DorsAttnA,0.468986,False
LimbicA-DorsAttnB,1.80355,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,3.088539,False
LimbicA-SalVentAttnA,1.186042,False
LimbicA-SalVentAttnB,2.958954,False
LimbicA-SomMotA,0.181637,False
LimbicA-SomMotB,4.150122,False
LimbicA-TempPar,0.005892,False
LimbicA-VisCent,1.115671,False
LimbicA-VisPeri,1.674324,False
LimbicB-ContA,0.600923,False
LimbicB-ContB,0.700315,False
LimbicB-ContC,0.11281,False
LimbicB-DefaultA,0.472363,False
LimbicB-DefaultB,0.180005,False
LimbicB-DefaultC,3.885603,False
LimbicB-DorsAttnA,0.038548,False
LimbicB-DorsAttnB,0.479433,False
LimbicB-LimbicA,1.776875,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,3.870714,False
LimbicB-SalVentAttnB,10.739501,False
LimbicB-SomMotA,2.769059,False
LimbicB-SomMotB,0.698554,False
LimbicB-TempPar,0.85781,False
LimbicB-VisCent,2.603492,False
LimbicB-VisPeri,3.62287,False
SalVentAttnA-ContA,0.190571,False
SalVentAttnA-ContB,1.674818,False
SalVentAttnA-ContC,1.702848,False
SalVentAttnA-DefaultA,1.09774,False
SalVentAttnA-DefaultB,2.072769,False
SalVentAttnA-DefaultC,1.557411,False
SalVentAttnA-DorsAttnA,1.029426,False
SalVentAttnA-DorsAttnB,1.289023,False
SalVentAttnA-LimbicA,0.247275,False
