network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.194473,False
ContA-ContC,6.196974,False
ContA-DefaultA,0.738319,False
ContA-DefaultB,0.446798,False
ContA-DefaultC,1.102694,False
ContA-DorsAttnA,0.827149,False
ContA-DorsAttnB,1.47645,False
ContA-LimbicA,34.814977,False
ContA-LimbicB,6.317223,False
ContA-SalVentAttnA,0.166762,False
ContA-SalVentAttnB,7.05723,False
ContA-SomMotA,0.868731,False
ContA-SomMotB,11.11029,False
ContA-TempPar,7.468121,False
ContA-VisCent,1.008705,False
ContA-VisPeri,1.541386,False
ContB-ContA,5.973587,False
ContB-ContB,0.0,True
ContB-ContC,5.545001,False
ContB-DefaultA,1.18306,False
ContB-DefaultB,1.280041,False
ContB-DefaultC,2.822023,False
ContB-DorsAttnA,0.010119,False
ContB-DorsAttnB,2.675939,False
ContB-LimbicA,3.187557,False
ContB-LimbicB,0.321256,False
ContB-SalVentAttnA,1.135717,False
ContB-SalVentAttnB,1.991649,False
ContB-SomMotA,4.259969,False
ContB-SomMotB,12.291546,False
ContB-TempPar,7.864267,False
ContB-VisCent,4.589963,False
ContB-VisPeri,1.248533,False
ContC-ContA,6.889284,False
ContC-ContB,2.857705,False
ContC-ContC,0.0,True
ContC-DefaultA,7.856306,False
ContC-DefaultB,0.191148,False
ContC-DefaultC,1.72133,False
ContC-DorsAttnA,3.165662,False
ContC-DorsAttnB,0.932621,False
ContC-LimbicA,6.894874,False
ContC-LimbicB,7.32436,False
ContC-SalVentAttnA,0.062289,False
ContC-SalVentAttnB,2.767559,False
ContC-SomMotA,0.377127,False
ContC-SomMotB,4.150079,False
ContC-TempPar,3.275954,False
ContC-VisCent,2.020681,False
ContC-VisPeri,0.111777,False
DefaultA-ContA,5.935683,False
DefaultA-ContB,0.421255,False
DefaultA-ContC,18.245746,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.91782,False
DefaultA-DefaultC,4.351062,False
DefaultA-DorsAttnA,9.316317,False
DefaultA-DorsAttnB,1.09068,False
DefaultA-LimbicA,17.24586,False
DefaultA-LimbicB,22.336224,False
DefaultA-SalVentAttnA,0.177869,False
DefaultA-SalVentAttnB,11.647902,False
DefaultA-SomMotA,0.354895,False
DefaultA-SomMotB,9.559268,False
DefaultA-TempPar,5.304671,False
DefaultA-VisCent,4.68233,False
DefaultA-VisPeri,0.36281,False
