network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.256147,False
ContA-ContC,3.618427,False
ContA-DefaultA,6.02852,False
ContA-DefaultB,3.309526,False
ContA-DefaultC,2.864084,False
ContA-DorsAttnA,4.579558,False
ContA-DorsAttnB,0.235414,False
ContA-LimbicA,18.844963,False
ContA-LimbicB,5.80894,False
ContA-SalVentAttnA,0.126487,False
ContA-SalVentAttnB,3.629595,False
ContA-SomMotA,2.927349,False
ContA-SomMotB,0.067005,False
ContA-TempPar,3.205676,False
ContA-VisCent,0.055174,False
ContA-VisPeri,1.080912,False
ContB-ContA,1.698037,False
ContB-ContB,0.0,True
ContB-ContC,1.453866,False
ContB-DefaultA,0.816327,False
ContB-DefaultB,1.732357,False
ContB-DefaultC,1.408182,False
ContB-DorsAttnA,1.350312,False
ContB-DorsAttnB,1.60589,False
ContB-LimbicA,1.118237,False
ContB-LimbicB,3.776494,False
ContB-SalVentAttnA,0.214597,False
ContB-SalVentAttnB,3.285357,False
ContB-SomMotA,4.059397,False
ContB-SomMotB,0.30636,False
ContB-TempPar,1.924924,False
ContB-VisCent,0.426152,False
ContB-VisPeri,0.117243,False
ContC-ContA,0.675282,False
ContC-ContB,0.563461,False
ContC-ContC,0.0,True
ContC-DefaultA,1.304066,False
ContC-DefaultB,0.672358,False
ContC-DefaultC,0.371806,False
ContC-DorsAttnA,2.764118,False
ContC-DorsAttnB,1.100466,False
ContC-LimbicA,0.030374,False
ContC-LimbicB,0.910659,False
ContC-SalVentAttnA,0.765273,False
ContC-SalVentAttnB,1.862212,False
ContC-SomMotA,9.334263,False
ContC-SomMotB,4.19674,False
ContC-TempPar,2.117477,False
ContC-VisCent,7.683031,False
ContC-VisPeri,3.690962,False
DefaultA-ContA,0.094046,False
DefaultA-ContB,0.28967,False
DefaultA-ContC,12.581899,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.114236,False
DefaultA-DefaultC,0.673951,False
DefaultA-DorsAttnA,9.211111,False
DefaultA-DorsAttnB,4.100415,False
DefaultA-LimbicA,0.430559,False
DefaultA-LimbicB,2.129273,False
DefaultA-SalVentAttnA,1.297875,False
DefaultA-SalVentAttnB,1.538951,False
DefaultA-SomMotA,0.724338,False
DefaultA-SomMotB,0.917355,False
DefaultA-TempPar,0.473397,False
DefaultA-VisCent,1.249941,False
DefaultA-VisPeri,0.761425,False
DefaultB-ContA,1.172058,False
