network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.172849,False
ContA-ContC,7.655693,False
ContA-DefaultA,11.881044,False
ContA-DefaultB,13.826751,False
ContA-DefaultC,4.351201,False
ContA-DorsAttnA,5.849894,False
ContA-DorsAttnB,1.277666,False
ContA-LimbicA,12.849393,False
ContA-LimbicB,22.246624,False
ContA-SalVentAttnA,2.426873,False
ContA-SalVentAttnB,15.808051,False
ContA-SomMotA,13.478373,False
ContA-SomMotB,1.635348,False
ContA-TempPar,0.802628,False
ContA-VisCent,0.841282,False
ContA-VisPeri,9.07819,False
ContB-ContA,2.888878,False
ContB-ContB,0.0,True
ContB-ContC,9.088225,False
ContB-DefaultA,1.60636,False
ContB-DefaultB,2.684184,False
ContB-DefaultC,2.995298,False
ContB-DorsAttnA,2.246112,False
ContB-DorsAttnB,0.016541,False
ContB-LimbicA,7.168445,False
ContB-LimbicB,7.660421,False
ContB-SalVentAttnA,1.057463,False
ContB-SalVentAttnB,2.211651,False
ContB-SomMotA,4.50441,False
ContB-SomMotB,0.333226,False
ContB-TempPar,0.60994,False
ContB-VisCent,1.225442,False
ContB-VisPeri,0.820783,False
ContC-ContA,0.401525,False
ContC-ContB,2.209962,False
ContC-ContC,0.0,True
ContC-DefaultA,3.075554,False
ContC-DefaultB,2.524091,False
ContC-DefaultC,1.483754,False
ContC-DorsAttnA,1.317787,False
ContC-DorsAttnB,0.621349,False
ContC-LimbicA,3.763621,False
ContC-LimbicB,1.300934,False
ContC-SalVentAttnA,2.164048,False
ContC-SalVentAttnB,1.855798,False
ContC-SomMotA,9.705522,False
ContC-SomMotB,2.008269,False
ContC-TempPar,1.33593,False
ContC-VisCent,1.037144,False
ContC-VisPeri,4.845253,False
DefaultA-ContA,4.319801,False
DefaultA-ContB,0.64612,False
DefaultA-ContC,20.446322,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,12.98031,False
DefaultA-DefaultC,2.969601,False
DefaultA-DorsAttnA,5.856188,False
DefaultA-DorsAttnB,0.307528,False
DefaultA-LimbicA,2.642073,False
DefaultA-LimbicB,10.327225,False
DefaultA-SalVentAttnA,3.753881,False
DefaultA-SalVentAttnB,6.040055,False
DefaultA-SomMotA,17.584355,False
DefaultA-SomMotB,1.313333,False
DefaultA-TempPar,5.004683,False
DefaultA-VisCent,2.353539,False
DefaultA-VisPeri,9.097758,False
DefaultB-ContA,1.189108,False
DefaultB-ContB,1.643397,False
DefaultB-ContC,11.017587,False
DefaultB-DefaultA,3.868342,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.812129,False
DefaultB-DorsAttnA,15.683947,False
DefaultB-DorsAttnB,0.293707,False
DefaultB-LimbicA,1.1922,False
DefaultB-LimbicB,11.115211,False
DefaultB-SalVentAttnA,4.408778,False
DefaultB-SalVentAttnB,2.529768,False
DefaultB-SomMotA,4.923253,False
DefaultB-SomMotB,0.498164,False
DefaultB-TempPar,1.659438,False
DefaultB-VisCent,5.818015,False
DefaultB-VisPeri,3.799035,False
DefaultC-ContA,0.312895,False
DefaultC-ContB,12.882135,False
DefaultC-ContC,4.886535,False
DefaultC-DefaultA,9.591841,False
DefaultC-DefaultB,30.875064,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,10.351664,False
DefaultC-DorsAttnB,0.844139,False
DefaultC-LimbicA,0.176129,False
DefaultC-LimbicB,12.041411,False
DefaultC-SalVentAttnA,3.202635,False
DefaultC-SalVentAttnB,1.68665,False
DefaultC-SomMotA,1.462572,False
DefaultC-SomMotB,0.938069,False
DefaultC-TempPar,14.531466,False
DefaultC-VisCent,2.04124,False
DefaultC-VisPeri,3.044501,False
DorsAttnA-ContA,1.425277,False
DorsAttnA-ContB,0.016246,False
DorsAttnA-ContC,0.975612,False
DorsAttnA-DefaultA,2.051992,False
DorsAttnA-DefaultB,7.070266,False
DorsAttnA-DefaultC,2.674247,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.75649,False
DorsAttnA-LimbicA,1.592578,False
DorsAttnA-LimbicB,3.148812,False
DorsAttnA-SalVentAttnA,4.152485,False
DorsAttnA-SalVentAttnB,1.252137,False
DorsAttnA-SomMotA,0.662497,False
DorsAttnA-SomMotB,0.069982,False
DorsAttnA-TempPar,2.654973,False
DorsAttnA-VisCent,1.627108,False
DorsAttnA-VisPeri,0.926971,False
DorsAttnB-ContA,1.45602,False
DorsAttnB-ContB,0.929317,False
DorsAttnB-ContC,3.95168,False
DorsAttnB-DefaultA,0.864919,False
DorsAttnB-DefaultB,0.840206,False
DorsAttnB-DefaultC,2.259503,False
DorsAttnB-DorsAttnA,1.710707,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.363064,False
DorsAttnB-LimbicB,6.025999,False
DorsAttnB-SalVentAttnA,0.156174,False
DorsAttnB-SalVentAttnB,3.512773,False
DorsAttnB-SomMotA,3.422979,False
DorsAttnB-SomMotB,1.406054,False
DorsAttnB-TempPar,6.154198,False
DorsAttnB-VisCent,1.114565,False
DorsAttnB-VisPeri,3.229825,False
LimbicA-ContA,9.451034,False
LimbicA-ContB,4.299245,False
LimbicA-ContC,3.623972,False
LimbicA-DefaultA,2.520947,False
LimbicA-DefaultB,5.260656,False
LimbicA-DefaultC,0.488919,False
LimbicA-DorsAttnA,8.979567,False
LimbicA-DorsAttnB,1.296824,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,10.377212,False
LimbicA-SalVentAttnA,0.725828,False
LimbicA-SalVentAttnB,5.141392,False
LimbicA-SomMotA,11.044376,False
LimbicA-SomMotB,0.206523,False
LimbicA-TempPar,1.864332,False
LimbicA-VisCent,1.124185,False
LimbicA-VisPeri,4.642486,False
LimbicB-ContA,5.765708,False
LimbicB-ContB,10.77929,False
LimbicB-ContC,5.59054,False
LimbicB-DefaultA,11.122323,False
LimbicB-DefaultB,34.187159,False
LimbicB-DefaultC,11.019223,False
LimbicB-DorsAttnA,8.352735,False
LimbicB-DorsAttnB,2.082908,False
LimbicB-LimbicA,11.305843,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.885726,False
LimbicB-SalVentAttnB,8.054564,False
LimbicB-SomMotA,25.438487,False
LimbicB-SomMotB,0.412689,False
LimbicB-TempPar,2.526627,False
LimbicB-VisCent,6.08548,False
LimbicB-VisPeri,17.009926,False
SalVentAttnA-ContA,0.100099,False
SalVentAttnA-ContB,0.238778,False
SalVentAttnA-ContC,0.550391,False
SalVentAttnA-DefaultA,0.562644,False
SalVentAttnA-DefaultB,0.036703,False
SalVentAttnA-DefaultC,0.14533,False
SalVentAttnA-DorsAttnA,0.518411,False
SalVentAttnA-DorsAttnB,0.131204,False
SalVentAttnA-LimbicA,0.624379,False
SalVentAttnA-LimbicB,2.17841,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.036941,False
SalVentAttnA-SomMotA,2.663874,False
SalVentAttnA-SomMotB,3.656162,False
SalVentAttnA-TempPar,2.003504,False
SalVentAttnA-VisCent,4.091244,False
SalVentAttnA-VisPeri,1.068353,False
SalVentAttnB-ContA,15.082466,False
SalVentAttnB-ContB,5.619649,False
SalVentAttnB-ContC,7.610006,False
SalVentAttnB-DefaultA,17.612861,False
SalVentAttnB-DefaultB,19.709359,False
SalVentAttnB-DefaultC,10.855843,False
SalVentAttnB-DorsAttnA,5.048799,False
SalVentAttnB-DorsAttnB,2.598636,False
SalVentAttnB-LimbicA,15.766406,False
SalVentAttnB-LimbicB,70.774854,False
SalVentAttnB-SalVentAttnA,2.207232,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,20.557303,False
SalVentAttnB-SomMotB,0.066455,False
SalVentAttnB-TempPar,3.249574,False
SalVentAttnB-VisCent,7.065436,False
SalVentAttnB-VisPeri,16.409007,False
SomMotA-ContA,8.189134,False
SomMotA-ContB,30.778812,False
SomMotA-ContC,3.669585,False
SomMotA-DefaultA,17.004598,False
SomMotA-DefaultB,21.441039,False
SomMotA-DefaultC,7.316006,False
SomMotA-DorsAttnA,2.215291,False
SomMotA-DorsAttnB,1.037129,False
SomMotA-LimbicA,11.275873,False
SomMotA-LimbicB,17.880655,False
SomMotA-SalVentAttnA,0.357244,False
SomMotA-SalVentAttnB,11.666804,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,3.416803,False
SomMotA-TempPar,13.09649,False
SomMotA-VisCent,1.734233,False
SomMotA-VisPeri,13.619186,False
SomMotB-ContA,0.987782,False
SomMotB-ContB,1.435138,False
SomMotB-ContC,1.167081,False
SomMotB-DefaultA,0.280501,False
SomMotB-DefaultB,0.398222,False
SomMotB-DefaultC,1.840409,False
SomMotB-DorsAttnA,1.925275,False
SomMotB-DorsAttnB,1.453539,False
SomMotB-LimbicA,1.218404,False
SomMotB-LimbicB,0.207171,False
SomMotB-SalVentAttnA,6.22421,False
SomMotB-SalVentAttnB,3.222634,False
