network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.809856,False
ContA-ContC,2.067882,False
ContA-DefaultA,0.309602,False
ContA-DefaultB,5.874062,False
ContA-DefaultC,1.386593,False
ContA-DorsAttnA,9.176726,False
ContA-DorsAttnB,3.769524,False
ContA-LimbicA,14.068327,False
ContA-LimbicB,6.263671,False
ContA-SalVentAttnA,1.954747,False
ContA-SalVentAttnB,9.938215,False
ContA-SomMotA,17.873477,False
ContA-SomMotB,7.959443,False
ContA-TempPar,4.070708,False
ContA-VisCent,13.69823,False
ContA-VisPeri,10.467986,False
ContB-ContA,6.122965,False
ContB-ContB,0.0,True
ContB-ContC,0.289974,False
ContB-DefaultA,0.783463,False
ContB-DefaultB,5.304826,False
ContB-DefaultC,4.487981,False
ContB-DorsAttnA,6.45862,False
ContB-DorsAttnB,3.629526,False
ContB-LimbicA,1.449741,False
ContB-LimbicB,0.163099,False
ContB-SalVentAttnA,16.594551,False
ContB-SalVentAttnB,0.924848,False
ContB-SomMotA,17.186983,False
ContB-SomMotB,7.282071,False
ContB-TempPar,14.18672,False
ContB-VisCent,4.20438,False
ContB-VisPeri,8.866862,False
ContC-ContA,0.609261,False
ContC-ContB,0.431361,False
ContC-ContC,0.0,True
ContC-DefaultA,2.253845,False
ContC-DefaultB,0.766547,False
ContC-DefaultC,0.194558,False
ContC-DorsAttnA,2.367315,False
ContC-DorsAttnB,0.862087,False
ContC-LimbicA,6.935698,False
ContC-LimbicB,2.367265,False
ContC-SalVentAttnA,0.110999,False
ContC-SalVentAttnB,0.624242,False
ContC-SomMotA,0.528581,False
ContC-SomMotB,0.645184,False
ContC-TempPar,0.739029,False
ContC-VisCent,0.650156,False
ContC-VisPeri,1.192801,False
DefaultA-ContA,5.687109,False
DefaultA-ContB,2.568794,False
DefaultA-ContC,20.878838,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.634601,False
DefaultA-DefaultC,0.893209,False
DefaultA-DorsAttnA,2.471877,False
DefaultA-DorsAttnB,1.617226,False
DefaultA-LimbicA,9.53284,False
DefaultA-LimbicB,12.84556,False
DefaultA-SalVentAttnA,0.656332,False
DefaultA-SalVentAttnB,9.483645,False
DefaultA-SomMotA,14.678829,False
DefaultA-SomMotB,1.972919,False
DefaultA-TempPar,2.822603,False
DefaultA-VisCent,1.176527,False
DefaultA-VisPeri,4.740087,False
DefaultB-ContA,0.54201,False
DefaultB-ContB,7.510398,False
DefaultB-ContC,2.097545,False
DefaultB-DefaultA,7.770977,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.63372,False
DefaultB-DorsAttnA,6.467427,False
DefaultB-DorsAttnB,3.311142,False
DefaultB-LimbicA,0.315442,False
DefaultB-LimbicB,1.738189,False
DefaultB-SalVentAttnA,8.3199,False
DefaultB-SalVentAttnB,2.053606,False
DefaultB-SomMotA,12.575317,False
DefaultB-SomMotB,3.552227,False
DefaultB-TempPar,9.988559,False
DefaultB-VisCent,3.117668,False
DefaultB-VisPeri,4.2859,False
DefaultC-ContA,1.661101,False
DefaultC-ContB,7.633912,False
DefaultC-ContC,1.238932,False
DefaultC-DefaultA,2.511373,False
DefaultC-DefaultB,13.198032,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,15.967893,False
DefaultC-DorsAttnB,2.563266,False
DefaultC-LimbicA,2.545488,False
DefaultC-LimbicB,3.35047,False
DefaultC-SalVentAttnA,11.899114,False
DefaultC-SalVentAttnB,2.329589,False
DefaultC-SomMotA,5.588056,False
DefaultC-SomMotB,9.825828,False
DefaultC-TempPar,16.759562,False
DefaultC-VisCent,5.271553,False
DefaultC-VisPeri,2.127856,False
DorsAttnA-ContA,14.55992,False
DorsAttnA-ContB,12.476311,False
DorsAttnA-ContC,11.751581,False
DorsAttnA-DefaultA,5.448454,False
DorsAttnA-DefaultB,15.907985,False
DorsAttnA-DefaultC,8.129862,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.324525,False
DorsAttnA-LimbicA,10.324671,False
DorsAttnA-LimbicB,6.615795,False
DorsAttnA-SalVentAttnA,5.015255,False
DorsAttnA-SalVentAttnB,2.196578,False
DorsAttnA-SomMotA,18.83001,False
DorsAttnA-SomMotB,10.914515,False
DorsAttnA-TempPar,10.842657,False
DorsAttnA-VisCent,5.711783,False
DorsAttnA-VisPeri,13.520984,False
DorsAttnB-ContA,1.011536,False
DorsAttnB-ContB,3.65951,False
DorsAttnB-ContC,0.010952,False
DorsAttnB-DefaultA,2.516869,False
DorsAttnB-DefaultB,0.129818,False
DorsAttnB-DefaultC,2.483183,False
DorsAttnB-DorsAttnA,1.82421,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.428915,False
DorsAttnB-LimbicB,0.64321,False
DorsAttnB-SalVentAttnA,11.731795,False
DorsAttnB-SalVentAttnB,0.951541,False
DorsAttnB-SomMotA,3.515691,False
DorsAttnB-SomMotB,4.0373,False
DorsAttnB-TempPar,4.025349,False
DorsAttnB-VisCent,2.286286,False
DorsAttnB-VisPeri,1.719352,False
LimbicA-ContA,4.568914,False
LimbicA-ContB,6.587162,False
LimbicA-ContC,5.486904,False
LimbicA-DefaultA,2.06128,False
LimbicA-DefaultB,2.479147,False
LimbicA-DefaultC,0.315675,False
LimbicA-DorsAttnA,2.805502,False
LimbicA-DorsAttnB,0.281835,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,14.123495,False
LimbicA-SalVentAttnA,1.975069,False
LimbicA-SalVentAttnB,9.05805,False
LimbicA-SomMotA,10.625011,False
LimbicA-SomMotB,2.166095,False
LimbicA-TempPar,0.284285,False
LimbicA-VisCent,7.526723,False
LimbicA-VisPeri,4.11965,False
LimbicB-ContA,2.994907,False
LimbicB-ContB,1.181536,False
LimbicB-ContC,3.552281,False
LimbicB-DefaultA,3.321012,False
LimbicB-DefaultB,10.189425,False
LimbicB-DefaultC,4.955042,False
LimbicB-DorsAttnA,2.955938,False
LimbicB-DorsAttnB,0.416413,False
LimbicB-LimbicA,2.004259,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.086131,False
LimbicB-SalVentAttnB,2.380874,False
LimbicB-SomMotA,4.065653,False
LimbicB-SomMotB,2.331225,False
LimbicB-TempPar,5.872095,False
LimbicB-VisCent,3.870243,False
LimbicB-VisPeri,1.999916,False
SalVentAttnA-ContA,0.065226,False
SalVentAttnA-ContB,1.27849,False
SalVentAttnA-ContC,2.246175,False
SalVentAttnA-DefaultA,6.404977,False
SalVentAttnA-DefaultB,2.189732,False
SalVentAttnA-DefaultC,1.007554,False
SalVentAttnA-DorsAttnA,1.351466,False
SalVentAttnA-DorsAttnB,0.48675,False
SalVentAttnA-LimbicA,0.099713,False
SalVentAttnA-LimbicB,3.840556,False
