network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.061195,False
ContA-ContC,1.194239,False
ContA-DefaultA,2.758205,False
ContA-DefaultB,2.202286,False
ContA-DefaultC,3.105472,False
ContA-DorsAttnA,0.371532,False
ContA-DorsAttnB,1.207264,False
ContA-LimbicA,28.777729,False
ContA-LimbicB,8.196394,False
ContA-SalVentAttnA,1.481318,False
ContA-SalVentAttnB,8.911603,False
ContA-SomMotA,4.463363,False
ContA-SomMotB,1.380581,False
ContA-TempPar,4.020308,False
ContA-VisCent,1.93331,False
ContA-VisPeri,2.979976,False
ContB-ContA,4.584947,False
ContB-ContB,0.0,True
ContB-ContC,0.486347,False
ContB-DefaultA,0.662775,False
ContB-DefaultB,7.468186,False
ContB-DefaultC,5.302466,False
ContB-DorsAttnA,0.322007,False
ContB-DorsAttnB,1.213215,False
ContB-LimbicA,9.971864,False
ContB-LimbicB,5.471895,False
ContB-SalVentAttnA,2.558194,False
ContB-SalVentAttnB,6.300208,False
ContB-SomMotA,5.767196,False
ContB-SomMotB,6.195404,False
ContB-TempPar,8.259644,False
ContB-VisCent,4.612363,False
ContB-VisPeri,3.331797,False
ContC-ContA,0.396345,False
ContC-ContB,0.849293,False
ContC-ContC,0.0,True
ContC-DefaultA,9.641102,False
ContC-DefaultB,4.159556,False
ContC-DefaultC,1.235408,False
ContC-DorsAttnA,0.01677,False
ContC-DorsAttnB,1.666813,False
ContC-LimbicA,7.844875,False
ContC-LimbicB,11.398707,False
ContC-SalVentAttnA,6.127228,False
ContC-SalVentAttnB,2.988422,False
ContC-SomMotA,0.344039,False
ContC-SomMotB,0.868131,False
ContC-TempPar,0.152882,False
ContC-VisCent,3.888392,False
ContC-VisPeri,1.74412,False
DefaultA-ContA,0.064991,False
DefaultA-ContB,0.206372,False
DefaultA-ContC,30.098826,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.093898,False
DefaultA-DefaultC,0.35451,False
DefaultA-DorsAttnA,0.586406,False
DefaultA-DorsAttnB,0.829291,False
DefaultA-LimbicA,5.48292,False
DefaultA-LimbicB,17.946056,False
DefaultA-SalVentAttnA,8.555856,False
DefaultA-SalVentAttnB,4.999932,False
DefaultA-SomMotA,0.557881,False
DefaultA-SomMotB,0.96311,False
DefaultA-TempPar,0.321704,False
DefaultA-VisCent,2.520353,False
DefaultA-VisPeri,0.001475,False
DefaultB-ContA,1.261166,False
DefaultB-ContB,4.720899,False
DefaultB-ContC,6.033923,False
DefaultB-DefaultA,3.085004,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.315103,False
DefaultB-DorsAttnA,0.564681,False
DefaultB-DorsAttnB,1.08897,False
DefaultB-LimbicA,4.542266,False
DefaultB-LimbicB,9.440034,False
DefaultB-SalVentAttnA,3.074375,False
DefaultB-SalVentAttnB,3.996529,False
DefaultB-SomMotA,3.170418,False
DefaultB-SomMotB,2.547155,False
DefaultB-TempPar,5.675776,False
DefaultB-VisCent,5.623035,False
DefaultB-VisPeri,0.550712,False
DefaultC-ContA,0.185999,False
DefaultC-ContB,5.381031,False
DefaultC-ContC,0.488277,False
DefaultC-DefaultA,0.841508,False
DefaultC-DefaultB,9.654598,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.469553,False
DefaultC-DorsAttnB,0.31701,False
DefaultC-LimbicA,0.632288,False
DefaultC-LimbicB,1.773808,False
DefaultC-SalVentAttnA,2.493785,False
DefaultC-SalVentAttnB,1.25536,False
DefaultC-SomMotA,5.15074,False
DefaultC-SomMotB,5.633544,False
DefaultC-TempPar,15.633608,False
DefaultC-VisCent,5.491477,False
DefaultC-VisPeri,1.323643,False
DorsAttnA-ContA,0.025495,False
DorsAttnA-ContB,1.610445,False
DorsAttnA-ContC,1.591481,False
DorsAttnA-DefaultA,1.52275,False
DorsAttnA-DefaultB,4.593425,False
DorsAttnA-DefaultC,2.611112,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,18.767383,False
DorsAttnA-LimbicA,1.2906,False
DorsAttnA-LimbicB,0.255258,False
DorsAttnA-SalVentAttnA,6.326116,False
DorsAttnA-SalVentAttnB,2.729553,False
DorsAttnA-SomMotA,1.048002,False
DorsAttnA-SomMotB,4.883816,False
DorsAttnA-TempPar,0.117134,False
DorsAttnA-VisCent,0.029988,False
DorsAttnA-VisPeri,1.526462,False
DorsAttnB-ContA,1.127643,False
DorsAttnB-ContB,1.184172,False
DorsAttnB-ContC,2.342325,False
DorsAttnB-DefaultA,0.952333,False
DorsAttnB-DefaultB,0.580604,False
DorsAttnB-DefaultC,0.783414,False
DorsAttnB-DorsAttnA,5.005456,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.033016,False
DorsAttnB-LimbicB,1.345984,False
DorsAttnB-SalVentAttnA,10.446349,False
DorsAttnB-SalVentAttnB,5.193498,False
DorsAttnB-SomMotA,0.447559,False
DorsAttnB-SomMotB,1.119883,False
DorsAttnB-TempPar,0.124777,False
DorsAttnB-VisCent,3.456838,False
DorsAttnB-VisPeri,0.046501,False
LimbicA-ContA,3.789327,False
LimbicA-ContB,3.16607,False
LimbicA-ContC,3.743141,False
LimbicA-DefaultA,1.027757,False
LimbicA-DefaultB,3.431463,False
LimbicA-DefaultC,3.131922,False
