network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,11.453751,False
ContA-ContC,8.474532,False
ContA-DefaultA,6.421398,False
ContA-DefaultB,9.516838,False
ContA-DefaultC,1.674694,False
ContA-DorsAttnA,0.288325,False
ContA-DorsAttnB,3.339258,False
ContA-LimbicA,17.690561,False
ContA-LimbicB,9.08863,False
ContA-SalVentAttnA,1.594131,False
ContA-SalVentAttnB,2.920297,False
ContA-SomMotA,2.041601,False
ContA-SomMotB,0.086791,False
ContA-TempPar,0.063952,False
ContA-VisCent,0.978417,False
ContA-VisPeri,4.123438,False
ContB-ContA,18.35338,False
ContB-ContB,0.0,True
ContB-ContC,6.308819,False
ContB-DefaultA,11.638544,False
ContB-DefaultB,16.555199,False
ContB-DefaultC,3.892147,False
ContB-DorsAttnA,0.690486,False
ContB-DorsAttnB,0.94246,False
ContB-LimbicA,8.318281,False
ContB-LimbicB,5.811146,False
ContB-SalVentAttnA,0.432053,False
ContB-SalVentAttnB,0.190223,False
ContB-SomMotA,3.936107,False
ContB-SomMotB,1.104875,False
ContB-TempPar,0.036355,False
ContB-VisCent,1.836299,False
ContB-VisPeri,4.947488,False
ContC-ContA,2.876291,False
ContC-ContB,4.223122,False
ContC-ContC,0.0,True
ContC-DefaultA,27.7076,False
ContC-DefaultB,17.120333,False
ContC-DefaultC,4.368773,False
ContC-DorsAttnA,3.767911,False
ContC-DorsAttnB,0.437068,False
ContC-LimbicA,4.641265,False
ContC-LimbicB,3.573333,False
ContC-SalVentAttnA,0.010296,False
ContC-SalVentAttnB,1.094188,False
ContC-SomMotA,3.910083,False
ContC-SomMotB,1.011114,False
ContC-TempPar,5.64384,False
ContC-VisCent,7.371847,False
ContC-VisPeri,1.865616,False
DefaultA-ContA,8.416873,False
DefaultA-ContB,9.900421,False
DefaultA-ContC,35.755747,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,28.277663,False
DefaultA-DefaultC,9.285231,False
DefaultA-DorsAttnA,2.408287,False
DefaultA-DorsAttnB,0.075733,False
DefaultA-LimbicA,12.593125,False
DefaultA-LimbicB,9.874646,False
DefaultA-SalVentAttnA,0.760942,False
DefaultA-SalVentAttnB,9.221748,False
DefaultA-SomMotA,3.910913,False
DefaultA-SomMotB,0.430758,False
DefaultA-TempPar,3.23025,False
DefaultA-VisCent,3.181069,False
DefaultA-VisPeri,2.165666,False
DefaultB-ContA,1.882052,False
DefaultB-ContB,3.314871,False
DefaultB-ContC,4.179497,False
DefaultB-DefaultA,5.983757,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,16.82005,False
DefaultB-DorsAttnA,1.299116,False
DefaultB-DorsAttnB,0.033075,False
DefaultB-LimbicA,3.773502,False
DefaultB-LimbicB,6.137562,False
DefaultB-SalVentAttnA,1.233505,False
DefaultB-SalVentAttnB,0.881396,False
DefaultB-SomMotA,6.230117,False
