network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.595691,False
ContA-ContC,0.806069,False
ContA-DefaultA,0.485612,False
ContA-DefaultB,5.139591,False
ContA-DefaultC,0.463204,False
ContA-DorsAttnA,1.772663,False
ContA-DorsAttnB,0.591056,False
ContA-LimbicA,24.590574,False
ContA-LimbicB,9.756252,False
ContA-SalVentAttnA,2.022774,False
ContA-SalVentAttnB,4.733884,False
ContA-SomMotA,6.019641,False
ContA-SomMotB,4.880559,False
ContA-TempPar,1.898884,False
ContA-VisCent,10.524476,False
ContA-VisPeri,2.021586,False
ContB-ContA,0.915958,False
ContB-ContB,0.0,True
ContB-ContC,1.718893,False
ContB-DefaultA,0.224405,False
ContB-DefaultB,7.394466,False
ContB-DefaultC,4.859188,False
ContB-DorsAttnA,2.165819,False
ContB-DorsAttnB,0.273905,False
ContB-LimbicA,1.707223,False
ContB-LimbicB,3.911119,False
ContB-SalVentAttnA,5.188954,False
ContB-SalVentAttnB,0.343811,False
ContB-SomMotA,2.627888,False
ContB-SomMotB,1.629895,False
ContB-TempPar,3.742694,False
ContB-VisCent,3.237957,False
ContB-VisPeri,1.56123,False
ContC-ContA,0.579562,False
ContC-ContB,1.723652,False
ContC-ContC,0.0,True
ContC-DefaultA,5.537435,False
ContC-DefaultB,0.5206,False
ContC-DefaultC,0.271373,False
ContC-DorsAttnA,0.662003,False
ContC-DorsAttnB,1.223549,False
ContC-LimbicA,0.275107,False
ContC-LimbicB,1.529633,False
ContC-SalVentAttnA,0.468913,False
ContC-SalVentAttnB,0.15812,False
ContC-SomMotA,1.132227,False
ContC-SomMotB,0.251781,False
ContC-TempPar,1.055797,False
ContC-VisCent,0.284841,False
ContC-VisPeri,1.680931,False
DefaultA-ContA,1.716189,False
DefaultA-ContB,1.149873,False
DefaultA-ContC,4.295415,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.353917,False
DefaultA-DefaultC,7.259684,False
DefaultA-DorsAttnA,2.078667,False
DefaultA-DorsAttnB,0.934426,False
DefaultA-LimbicA,1.848477,False
DefaultA-LimbicB,5.89869,False
DefaultA-SalVentAttnA,2.548234,False
DefaultA-SalVentAttnB,1.524968,False
DefaultA-SomMotA,5.068663,False
DefaultA-SomMotB,3.587208,False
DefaultA-TempPar,0.27957,False
DefaultA-VisCent,0.098617,False
DefaultA-VisPeri,0.027204,False
DefaultB-ContA,0.071871,False
DefaultB-ContB,3.1967,False
DefaultB-ContC,3.233089,False
DefaultB-DefaultA,2.983484,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.665931,False
DefaultB-DorsAttnA,1.849359,False
DefaultB-DorsAttnB,0.279906,False
DefaultB-LimbicA,0.295491,False
DefaultB-LimbicB,10.71506,False
DefaultB-SalVentAttnA,3.450952,False
DefaultB-SalVentAttnB,3.170134,False
DefaultB-SomMotA,6.808614,False
DefaultB-SomMotB,6.223672,False
DefaultB-TempPar,3.491614,False
DefaultB-VisCent,3.426651,False
DefaultB-VisPeri,0.510688,False
DefaultC-ContA,0.062394,False
DefaultC-ContB,3.478931,False
DefaultC-ContC,3.869859,False
DefaultC-DefaultA,0.087447,False
DefaultC-DefaultB,10.671884,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.191566,False
DefaultC-DorsAttnB,0.423284,False
DefaultC-LimbicA,0.255105,False
DefaultC-LimbicB,3.510968,False
DefaultC-SalVentAttnA,1.908163,False
DefaultC-SalVentAttnB,1.694953,False
DefaultC-SomMotA,3.942324,False
DefaultC-SomMotB,3.484687,False
DefaultC-TempPar,5.970242,False
DefaultC-VisCent,3.435706,False
DefaultC-VisPeri,2.352942,False
DorsAttnA-ContA,1.02432,False
DorsAttnA-ContB,0.309156,False
DorsAttnA-ContC,1.450946,False
DorsAttnA-DefaultA,4.458489,False
DorsAttnA-DefaultB,7.042822,False
DorsAttnA-DefaultC,1.163829,False
DorsAttnA-DorsAttnA,0.0,True
