network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.776253,False
ContA-ContC,0.730488,False
ContA-DefaultA,0.615886,False
ContA-DefaultB,2.880161,False
ContA-DefaultC,1.49807,False
ContA-DorsAttnA,1.203962,False
ContA-DorsAttnB,4.104963,False
ContA-LimbicA,7.96553,False
ContA-LimbicB,5.335795,False
ContA-SalVentAttnA,3.449857,False
ContA-SalVentAttnB,2.534169,False
ContA-SomMotA,9.568558,False
ContA-SomMotB,2.02113,False
ContA-TempPar,0.023624,False
ContA-VisCent,0.749264,False
ContA-VisPeri,5.077201,False
ContB-ContA,4.690935,False
ContB-ContB,0.0,True
ContB-ContC,0.178481,False
ContB-DefaultA,0.695697,False
ContB-DefaultB,2.747123,False
ContB-DefaultC,0.817185,False
ContB-DorsAttnA,3.325267,False
ContB-DorsAttnB,7.231944,False
ContB-LimbicA,2.443308,False
ContB-LimbicB,0.360497,False
ContB-SalVentAttnA,1.085355,False
ContB-SalVentAttnB,1.438841,False
ContB-SomMotA,14.914096,False
ContB-SomMotB,7.801596,False
ContB-TempPar,1.371782,False
ContB-VisCent,0.336935,False
ContB-VisPeri,5.280363,False
ContC-ContA,1.244684,False
ContC-ContB,0.095506,False
ContC-ContC,0.0,True
ContC-DefaultA,12.253003,False
ContC-DefaultB,5.170075,False
ContC-DefaultC,1.811608,False
ContC-DorsAttnA,3.127184,False
ContC-DorsAttnB,3.921507,False
ContC-LimbicA,2.739776,False
ContC-LimbicB,7.51398,False
ContC-SalVentAttnA,0.337084,False
ContC-SalVentAttnB,7.141568,False
ContC-SomMotA,1.386532,False
ContC-SomMotB,1.726075,False
ContC-TempPar,1.703525,False
ContC-VisCent,3.924408,False
ContC-VisPeri,2.485681,False
DefaultA-ContA,0.766637,False
DefaultA-ContB,0.615958,False
DefaultA-ContC,11.466713,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.095969,False
DefaultA-DefaultC,0.844404,False
DefaultA-DorsAttnA,1.717337,False
DefaultA-DorsAttnB,5.183336,False
DefaultA-LimbicA,5.516311,False
DefaultA-LimbicB,5.909066,False
DefaultA-SalVentAttnA,1.633799,False
DefaultA-SalVentAttnB,4.142772,False
DefaultA-SomMotA,2.166389,False
DefaultA-SomMotB,1.578243,False
DefaultA-TempPar,2.406423,False
DefaultA-VisCent,3.408461,False
DefaultA-VisPeri,3.370844,False
DefaultB-ContA,4.599552,False
DefaultB-ContB,7.318888,False
DefaultB-ContC,4.099839,False
DefaultB-DefaultA,0.591561,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.30651,False
DefaultB-DorsAttnA,0.226036,False
DefaultB-DorsAttnB,1.110393,False
DefaultB-LimbicA,0.590279,False
DefaultB-LimbicB,0.774537,False
DefaultB-SalVentAttnA,6.646514,False
DefaultB-SalVentAttnB,1.179645,False
DefaultB-SomMotA,9.383283,False
DefaultB-SomMotB,7.937167,False
DefaultB-TempPar,6.684609,False
DefaultB-VisCent,1.218613,False
DefaultB-VisPeri,1.536497,False
DefaultC-ContA,0.781835,False
DefaultC-ContB,13.569769,False
DefaultC-ContC,0.67926,False
DefaultC-DefaultA,0.195699,False
DefaultC-DefaultB,17.198408,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.938159,False
DefaultC-DorsAttnB,2.453223,False
DefaultC-LimbicA,0.969804,False
DefaultC-LimbicB,0.807689,False
DefaultC-SalVentAttnA,8.472629,False
DefaultC-SalVentAttnB,0.198617,False
DefaultC-SomMotA,14.285022,False
DefaultC-SomMotB,14.674448,False
DefaultC-TempPar,2.160903,False
DefaultC-VisCent,0.820382,False
