network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.699387,False
ContA-ContC,0.302194,False
ContA-DefaultA,1.25495,False
ContA-DefaultB,0.971436,False
ContA-DefaultC,0.584203,False
ContA-DorsAttnA,0.935929,False
ContA-DorsAttnB,0.815278,False
ContA-LimbicA,19.01252,False
ContA-LimbicB,10.45094,False
ContA-SalVentAttnA,12.013713,False
ContA-SalVentAttnB,11.190996,False
ContA-SomMotA,3.334468,False
ContA-SomMotB,1.13954,False
ContA-TempPar,2.094111,False
ContA-VisCent,0.46026,False
ContA-VisPeri,0.678064,False
ContB-ContA,0.183306,False
ContB-ContB,0.0,True
ContB-ContC,1.477117,False
ContB-DefaultA,1.096735,False
ContB-DefaultB,1.767674,False
ContB-DefaultC,0.866075,False
ContB-DorsAttnA,1.08155,False
ContB-DorsAttnB,0.051198,False
ContB-LimbicA,0.543111,False
ContB-LimbicB,5.319005,False
ContB-SalVentAttnA,0.348614,False
ContB-SalVentAttnB,1.037679,False
ContB-SomMotA,12.043258,False
ContB-SomMotB,1.255023,False
ContB-TempPar,0.076755,False
ContB-VisCent,0.798251,False
ContB-VisPeri,2.311941,False
ContC-ContA,0.413477,False
ContC-ContB,4.144724,False
ContC-ContC,0.0,True
ContC-DefaultA,14.428535,False
ContC-DefaultB,9.079345,False
ContC-DefaultC,0.66784,False
ContC-DorsAttnA,0.778577,False
ContC-DorsAttnB,0.026168,False
ContC-LimbicA,5.741801,False
ContC-LimbicB,6.064282,False
ContC-SalVentAttnA,0.198405,False
ContC-SalVentAttnB,2.372481,False
ContC-SomMotA,2.856281,False
ContC-SomMotB,0.96645,False
ContC-TempPar,0.011937,False
ContC-VisCent,1.694667,False
ContC-VisPeri,7.423925,False
DefaultA-ContA,1.510865,False
DefaultA-ContB,1.466605,False
DefaultA-ContC,24.835353,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,12.430373,False
DefaultA-DefaultC,1.458559,False
DefaultA-DorsAttnA,2.460588,False
DefaultA-DorsAttnB,0.364673,False
DefaultA-LimbicA,7.006482,False
DefaultA-LimbicB,6.10943,False
DefaultA-SalVentAttnA,0.17266,False
DefaultA-SalVentAttnB,2.048191,False
DefaultA-SomMotA,1.233324,False
DefaultA-SomMotB,0.287201,False
DefaultA-TempPar,1.024181,False
DefaultA-VisCent,1.225457,False
DefaultA-VisPeri,1.472701,False
DefaultB-ContA,0.078526,False
DefaultB-ContB,4.200207,False
DefaultB-ContC,5.242149,False
DefaultB-DefaultA,1.221513,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.954172,False
DefaultB-DorsAttnA,3.746176,False
DefaultB-DorsAttnB,1.807105,False
DefaultB-LimbicA,0.222996,False
DefaultB-LimbicB,0.783283,False
DefaultB-SalVentAttnA,1.462005,False
DefaultB-SalVentAttnB,0.076016,False
DefaultB-SomMotA,1.02062,False
DefaultB-SomMotB,1.912591,False
DefaultB-TempPar,0.340592,False
DefaultB-VisCent,0.656438,False
DefaultB-VisPeri,0.045739,False
DefaultC-ContA,10.059149,False
