network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,18.926374,False
ContA-ContC,4.843406,False
ContA-DefaultA,6.392446,False
ContA-DefaultB,13.683401,False
ContA-DefaultC,13.837917,False
ContA-DorsAttnA,7.682984,False
ContA-DorsAttnB,2.798901,False
ContA-LimbicA,25.296464,False
ContA-LimbicB,7.44589,False
ContA-SalVentAttnA,1.091926,False
ContA-SalVentAttnB,5.18278,False
ContA-SomMotA,10.513977,False
ContA-SomMotB,8.355647,False
ContA-TempPar,10.044389,False
ContA-VisCent,9.823819,False
ContA-VisPeri,12.902915,False
ContB-ContA,5.363122,False
ContB-ContB,0.0,True
ContB-ContC,2.015544,False
ContB-DefaultA,3.400804,False
ContB-DefaultB,10.832277,False
ContB-DefaultC,4.151457,False
ContB-DorsAttnA,3.177238,False
ContB-DorsAttnB,5.786386,False
ContB-LimbicA,10.426654,False
ContB-LimbicB,5.777088,False
ContB-SalVentAttnA,2.802658,False
ContB-SalVentAttnB,2.234294,False
ContB-SomMotA,4.402685,False
ContB-SomMotB,7.218227,False
ContB-TempPar,5.612385,False
ContB-VisCent,6.690666,False
ContB-VisPeri,2.278091,False
ContC-ContA,3.773174,False
ContC-ContB,2.122792,False
ContC-ContC,0.0,True
ContC-DefaultA,5.47831,False
ContC-DefaultB,2.066717,False
ContC-DefaultC,5.889081,False
ContC-DorsAttnA,0.686858,False
ContC-DorsAttnB,3.399762,False
ContC-LimbicA,9.042826,False
ContC-LimbicB,4.32088,False
ContC-SalVentAttnA,2.310643,False
ContC-SalVentAttnB,5.079936,False
ContC-SomMotA,2.022245,False
ContC-SomMotB,1.79175,False
ContC-TempPar,4.877741,False
ContC-VisCent,0.181102,False
ContC-VisPeri,1.011573,False
DefaultA-ContA,0.837327,False
DefaultA-ContB,0.4412,False
DefaultA-ContC,12.019392,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,5.186286,False
DefaultA-DefaultC,1.272642,False
DefaultA-DorsAttnA,2.575251,False
