network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.678498,False
ContA-ContC,0.201315,False
ContA-DefaultA,1.753218,False
ContA-DefaultB,1.231966,False
ContA-DefaultC,3.900645,False
ContA-DorsAttnA,5.386111,False
ContA-DorsAttnB,3.622339,False
ContA-LimbicA,3.837451,False
ContA-LimbicB,9.51037,False
ContA-SalVentAttnA,4.781329,False
ContA-SalVentAttnB,8.616447,False
ContA-SomMotA,2.763817,False
ContA-SomMotB,6.162304,False
ContA-TempPar,9.656833,False
ContA-VisCent,1.010701,False
ContA-VisPeri,1.351943,False
ContB-ContA,2.760827,False
ContB-ContB,0.0,True
ContB-ContC,10.800897,False
ContB-DefaultA,26.516099,False
ContB-DefaultB,14.389079,False
ContB-DefaultC,21.821764,False
ContB-DorsAttnA,0.960642,False
ContB-DorsAttnB,0.181473,False
ContB-LimbicA,4.95207,False
ContB-LimbicB,0.708674,False
ContB-SalVentAttnA,0.024522,False
ContB-SalVentAttnB,3.477313,False
ContB-SomMotA,3.278794,False
ContB-SomMotB,2.200955,False
ContB-TempPar,8.086191,False
ContB-VisCent,4.480529,False
ContB-VisPeri,2.218808,False
ContC-ContA,4.666752,False
ContC-ContB,3.114899,False
ContC-ContC,0.0,True
ContC-DefaultA,4.073639,False
ContC-DefaultB,8.533141,False
ContC-DefaultC,4.012945,False
ContC-DorsAttnA,3.593483,False
ContC-DorsAttnB,2.745964,False
ContC-LimbicA,8.124371,False
ContC-LimbicB,8.769989,False
ContC-SalVentAttnA,4.003971,False
ContC-SalVentAttnB,6.443626,False
ContC-SomMotA,5.848215,False
ContC-SomMotB,0.42949,False
ContC-TempPar,8.886491,False
ContC-VisCent,0.398059,False
ContC-VisPeri,4.661166,False
DefaultA-ContA,2.905223,False
DefaultA-ContB,1.27857,False
DefaultA-ContC,9.511487,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,9.17267,False
DefaultA-DefaultC,3.770688,False
DefaultA-DorsAttnA,5.486401,False
DefaultA-DorsAttnB,5.302182,False
DefaultA-LimbicA,5.322224,False
DefaultA-LimbicB,25.199499,False
DefaultA-SalVentAttnA,8.34957,False
DefaultA-SalVentAttnB,16.431686,False
DefaultA-SomMotA,15.621407,False
DefaultA-SomMotB,2.009517,False
DefaultA-TempPar,16.265943,False
DefaultA-VisCent,0.450751,False
DefaultA-VisPeri,6.276942,False
DefaultB-ContA,0.256542,False
DefaultB-ContB,0.330672,False
DefaultB-ContC,0.991563,False
DefaultB-DefaultA,2.186824,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.394927,False
DefaultB-DorsAttnA,3.842978,False
DefaultB-DorsAttnB,2.780514,False
DefaultB-LimbicA,1.122874,False
DefaultB-LimbicB,17.750185,False
DefaultB-SalVentAttnA,8.698021,False
DefaultB-SalVentAttnB,5.486943,False
DefaultB-SomMotA,8.908571,False
DefaultB-SomMotB,0.936069,False
DefaultB-TempPar,12.43644,False
DefaultB-VisCent,0.642112,False
DefaultB-VisPeri,4.246684,False
DefaultC-ContA,0.726586,False
DefaultC-ContB,1.139096,False
DefaultC-ContC,1.22199,False
DefaultC-DefaultA,9.486889,False
DefaultC-DefaultB,1.909537,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.130861,False
