network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.854601,False
ContA-ContC,3.452209,False
ContA-DefaultA,0.219794,False
ContA-DefaultB,3.987289,False
ContA-DefaultC,2.891437,False
ContA-DorsAttnA,0.669656,False
ContA-DorsAttnB,4.196992,False
ContA-LimbicA,33.455402,False
ContA-LimbicB,7.368965,False
ContA-SalVentAttnA,0.87997,False
ContA-SalVentAttnB,6.159,False
ContA-SomMotA,9.021348,False
ContA-SomMotB,6.458345,False
ContA-TempPar,9.10044,False
ContA-VisCent,2.813669,False
ContA-VisPeri,4.518562,False
ContB-ContA,3.660183,False
ContB-ContB,0.0,True
ContB-ContC,0.097864,False
ContB-DefaultA,0.669531,False
ContB-DefaultB,0.491196,False
ContB-DefaultC,0.080261,False
ContB-DorsAttnA,0.509947,False
ContB-DorsAttnB,2.248845,False
ContB-LimbicA,2.291282,False
ContB-LimbicB,0.263363,False
ContB-SalVentAttnA,0.708372,False
ContB-SalVentAttnB,0.007789,False
ContB-SomMotA,2.217576,False
ContB-SomMotB,6.740778,False
ContB-TempPar,0.530328,False
ContB-VisCent,1.019783,False
ContB-VisPeri,2.075434,False
ContC-ContA,1.958924,False
ContC-ContB,0.678927,False
ContC-ContC,0.0,True
ContC-DefaultA,8.076555,False
ContC-DefaultB,0.633322,False
ContC-DefaultC,2.695833,False
ContC-DorsAttnA,3.836665,False
ContC-DorsAttnB,0.793333,False
ContC-LimbicA,4.210851,False
ContC-LimbicB,1.465979,False
ContC-SalVentAttnA,2.280542,False
ContC-SalVentAttnB,0.751645,False
ContC-SomMotA,3.964606,False
ContC-SomMotB,3.562217,False
ContC-TempPar,0.966618,False
ContC-VisCent,0.923745,False
ContC-VisPeri,1.375058,False
DefaultA-ContA,2.281507,False
DefaultA-ContB,1.530823,False
DefaultA-ContC,19.157951,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.20373,False
DefaultA-DefaultC,3.226703,False
DefaultA-DorsAttnA,4.536543,False
DefaultA-DorsAttnB,2.846233,False
DefaultA-LimbicA,9.085221,False
DefaultA-LimbicB,5.770981,False
DefaultA-SalVentAttnA,2.704766,False
DefaultA-SalVentAttnB,3.296604,False
DefaultA-SomMotA,6.511907,False
DefaultA-SomMotB,1.927838,False
DefaultA-TempPar,3.932839,False
DefaultA-VisCent,0.791932,False
DefaultA-VisPeri,3.170058,False
DefaultB-ContA,7.098159,False
DefaultB-ContB,7.905637,False
DefaultB-ContC,0.892473,False
DefaultB-DefaultA,1.13516,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.288771,False
DefaultB-DorsAttnA,3.041159,False
DefaultB-DorsAttnB,1.796247,False
DefaultB-LimbicA,4.307247,False
DefaultB-LimbicB,5.861216,False
DefaultB-SalVentAttnA,0.844066,False
DefaultB-SalVentAttnB,1.034923,False
DefaultB-SomMotA,12.303306,False
DefaultB-SomMotB,6.593913,False
DefaultB-TempPar,17.047225,False
DefaultB-VisCent,1.553054,False
DefaultB-VisPeri,10.140063,False
DefaultC-ContA,5.00632,False
DefaultC-ContB,8.943931,False
DefaultC-ContC,3.016856,False
DefaultC-DefaultA,2.358205,False
DefaultC-DefaultB,25.059294,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.021449,False
DefaultC-DorsAttnB,0.679295,False
DefaultC-LimbicA,2.024625,False
DefaultC-LimbicB,2.682457,False
DefaultC-SalVentAttnA,2.418713,False
DefaultC-SalVentAttnB,1.305392,False
DefaultC-SomMotA,11.837208,False
DefaultC-SomMotB,7.483948,False
DefaultC-TempPar,29.369539,False
DefaultC-VisCent,2.719172,False
DefaultC-VisPeri,8.548654,False
DorsAttnA-ContA,0.105704,False
DorsAttnA-ContB,0.620641,False
DorsAttnA-ContC,2.179523,False
DorsAttnA-DefaultA,1.07248,False
DorsAttnA-DefaultB,3.73712,False
DorsAttnA-DefaultC,3.391826,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,4.966997,False
DorsAttnA-LimbicA,0.512791,False
DorsAttnA-LimbicB,1.421485,False
DorsAttnA-SalVentAttnA,6.078892,False
DorsAttnA-SalVentAttnB,3.027879,False
DorsAttnA-SomMotA,1.682695,False
DorsAttnA-SomMotB,0.341514,False
DorsAttnA-TempPar,4.038451,False
DorsAttnA-VisCent,0.962721,False
DorsAttnA-VisPeri,2.13766,False
DorsAttnB-ContA,5.101484,False
DorsAttnB-ContB,8.104659,False
DorsAttnB-ContC,0.14112,False
DorsAttnB-DefaultA,1.369586,False
DorsAttnB-DefaultB,3.12592,False
DorsAttnB-DefaultC,2.098143,False
