network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.973605,False
ContA-ContC,2.268677,False
ContA-DefaultA,5.421068,False
ContA-DefaultB,2.438474,False
ContA-DefaultC,4.545246,False
ContA-DorsAttnA,11.307471,False
ContA-DorsAttnB,0.009004,False
ContA-LimbicA,8.310217,False
ContA-LimbicB,7.695363,False
ContA-SalVentAttnA,0.776313,False
ContA-SalVentAttnB,1.984989,False
ContA-SomMotA,4.056625,False
ContA-SomMotB,4.381753,False
ContA-TempPar,3.781706,False
ContA-VisCent,6.110512,False
ContA-VisPeri,3.686075,False
ContB-ContA,1.087455,False
ContB-ContB,0.0,True
ContB-ContC,3.127759,False
ContB-DefaultA,2.663469,False
ContB-DefaultB,6.454333,False
ContB-DefaultC,0.29743,False
ContB-DorsAttnA,4.807935,False
ContB-DorsAttnB,0.736967,False
ContB-LimbicA,4.925187,False
ContB-LimbicB,2.06442,False
ContB-SalVentAttnA,1.059654,False
ContB-SalVentAttnB,1.590175,False
ContB-SomMotA,1.150033,False
ContB-SomMotB,1.248165,False
ContB-TempPar,1.520118,False
ContB-VisCent,3.65494,False
ContB-VisPeri,1.923915,False
ContC-ContA,3.833398,False
ContC-ContB,0.325495,False
ContC-ContC,0.0,True
ContC-DefaultA,2.652489,False
ContC-DefaultB,0.515638,False
ContC-DefaultC,2.057407,False
ContC-DorsAttnA,8.431207,False
ContC-DorsAttnB,2.12788,False
ContC-LimbicA,1.492899,False
ContC-LimbicB,2.123837,False
ContC-SalVentAttnA,0.452829,False
ContC-SalVentAttnB,0.078128,False
ContC-SomMotA,0.572939,False
ContC-SomMotB,2.612895,False
ContC-TempPar,0.678083,False
ContC-VisCent,5.513868,False
ContC-VisPeri,0.257694,False
DefaultA-ContA,0.77542,False
DefaultA-ContB,8.286684,False
DefaultA-ContC,8.983963,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.408231,False
DefaultA-DefaultC,4.186096,False
DefaultA-DorsAttnA,4.19875,False
DefaultA-DorsAttnB,0.77196,False
DefaultA-LimbicA,1.159965,False
DefaultA-LimbicB,4.974305,False
DefaultA-SalVentAttnA,0.708075,False
DefaultA-SalVentAttnB,1.707984,False
DefaultA-SomMotA,2.493337,False
DefaultA-SomMotB,2.304727,False
DefaultA-TempPar,1.969391,False
DefaultA-VisCent,3.315226,False
DefaultA-VisPeri,1.153581,False
DefaultB-ContA,5.618605,False
DefaultB-ContB,1.930629,False
DefaultB-ContC,0.747992,False
DefaultB-DefaultA,4.098421,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.473851,False
DefaultB-DorsAttnA,3.993576,False
DefaultB-DorsAttnB,0.014225,False
DefaultB-LimbicA,5.229353,False
DefaultB-LimbicB,0.307984,False
DefaultB-SalVentAttnA,0.256064,False
DefaultB-SalVentAttnB,0.7607,False
DefaultB-SomMotA,0.384581,False
DefaultB-SomMotB,1.146252,False
DefaultB-TempPar,1.669897,False
DefaultB-VisCent,1.462673,False
DefaultB-VisPeri,0.166711,False
DefaultC-ContA,3.337538,False
DefaultC-ContB,4.235384,False
DefaultC-ContC,2.719212,False
DefaultC-DefaultA,7.024575,False
DefaultC-DefaultB,4.867348,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,4.24407,False
DefaultC-DorsAttnB,0.741726,False
DefaultC-LimbicA,6.546742,False
DefaultC-LimbicB,1.543703,False
DefaultC-SalVentAttnA,0.113879,False
DefaultC-SalVentAttnB,6.911363,False
DefaultC-SomMotA,2.068097,False
DefaultC-SomMotB,0.71008,False
DefaultC-TempPar,3.930788,False
DefaultC-VisCent,0.364098,False
DefaultC-VisPeri,1.961391,False
DorsAttnA-ContA,1.17344,False
DorsAttnA-ContB,2.417265,False
DorsAttnA-ContC,5.599705,False
DorsAttnA-DefaultA,5.997228,False
DorsAttnA-DefaultB,8.165997,False
DorsAttnA-DefaultC,7.890687,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,11.448476,False
DorsAttnA-LimbicA,0.49684,False
DorsAttnA-LimbicB,2.18995,False
DorsAttnA-SalVentAttnA,0.417492,False
DorsAttnA-SalVentAttnB,3.173659,False
DorsAttnA-SomMotA,2.085903,False
DorsAttnA-SomMotB,0.991535,False
DorsAttnA-TempPar,1.526072,False
DorsAttnA-VisCent,1.809791,False
DorsAttnA-VisPeri,0.647206,False
DorsAttnB-ContA,1.797019,False
DorsAttnB-ContB,1.186482,False
DorsAttnB-ContC,1.438546,False
DorsAttnB-DefaultA,2.564419,False
DorsAttnB-DefaultB,0.204119,False
DorsAttnB-DefaultC,0.258707,False
DorsAttnB-DorsAttnA,17.221902,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.52404,False
DorsAttnB-LimbicB,3.837908,False
DorsAttnB-SalVentAttnA,1.394584,False
DorsAttnB-SalVentAttnB,0.123924,False
DorsAttnB-SomMotA,0.671778,False
DorsAttnB-SomMotB,0.728189,False
DorsAttnB-TempPar,1.237014,False
DorsAttnB-VisCent,1.382217,False
DorsAttnB-VisPeri,1.522708,False
LimbicA-ContA,3.016501,False
LimbicA-ContB,1.259716,False
LimbicA-ContC,3.608135,False
LimbicA-DefaultA,1.293193,False
LimbicA-DefaultB,1.129222,False
LimbicA-DefaultC,2.604107,False
LimbicA-DorsAttnA,1.589032,False
LimbicA-DorsAttnB,2.556396,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,13.492187,False
LimbicA-SalVentAttnA,2.598798,False
LimbicA-SalVentAttnB,3.379786,False
LimbicA-SomMotA,5.081579,False
LimbicA-SomMotB,1.429417,False
LimbicA-TempPar,3.080933,False
LimbicA-VisCent,5.936581,False
LimbicA-VisPeri,6.60341,False
LimbicB-ContA,2.336682,False
LimbicB-ContB,4.930587,False
LimbicB-ContC,2.952009,False
LimbicB-DefaultA,7.034458,False
LimbicB-DefaultB,1.309362,False
LimbicB-DefaultC,6.712486,False
LimbicB-DorsAttnA,3.472264,False
LimbicB-DorsAttnB,4.738323,False
LimbicB-LimbicA,2.051822,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.308926,False
LimbicB-SalVentAttnB,5.472349,False
LimbicB-SomMotA,10.444059,False
LimbicB-SomMotB,5.949439,False
LimbicB-TempPar,0.114274,False
LimbicB-VisCent,4.815514,False
LimbicB-VisPeri,7.803667,False
SalVentAttnA-ContA,4.99552,False
SalVentAttnA-ContB,5.810592,False
SalVentAttnA-ContC,3.690997,False
SalVentAttnA-DefaultA,3.537124,False
SalVentAttnA-DefaultB,0.247448,False
SalVentAttnA-DefaultC,0.521364,False
SalVentAttnA-DorsAttnA,1.192079,False
SalVentAttnA-DorsAttnB,2.607603,False
SalVentAttnA-LimbicA,4.163014,False
SalVentAttnA-LimbicB,8.002893,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,2.728215,False
SalVentAttnA-SomMotA,4.707898,False
SalVentAttnA-SomMotB,3.259882,False
SalVentAttnA-TempPar,1.544251,False
SalVentAttnA-VisCent,0.110749,False
SalVentAttnA-VisPeri,7.571379,False
SalVentAttnB-ContA,5.885243,False
SalVentAttnB-ContB,5.785317,False
SalVentAttnB-ContC,1.161614,False
SalVentAttnB-DefaultA,4.791028,False
SalVentAttnB-DefaultB,3.057947,False
SalVentAttnB-DefaultC,7.14655,False
SalVentAttnB-DorsAttnA,6.891244,False
SalVentAttnB-DorsAttnB,2.460734,False
SalVentAttnB-LimbicA,10.530831,False
SalVentAttnB-LimbicB,39.057842,False
SalVentAttnB-SalVentAttnA,7.846837,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,22.395531,False
SalVentAttnB-SomMotB,11.685701,False
SalVentAttnB-TempPar,6.763191,False
SalVentAttnB-VisCent,4.752172,False
SalVentAttnB-VisPeri,10.292043,False
SomMotA-ContA,0.137797,False
SomMotA-ContB,6.795623,False
SomMotA-ContC,3.129855,False
SomMotA-DefaultA,6.757812,False
SomMotA-DefaultB,7.521581,False
SomMotA-DefaultC,5.789603,False
SomMotA-DorsAttnA,2.65171,False
SomMotA-DorsAttnB,3.128061,False
SomMotA-LimbicA,0.505337,False
SomMotA-LimbicB,3.857241,False
SomMotA-SalVentAttnA,3.92721,False
SomMotA-SalVentAttnB,0.951128,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.514465,False
SomMotA-TempPar,1.450298,False
SomMotA-VisCent,3.887425,False
SomMotA-VisPeri,0.804849,False
SomMotB-ContA,0.365501,False
SomMotB-ContB,1.985065,False
SomMotB-ContC,2.978921,False
SomMotB-DefaultA,3.00237,False
SomMotB-DefaultB,5.813981,False
SomMotB-DefaultC,0.867459,False
SomMotB-DorsAttnA,0.558097,False
SomMotB-DorsAttnB,2.044786,False
SomMotB-LimbicA,0.934696,False
SomMotB-LimbicB,1.021001,False
SomMotB-SalVentAttnA,1.607781,False
SomMotB-SalVentAttnB,1.371138,False
SomMotB-SomMotA,2.651217,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,0.060495,False
SomMotB-VisCent,4.661974,False
SomMotB-VisPeri,0.131512,False
TempPar-ContA,2.003161,False
TempPar-ContB,0.094742,False
TempPar-ContC,6.665394,False
TempPar-DefaultA,1.538082,False
TempPar-DefaultB,2.388349,False
TempPar-DefaultC,6.699783,False
TempPar-DorsAttnA,0.548747,False
TempPar-DorsAttnB,1.711648,False
TempPar-LimbicA,3.25321,False
TempPar-LimbicB,1.72841,False
TempPar-SalVentAttnA,0.367021,False
TempPar-SalVentAttnB,2.090898,False
TempPar-SomMotA,3.320849,False
TempPar-SomMotB,1.684676,False
TempPar-TempPar,0.0,True
TempPar-VisCent,12.250738,False
TempPar-VisPeri,6.142553,False
VisCent-ContA,5.018493,False
VisCent-ContB,7.90723,False
VisCent-ContC,1.13014,False
VisCent-DefaultA,0.097009,False
VisCent-DefaultB,1.605137,False
VisCent-DefaultC,8.128211,False
VisCent-DorsAttnA,1.229594,False
VisCent-DorsAttnB,8.881962,False
VisCent-LimbicA,7.467267,False
VisCent-LimbicB,5.767209,False
VisCent-SalVentAttnA,3.072983,False
VisCent-SalVentAttnB,1.177938,False
VisCent-SomMotA,14.901399,False
VisCent-SomMotB,19.678455,False
VisCent-TempPar,0.538159,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,3.631188,False
