network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,24.907249,False
ContA-ContC,13.137142,False
ContA-DefaultA,11.213311,False
ContA-DefaultB,12.0252,False
ContA-DefaultC,6.055029,False
ContA-DorsAttnA,1.621391,False
ContA-DorsAttnB,3.208465,False
ContA-LimbicA,38.102156,False
ContA-LimbicB,4.48086,False
ContA-SalVentAttnA,4.726737,False
ContA-SalVentAttnB,5.348447,False
ContA-SomMotA,3.826292,False
ContA-SomMotB,2.619563,False
ContA-TempPar,1.847341,False
ContA-VisCent,2.025713,False
ContA-VisPeri,0.997862,False
ContB-ContA,6.511276,False
ContB-ContB,0.0,True
ContB-ContC,6.824784,False
ContB-DefaultA,7.89666,False
ContB-DefaultB,8.852148,False
ContB-DefaultC,10.089468,False
ContB-DorsAttnA,2.824465,False
ContB-DorsAttnB,0.50819,False
ContB-LimbicA,13.019369,False
ContB-LimbicB,10.860994,False
ContB-SalVentAttnA,4.038134,False
ContB-SalVentAttnB,7.23904,False
ContB-SomMotA,7.836601,False
ContB-SomMotB,2.524874,False
ContB-TempPar,3.462809,False
ContB-VisCent,2.628101,False
ContB-VisPeri,0.081557,False
ContC-ContA,5.317012,False
ContC-ContB,17.20396,False
ContC-ContC,0.0,True
ContC-DefaultA,31.966341,False
ContC-DefaultB,23.832356,False
ContC-DefaultC,4.238132,False
ContC-DorsAttnA,3.202331,False
ContC-DorsAttnB,0.562758,False
ContC-LimbicA,12.587537,False
ContC-LimbicB,1.303491,False
ContC-SalVentAttnA,14.438671,False
ContC-SalVentAttnB,2.420004,False
ContC-SomMotA,2.419373,False
ContC-SomMotB,0.683131,False
ContC-TempPar,0.310397,False
ContC-VisCent,4.345142,False
ContC-VisPeri,2.594473,False
DefaultA-ContA,8.5146,False
DefaultA-ContB,12.677198,False
DefaultA-ContC,18.285037,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,31.936641,False
DefaultA-DefaultC,3.860267,False
DefaultA-DorsAttnA,8.709054,False
DefaultA-DorsAttnB,0.663635,False
DefaultA-LimbicA,8.219057,False
DefaultA-LimbicB,4.441409,False
DefaultA-SalVentAttnA,15.281318,False
DefaultA-SalVentAttnB,2.269655,False
DefaultA-SomMotA,6.632807,False
DefaultA-SomMotB,1.702746,False
DefaultA-TempPar,0.485221,False
DefaultA-VisCent,0.720813,False
DefaultA-VisPeri,2.269142,False
DefaultB-ContA,4.029272,False
DefaultB-ContB,7.906465,False
DefaultB-ContC,12.246796,False
DefaultB-DefaultA,20.222682,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,9.810681,False
DefaultB-DorsAttnA,4.215373,False
DefaultB-DorsAttnB,0.014169,False
DefaultB-LimbicA,10.657673,False
DefaultB-LimbicB,2.968175,False
DefaultB-SalVentAttnA,6.16539,False
DefaultB-SalVentAttnB,4.488278,False
DefaultB-SomMotA,5.268327,False
DefaultB-SomMotB,0.990648,False
DefaultB-TempPar,0.839154,False
DefaultB-VisCent,0.723452,False
DefaultB-VisPeri,0.940386,False
DefaultC-ContA,1.343092,False
DefaultC-ContB,1.743265,False
DefaultC-ContC,2.389345,False
DefaultC-DefaultA,2.682402,False
DefaultC-DefaultB,8.95566,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.284539,False
DefaultC-DorsAttnB,0.566643,False
DefaultC-LimbicA,1.064186,False
DefaultC-LimbicB,5.578321,False
DefaultC-SalVentAttnA,1.540464,False
DefaultC-SalVentAttnB,0.514125,False
DefaultC-SomMotA,7.025737,False
DefaultC-SomMotB,3.021905,False
DefaultC-TempPar,2.336554,False
DefaultC-VisCent,1.322085,False
DefaultC-VisPeri,0.966597,False
DorsAttnA-ContA,0.078089,False
DorsAttnA-ContB,0.891691,False
DorsAttnA-ContC,2.007027,False
DorsAttnA-DefaultA,1.422854,False
DorsAttnA-DefaultB,2.321876,False
DorsAttnA-DefaultC,2.197883,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,8.040115,False
DorsAttnA-LimbicA,0.853325,False
DorsAttnA-LimbicB,3.320983,False
DorsAttnA-SalVentAttnA,4.964703,False
DorsAttnA-SalVentAttnB,0.174978,False
DorsAttnA-SomMotA,3.511076,False
DorsAttnA-SomMotB,0.247424,False
DorsAttnA-TempPar,0.069236,False
DorsAttnA-VisCent,8.198691,False
DorsAttnA-VisPeri,3.278117,False
DorsAttnB-ContA,4.085877,False
DorsAttnB-ContB,4.265344,False
DorsAttnB-ContC,0.105039,False
DorsAttnB-DefaultA,1.006067,False
DorsAttnB-DefaultB,1.014647,False
DorsAttnB-DefaultC,4.687558,False
DorsAttnB-DorsAttnA,11.574614,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,9.112869,False
DorsAttnB-LimbicB,5.703045,False
DorsAttnB-SalVentAttnA,6.865437,False
DorsAttnB-SalVentAttnB,9.336749,False
DorsAttnB-SomMotA,15.238155,False
DorsAttnB-SomMotB,7.543146,False
DorsAttnB-TempPar,7.887867,False
DorsAttnB-VisCent,16.050671,False
DorsAttnB-VisPeri,6.182943,False
LimbicA-ContA,17.351807,False
LimbicA-ContB,7.966862,False
LimbicA-ContC,1.873422,False
LimbicA-DefaultA,1.387491,False
LimbicA-DefaultB,5.045951,False
LimbicA-DefaultC,3.925853,False
LimbicA-DorsAttnA,2.130849,False
LimbicA-DorsAttnB,0.287649,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,10.539385,False
LimbicA-SalVentAttnA,0.688398,False
LimbicA-SalVentAttnB,4.66197,False
LimbicA-SomMotA,3.178587,False
LimbicA-SomMotB,7.811792,False
LimbicA-TempPar,2.657543,False
LimbicA-VisCent,5.177379,False
LimbicA-VisPeri,2.194299,False
LimbicB-ContA,10.438855,False
LimbicB-ContB,7.316672,False
LimbicB-ContC,5.564372,False
LimbicB-DefaultA,10.105802,False
LimbicB-DefaultB,5.854799,False
LimbicB-DefaultC,2.771614,False
LimbicB-DorsAttnA,0.283094,False
LimbicB-DorsAttnB,2.753691,False
LimbicB-LimbicA,18.217485,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.161748,False
LimbicB-SalVentAttnB,18.338826,False
LimbicB-SomMotA,9.365385,False
LimbicB-SomMotB,3.938029,False
LimbicB-TempPar,2.324983,False
LimbicB-VisCent,2.569095,False
LimbicB-VisPeri,3.742503,False
SalVentAttnA-ContA,0.336249,False
SalVentAttnA-ContB,0.16763,False
SalVentAttnA-ContC,0.902987,False
SalVentAttnA-DefaultA,0.988947,False
SalVentAttnA-DefaultB,0.912517,False
SalVentAttnA-DefaultC,0.005756,False
SalVentAttnA-DorsAttnA,0.044879,False
SalVentAttnA-DorsAttnB,0.197025,False
SalVentAttnA-LimbicA,0.15733,False
SalVentAttnA-LimbicB,1.914655,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.879361,False
SalVentAttnA-SomMotA,1.100848,False
SalVentAttnA-SomMotB,5.800988,False
SalVentAttnA-TempPar,0.533212,False
SalVentAttnA-VisCent,0.011837,False
SalVentAttnA-VisPeri,1.046876,False
SalVentAttnB-ContA,9.18438,False
SalVentAttnB-ContB,3.818199,False
SalVentAttnB-ContC,1.731981,False
SalVentAttnB-DefaultA,1.334823,False
SalVentAttnB-DefaultB,2.602529,False
SalVentAttnB-DefaultC,4.175187,False
SalVentAttnB-DorsAttnA,4.406562,False
SalVentAttnB-DorsAttnB,2.71731,False
SalVentAttnB-LimbicA,15.996362,False
SalVentAttnB-LimbicB,42.407665,False
SalVentAttnB-SalVentAttnA,1.742398,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,9.390858,False
SalVentAttnB-SomMotB,7.038923,False
SalVentAttnB-TempPar,2.084695,False
SalVentAttnB-VisCent,2.582314,False
SalVentAttnB-VisPeri,8.178601,False
SomMotA-ContA,8.071301,False
SomMotA-ContB,4.581221,False
SomMotA-ContC,3.9033,False
SomMotA-DefaultA,9.883808,False
SomMotA-DefaultB,9.598743,False
SomMotA-DefaultC,12.206209,False
SomMotA-DorsAttnA,5.096815,False
SomMotA-DorsAttnB,3.525739,False
SomMotA-LimbicA,8.135044,False
SomMotA-LimbicB,25.086866,False
SomMotA-SalVentAttnA,1.073582,False
SomMotA-SalVentAttnB,7.537217,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,16.001822,False
SomMotA-TempPar,5.552678,False
SomMotA-VisCent,2.423392,False
SomMotA-VisPeri,17.880926,False
SomMotB-ContA,3.660064,False
SomMotB-ContB,7.417916,False
SomMotB-ContC,5.003999,False
SomMotB-DefaultA,7.825833,False
SomMotB-DefaultB,8.230068,False
SomMotB-DefaultC,14.478949,False
SomMotB-DorsAttnA,1.544864,False
SomMotB-DorsAttnB,3.766946,False
SomMotB-LimbicA,9.302572,False
SomMotB-LimbicB,12.432005,False
SomMotB-SalVentAttnA,0.080815,False
SomMotB-SalVentAttnB,9.818898,False
SomMotB-SomMotA,14.721394,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,7.378175,False
SomMotB-VisCent,0.944536,False
SomMotB-VisPeri,7.006471,False
TempPar-ContA,1.199905,False
TempPar-ContB,1.294792,False
TempPar-ContC,0.268139,False
TempPar-DefaultA,0.442613,False
TempPar-DefaultB,0.309524,False
TempPar-DefaultC,1.313037,False
TempPar-DorsAttnA,1.572266,False
TempPar-DorsAttnB,1.424597,False
TempPar-LimbicA,1.724356,False
TempPar-LimbicB,1.709196,False
TempPar-SalVentAttnA,1.623945,False
TempPar-SalVentAttnB,1.456933,False
TempPar-SomMotA,5.39256,False
TempPar-SomMotB,0.08072,False
TempPar-TempPar,0.0,True
TempPar-VisCent,2.825833,False
TempPar-VisPeri,3.710285,False
VisCent-ContA,0.0804,False
VisCent-ContB,0.801904,False
VisCent-ContC,1.340883,False
VisCent-DefaultA,1.080563,False
VisCent-DefaultB,0.03452,False
VisCent-DefaultC,0.197637,False
VisCent-DorsAttnA,0.132246,False
VisCent-DorsAttnB,1.439563,False
VisCent-LimbicA,0.004278,False
VisCent-LimbicB,0.253932,False
VisCent-SalVentAttnA,0.385315,False
VisCent-SalVentAttnB,0.184207,False
VisCent-SomMotA,0.885945,False
VisCent-SomMotB,2.23479,False
VisCent-TempPar,0.094575,False
