network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,15.271227,False
ContA-ContC,14.323497,False
ContA-DefaultA,21.24621,False
ContA-DefaultB,9.63833,False
ContA-DefaultC,0.125391,False
ContA-DorsAttnA,7.423348,False
ContA-DorsAttnB,0.666497,False
ContA-LimbicA,31.601996,False
ContA-LimbicB,19.447054,False
ContA-SalVentAttnA,1.089439,False
ContA-SalVentAttnB,6.369131,False
ContA-SomMotA,2.373749,False
ContA-SomMotB,1.146999,False
ContA-TempPar,4.157498,False
ContA-VisCent,1.249061,False
ContA-VisPeri,2.041336,False
ContB-ContA,4.966438,False
ContB-ContB,0.0,True
ContB-ContC,6.570897,False
ContB-DefaultA,7.429705,False
ContB-DefaultB,2.911515,False
ContB-DefaultC,0.013369,False
ContB-DorsAttnA,3.496183,False
ContB-DorsAttnB,0.132475,False
ContB-LimbicA,4.985443,False
ContB-LimbicB,8.140511,False
ContB-SalVentAttnA,3.060495,False
ContB-SalVentAttnB,0.191743,False
ContB-SomMotA,2.29529,False
ContB-SomMotB,2.050681,False
ContB-TempPar,0.768825,False
ContB-VisCent,1.638536,False
ContB-VisPeri,1.556388,False
ContC-ContA,0.122905,False
ContC-ContB,1.03677,False
ContC-ContC,0.0,True
ContC-DefaultA,5.777018,False
ContC-DefaultB,1.981107,False
ContC-DefaultC,1.254794,False
ContC-DorsAttnA,0.112085,False
ContC-DorsAttnB,0.372765,False
ContC-LimbicA,3.90012,False
ContC-LimbicB,27.704493,False
ContC-SalVentAttnA,0.859566,False
ContC-SalVentAttnB,3.001107,False
ContC-SomMotA,2.340419,False
ContC-SomMotB,0.694144,False
ContC-TempPar,4.068489,False
ContC-VisCent,4.757522,False
ContC-VisPeri,3.124643,False
DefaultA-ContA,3.535325,False
DefaultA-ContB,3.038248,False
DefaultA-ContC,30.137441,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,10.552654,False
DefaultA-DefaultC,1.440711,False
DefaultA-DorsAttnA,0.459736,False
DefaultA-DorsAttnB,2.913449,False
DefaultA-LimbicA,18.877335,False
DefaultA-LimbicB,29.401783,False
DefaultA-SalVentAttnA,0.321317,False
DefaultA-SalVentAttnB,5.894777,False
DefaultA-SomMotA,5.056891,False
DefaultA-SomMotB,0.416932,False
DefaultA-TempPar,6.348053,False
DefaultA-VisCent,6.916933,False
DefaultA-VisPeri,6.87222,False
DefaultB-ContA,5.190375,False
DefaultB-ContB,11.817358,False
DefaultB-ContC,10.216518,False
DefaultB-DefaultA,15.3276,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.191081,False
DefaultB-DorsAttnA,6.755963,False
DefaultB-DorsAttnB,3.216554,False
DefaultB-LimbicA,11.672453,False
DefaultB-LimbicB,7.644696,False
DefaultB-SalVentAttnA,3.328558,False
DefaultB-SalVentAttnB,0.724245,False
DefaultB-SomMotA,1.456516,False
DefaultB-SomMotB,0.267187,False
DefaultB-TempPar,2.517916,False
DefaultB-VisCent,13.180529,False
DefaultB-VisPeri,6.470161,False
DefaultC-ContA,1.225095,False
DefaultC-ContB,3.27462,False
DefaultC-ContC,0.179899,False
DefaultC-DefaultA,1.710451,False
DefaultC-DefaultB,0.739982,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.552009,False
DefaultC-DorsAttnB,3.219753,False
DefaultC-LimbicA,1.083232,False
DefaultC-LimbicB,0.563188,False
DefaultC-SalVentAttnA,2.395424,False
DefaultC-SalVentAttnB,0.071977,False
DefaultC-SomMotA,0.733674,False
DefaultC-SomMotB,1.591256,False
DefaultC-TempPar,3.693623,False
DefaultC-VisCent,4.130839,False
DefaultC-VisPeri,3.07156,False
DorsAttnA-ContA,3.972406,False
DorsAttnA-ContB,2.069539,False
DorsAttnA-ContC,1.72401,False
DorsAttnA-DefaultA,0.083129,False
DorsAttnA-DefaultB,2.596085,False
DorsAttnA-DefaultC,5.380709,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,8.898544,False
DorsAttnA-LimbicA,0.679235,False
DorsAttnA-LimbicB,2.943227,False
DorsAttnA-SalVentAttnA,18.311171,False
DorsAttnA-SalVentAttnB,0.067709,False
DorsAttnA-SomMotA,3.96063,False
DorsAttnA-SomMotB,0.020842,False
DorsAttnA-TempPar,1.438205,False
DorsAttnA-VisCent,0.599504,False
DorsAttnA-VisPeri,0.11644,False
DorsAttnB-ContA,1.164034,False
DorsAttnB-ContB,0.479349,False
DorsAttnB-ContC,10.746856,False
DorsAttnB-DefaultA,3.358091,False
DorsAttnB-DefaultB,3.894363,False
DorsAttnB-DefaultC,0.270518,False
DorsAttnB-DorsAttnA,4.224005,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,7.736798,False
DorsAttnB-LimbicB,4.588076,False
DorsAttnB-SalVentAttnA,7.271727,False
DorsAttnB-SalVentAttnB,3.142933,False
DorsAttnB-SomMotA,0.823629,False
DorsAttnB-SomMotB,1.681378,False
DorsAttnB-TempPar,1.673016,False
DorsAttnB-VisCent,2.236665,False
DorsAttnB-VisPeri,0.431092,False
LimbicA-ContA,9.144962,False
