network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,15.172185,False
ContA-ContC,2.648654,False
ContA-DefaultA,9.525189,False
ContA-DefaultB,10.599959,False
ContA-DefaultC,7.259252,False
ContA-DorsAttnA,5.679405,False
ContA-DorsAttnB,7.819942,False
ContA-LimbicA,10.791199,False
ContA-LimbicB,7.725715,False
ContA-SalVentAttnA,0.04833,False
ContA-SalVentAttnB,4.790843,False
ContA-SomMotA,1.242029,False
ContA-SomMotB,2.092053,False
ContA-TempPar,6.440563,False
ContA-VisCent,0.724414,False
ContA-VisPeri,0.772406,False
ContB-ContA,3.484818,False
ContB-ContB,0.0,True
ContB-ContC,3.865045,False
ContB-DefaultA,0.695517,False
ContB-DefaultB,2.539961,False
ContB-DefaultC,1.750107,False
ContB-DorsAttnA,3.803028,False
ContB-DorsAttnB,5.969112,False
ContB-LimbicA,0.718221,False
ContB-LimbicB,2.853091,False
ContB-SalVentAttnA,1.111404,False
ContB-SalVentAttnB,5.098848,False
ContB-SomMotA,4.428905,False
ContB-SomMotB,4.467858,False
ContB-TempPar,0.671801,False
ContB-VisCent,0.205012,False
ContB-VisPeri,2.731127,False
ContC-ContA,4.806577,False
ContC-ContB,9.236111,False
ContC-ContC,0.0,True
ContC-DefaultA,18.33847,False
ContC-DefaultB,21.687217,False
ContC-DefaultC,3.067999,False
ContC-DorsAttnA,1.647226,False
ContC-DorsAttnB,1.014288,False
ContC-LimbicA,4.474415,False
ContC-LimbicB,15.416174,False
ContC-SalVentAttnA,0.256164,False
ContC-SalVentAttnB,2.893177,False
ContC-SomMotA,0.357965,False
ContC-SomMotB,5.3767,False
ContC-TempPar,1.324697,False
ContC-VisCent,1.443284,False
ContC-VisPeri,0.426231,False
DefaultA-ContA,3.47852,False
DefaultA-ContB,4.945868,False
DefaultA-ContC,29.863634,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,26.232162,False
DefaultA-DefaultC,5.294465,False
DefaultA-DorsAttnA,18.027278,False
DefaultA-DorsAttnB,1.561437,False
DefaultA-LimbicA,3.63409,False
DefaultA-LimbicB,12.057284,False
DefaultA-SalVentAttnA,1.931541,False
DefaultA-SalVentAttnB,14.729532,False
DefaultA-SomMotA,0.549154,False
DefaultA-SomMotB,6.085002,False
DefaultA-TempPar,3.572833,False
DefaultA-VisCent,1.821511,False
DefaultA-VisPeri,0.617441,False
DefaultB-ContA,10.576186,False
DefaultB-ContB,10.359383,False
DefaultB-ContC,27.093848,False
DefaultB-DefaultA,19.548706,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,10.302671,False
DefaultB-DorsAttnA,12.761133,False
DefaultB-DorsAttnB,1.377853,False
DefaultB-LimbicA,2.782071,False
DefaultB-LimbicB,12.524977,False
DefaultB-SalVentAttnA,0.818322,False
DefaultB-SalVentAttnB,7.631631,False
DefaultB-SomMotA,0.9224,False
DefaultB-SomMotB,14.482068,False
DefaultB-TempPar,2.338973,False
DefaultB-VisCent,3.125011,False
DefaultB-VisPeri,0.420887,False
DefaultC-ContA,10.453601,False
DefaultC-ContB,11.195079,False
DefaultC-ContC,8.127873,False
DefaultC-DefaultA,8.382811,False
DefaultC-DefaultB,24.706416,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.257794,False
DefaultC-DorsAttnB,1.059908,False
DefaultC-LimbicA,1.585142,False
DefaultC-LimbicB,4.570411,False
DefaultC-SalVentAttnA,1.14405,False
DefaultC-SalVentAttnB,0.473776,False
DefaultC-SomMotA,7.661019,False
DefaultC-SomMotB,9.593572,False
DefaultC-TempPar,4.567253,False
DefaultC-VisCent,1.657415,False
DefaultC-VisPeri,3.352749,False
DorsAttnA-ContA,2.495375,False
DorsAttnA-ContB,0.387335,False
DorsAttnA-ContC,2.962732,False
DorsAttnA-DefaultA,9.724301,False
DorsAttnA-DefaultB,6.764958,False
DorsAttnA-DefaultC,1.197929,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,6.355443,False
DorsAttnA-LimbicA,1.933365,False
DorsAttnA-LimbicB,3.020431,False
DorsAttnA-SalVentAttnA,1.666494,False
DorsAttnA-SalVentAttnB,0.105018,False
DorsAttnA-SomMotA,2.950738,False
DorsAttnA-SomMotB,4.462527,False
DorsAttnA-TempPar,2.577868,False
DorsAttnA-VisCent,12.859996,False
DorsAttnA-VisPeri,6.14819,False
DorsAttnB-ContA,5.313489,False
DorsAttnB-ContB,2.228426,False
DorsAttnB-ContC,2.26178,False
DorsAttnB-DefaultA,4.294852,False
DorsAttnB-DefaultB,6.88179,False
DorsAttnB-DefaultC,5.93434,False
DorsAttnB-DorsAttnA,9.520716,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,4.263964,False
DorsAttnB-LimbicB,3.179961,False
DorsAttnB-SalVentAttnA,2.31534,False
DorsAttnB-SalVentAttnB,0.336102,False
DorsAttnB-SomMotA,0.740027,False
DorsAttnB-SomMotB,1.363716,False
DorsAttnB-TempPar,5.717312,False
DorsAttnB-VisCent,0.126332,False
DorsAttnB-VisPeri,0.922071,False
LimbicA-ContA,6.580933,False
LimbicA-ContB,0.744146,False
LimbicA-ContC,1.403608,False
LimbicA-DefaultA,1.331497,False
LimbicA-DefaultB,1.332029,False
LimbicA-DefaultC,0.391549,False
LimbicA-DorsAttnA,2.524213,False
LimbicA-DorsAttnB,3.097798,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,3.653796,False
LimbicA-SalVentAttnA,0.249424,False
LimbicA-SalVentAttnB,4.752065,False
LimbicA-SomMotA,0.942944,False
LimbicA-SomMotB,0.876103,False
LimbicA-TempPar,2.974046,False
LimbicA-VisCent,0.623731,False
LimbicA-VisPeri,0.146105,False
LimbicB-ContA,0.371191,False
LimbicB-ContB,0.44426,False
LimbicB-ContC,0.320735,False
LimbicB-DefaultA,0.721004,False
LimbicB-DefaultB,0.901789,False
LimbicB-DefaultC,2.661273,False
LimbicB-DorsAttnA,1.648562,False
LimbicB-DorsAttnB,4.08114,False
LimbicB-LimbicA,2.58452,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,1.146917,False
LimbicB-SalVentAttnB,19.836964,False
LimbicB-SomMotA,0.200733,False
LimbicB-SomMotB,2.792663,False
LimbicB-TempPar,2.349317,False
LimbicB-VisCent,3.082603,False
LimbicB-VisPeri,0.359585,False
SalVentAttnA-ContA,5.021347,False
SalVentAttnA-ContB,1.154589,False
SalVentAttnA-ContC,1.063704,False
SalVentAttnA-DefaultA,0.488877,False
SalVentAttnA-DefaultB,1.040541,False
SalVentAttnA-DefaultC,0.765959,False
SalVentAttnA-DorsAttnA,1.975676,False
SalVentAttnA-DorsAttnB,0.966308,False
SalVentAttnA-LimbicA,0.65945,False
SalVentAttnA-LimbicB,3.094712,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,5.019458,False
SalVentAttnA-SomMotA,0.157931,False
SalVentAttnA-SomMotB,1.182656,False
SalVentAttnA-TempPar,3.522087,False
SalVentAttnA-VisCent,0.489151,False
SalVentAttnA-VisPeri,1.460067,False
SalVentAttnB-ContA,3.0898,False
SalVentAttnB-ContB,1.978113,False
SalVentAttnB-ContC,0.473749,False
SalVentAttnB-DefaultA,1.048145,False
SalVentAttnB-DefaultB,0.336433,False
SalVentAttnB-DefaultC,0.435221,False
SalVentAttnB-DorsAttnA,0.582592,False
SalVentAttnB-DorsAttnB,2.760478,False
SalVentAttnB-LimbicA,1.741737,False
SalVentAttnB-LimbicB,31.22335,False
SalVentAttnB-SalVentAttnA,1.680024,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,1.109803,False
SalVentAttnB-SomMotB,1.028687,False
SalVentAttnB-TempPar,1.592731,False
SalVentAttnB-VisCent,0.193365,False
SalVentAttnB-VisPeri,2.888602,False
SomMotA-ContA,9.597818,False
SomMotA-ContB,20.524623,False
SomMotA-ContC,7.569299,False
SomMotA-DefaultA,5.067679,False
SomMotA-DefaultB,13.735459,False
SomMotA-DefaultC,3.906563,False
SomMotA-DorsAttnA,1.255544,False
SomMotA-DorsAttnB,4.69598,False
SomMotA-LimbicA,1.862505,False
SomMotA-LimbicB,4.621189,False
SomMotA-SalVentAttnA,0.179876,False
SomMotA-SalVentAttnB,4.894432,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,4.373569,False
SomMotA-TempPar,10.528296,False
SomMotA-VisCent,2.713273,False
SomMotA-VisPeri,11.63167,False
SomMotB-ContA,6.699846,False
SomMotB-ContB,4.19817,False
SomMotB-ContC,6.546293,False
SomMotB-DefaultA,7.656253,False
SomMotB-DefaultB,11.820433,False
SomMotB-DefaultC,1.937354,False
SomMotB-DorsAttnA,10.48097,False
SomMotB-DorsAttnB,0.052847,False
SomMotB-LimbicA,1.318889,False
SomMotB-LimbicB,5.051358,False
SomMotB-SalVentAttnA,1.908445,False
SomMotB-SalVentAttnB,0.637942,False
SomMotB-SomMotA,4.943107,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,2.118185,False
SomMotB-VisCent,11.196805,False
SomMotB-VisPeri,4.03204,False
TempPar-ContA,7.587465,False
TempPar-ContB,9.641636,False
TempPar-ContC,8.824984,False
TempPar-DefaultA,4.578729,False
TempPar-DefaultB,2.910766,False
TempPar-DefaultC,2.861451,False
TempPar-DorsAttnA,13.390512,False
TempPar-DorsAttnB,1.730635,False
TempPar-LimbicA,1.290961,False
TempPar-LimbicB,10.745396,False
TempPar-SalVentAttnA,0.908897,False
TempPar-SalVentAttnB,5.864263,False
