network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.321055,False
ContA-ContC,3.38649,False
ContA-DefaultA,0.737675,False
ContA-DefaultB,5.858419,False
ContA-DefaultC,2.133021,False
ContA-DorsAttnA,0.015934,False
ContA-DorsAttnB,6.813557,False
ContA-LimbicA,30.432123,False
ContA-LimbicB,7.045501,False
ContA-SalVentAttnA,8.942943,False
ContA-SalVentAttnB,9.072584,False
ContA-SomMotA,14.773537,False
ContA-SomMotB,1.089791,False
ContA-TempPar,1.141804,False
ContA-VisCent,8.085415,False
ContA-VisPeri,2.046274,False
ContB-ContA,3.745635,False
ContB-ContB,0.0,True
ContB-ContC,0.993206,False
ContB-DefaultA,1.278051,False
ContB-DefaultB,1.282913,False
ContB-DefaultC,2.205533,False
ContB-DorsAttnA,0.023148,False
ContB-DorsAttnB,9.439445,False
ContB-LimbicA,7.397731,False
ContB-LimbicB,1.121252,False
ContB-SalVentAttnA,3.070669,False
ContB-SalVentAttnB,0.345388,False
ContB-SomMotA,3.031558,False
ContB-SomMotB,6.818305,False
ContB-TempPar,0.917287,False
ContB-VisCent,3.685548,False
ContB-VisPeri,4.64238,False
ContC-ContA,1.190862,False
ContC-ContB,0.878801,False
ContC-ContC,0.0,True
ContC-DefaultA,19.608156,False
ContC-DefaultB,6.405794,False
ContC-DefaultC,0.069704,False
ContC-DorsAttnA,1.451107,False
ContC-DorsAttnB,0.392599,False
ContC-LimbicA,2.048643,False
ContC-LimbicB,5.936285,False
ContC-SalVentAttnA,5.023816,False
ContC-SalVentAttnB,3.972434,False
ContC-SomMotA,0.407894,False
ContC-SomMotB,0.043764,False
ContC-TempPar,0.156231,False
ContC-VisCent,3.783732,False
ContC-VisPeri,1.103773,False
DefaultA-ContA,1.996785,False
DefaultA-ContB,0.389601,False
DefaultA-ContC,17.464041,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.302805,False
DefaultA-DefaultC,0.435546,False
DefaultA-DorsAttnA,1.478519,False
DefaultA-DorsAttnB,0.282386,False
DefaultA-LimbicA,1.653714,False
DefaultA-LimbicB,9.486093,False
DefaultA-SalVentAttnA,8.535354,False
DefaultA-SalVentAttnB,9.503867,False
DefaultA-SomMotA,1.441417,False
DefaultA-SomMotB,0.519025,False
DefaultA-TempPar,0.156292,False
DefaultA-VisCent,6.304867,False
DefaultA-VisPeri,2.190057,False
DefaultB-ContA,0.598107,False
DefaultB-ContB,1.46892,False
DefaultB-ContC,12.3217,False
DefaultB-DefaultA,10.921297,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.002498,False
DefaultB-DorsAttnA,3.897391,False
DefaultB-DorsAttnB,0.40702,False
DefaultB-LimbicA,0.043912,False
DefaultB-LimbicB,1.66126,False
DefaultB-SalVentAttnA,1.359795,False
DefaultB-SalVentAttnB,4.821547,False
DefaultB-SomMotA,2.733429,False
DefaultB-SomMotB,3.784277,False
DefaultB-TempPar,0.146526,False
DefaultB-VisCent,0.699571,False
DefaultB-VisPeri,0.455649,False
DefaultC-ContA,1.682251,False
DefaultC-ContB,11.375617,False
DefaultC-ContC,6.074867,False
DefaultC-DefaultA,5.118545,False
DefaultC-DefaultB,37.241082,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.66804,False
DefaultC-DorsAttnB,0.715539,False
DefaultC-LimbicA,1.122451,False
DefaultC-LimbicB,4.686605,False
DefaultC-SalVentAttnA,3.317353,False
DefaultC-SalVentAttnB,4.350167,False
DefaultC-SomMotA,13.941821,False
DefaultC-SomMotB,4.288456,False
DefaultC-TempPar,0.737365,False
DefaultC-VisCent,15.933433,False
DefaultC-VisPeri,11.048754,False
DorsAttnA-ContA,1.172207,False
