network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.847408,False
ContA-ContC,6.183146,False
ContA-DefaultA,1.913024,False
ContA-DefaultB,0.84399,False
ContA-DefaultC,0.174078,False
ContA-DorsAttnA,3.325209,False
ContA-DorsAttnB,0.594355,False
ContA-LimbicA,22.787041,False
ContA-LimbicB,15.559846,False
ContA-SalVentAttnA,7.81153,False
ContA-SalVentAttnB,8.296162,False
ContA-SomMotA,5.115122,False
ContA-SomMotB,1.014786,False
ContA-TempPar,0.321645,False
ContA-VisCent,0.55619,False
ContA-VisPeri,1.745546,False
ContB-ContA,3.441037,False
ContB-ContB,0.0,True
ContB-ContC,16.652232,False
ContB-DefaultA,3.071249,False
ContB-DefaultB,2.845019,False
ContB-DefaultC,1.340652,False
ContB-DorsAttnA,1.56019,False
ContB-DorsAttnB,0.716302,False
ContB-LimbicA,6.688604,False
ContB-LimbicB,6.209037,False
ContB-SalVentAttnA,1.28658,False
ContB-SalVentAttnB,2.017209,False
ContB-SomMotA,8.457826,False
ContB-SomMotB,2.703859,False
ContB-TempPar,0.824342,False
ContB-VisCent,0.39223,False
ContB-VisPeri,2.728052,False
ContC-ContA,3.090159,False
ContC-ContB,4.078563,False
ContC-ContC,0.0,True
ContC-DefaultA,8.270401,False
ContC-DefaultB,2.729861,False
ContC-DefaultC,0.692647,False
ContC-DorsAttnA,3.771125,False
ContC-DorsAttnB,0.28234,False
ContC-LimbicA,3.743443,False
ContC-LimbicB,7.2243,False
ContC-SalVentAttnA,2.174937,False
ContC-SalVentAttnB,1.570172,False
ContC-SomMotA,2.323536,False
ContC-SomMotB,1.488741,False
ContC-TempPar,1.164722,False
ContC-VisCent,1.072741,False
ContC-VisPeri,3.017019,False
DefaultA-ContA,7.510493,False
DefaultA-ContB,5.556443,False
DefaultA-ContC,32.915919,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.021296,False
DefaultA-DefaultC,1.400415,False
DefaultA-DorsAttnA,5.020591,False
DefaultA-DorsAttnB,0.292898,False
DefaultA-LimbicA,3.21513,False
DefaultA-LimbicB,15.830033,False
DefaultA-SalVentAttnA,3.547555,False
DefaultA-SalVentAttnB,3.276862,False
DefaultA-SomMotA,5.145397,False
DefaultA-SomMotB,2.373476,False
DefaultA-TempPar,1.287945,False
DefaultA-VisCent,0.391948,False
DefaultA-VisPeri,7.319782,False
DefaultB-ContA,4.220828,False
DefaultB-ContB,1.913926,False
DefaultB-ContC,12.652206,False
DefaultB-DefaultA,5.099111,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.715238,False
DefaultB-DorsAttnA,4.117897,False
DefaultB-DorsAttnB,1.04765,False
DefaultB-LimbicA,0.394204,False
DefaultB-LimbicB,7.749223,False
DefaultB-SalVentAttnA,0.106839,False
DefaultB-SalVentAttnB,8.747029,False
DefaultB-SomMotA,4.701008,False
DefaultB-SomMotB,4.822075,False
DefaultB-TempPar,1.993715,False
DefaultB-VisCent,1.246512,False
DefaultB-VisPeri,1.987587,False
DefaultC-ContA,0.694656,False
DefaultC-ContB,0.070531,False
DefaultC-ContC,3.0314,False
DefaultC-DefaultA,3.203052,False
DefaultC-DefaultB,11.705648,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.45969,False
DefaultC-DorsAttnB,1.328335,False
DefaultC-LimbicA,7.878545,False
DefaultC-LimbicB,2.954616,False
DefaultC-SalVentAttnA,1.13228,False
DefaultC-SalVentAttnB,2.831125,False
DefaultC-SomMotA,0.313707,False
DefaultC-SomMotB,2.635515,False
DefaultC-TempPar,1.019947,False
DefaultC-VisCent,0.7178,False
DefaultC-VisPeri,0.905137,False
DorsAttnA-ContA,0.707652,False
DorsAttnA-ContB,2.345186,False
DorsAttnA-ContC,11.17982,False
DorsAttnA-DefaultA,7.949373,False
DorsAttnA-DefaultB,18.607109,False
DorsAttnA-DefaultC,6.80724,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,17.805682,False
DorsAttnA-LimbicA,1.231913,False
DorsAttnA-LimbicB,7.686772,False
DorsAttnA-SalVentAttnA,5.453519,False
DorsAttnA-SalVentAttnB,7.238317,False
DorsAttnA-SomMotA,3.374928,False
DorsAttnA-SomMotB,4.907796,False
DorsAttnA-TempPar,1.663929,False
DorsAttnA-VisCent,3.407472,False
DorsAttnA-VisPeri,1.899343,False
DorsAttnB-ContA,0.225632,False
DorsAttnB-ContB,7.025273,False
DorsAttnB-ContC,1.320789,False
DorsAttnB-DefaultA,0.870529,False
DorsAttnB-DefaultB,2.953074,False
DorsAttnB-DefaultC,0.823646,False
DorsAttnB-DorsAttnA,0.979057,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.084172,False
DorsAttnB-LimbicB,0.946426,False
DorsAttnB-SalVentAttnA,6.870127,False
DorsAttnB-SalVentAttnB,0.339724,False
DorsAttnB-SomMotA,11.748296,False
DorsAttnB-SomMotB,2.388342,False
DorsAttnB-TempPar,2.38661,False
DorsAttnB-VisCent,2.899348,False
DorsAttnB-VisPeri,7.424506,False
LimbicA-ContA,13.140709,False
LimbicA-ContB,3.420122,False
LimbicA-ContC,0.246294,False
LimbicA-DefaultA,0.73072,False
LimbicA-DefaultB,0.061874,False
LimbicA-DefaultC,0.89706,False
LimbicA-DorsAttnA,1.132716,False
LimbicA-DorsAttnB,1.626635,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,11.926944,False
LimbicA-SalVentAttnA,4.904048,False
LimbicA-SalVentAttnB,4.676142,False
LimbicA-SomMotA,6.014741,False
LimbicA-SomMotB,0.312957,False
LimbicA-TempPar,1.589714,False
LimbicA-VisCent,1.635713,False
LimbicA-VisPeri,6.05929,False
LimbicB-ContA,1.014067,False
LimbicB-ContB,2.82803,False
LimbicB-ContC,0.546857,False
LimbicB-DefaultA,1.563529,False
LimbicB-DefaultB,2.455546,False
LimbicB-DefaultC,0.751393,False
LimbicB-DorsAttnA,1.105788,False
LimbicB-DorsAttnB,0.580482,False
LimbicB-LimbicA,0.989896,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,10.332643,False
LimbicB-SalVentAttnB,2.225474,False
LimbicB-SomMotA,2.35699,False
