network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,8.431266,False
ContA-ContC,3.515548,False
ContA-DefaultA,1.607388,False
ContA-DefaultB,2.822719,False
ContA-DefaultC,0.384616,False
ContA-DorsAttnA,2.083089,False
ContA-DorsAttnB,0.649503,False
ContA-LimbicA,20.052424,False
ContA-LimbicB,4.09283,False
ContA-SalVentAttnA,1.078821,False
ContA-SalVentAttnB,2.571249,False
ContA-SomMotA,2.602165,False
ContA-SomMotB,2.212875,False
ContA-TempPar,2.371575,False
ContA-VisCent,1.909994,False
ContA-VisPeri,0.193373,False
ContB-ContA,5.893899,False
ContB-ContB,0.0,True
ContB-ContC,5.392404,False
ContB-DefaultA,0.972919,False
ContB-DefaultB,0.226442,False
ContB-DefaultC,1.058647,False
ContB-DorsAttnA,0.27324,False
ContB-DorsAttnB,1.535003,False
ContB-LimbicA,3.857315,False
ContB-LimbicB,5.240357,False
ContB-SalVentAttnA,1.069053,False
ContB-SalVentAttnB,0.978116,False
ContB-SomMotA,5.49785,False
ContB-SomMotB,0.056834,False
ContB-TempPar,5.144688,False
ContB-VisCent,3.682919,False
ContB-VisPeri,2.201923,False
ContC-ContA,0.022217,False
ContC-ContB,0.655405,False
ContC-ContC,0.0,True
ContC-DefaultA,17.818159,False
ContC-DefaultB,1.518378,False
ContC-DefaultC,0.584669,False
ContC-DorsAttnA,0.438473,False
ContC-DorsAttnB,0.766019,False
ContC-LimbicA,0.748167,False
ContC-LimbicB,3.098297,False
ContC-SalVentAttnA,0.60709,False
ContC-SalVentAttnB,3.107649,False
ContC-SomMotA,1.584361,False
ContC-SomMotB,0.595345,False
ContC-TempPar,0.305019,False
ContC-VisCent,0.400031,False
ContC-VisPeri,4.674756,False
DefaultA-ContA,0.436869,False
DefaultA-ContB,2.953618,False
DefaultA-ContC,19.227689,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,10.761701,False
DefaultA-DefaultC,0.776899,False
DefaultA-DorsAttnA,0.016423,False
DefaultA-DorsAttnB,0.560873,False
DefaultA-LimbicA,0.034565,False
DefaultA-LimbicB,3.745514,False
DefaultA-SalVentAttnA,2.84877,False
DefaultA-SalVentAttnB,2.551785,False
DefaultA-SomMotA,0.839591,False
DefaultA-SomMotB,1.307797,False
DefaultA-TempPar,0.153818,False
DefaultA-VisCent,0.220723,False
DefaultA-VisPeri,0.148832,False
DefaultB-ContA,0.238066,False
DefaultB-ContB,2.414973,False
DefaultB-ContC,1.286378,False
DefaultB-DefaultA,1.54189,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.837525,False
DefaultB-DorsAttnA,0.751945,False
DefaultB-DorsAttnB,3.946698,False
DefaultB-LimbicA,0.127494,False
DefaultB-LimbicB,1.795075,False
DefaultB-SalVentAttnA,0.008939,False
DefaultB-SalVentAttnB,1.009191,False
DefaultB-SomMotA,1.140929,False
DefaultB-SomMotB,1.036688,False
DefaultB-TempPar,2.172274,False
DefaultB-VisCent,0.806844,False
DefaultB-VisPeri,0.276205,False
DefaultC-ContA,0.420145,False
DefaultC-ContB,1.475754,False
DefaultC-ContC,0.2133,False
DefaultC-DefaultA,0.51956,False
DefaultC-DefaultB,2.621924,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.760046,False
DefaultC-DorsAttnB,0.04931,False
DefaultC-LimbicA,0.808201,False
DefaultC-LimbicB,0.322273,False
DefaultC-SalVentAttnA,0.140848,False
DefaultC-SalVentAttnB,0.974509,False
DefaultC-SomMotA,2.970989,False
DefaultC-SomMotB,4.109454,False
DefaultC-TempPar,15.662153,False
DefaultC-VisCent,0.406453,False
DefaultC-VisPeri,0.413594,False
DorsAttnA-ContA,0.719161,False
DorsAttnA-ContB,0.744025,False
DorsAttnA-ContC,1.764185,False
DorsAttnA-DefaultA,1.949476,False
DorsAttnA-DefaultB,2.834896,False
DorsAttnA-DefaultC,0.370941,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.149458,False
DorsAttnA-LimbicA,1.09702,False
DorsAttnA-LimbicB,4.074153,False
DorsAttnA-SalVentAttnA,1.43798,False
DorsAttnA-SalVentAttnB,2.55444,False
DorsAttnA-SomMotA,1.773351,False
DorsAttnA-SomMotB,1.051535,False
DorsAttnA-TempPar,1.729263,False
DorsAttnA-VisCent,5.487802,False
DorsAttnA-VisPeri,7.706696,False
DorsAttnB-ContA,3.858404,False
DorsAttnB-ContB,1.235132,False
DorsAttnB-ContC,1.4981,False
DorsAttnB-DefaultA,1.574491,False
DorsAttnB-DefaultB,5.101066,False
DorsAttnB-DefaultC,4.634732,False
DorsAttnB-DorsAttnA,1.651189,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,12.682734,False
DorsAttnB-LimbicB,3.173889,False
DorsAttnB-SalVentAttnA,0.359927,False
DorsAttnB-SalVentAttnB,6.454273,False
DorsAttnB-SomMotA,0.940561,False
DorsAttnB-SomMotB,5.622273,False
DorsAttnB-TempPar,0.187325,False
DorsAttnB-VisCent,0.626193,False
DorsAttnB-VisPeri,4.138902,False
LimbicA-ContA,11.065274,False
LimbicA-ContB,9.08825,False
LimbicA-ContC,3.569464,False
LimbicA-DefaultA,1.362625,False
LimbicA-DefaultB,3.934568,False
LimbicA-DefaultC,2.721405,False
LimbicA-DorsAttnA,1.432455,False
LimbicA-DorsAttnB,3.544923,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,3.362577,False
LimbicA-SalVentAttnA,3.204085,False
LimbicA-SalVentAttnB,5.712885,False
LimbicA-SomMotA,15.53098,False
LimbicA-SomMotB,15.074019,False
LimbicA-TempPar,3.291417,False
LimbicA-VisCent,0.821415,False
LimbicA-VisPeri,2.222211,False
LimbicB-ContA,1.184818,False
LimbicB-ContB,2.450076,False
LimbicB-ContC,5.286016,False
LimbicB-DefaultA,0.820011,False
LimbicB-DefaultB,9.566077,False
LimbicB-DefaultC,4.72301,False
LimbicB-DorsAttnA,4.002685,False
LimbicB-DorsAttnB,5.034228,False
LimbicB-LimbicA,3.936354,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,3.708442,False
LimbicB-SalVentAttnB,8.372244,False
LimbicB-SomMotA,3.221031,False
LimbicB-SomMotB,0.952279,False
LimbicB-TempPar,4.55264,False
LimbicB-VisCent,1.29014,False
LimbicB-VisPeri,1.560578,False
SalVentAttnA-ContA,0.967714,False
SalVentAttnA-ContB,2.628509,False
SalVentAttnA-ContC,1.288475,False
SalVentAttnA-DefaultA,0.410652,False
SalVentAttnA-DefaultB,1.355978,False
SalVentAttnA-DefaultC,1.575538,False
SalVentAttnA-DorsAttnA,0.000281,False
SalVentAttnA-DorsAttnB,0.79207,False
SalVentAttnA-LimbicA,0.505537,False
SalVentAttnA-LimbicB,5.547949,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,4.196538,False
SalVentAttnA-SomMotA,1.288295,False
SalVentAttnA-SomMotB,1.054845,False
SalVentAttnA-TempPar,3.432138,False
SalVentAttnA-VisCent,0.068985,False
SalVentAttnA-VisPeri,1.65594,False
SalVentAttnB-ContA,2.191967,False
SalVentAttnB-ContB,3.679598,False
SalVentAttnB-ContC,8.163226,False
SalVentAttnB-DefaultA,5.103834,False
SalVentAttnB-DefaultB,9.457884,False
SalVentAttnB-DefaultC,7.398805,False
SalVentAttnB-DorsAttnA,1.634661,False
SalVentAttnB-DorsAttnB,4.043707,False
SalVentAttnB-LimbicA,7.125449,False
SalVentAttnB-LimbicB,31.030278,False
SalVentAttnB-SalVentAttnA,5.571808,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,12.030049,False
SalVentAttnB-SomMotB,10.008258,False
SalVentAttnB-TempPar,9.481031,False
SalVentAttnB-VisCent,0.400499,False
SalVentAttnB-VisPeri,4.968355,False
SomMotA-ContA,13.050461,False
SomMotA-ContB,16.007195,False
SomMotA-ContC,1.076379,False
SomMotA-DefaultA,1.266092,False
SomMotA-DefaultB,1.068936,False
SomMotA-DefaultC,3.24178,False
SomMotA-DorsAttnA,6.172569,False
SomMotA-DorsAttnB,2.256741,False
SomMotA-LimbicA,6.607083,False
SomMotA-LimbicB,2.372224,False
SomMotA-SalVentAttnA,0.308543,False
SomMotA-SalVentAttnB,5.99262,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,8.904672,False
SomMotA-TempPar,7.856207,False
SomMotA-VisCent,2.579545,False
SomMotA-VisPeri,2.91956,False
SomMotB-ContA,5.206608,False
SomMotB-ContB,3.705685,False
SomMotB-ContC,2.394564,False
SomMotB-DefaultA,2.277375,False
SomMotB-DefaultB,2.228878,False
SomMotB-DefaultC,2.279754,False
SomMotB-DorsAttnA,0.249582,False
SomMotB-DorsAttnB,6.137748,False
SomMotB-LimbicA,3.873308,False
SomMotB-LimbicB,7.651087,False
SomMotB-SalVentAttnA,0.481122,False
SomMotB-SalVentAttnB,7.865683,False
SomMotB-SomMotA,8.954084,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,2.94837,False
SomMotB-VisCent,1.307758,False
SomMotB-VisPeri,2.225094,False
TempPar-ContA,2.806557,False
TempPar-ContB,0.589278,False
TempPar-ContC,0.062944,False
TempPar-DefaultA,1.38047,False
TempPar-DefaultB,0.214107,False
TempPar-DefaultC,10.216788,False
TempPar-DorsAttnA,1.549781,False
TempPar-DorsAttnB,0.739996,False
TempPar-LimbicA,1.09541,False
TempPar-LimbicB,0.89578,False
TempPar-SalVentAttnA,3.007752,False
TempPar-SalVentAttnB,2.238686,False
TempPar-SomMotA,0.861532,False
TempPar-SomMotB,6.832241,False
TempPar-TempPar,0.0,True
TempPar-VisCent,1.97766,False
TempPar-VisPeri,0.724184,False
VisCent-ContA,1.518193,False
VisCent-ContB,0.396644,False
VisCent-ContC,1.369273,False
VisCent-DefaultA,0.489617,False
VisCent-DefaultB,0.211216,False
VisCent-DefaultC,2.248345,False
VisCent-DorsAttnA,0.320427,False
VisCent-DorsAttnB,2.661736,False
VisCent-LimbicA,1.189798,False
VisCent-LimbicB,0.23559,False
VisCent-SalVentAttnA,1.441089,False
VisCent-SalVentAttnB,0.043231,False
VisCent-SomMotA,4.907515,False
VisCent-SomMotB,3.982066,False
VisCent-TempPar,4.155377,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,0.339152,False
VisPeri-ContA,0.760889,False
VisPeri-ContB,5.324833,False
VisPeri-ContC,5.010834,False
VisPeri-DefaultA,1.501953,False
VisPeri-DefaultB,4.551557,False
VisPeri-DefaultC,0.993781,False
VisPeri-DorsAttnA,10.403036,False
VisPeri-DorsAttnB,0.389415,False
VisPeri-LimbicA,5.857631,False
VisPeri-LimbicB,2.186747,False
VisPeri-SalVentAttnA,1.358252,False
VisPeri-SalVentAttnB,1.659861,False
VisPeri-SomMotA,7.740711,False
VisPeri-SomMotB,3.031042,False
VisPeri-TempPar,0.026752,False
VisPeri-VisCent,1.023881,False
VisPeri-VisPeri,0.0,True
