network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.294272,False
ContA-ContC,0.054308,False
ContA-DefaultA,0.282883,False
ContA-DefaultB,0.256792,False
ContA-DefaultC,1.764113,False
ContA-DorsAttnA,2.265555,False
ContA-DorsAttnB,0.10541,False
ContA-LimbicA,19.12869,False
ContA-LimbicB,6.815316,False
ContA-SalVentAttnA,1.985309,False
ContA-SalVentAttnB,0.461736,False
ContA-SomMotA,0.200297,False
ContA-SomMotB,6.94811,False
ContA-TempPar,8.266586,False
ContA-VisCent,0.737935,False
ContA-VisPeri,1.044386,False
ContB-ContA,2.23972,False
ContB-ContB,0.0,True
ContB-ContC,1.559928,False
ContB-DefaultA,1.772601,False
ContB-DefaultB,5.135373,False
ContB-DefaultC,8.072842,False
ContB-DorsAttnA,2.724075,False
ContB-DorsAttnB,0.109108,False
ContB-LimbicA,0.052659,False
ContB-LimbicB,1.575378,False
ContB-SalVentAttnA,6.48595,False
ContB-SalVentAttnB,0.182275,False
ContB-SomMotA,1.316545,False
ContB-SomMotB,2.574862,False
ContB-TempPar,11.3722,False
ContB-VisCent,1.875946,False
ContB-VisPeri,6.247301,False
ContC-ContA,4.863562,False
ContC-ContB,2.67807,False
ContC-ContC,0.0,True
ContC-DefaultA,7.559376,False
ContC-DefaultB,1.497331,False
ContC-DefaultC,1.055813,False
ContC-DorsAttnA,1.033431,False
ContC-DorsAttnB,8.073954,False
ContC-LimbicA,0.23734,False
ContC-LimbicB,6.682464,False
ContC-SalVentAttnA,0.870316,False
ContC-SalVentAttnB,5.071907,False
ContC-SomMotA,9.370736,False
ContC-SomMotB,0.638386,False
ContC-TempPar,17.241323,False
ContC-VisCent,13.94318,False
ContC-VisPeri,5.711265,False
DefaultA-ContA,2.952143,False
DefaultA-ContB,1.77568,False
DefaultA-ContC,4.606895,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.977406,False
DefaultA-DefaultC,1.060998,False
DefaultA-DorsAttnA,6.484358,False
DefaultA-DorsAttnB,8.189608,False
DefaultA-LimbicA,0.171702,False
DefaultA-LimbicB,13.310968,False
DefaultA-SalVentAttnA,0.046368,False
DefaultA-SalVentAttnB,2.869132,False
DefaultA-SomMotA,10.246117,False
DefaultA-SomMotB,1.606899,False
DefaultA-TempPar,16.800514,False
DefaultA-VisCent,8.643713,False
DefaultA-VisPeri,4.344907,False
DefaultB-ContA,0.634167,False
DefaultB-ContB,1.477874,False
DefaultB-ContC,2.004015,False
DefaultB-DefaultA,2.355624,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,1.618154,False
DefaultB-DorsAttnA,4.366505,False
DefaultB-DorsAttnB,8.927509,False
DefaultB-LimbicA,0.584747,False
DefaultB-LimbicB,8.799001,False
DefaultB-SalVentAttnA,1.656502,False
DefaultB-SalVentAttnB,1.704354,False
DefaultB-SomMotA,11.678717,False
DefaultB-SomMotB,1.408193,False
DefaultB-TempPar,14.904369,False
DefaultB-VisCent,6.148113,False
DefaultB-VisPeri,9.188676,False
DefaultC-ContA,2.949784,False
DefaultC-ContB,5.677033,False
DefaultC-ContC,0.023139,False
DefaultC-DefaultA,0.091876,False
DefaultC-DefaultB,4.744584,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,5.14149,False
DefaultC-DorsAttnB,8.504798,False
DefaultC-LimbicA,4.464557,False
DefaultC-LimbicB,3.97376,False
DefaultC-SalVentAttnA,0.748389,False
DefaultC-SalVentAttnB,2.987282,False
DefaultC-SomMotA,12.379486,False
DefaultC-SomMotB,2.030111,False
DefaultC-TempPar,12.246947,False
DefaultC-VisCent,6.885313,False
DefaultC-VisPeri,10.582803,False
DorsAttnA-ContA,4.83182,False
DorsAttnA-ContB,4.072425,False
DorsAttnA-ContC,4.075542,False
DorsAttnA-DefaultA,11.451457,False
DorsAttnA-DefaultB,13.067115,False
DorsAttnA-DefaultC,18.964328,False
