network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.452581,False
ContA-ContC,2.097618,False
ContA-DefaultA,0.011545,False
ContA-DefaultB,0.186661,False
ContA-DefaultC,4.235913,False
ContA-DorsAttnA,0.434679,False
ContA-DorsAttnB,0.780714,False
ContA-LimbicA,15.585335,False
ContA-LimbicB,0.807178,False
ContA-SalVentAttnA,1.855141,False
ContA-SalVentAttnB,0.116229,False
ContA-SomMotA,0.66463,False
ContA-SomMotB,3.003889,False
ContA-TempPar,1.56809,False
ContA-VisCent,3.229334,False
ContA-VisPeri,0.564789,False
ContB-ContA,1.514247,False
ContB-ContB,0.0,True
ContB-ContC,0.112295,False
ContB-DefaultA,0.133688,False
ContB-DefaultB,2.116907,False
ContB-DefaultC,0.54847,False
ContB-DorsAttnA,0.753176,False
ContB-DorsAttnB,0.395105,False
ContB-LimbicA,3.992838,False
ContB-LimbicB,0.434455,False
ContB-SalVentAttnA,4.281717,False
ContB-SalVentAttnB,1.30399,False
ContB-SomMotA,1.251162,False
ContB-SomMotB,2.477755,False
ContB-TempPar,6.100765,False
ContB-VisCent,0.641939,False
ContB-VisPeri,0.926285,False
ContC-ContA,6.406947,False
ContC-ContB,1.345172,False
ContC-ContC,0.0,True
ContC-DefaultA,0.098263,False
ContC-DefaultB,8.630142,False
ContC-DefaultC,0.613092,False
ContC-DorsAttnA,0.264819,False
ContC-DorsAttnB,0.536535,False
ContC-LimbicA,8.199014,False
ContC-LimbicB,1.907833,False
ContC-SalVentAttnA,0.103645,False
ContC-SalVentAttnB,0.223682,False
ContC-SomMotA,0.988105,False
ContC-SomMotB,0.529535,False
ContC-TempPar,0.323644,False
ContC-VisCent,0.123867,False
ContC-VisPeri,0.574804,False
DefaultA-ContA,8.206903,False
DefaultA-ContB,0.346747,False
DefaultA-ContC,32.546918,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,15.954632,False
DefaultA-DefaultC,0.427863,False
DefaultA-DorsAttnA,4.039041,False
DefaultA-DorsAttnB,0.854503,False
DefaultA-LimbicA,11.15495,False
DefaultA-LimbicB,7.690847,False
DefaultA-SalVentAttnA,0.462491,False
DefaultA-SalVentAttnB,0.691982,False
DefaultA-SomMotA,0.907977,False
DefaultA-SomMotB,1.875681,False
DefaultA-TempPar,0.295227,False
DefaultA-VisCent,1.721755,False
DefaultA-VisPeri,0.67105,False
DefaultB-ContA,3.311028,False
DefaultB-ContB,2.225296,False
DefaultB-ContC,2.616733,False
DefaultB-DefaultA,0.038465,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.922512,False
DefaultB-DorsAttnA,1.835833,False
DefaultB-DorsAttnB,0.327413,False
