network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,3.904142,False
ContA-ContC,0.165373,False
ContA-DefaultA,1.400655,False
ContA-DefaultB,1.051355,False
ContA-DefaultC,1.965315,False
ContA-DorsAttnA,0.18185,False
ContA-DorsAttnB,8.743288,False
ContA-LimbicA,14.765707,False
ContA-LimbicB,10.891961,False
ContA-SalVentAttnA,0.829582,False
ContA-SalVentAttnB,8.218285,False
ContA-SomMotA,0.759522,False
ContA-SomMotB,1.102406,False
ContA-TempPar,3.616568,False
ContA-VisCent,2.592517,False
ContA-VisPeri,4.550483,False
ContB-ContA,6.223154,False
ContB-ContB,0.0,True
ContB-ContC,0.576821,False
ContB-DefaultA,1.677552,False
ContB-DefaultB,4.200229,False
ContB-DefaultC,0.405869,False
ContB-DorsAttnA,1.676453,False
ContB-DorsAttnB,0.703965,False
ContB-LimbicA,5.052694,False
ContB-LimbicB,4.215622,False
ContB-SalVentAttnA,0.128337,False
ContB-SalVentAttnB,0.894042,False
ContB-SomMotA,2.008935,False
ContB-SomMotB,5.329458,False
ContB-TempPar,5.987259,False
ContB-VisCent,0.092492,False
ContB-VisPeri,5.218163,False
ContC-ContA,0.463954,False
ContC-ContB,2.891503,False
ContC-ContC,0.0,True
ContC-DefaultA,3.328798,False
ContC-DefaultB,1.942732,False
ContC-DefaultC,0.526388,False
ContC-DorsAttnA,0.011196,False
ContC-DorsAttnB,0.00881,False
ContC-LimbicA,0.345593,False
ContC-LimbicB,0.694368,False
ContC-SalVentAttnA,0.167096,False
ContC-SalVentAttnB,0.325908,False
ContC-SomMotA,2.499254,False
ContC-SomMotB,0.014573,False
ContC-TempPar,0.135011,False
ContC-VisCent,0.016687,False
ContC-VisPeri,0.279855,False
DefaultA-ContA,3.750356,False
DefaultA-ContB,1.206596,False
DefaultA-ContC,15.501342,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,4.924087,False
DefaultA-DefaultC,1.039106,False
DefaultA-DorsAttnA,1.425291,False
DefaultA-DorsAttnB,0.13008,False
DefaultA-LimbicA,0.291427,False
DefaultA-LimbicB,0.406861,False
DefaultA-SalVentAttnA,0.596592,False
DefaultA-SalVentAttnB,1.062268,False
DefaultA-SomMotA,0.047542,False
DefaultA-SomMotB,0.59074,False
DefaultA-TempPar,0.345859,False
DefaultA-VisCent,4.111674,False
DefaultA-VisPeri,0.514742,False
DefaultB-ContA,0.328959,False
DefaultB-ContB,2.770575,False
DefaultB-ContC,4.145139,False
DefaultB-DefaultA,1.886699,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,8.155052,False
DefaultB-DorsAttnA,1.588214,False
DefaultB-DorsAttnB,0.1989,False
DefaultB-LimbicA,0.035574,False
DefaultB-LimbicB,1.816503,False
DefaultB-SalVentAttnA,0.074243,False
DefaultB-SalVentAttnB,0.504073,False
DefaultB-SomMotA,1.718928,False
DefaultB-SomMotB,8.517038,False
DefaultB-TempPar,11.652552,False
DefaultB-VisCent,0.552824,False
DefaultB-VisPeri,2.642562,False
DefaultC-ContA,1.115987,False
DefaultC-ContB,3.112959,False
DefaultC-ContC,9.445792,False
DefaultC-DefaultA,6.446882,False
DefaultC-DefaultB,8.221834,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,2.464556,False
DefaultC-DorsAttnB,0.364915,False
DefaultC-LimbicA,0.067809,False
DefaultC-LimbicB,0.420861,False
DefaultC-SalVentAttnA,1.524515,False
DefaultC-SalVentAttnB,1.039435,False
DefaultC-SomMotA,2.46591,False
DefaultC-SomMotB,11.839493,False
DefaultC-TempPar,16.142511,False
DefaultC-VisCent,0.949651,False
DefaultC-VisPeri,3.2299,False
DorsAttnA-ContA,1.831249,False
DorsAttnA-ContB,1.189205,False
DorsAttnA-ContC,0.575421,False
DorsAttnA-DefaultA,2.059809,False
DorsAttnA-DefaultB,1.956298,False
DorsAttnA-DefaultC,5.591927,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,2.469532,False
DorsAttnA-LimbicA,4.006896,False
DorsAttnA-LimbicB,1.317285,False
DorsAttnA-SalVentAttnA,0.512066,False
DorsAttnA-SalVentAttnB,0.193299,False
DorsAttnA-SomMotA,2.427157,False
DorsAttnA-SomMotB,4.232966,False
DorsAttnA-TempPar,5.513795,False
DorsAttnA-VisCent,0.192343,False
DorsAttnA-VisPeri,0.135257,False
DorsAttnB-ContA,2.697512,False
DorsAttnB-ContB,0.737835,False
DorsAttnB-ContC,1.39696,False
DorsAttnB-DefaultA,1.802094,False
DorsAttnB-DefaultB,1.81001,False
DorsAttnB-DefaultC,0.366534,False
DorsAttnB-DorsAttnA,0.388448,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,7.883001,False
DorsAttnB-LimbicB,6.364708,False
DorsAttnB-SalVentAttnA,3.775319,False
DorsAttnB-SalVentAttnB,4.545228,False
DorsAttnB-SomMotA,0.158091,False
DorsAttnB-SomMotB,0.050729,False
DorsAttnB-TempPar,0.798578,False
DorsAttnB-VisCent,0.796668,False
DorsAttnB-VisPeri,0.666581,False
LimbicA-ContA,13.308433,False
LimbicA-ContB,0.83391,False
LimbicA-ContC,0.184047,False
LimbicA-DefaultA,1.437372,False
LimbicA-DefaultB,0.15939,False
LimbicA-DefaultC,0.50339,False
LimbicA-DorsAttnA,0.498565,False
LimbicA-DorsAttnB,2.455575,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,19.573654,False
LimbicA-SalVentAttnA,5.99203,False
LimbicA-SalVentAttnB,8.162946,False
LimbicA-SomMotA,2.707245,False
LimbicA-SomMotB,0.683744,False
LimbicA-TempPar,0.90982,False
LimbicA-VisCent,0.214095,False
LimbicA-VisPeri,2.975347,False
LimbicB-ContA,1.843178,False
LimbicB-ContB,3.125147,False
LimbicB-ContC,0.980977,False
LimbicB-DefaultA,0.552727,False
LimbicB-DefaultB,0.633254,False
LimbicB-DefaultC,1.050175,False
LimbicB-DorsAttnA,0.625607,False
LimbicB-DorsAttnB,1.158894,False
LimbicB-LimbicA,1.060643,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,5.664642,False
LimbicB-SalVentAttnB,2.814859,False
LimbicB-SomMotA,4.581712,False
LimbicB-SomMotB,2.595088,False
LimbicB-TempPar,1.618393,False
LimbicB-VisCent,1.653528,False
LimbicB-VisPeri,1.115913,False
SalVentAttnA-ContA,2.616754,False
SalVentAttnA-ContB,3.443736,False
SalVentAttnA-ContC,1.067043,False
SalVentAttnA-DefaultA,1.30617,False
SalVentAttnA-DefaultB,0.038358,False
SalVentAttnA-DefaultC,3.450743,False
SalVentAttnA-DorsAttnA,1.354083,False
SalVentAttnA-DorsAttnB,3.625321,False
SalVentAttnA-LimbicA,1.729673,False
SalVentAttnA-LimbicB,6.538316,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,3.087981,False
SalVentAttnA-SomMotA,3.838765,False
SalVentAttnA-SomMotB,0.741585,False
SalVentAttnA-TempPar,5.359146,False
SalVentAttnA-VisCent,2.723548,False
SalVentAttnA-VisPeri,7.424932,False
SalVentAttnB-ContA,2.529838,False
SalVentAttnB-ContB,1.509942,False
SalVentAttnB-ContC,1.351927,False
SalVentAttnB-DefaultA,0.414918,False
SalVentAttnB-DefaultB,0.001862,False
SalVentAttnB-DefaultC,0.866829,False
SalVentAttnB-DorsAttnA,2.64872,False
SalVentAttnB-DorsAttnB,3.984656,False
SalVentAttnB-LimbicA,9.341787,False
