network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.037308,False
ContA-ContC,1.824925,False
ContA-DefaultA,6.578485,False
ContA-DefaultB,2.08937,False
ContA-DefaultC,3.396691,False
ContA-DorsAttnA,5.694934,False
ContA-DorsAttnB,0.037816,False
ContA-LimbicA,22.396661,False
ContA-LimbicB,12.376515,False
ContA-SalVentAttnA,2.127994,False
ContA-SalVentAttnB,6.873817,False
ContA-SomMotA,1.931583,False
ContA-SomMotB,2.391519,False
ContA-TempPar,0.359675,False
ContA-VisCent,4.564881,False
ContA-VisPeri,3.504602,False
ContB-ContA,7.843121,False
ContB-ContB,0.0,True
ContB-ContC,3.333443,False
ContB-DefaultA,4.102861,False
ContB-DefaultB,6.418375,False
ContB-DefaultC,2.775867,False
ContB-DorsAttnA,3.411852,False
ContB-DorsAttnB,6.123559,False
ContB-LimbicA,12.126366,False
ContB-LimbicB,2.899391,False
ContB-SalVentAttnA,1.183415,False
ContB-SalVentAttnB,2.090234,False
ContB-SomMotA,9.276196,False
ContB-SomMotB,8.769198,False
ContB-TempPar,1.797386,False
ContB-VisCent,0.829122,False
ContB-VisPeri,8.501272,False
ContC-ContA,0.181212,False
ContC-ContB,0.396385,False
ContC-ContC,0.0,True
ContC-DefaultA,7.299557,False
ContC-DefaultB,0.488774,False
ContC-DefaultC,0.497596,False
ContC-DorsAttnA,2.108448,False
ContC-DorsAttnB,3.750138,False
ContC-LimbicA,0.424327,False
ContC-LimbicB,0.528831,False
ContC-SalVentAttnA,0.718387,False
ContC-SalVentAttnB,0.037614,False
ContC-SomMotA,1.181042,False
ContC-SomMotB,1.344673,False
ContC-TempPar,2.99829,False
ContC-VisCent,0.435258,False
ContC-VisPeri,1.900142,False
DefaultA-ContA,0.563386,False
DefaultA-ContB,0.411721,False
DefaultA-ContC,10.174259,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.993512,False
DefaultA-DefaultC,1.305446,False
DefaultA-DorsAttnA,4.004173,False
DefaultA-DorsAttnB,1.108354,False
DefaultA-LimbicA,3.362426,False
DefaultA-LimbicB,9.326631,False
DefaultA-SalVentAttnA,0.408085,False
DefaultA-SalVentAttnB,2.626312,False
DefaultA-SomMotA,2.597948,False
DefaultA-SomMotB,1.580663,False
DefaultA-TempPar,0.335081,False
DefaultA-VisCent,0.679919,False
DefaultA-VisPeri,0.376412,False
DefaultB-ContA,3.300265,False
DefaultB-ContB,2.456452,False
DefaultB-ContC,0.391885,False
DefaultB-DefaultA,4.343333,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.987583,False
DefaultB-DorsAttnA,6.76732,False
DefaultB-DorsAttnB,1.622152,False
DefaultB-LimbicA,1.003725,False
DefaultB-LimbicB,2.508487,False
DefaultB-SalVentAttnA,0.998956,False
DefaultB-SalVentAttnB,0.36407,False
DefaultB-SomMotA,5.126789,False
DefaultB-SomMotB,4.225352,False
DefaultB-TempPar,11.497051,False
DefaultB-VisCent,2.961771,False
DefaultB-VisPeri,3.891104,False
DefaultC-ContA,2.867789,False
DefaultC-ContB,1.232393,False
DefaultC-ContC,1.546419,False
DefaultC-DefaultA,6.316692,False
DefaultC-DefaultB,43.042878,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.239026,False
DefaultC-DorsAttnB,0.697135,False
DefaultC-LimbicA,1.108251,False
DefaultC-LimbicB,1.648963,False
DefaultC-SalVentAttnA,1.227198,False
DefaultC-SalVentAttnB,0.534855,False
DefaultC-SomMotA,6.090811,False
DefaultC-SomMotB,7.554377,False
DefaultC-TempPar,10.63367,False
DefaultC-VisCent,1.265302,False
DefaultC-VisPeri,2.523845,False
DorsAttnA-ContA,0.358938,False
DorsAttnA-ContB,1.190784,False
DorsAttnA-ContC,0.500388,False
DorsAttnA-DefaultA,1.031971,False
DorsAttnA-DefaultB,6.271131,False
DorsAttnA-DefaultC,7.542686,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.166698,False
DorsAttnA-LimbicA,0.400404,False
DorsAttnA-LimbicB,1.044485,False
DorsAttnA-SalVentAttnA,5.123998,False
DorsAttnA-SalVentAttnB,0.134087,False
DorsAttnA-SomMotA,2.599906,False
DorsAttnA-SomMotB,1.494687,False
DorsAttnA-TempPar,10.77554,False
DorsAttnA-VisCent,0.439345,False
DorsAttnA-VisPeri,8.020037,False
DorsAttnB-ContA,0.479889,False
DorsAttnB-ContB,0.891882,False
DorsAttnB-ContC,3.922638,False
DorsAttnB-DefaultA,1.310521,False
DorsAttnB-DefaultB,1.765049,False
DorsAttnB-DefaultC,1.13811,False
DorsAttnB-DorsAttnA,3.466633,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.601437,False
DorsAttnB-LimbicB,0.808994,False
DorsAttnB-SalVentAttnA,0.146009,False
DorsAttnB-SalVentAttnB,0.729994,False
DorsAttnB-SomMotA,1.25719,False
DorsAttnB-SomMotB,0.663526,False
DorsAttnB-TempPar,3.932161,False
DorsAttnB-VisCent,1.213618,False
DorsAttnB-VisPeri,1.90303,False
LimbicA-ContA,3.662877,False
LimbicA-ContB,0.347571,False
LimbicA-ContC,0.829162,False
LimbicA-DefaultA,5.791662,False
LimbicA-DefaultB,0.702507,False
LimbicA-DefaultC,6.847721,False
LimbicA-DorsAttnA,4.09008,False
LimbicA-DorsAttnB,1.076991,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,9.535742,False
LimbicA-SalVentAttnA,5.078048,False
LimbicA-SalVentAttnB,6.839347,False
LimbicA-SomMotA,0.595544,False
LimbicA-SomMotB,1.451004,False
LimbicA-TempPar,0.736093,False
LimbicA-VisCent,6.096022,False
LimbicA-VisPeri,0.554132,False
LimbicB-ContA,1.965173,False
LimbicB-ContB,0.061741,False
LimbicB-ContC,0.615411,False
LimbicB-DefaultA,3.256241,False
LimbicB-DefaultB,1.642844,False
LimbicB-DefaultC,2.649534,False
LimbicB-DorsAttnA,0.538843,False
LimbicB-DorsAttnB,1.257404,False
LimbicB-LimbicA,1.7808,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,5.731413,False
