network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.157092,False
ContA-ContC,3.305369,False
ContA-DefaultA,0.762569,False
ContA-DefaultB,3.621782,False
ContA-DefaultC,1.552764,False
ContA-DorsAttnA,0.020132,False
ContA-DorsAttnB,8.341701,False
ContA-LimbicA,26.570404,False
ContA-LimbicB,12.077577,False
ContA-SalVentAttnA,1.153789,False
ContA-SalVentAttnB,6.966177,False
ContA-SomMotA,3.030692,False
ContA-SomMotB,1.109752,False
ContA-TempPar,1.532611,False
ContA-VisCent,2.177106,False
ContA-VisPeri,2.300135,False
ContB-ContA,2.791575,False
ContB-ContB,0.0,True
ContB-ContC,1.528032,False
ContB-DefaultA,0.86325,False
ContB-DefaultB,0.141731,False
ContB-DefaultC,0.783499,False
ContB-DorsAttnA,0.702665,False
ContB-DorsAttnB,3.612485,False
ContB-LimbicA,8.565888,False
ContB-LimbicB,1.023301,False
ContB-SalVentAttnA,0.827603,False
ContB-SalVentAttnB,0.877338,False
ContB-SomMotA,3.290283,False
ContB-SomMotB,0.637736,False
ContB-TempPar,4.332762,False
ContB-VisCent,3.665636,False
ContB-VisPeri,2.139913,False
ContC-ContA,0.438663,False
ContC-ContB,0.864088,False
ContC-ContC,0.0,True
ContC-DefaultA,7.055176,False
ContC-DefaultB,1.903415,False
ContC-DefaultC,5.169252,False
ContC-DorsAttnA,1.810685,False
ContC-DorsAttnB,0.203947,False
ContC-LimbicA,1.898128,False
ContC-LimbicB,7.225041,False
ContC-SalVentAttnA,5.355957,False
ContC-SalVentAttnB,3.361065,False
ContC-SomMotA,0.755749,False
ContC-SomMotB,1.353849,False
ContC-TempPar,3.894033,False
ContC-VisCent,1.812006,False
ContC-VisPeri,5.233633,False
DefaultA-ContA,3.708603,False
DefaultA-ContB,0.859845,False
DefaultA-ContC,8.910939,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,1.70037,False
DefaultA-DefaultC,2.0608,False
DefaultA-DorsAttnA,0.017725,False
DefaultA-DorsAttnB,0.335991,False
DefaultA-LimbicA,5.67381,False
DefaultA-LimbicB,19.787096,False
DefaultA-SalVentAttnA,1.375988,False
DefaultA-SalVentAttnB,5.722493,False
DefaultA-SomMotA,1.929737,False
DefaultA-SomMotB,0.241042,False
DefaultA-TempPar,2.806277,False
DefaultA-VisCent,1.492973,False
DefaultA-VisPeri,1.237975,False
DefaultB-ContA,2.063631,False
DefaultB-ContB,0.466562,False
DefaultB-ContC,1.040049,False
DefaultB-DefaultA,1.408703,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,4.730833,False
DefaultB-DorsAttnA,9.557791,False
DefaultB-DorsAttnB,3.434432,False
DefaultB-LimbicA,2.519962,False
DefaultB-LimbicB,5.722858,False
DefaultB-SalVentAttnA,0.93701,False
DefaultB-SalVentAttnB,5.429637,False
DefaultB-SomMotA,3.822653,False
DefaultB-SomMotB,1.233487,False
DefaultB-TempPar,1.884997,False
DefaultB-VisCent,2.215092,False
DefaultB-VisPeri,3.412011,False
DefaultC-ContA,1.905303,False
DefaultC-ContB,0.270877,False
DefaultC-ContC,0.120683,False
DefaultC-DefaultA,0.487421,False
DefaultC-DefaultB,12.753777,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,7.402392,False
DefaultC-DorsAttnB,2.726974,False
DefaultC-LimbicA,0.387136,False
DefaultC-LimbicB,0.693746,False
DefaultC-SalVentAttnA,0.9636,False
DefaultC-SalVentAttnB,1.243085,False
DefaultC-SomMotA,1.086645,False
DefaultC-SomMotB,3.455029,False
DefaultC-TempPar,1.683374,False
DefaultC-VisCent,0.629421,False
DefaultC-VisPeri,1.043394,False
DorsAttnA-ContA,0.201502,False
DorsAttnA-ContB,3.765757,False
DorsAttnA-ContC,3.307157,False
DorsAttnA-DefaultA,11.349452,False
DorsAttnA-DefaultB,6.494041,False
DorsAttnA-DefaultC,4.79206,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,10.181173,False
DorsAttnA-LimbicA,0.399159,False
DorsAttnA-LimbicB,0.313169,False
DorsAttnA-SalVentAttnA,5.026174,False
DorsAttnA-SalVentAttnB,0.186417,False
DorsAttnA-SomMotA,0.490487,False
DorsAttnA-SomMotB,0.54831,False
DorsAttnA-TempPar,7.261168,False
DorsAttnA-VisCent,2.058132,False
DorsAttnA-VisPeri,3.925361,False
DorsAttnB-ContA,3.721393,False
DorsAttnB-ContB,9.873003,False
DorsAttnB-ContC,0.763029,False
DorsAttnB-DefaultA,0.316229,False
DorsAttnB-DefaultB,1.535266,False
