network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,5.581521,False
ContA-ContC,0.056974,False
ContA-DefaultA,1.855317,False
ContA-DefaultB,1.448826,False
ContA-DefaultC,0.589747,False
ContA-DorsAttnA,4.860204,False
ContA-DorsAttnB,1.750667,False
ContA-LimbicA,34.424919,False
ContA-LimbicB,2.435569,False
ContA-SalVentAttnA,0.699679,False
ContA-SalVentAttnB,5.183805,False
ContA-SomMotA,4.976333,False
ContA-SomMotB,5.906958,False
ContA-TempPar,0.806347,False
ContA-VisCent,1.747978,False
ContA-VisPeri,8.924794,False
ContB-ContA,3.622891,False
ContB-ContB,0.0,True
ContB-ContC,2.281451,False
ContB-DefaultA,2.438639,False
ContB-DefaultB,0.359694,False
ContB-DefaultC,0.392045,False
ContB-DorsAttnA,0.575586,False
ContB-DorsAttnB,0.405254,False
ContB-LimbicA,1.180897,False
ContB-LimbicB,1.138121,False
ContB-SalVentAttnA,0.170498,False
ContB-SalVentAttnB,0.004179,False
ContB-SomMotA,3.038339,False
ContB-SomMotB,0.204964,False
ContB-TempPar,0.038126,False
ContB-VisCent,0.054166,False
ContB-VisPeri,1.736721,False
ContC-ContA,4.996066,False
ContC-ContB,1.167843,False
ContC-ContC,0.0,True
ContC-DefaultA,1.56289,False
ContC-DefaultB,5.304067,False
ContC-DefaultC,7.064671,False
ContC-DorsAttnA,1.564861,False
ContC-DorsAttnB,1.029952,False
ContC-LimbicA,1.661756,False
ContC-LimbicB,5.612653,False
ContC-SalVentAttnA,1.017691,False
ContC-SalVentAttnB,4.33141,False
ContC-SomMotA,0.786176,False
ContC-SomMotB,1.980874,False
ContC-TempPar,3.316527,False
ContC-VisCent,0.322935,False
ContC-VisPeri,0.379258,False
DefaultA-ContA,1.42906,False
DefaultA-ContB,1.626671,False
DefaultA-ContC,6.560614,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.420645,False
DefaultA-DefaultC,10.972094,False
DefaultA-DorsAttnA,1.562395,False
DefaultA-DorsAttnB,2.038301,False
DefaultA-LimbicA,2.638112,False
DefaultA-LimbicB,6.555909,False
DefaultA-SalVentAttnA,2.916041,False
DefaultA-SalVentAttnB,5.063315,False
DefaultA-SomMotA,0.602397,False
DefaultA-SomMotB,0.927348,False
DefaultA-TempPar,8.754699,False
DefaultA-VisCent,3.131484,False
DefaultA-VisPeri,5.113472,False
DefaultB-ContA,2.23328,False
DefaultB-ContB,0.624964,False
DefaultB-ContC,5.009015,False
DefaultB-DefaultA,4.533772,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.727727,False
DefaultB-DorsAttnA,5.95238,False
DefaultB-DorsAttnB,2.527298,False
DefaultB-LimbicA,3.504352,False
DefaultB-LimbicB,2.378997,False
DefaultB-SalVentAttnA,4.024542,False
DefaultB-SalVentAttnB,1.160455,False
DefaultB-SomMotA,5.506491,False
DefaultB-SomMotB,1.548571,False
DefaultB-TempPar,2.356526,False
DefaultB-VisCent,5.711319,False
DefaultB-VisPeri,8.677047,False
DefaultC-ContA,2.801292,False
DefaultC-ContB,0.703109,False
DefaultC-ContC,4.660786,False
DefaultC-DefaultA,2.754997,False
DefaultC-DefaultB,4.5572,False
DefaultC-DefaultC,0.0,True
