network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.258868,False
ContA-ContC,3.732672,False
ContA-DefaultA,6.722941,False
ContA-DefaultB,7.271844,False
ContA-DefaultC,4.235939,False
ContA-DorsAttnA,6.609875,False
ContA-DorsAttnB,2.056251,False
ContA-LimbicA,10.868593,False
ContA-LimbicB,8.267626,False
ContA-SalVentAttnA,0.614018,False
ContA-SalVentAttnB,4.284346,False
ContA-SomMotA,2.557,False
ContA-SomMotB,0.646312,False
ContA-TempPar,0.851726,False
ContA-VisCent,0.768615,False
ContA-VisPeri,5.141355,False
ContB-ContA,4.642127,False
ContB-ContB,0.0,True
ContB-ContC,3.626074,False
ContB-DefaultA,5.070196,False
ContB-DefaultB,9.014291,False
ContB-DefaultC,0.198093,False
ContB-DorsAttnA,1.027602,False
ContB-DorsAttnB,1.285002,False
ContB-LimbicA,2.060073,False
ContB-LimbicB,5.034563,False
ContB-SalVentAttnA,0.859201,False
ContB-SalVentAttnB,3.693513,False
ContB-SomMotA,3.955769,False
ContB-SomMotB,5.035606,False
ContB-TempPar,0.197424,False
ContB-VisCent,0.362018,False
ContB-VisPeri,1.565161,False
ContC-ContA,0.135498,False
ContC-ContB,1.9795,False
ContC-ContC,0.0,True
ContC-DefaultA,8.154837,False
ContC-DefaultB,2.062192,False
ContC-DefaultC,3.555929,False
ContC-DorsAttnA,0.628503,False
ContC-DorsAttnB,0.966303,False
ContC-LimbicA,2.399741,False
ContC-LimbicB,5.187211,False
ContC-SalVentAttnA,1.302783,False
ContC-SalVentAttnB,0.769107,False
ContC-SomMotA,1.559839,False
ContC-SomMotB,0.047952,False
ContC-TempPar,0.881294,False
ContC-VisCent,0.215748,False
ContC-VisPeri,4.741904,False
DefaultA-ContA,0.174333,False
DefaultA-ContB,1.940957,False
DefaultA-ContC,2.474516,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.044166,False
DefaultA-DefaultC,7.280009,False
DefaultA-DorsAttnA,0.004709,False
DefaultA-DorsAttnB,0.610715,False
DefaultA-LimbicA,0.570737,False
DefaultA-LimbicB,2.92497,False
DefaultA-SalVentAttnA,0.952123,False
DefaultA-SalVentAttnB,0.635963,False
DefaultA-SomMotA,3.804091,False
DefaultA-SomMotB,0.95012,False
DefaultA-TempPar,1.401606,False
DefaultA-VisCent,2.641356,False
DefaultA-VisPeri,4.982058,False
DefaultB-ContA,1.851075,False
DefaultB-ContB,7.806002,False
DefaultB-ContC,2.905434,False
DefaultB-DefaultA,3.683838,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,15.584069,False
DefaultB-DorsAttnA,1.389779,False
DefaultB-DorsAttnB,0.662001,False
DefaultB-LimbicA,0.296006,False
DefaultB-LimbicB,1.875616,False
DefaultB-SalVentAttnA,2.862057,False
DefaultB-SalVentAttnB,0.281951,False
DefaultB-SomMotA,7.028127,False
DefaultB-SomMotB,1.352396,False
DefaultB-TempPar,2.157597,False
DefaultB-VisCent,2.787414,False
DefaultB-VisPeri,5.454418,False
DefaultC-ContA,1.79105,False
DefaultC-ContB,6.355523,False
DefaultC-ContC,2.176499,False
DefaultC-DefaultA,1.554428,False
DefaultC-DefaultB,14.450385,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.412361,False
DefaultC-DorsAttnB,0.161725,False
DefaultC-LimbicA,1.02392,False
DefaultC-LimbicB,1.792564,False
DefaultC-SalVentAttnA,0.109017,False
DefaultC-SalVentAttnB,1.418644,False
DefaultC-SomMotA,3.801392,False
DefaultC-SomMotB,3.026391,False
DefaultC-TempPar,0.886817,False
DefaultC-VisCent,4.691348,False
DefaultC-VisPeri,0.774833,False
DorsAttnA-ContA,3.35643,False
DorsAttnA-ContB,3.334854,False
DorsAttnA-ContC,2.71135,False
DorsAttnA-DefaultA,0.58377,False
DorsAttnA-DefaultB,3.729002,False
DorsAttnA-DefaultC,6.632815,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.396513,False
DorsAttnA-LimbicA,1.492648,False
DorsAttnA-LimbicB,0.266656,False
DorsAttnA-SalVentAttnA,5.897836,False
DorsAttnA-SalVentAttnB,0.292757,False
DorsAttnA-SomMotA,2.514805,False
DorsAttnA-SomMotB,0.899188,False
DorsAttnA-TempPar,4.077433,False
DorsAttnA-VisCent,0.896605,False
DorsAttnA-VisPeri,0.111233,False
DorsAttnB-ContA,0.148071,False
DorsAttnB-ContB,5.218526,False
DorsAttnB-ContC,6.532752,False
DorsAttnB-DefaultA,5.845224,False
DorsAttnB-DefaultB,1.141701,False
DorsAttnB-DefaultC,4.938445,False
DorsAttnB-DorsAttnA,0.208373,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,2.528278,False
DorsAttnB-LimbicB,4.210312,False
DorsAttnB-SalVentAttnA,0.873038,False
DorsAttnB-SalVentAttnB,6.228134,False
DorsAttnB-SomMotA,0.214064,False
DorsAttnB-SomMotB,1.787175,False
DorsAttnB-TempPar,4.815607,False
DorsAttnB-VisCent,0.170052,False
DorsAttnB-VisPeri,2.93061,False
LimbicA-ContA,10.518131,False
LimbicA-ContB,0.592524,False
LimbicA-ContC,4.344672,False
LimbicA-DefaultA,5.344696,False
LimbicA-DefaultB,3.455414,False
LimbicA-DefaultC,2.020487,False
LimbicA-DorsAttnA,0.426441,False
LimbicA-DorsAttnB,1.658355,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,6.042213,False
LimbicA-SalVentAttnA,0.438538,False
LimbicA-SalVentAttnB,9.236844,False
LimbicA-SomMotA,6.20987,False
LimbicA-SomMotB,0.131247,False
LimbicA-TempPar,0.374201,False
LimbicA-VisCent,0.020886,False
LimbicA-VisPeri,6.758611,False
LimbicB-ContA,0.18499,False
LimbicB-ContB,1.755112,False
LimbicB-ContC,1.912243,False
LimbicB-DefaultA,1.792175,False
LimbicB-DefaultB,0.024568,False
LimbicB-DefaultC,4.232598,False
LimbicB-DorsAttnA,0.023642,False
LimbicB-DorsAttnB,5.255412,False
LimbicB-LimbicA,0.88769,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,0.913775,False
LimbicB-SalVentAttnB,1.882612,False
LimbicB-SomMotA,1.337505,False
LimbicB-SomMotB,1.512434,False
LimbicB-TempPar,1.625841,False
LimbicB-VisCent,0.395619,False
LimbicB-VisPeri,2.575573,False
SalVentAttnA-ContA,0.052658,False
SalVentAttnA-ContB,0.113202,False
SalVentAttnA-ContC,1.532917,False
SalVentAttnA-DefaultA,0.907514,False
SalVentAttnA-DefaultB,0.677171,False
SalVentAttnA-DefaultC,0.767561,False
SalVentAttnA-DorsAttnA,0.453052,False
SalVentAttnA-DorsAttnB,0.15501,False
SalVentAttnA-LimbicA,0.482914,False
SalVentAttnA-LimbicB,0.190094,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,2.227724,False
SalVentAttnA-SomMotA,1.352504,False
SalVentAttnA-SomMotB,0.06133,False
SalVentAttnA-TempPar,0.328359,False
SalVentAttnA-VisCent,1.201541,False
SalVentAttnA-VisPeri,2.483232,False
SalVentAttnB-ContA,0.680687,False
SalVentAttnB-ContB,3.509069,False
SalVentAttnB-ContC,4.477019,False
SalVentAttnB-DefaultA,6.14177,False
SalVentAttnB-DefaultB,5.449984,False
SalVentAttnB-DefaultC,2.825206,False
SalVentAttnB-DorsAttnA,0.012362,False
SalVentAttnB-DorsAttnB,5.819499,False
SalVentAttnB-LimbicA,5.833172,False
SalVentAttnB-LimbicB,37.510123,False
SalVentAttnB-SalVentAttnA,0.988969,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,8.921855,False
SalVentAttnB-SomMotB,1.611174,False
SalVentAttnB-TempPar,0.246861,False
SalVentAttnB-VisCent,0.469618,False
SalVentAttnB-VisPeri,11.233753,False
SomMotA-ContA,6.137366,False
SomMotA-ContB,3.809707,False
SomMotA-ContC,6.037005,False
SomMotA-DefaultA,11.443923,False
SomMotA-DefaultB,18.434466,False
SomMotA-DefaultC,7.861719,False
SomMotA-DorsAttnA,0.112811,False
SomMotA-DorsAttnB,1.748557,False
SomMotA-LimbicA,13.952762,False
SomMotA-LimbicB,19.581375,False
SomMotA-SalVentAttnA,1.534268,False
SomMotA-SalVentAttnB,19.583331,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,1.015648,False
SomMotA-TempPar,0.683694,False
SomMotA-VisCent,8.628927,False
SomMotA-VisPeri,15.947438,False
SomMotB-ContA,0.964384,False
SomMotB-ContB,4.068849,False
SomMotB-ContC,2.299726,False
SomMotB-DefaultA,1.505522,False
SomMotB-DefaultB,4.921712,False
SomMotB-DefaultC,8.132258,False
SomMotB-DorsAttnA,3.246167,False
SomMotB-DorsAttnB,1.113143,False
SomMotB-LimbicA,0.518109,False
SomMotB-LimbicB,4.691091,False
SomMotB-SalVentAttnA,2.914105,False
SomMotB-SalVentAttnB,2.289069,False
SomMotB-SomMotA,1.536033,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,7.592783,False
SomMotB-VisCent,8.908939,False
SomMotB-VisPeri,0.577617,False
TempPar-ContA,4.29813,False
TempPar-ContB,1.89396,False
TempPar-ContC,0.610539,False
TempPar-DefaultA,1.89645,False
TempPar-DefaultB,4.886083,False
TempPar-DefaultC,3.269022,False
TempPar-DorsAttnA,2.406508,False
TempPar-DorsAttnB,2.871465,False
TempPar-LimbicA,8.938433,False
TempPar-LimbicB,2.495827,False
TempPar-SalVentAttnA,0.157665,False
TempPar-SalVentAttnB,2.16597,False
TempPar-SomMotA,2.51101,False
TempPar-SomMotB,1.818149,False
TempPar-TempPar,0.0,True
TempPar-VisCent,2.375414,False
TempPar-VisPeri,1.514641,False
VisCent-ContA,5.593043,False
VisCent-ContB,6.773705,False
VisCent-ContC,0.818936,False
VisCent-DefaultA,1.587727,False
VisCent-DefaultB,8.949212,False
VisCent-DefaultC,7.178071,False
VisCent-DorsAttnA,0.440853,False
VisCent-DorsAttnB,0.520112,False
VisCent-LimbicA,2.812556,False
VisCent-LimbicB,5.266261,False
VisCent-SalVentAttnA,0.429244,False
VisCent-SalVentAttnB,4.33292,False
VisCent-SomMotA,7.0288,False
VisCent-SomMotB,5.383447,False
VisCent-TempPar,6.643202,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,3.347543,False
VisPeri-ContA,0.343523,False
VisPeri-ContB,4.60298,False
VisPeri-ContC,0.639293,False
VisPeri-DefaultA,0.784751,False
VisPeri-DefaultB,1.869977,False
VisPeri-DefaultC,3.957043,False
VisPeri-DorsAttnA,7.126637,False
VisPeri-DorsAttnB,4.535781,False
VisPeri-LimbicA,1.402172,False
VisPeri-LimbicB,3.71454,False
VisPeri-SalVentAttnA,1.921393,False
VisPeri-SalVentAttnB,1.03858,False
VisPeri-SomMotA,2.820491,False
VisPeri-SomMotB,1.368986,False
VisPeri-TempPar,0.814755,False
VisPeri-VisCent,2.197759,False
VisPeri-VisPeri,0.0,True
