network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,20.770022,False
ContA-ContC,1.106836,False
ContA-DefaultA,3.127347,False
ContA-DefaultB,7.043678,False
ContA-DefaultC,3.246417,False
ContA-DorsAttnA,0.145795,False
ContA-DorsAttnB,5.658802,False
ContA-LimbicA,23.747889,False
ContA-LimbicB,3.485231,False
ContA-SalVentAttnA,5.82452,False
ContA-SalVentAttnB,2.38005,False
ContA-SomMotA,12.679245,False
ContA-SomMotB,6.321838,False
ContA-TempPar,4.408235,False
ContA-VisCent,3.041715,False
ContA-VisPeri,10.316985,False
ContB-ContA,1.149025,False
ContB-ContB,0.0,True
ContB-ContC,1.304935,False
ContB-DefaultA,1.402091,False
ContB-DefaultB,0.839655,False
ContB-DefaultC,0.231209,False
ContB-DorsAttnA,0.11322,False
ContB-DorsAttnB,0.864765,False
ContB-LimbicA,5.946142,False
ContB-LimbicB,2.734391,False
ContB-SalVentAttnA,1.965528,False
ContB-SalVentAttnB,1.47998,False
ContB-SomMotA,2.620464,False
ContB-SomMotB,6.150578,False
ContB-TempPar,2.108959,False
ContB-VisCent,2.043349,False
ContB-VisPeri,5.095764,False
ContC-ContA,3.307656,False
ContC-ContB,0.287773,False
ContC-ContC,0.0,True
ContC-DefaultA,21.607387,False
ContC-DefaultB,4.123348,False
ContC-DefaultC,0.652789,False
ContC-DorsAttnA,3.893399,False
ContC-DorsAttnB,2.303618,False
ContC-LimbicA,2.288988,False
ContC-LimbicB,4.268409,False
ContC-SalVentAttnA,3.653005,False
ContC-SalVentAttnB,3.831593,False
ContC-SomMotA,7.748386,False
ContC-SomMotB,0.481729,False
ContC-TempPar,1.410789,False
ContC-VisCent,0.099115,False
ContC-VisPeri,4.632176,False
DefaultA-ContA,6.505405,False
DefaultA-ContB,3.9645,False
DefaultA-ContC,5.705144,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.85286,False
DefaultA-DefaultC,2.664522,False
DefaultA-DorsAttnA,3.11479,False
DefaultA-DorsAttnB,2.72113,False
DefaultA-LimbicA,4.040469,False
DefaultA-LimbicB,4.126359,False
DefaultA-SalVentAttnA,4.439804,False
DefaultA-SalVentAttnB,0.903163,False
DefaultA-SomMotA,6.35075,False
DefaultA-SomMotB,0.647354,False
DefaultA-TempPar,3.436555,False
DefaultA-VisCent,1.111009,False
DefaultA-VisPeri,4.114068,False
DefaultB-ContA,0.988171,False
DefaultB-ContB,8.22004,False
DefaultB-ContC,4.47094,False
DefaultB-DefaultA,7.464602,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.320951,False
