network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.129275,False
ContA-ContC,0.619709,False
ContA-DefaultA,3.142909,False
ContA-DefaultB,7.566081,False
ContA-DefaultC,1.933989,False
ContA-DorsAttnA,2.480308,False
ContA-DorsAttnB,4.449888,False
ContA-LimbicA,23.136744,False
ContA-LimbicB,7.120107,False
ContA-SalVentAttnA,0.105308,False
ContA-SalVentAttnB,2.061478,False
ContA-SomMotA,4.778126,False
ContA-SomMotB,0.514248,False
ContA-TempPar,2.107291,False
ContA-VisCent,5.096743,False
ContA-VisPeri,5.274665,False
ContB-ContA,11.414681,False
ContB-ContB,0.0,True
ContB-ContC,0.985726,False
ContB-DefaultA,0.170771,False
ContB-DefaultB,10.701003,False
ContB-DefaultC,5.196973,False
ContB-DorsAttnA,0.696413,False
ContB-DorsAttnB,5.152949,False
ContB-LimbicA,15.218062,False
ContB-LimbicB,1.742694,False
ContB-SalVentAttnA,3.63464,False
ContB-SalVentAttnB,0.016246,False
ContB-SomMotA,15.832241,False
ContB-SomMotB,5.328485,False
ContB-TempPar,0.019115,False
ContB-VisCent,3.262242,False
ContB-VisPeri,16.50893,False
ContC-ContA,2.518517,False
ContC-ContB,2.529316,False
ContC-ContC,0.0,True
ContC-DefaultA,4.675671,False
ContC-DefaultB,2.24304,False
ContC-DefaultC,1.347632,False
ContC-DorsAttnA,2.719728,False
ContC-DorsAttnB,0.9375,False
ContC-LimbicA,3.095461,False
ContC-LimbicB,7.853038,False
ContC-SalVentAttnA,3.969666,False
ContC-SalVentAttnB,1.403875,False
ContC-SomMotA,2.195586,False
ContC-SomMotB,1.20934,False
ContC-TempPar,2.17309,False
ContC-VisCent,0.111681,False
ContC-VisPeri,0.953771,False
DefaultA-ContA,0.939177,False
DefaultA-ContB,2.714285,False
DefaultA-ContC,19.137033,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,3.493432,False
DefaultA-DefaultC,0.182333,False
DefaultA-DorsAttnA,4.901214,False
DefaultA-DorsAttnB,0.654168,False
DefaultA-LimbicA,1.232239,False
DefaultA-LimbicB,12.5811,False
DefaultA-SalVentAttnA,4.729327,False
DefaultA-SalVentAttnB,5.728433,False
DefaultA-SomMotA,0.386665,False
DefaultA-SomMotB,0.593163,False
DefaultA-TempPar,0.779677,False
DefaultA-VisCent,0.645667,False
DefaultA-VisPeri,0.636753,False
DefaultB-ContA,1.820855,False
DefaultB-ContB,2.303245,False
DefaultB-ContC,4.45701,False
DefaultB-DefaultA,0.294739,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.879402,False
DefaultB-DorsAttnA,7.734761,False
DefaultB-DorsAttnB,0.126264,False
DefaultB-LimbicA,0.33675,False
DefaultB-LimbicB,8.138826,False
DefaultB-SalVentAttnA,1.796795,False
DefaultB-SalVentAttnB,2.74421,False
DefaultB-SomMotA,1.237821,False
DefaultB-SomMotB,0.857684,False
DefaultB-TempPar,1.369877,False
DefaultB-VisCent,1.544342,False
DefaultB-VisPeri,0.827157,False
DefaultC-ContA,1.928262,False
DefaultC-ContB,3.36442,False
DefaultC-ContC,0.451502,False
DefaultC-DefaultA,2.362239,False
DefaultC-DefaultB,9.605293,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,8.428648,False
DefaultC-DorsAttnB,3.849317,False
DefaultC-LimbicA,2.395705,False
DefaultC-LimbicB,0.295991,False
DefaultC-SalVentAttnA,13.834744,False
DefaultC-SalVentAttnB,1.248019,False
DefaultC-SomMotA,0.560037,False
DefaultC-SomMotB,4.022775,False
DefaultC-TempPar,0.791351,False
DefaultC-VisCent,1.40796,False
DefaultC-VisPeri,1.602984,False
DorsAttnA-ContA,0.748826,False
DorsAttnA-ContB,3.293063,False
DorsAttnA-ContC,3.406344,False
DorsAttnA-DefaultA,0.875454,False
DorsAttnA-DefaultB,2.995933,False
DorsAttnA-DefaultC,4.900328,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,17.596315,False
DorsAttnA-LimbicA,0.40875,False
DorsAttnA-LimbicB,1.345964,False
DorsAttnA-SalVentAttnA,1.427956,False
DorsAttnA-SalVentAttnB,2.832145,False
DorsAttnA-SomMotA,3.735549,False
DorsAttnA-SomMotB,0.108859,False
DorsAttnA-TempPar,3.061132,False
DorsAttnA-VisCent,2.128869,False
DorsAttnA-VisPeri,7.749147,False
DorsAttnB-ContA,0.6757,False
DorsAttnB-ContB,7.627264,False
DorsAttnB-ContC,0.296879,False
DorsAttnB-DefaultA,3.487273,False
DorsAttnB-DefaultB,0.607898,False
DorsAttnB-DefaultC,6.003486,False
DorsAttnB-DorsAttnA,1.78389,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.842498,False
DorsAttnB-LimbicB,1.331026,False
DorsAttnB-SalVentAttnA,5.814192,False
DorsAttnB-SalVentAttnB,3.376187,False
DorsAttnB-SomMotA,5.153412,False
DorsAttnB-SomMotB,0.016765,False
DorsAttnB-TempPar,0.868045,False
DorsAttnB-VisCent,3.635239,False
DorsAttnB-VisPeri,5.987536,False
LimbicA-ContA,5.01611,False
LimbicA-ContB,1.161062,False
LimbicA-ContC,3.388203,False
LimbicA-DefaultA,10.961861,False
LimbicA-DefaultB,5.12545,False
LimbicA-DefaultC,0.367112,False
LimbicA-DorsAttnA,2.935788,False
LimbicA-DorsAttnB,1.168998,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,16.381851,False
LimbicA-SalVentAttnA,3.087746,False
LimbicA-SalVentAttnB,5.652732,False
LimbicA-SomMotA,2.214841,False
LimbicA-SomMotB,0.272162,False
LimbicA-TempPar,0.462102,False
LimbicA-VisCent,8.653448,False
LimbicA-VisPeri,11.37611,False
LimbicB-ContA,0.140716,False
LimbicB-ContB,1.5093,False
LimbicB-ContC,6.783685,False
LimbicB-DefaultA,4.781078,False
LimbicB-DefaultB,0.604976,False
LimbicB-DefaultC,1.02305,False
LimbicB-DorsAttnA,6.526439,False
LimbicB-DorsAttnB,0.155519,False
LimbicB-LimbicA,2.440933,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.091761,False
LimbicB-SalVentAttnB,8.729212,False
