network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.804036,False
ContA-ContC,4.21956,False
ContA-DefaultA,2.572919,False
ContA-DefaultB,5.997924,False
ContA-DefaultC,1.042937,False
ContA-DorsAttnA,5.079018,False
ContA-DorsAttnB,0.009048,False
ContA-LimbicA,10.692988,False
ContA-LimbicB,7.940794,False
ContA-SalVentAttnA,4.335926,False
ContA-SalVentAttnB,5.730477,False
ContA-SomMotA,0.111932,False
ContA-SomMotB,1.041528,False
ContA-TempPar,0.772209,False
ContA-VisCent,1.832262,False
ContA-VisPeri,0.975552,False
ContB-ContA,0.152288,False
ContB-ContB,0.0,True
ContB-ContC,1.737553,False
ContB-DefaultA,0.313164,False
ContB-DefaultB,3.247655,False
ContB-DefaultC,5.383994,False
ContB-DorsAttnA,3.327062,False
ContB-DorsAttnB,0.077751,False
ContB-LimbicA,0.059587,False
ContB-LimbicB,0.582179,False
ContB-SalVentAttnA,2.027625,False
ContB-SalVentAttnB,0.424557,False
ContB-SomMotA,0.712633,False
ContB-SomMotB,6.528559,False
ContB-TempPar,6.649036,False
ContB-VisCent,1.977327,False
ContB-VisPeri,0.242427,False
ContC-ContA,2.974412,False
ContC-ContB,0.623592,False
ContC-ContC,0.0,True
ContC-DefaultA,0.136453,False
ContC-DefaultB,8.683051,False
ContC-DefaultC,1.924861,False
ContC-DorsAttnA,4.07396,False
ContC-DorsAttnB,0.462161,False
ContC-LimbicA,1.422126,False
ContC-LimbicB,0.731611,False
ContC-SalVentAttnA,0.912512,False
ContC-SalVentAttnB,1.452608,False
ContC-SomMotA,0.346508,False
ContC-SomMotB,0.356304,False
ContC-TempPar,3.143351,False
ContC-VisCent,0.886115,False
ContC-VisPeri,0.394501,False
DefaultA-ContA,3.153202,False
DefaultA-ContB,0.329323,False
DefaultA-ContC,33.01859,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,11.43997,False
DefaultA-DefaultC,1.541544,False
DefaultA-DorsAttnA,15.755096,False
DefaultA-DorsAttnB,0.098295,False
DefaultA-LimbicA,3.495451,False
DefaultA-LimbicB,8.220142,False
DefaultA-SalVentAttnA,3.281053,False
DefaultA-SalVentAttnB,3.656522,False
DefaultA-SomMotA,2.737312,False
DefaultA-SomMotB,4.111368,False
DefaultA-TempPar,1.750723,False
DefaultA-VisCent,4.050565,False
DefaultA-VisPeri,0.936727,False
DefaultB-ContA,1.319104,False
DefaultB-ContB,1.006084,False
DefaultB-ContC,4.216412,False
DefaultB-DefaultA,2.705677,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.919078,False
DefaultB-DorsAttnA,6.189248,False
DefaultB-DorsAttnB,3.784912,False
DefaultB-LimbicA,1.686477,False
DefaultB-LimbicB,3.099893,False
DefaultB-SalVentAttnA,2.46204,False
DefaultB-SalVentAttnB,2.244234,False
DefaultB-SomMotA,1.799661,False
DefaultB-SomMotB,0.569879,False
DefaultB-TempPar,3.608212,False
DefaultB-VisCent,0.466936,False
DefaultB-VisPeri,0.276986,False
DefaultC-ContA,0.688898,False
DefaultC-ContB,0.380611,False
DefaultC-ContC,0.10732,False
DefaultC-DefaultA,0.143132,False
DefaultC-DefaultB,13.779521,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,3.249509,False
DefaultC-DorsAttnB,1.989035,False
DefaultC-LimbicA,0.295787,False
DefaultC-LimbicB,0.344378,False
DefaultC-SalVentAttnA,0.574866,False
DefaultC-SalVentAttnB,0.855749,False
DefaultC-SomMotA,4.143095,False
DefaultC-SomMotB,0.399346,False
DefaultC-TempPar,1.83488,False
DefaultC-VisCent,0.119535,False
DefaultC-VisPeri,1.757834,False
DorsAttnA-ContA,2.542646,False
DorsAttnA-ContB,0.66524,False
DorsAttnA-ContC,1.303154,False
DorsAttnA-DefaultA,7.211299,False
DorsAttnA-DefaultB,15.862711,False
DorsAttnA-DefaultC,7.178059,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,5.646094,False
DorsAttnA-LimbicA,4.49107,False
DorsAttnA-LimbicB,3.781239,False
DorsAttnA-SalVentAttnA,0.874139,False
DorsAttnA-SalVentAttnB,0.613016,False
DorsAttnA-SomMotA,1.210207,False
DorsAttnA-SomMotB,0.073132,False
DorsAttnA-TempPar,1.387848,False
DorsAttnA-VisCent,2.805511,False
DorsAttnA-VisPeri,6.489537,False
DorsAttnB-ContA,0.533981,False
DorsAttnB-ContB,2.6343,False
DorsAttnB-ContC,1.8319,False
DorsAttnB-DefaultA,0.389868,False
DorsAttnB-DefaultB,0.875955,False
