network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.26529,False
ContA-ContC,1.876064,False
ContA-DefaultA,3.886759,False
ContA-DefaultB,3.140023,False
ContA-DefaultC,1.228882,False
ContA-DorsAttnA,5.270088,False
ContA-DorsAttnB,0.121889,False
ContA-LimbicA,19.489951,False
ContA-LimbicB,2.911211,False
ContA-SalVentAttnA,1.866651,False
ContA-SalVentAttnB,1.023421,False
ContA-SomMotA,3.180656,False
ContA-SomMotB,1.615169,False
ContA-TempPar,1.431908,False
ContA-VisCent,1.507144,False
ContA-VisPeri,5.227987,False
ContB-ContA,1.868953,False
ContB-ContB,0.0,True
ContB-ContC,0.27627,False
ContB-DefaultA,0.461234,False
ContB-DefaultB,1.540099,False
ContB-DefaultC,2.127416,False
ContB-DorsAttnA,3.258924,False
ContB-DorsAttnB,0.704025,False
ContB-LimbicA,3.502452,False
ContB-LimbicB,0.998022,False
ContB-SalVentAttnA,1.293989,False
ContB-SalVentAttnB,0.701695,False
ContB-SomMotA,5.856363,False
ContB-SomMotB,0.03178,False
ContB-TempPar,1.386607,False
ContB-VisCent,1.455589,False
ContB-VisPeri,12.529692,False
ContC-ContA,0.982943,False
ContC-ContB,2.018298,False
ContC-ContC,0.0,True
ContC-DefaultA,3.689356,False
ContC-DefaultB,1.362604,False
ContC-DefaultC,2.794837,False
ContC-DorsAttnA,1.539829,False
ContC-DorsAttnB,3.084676,False
ContC-LimbicA,0.566275,False
ContC-LimbicB,1.287758,False
ContC-SalVentAttnA,3.140156,False
ContC-SalVentAttnB,1.176725,False
ContC-SomMotA,0.623949,False
ContC-SomMotB,0.844998,False
ContC-TempPar,2.762908,False
ContC-VisCent,0.063544,False
ContC-VisPeri,2.881071,False
DefaultA-ContA,1.86804,False
DefaultA-ContB,1.534893,False
DefaultA-ContC,6.656943,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.815437,False
DefaultA-DefaultC,3.703825,False
DefaultA-DorsAttnA,2.812817,False
DefaultA-DorsAttnB,0.564465,False
DefaultA-LimbicA,2.928064,False
DefaultA-LimbicB,4.718901,False
DefaultA-SalVentAttnA,1.965878,False
DefaultA-SalVentAttnB,6.061231,False
DefaultA-SomMotA,0.687487,False
DefaultA-SomMotB,0.507677,False
DefaultA-TempPar,5.089497,False
DefaultA-VisCent,3.12427,False
DefaultA-VisPeri,2.329266,False
DefaultB-ContA,0.449664,False
DefaultB-ContB,1.42773,False
DefaultB-ContC,2.869332,False
DefaultB-DefaultA,4.060702,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.201758,False
DefaultB-DorsAttnA,3.187433,False
DefaultB-DorsAttnB,1.789482,False
DefaultB-LimbicA,0.464852,False
DefaultB-LimbicB,4.229587,False
DefaultB-SalVentAttnA,2.866658,False
DefaultB-SalVentAttnB,1.842703,False
DefaultB-SomMotA,0.930955,False
DefaultB-SomMotB,0.228802,False
DefaultB-TempPar,0.373079,False
DefaultB-VisCent,3.700535,False
DefaultB-VisPeri,2.493533,False
DefaultC-ContA,5.443891,False
DefaultC-ContB,0.273838,False
DefaultC-ContC,1.850716,False
DefaultC-DefaultA,0.976567,False
DefaultC-DefaultB,7.917301,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.963903,False
DefaultC-DorsAttnB,0.579144,False
DefaultC-LimbicA,2.52599,False
DefaultC-LimbicB,0.470951,False
DefaultC-SalVentAttnA,0.725282,False
DefaultC-SalVentAttnB,0.02209,False
DefaultC-SomMotA,2.497649,False
DefaultC-SomMotB,0.96662,False
DefaultC-TempPar,5.260834,False
DefaultC-VisCent,1.467668,False
DefaultC-VisPeri,0.937195,False
DorsAttnA-ContA,3.211492,False
DorsAttnA-ContB,1.57463,False
DorsAttnA-ContC,1.422906,False
DorsAttnA-DefaultA,4.843321,False
DorsAttnA-DefaultB,4.515646,False
DorsAttnA-DefaultC,0.637897,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.96541,False
DorsAttnA-LimbicA,6.738736,False
DorsAttnA-LimbicB,4.330381,False
DorsAttnA-SalVentAttnA,5.809552,False
DorsAttnA-SalVentAttnB,6.187545,False
DorsAttnA-SomMotA,0.201056,False
DorsAttnA-SomMotB,0.621666,False
DorsAttnA-TempPar,0.101529,False
DorsAttnA-VisCent,2.303101,False
DorsAttnA-VisPeri,1.905321,False
DorsAttnB-ContA,3.612904,False
DorsAttnB-ContB,0.524166,False
DorsAttnB-ContC,0.752899,False
DorsAttnB-DefaultA,3.26785,False
DorsAttnB-DefaultB,0.21963,False
DorsAttnB-DefaultC,0.516131,False
DorsAttnB-DorsAttnA,1.078637,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.112629,False
DorsAttnB-LimbicB,0.588601,False
DorsAttnB-SalVentAttnA,0.746208,False
DorsAttnB-SalVentAttnB,1.856519,False
DorsAttnB-SomMotA,1.250093,False
DorsAttnB-SomMotB,4.408671,False
DorsAttnB-TempPar,0.122694,False
DorsAttnB-VisCent,2.494578,False
DorsAttnB-VisPeri,0.023585,False
LimbicA-ContA,24.869919,False
LimbicA-ContB,4.197244,False
LimbicA-ContC,2.883684,False
LimbicA-DefaultA,9.558912,False
LimbicA-DefaultB,0.67905,False
LimbicA-DefaultC,0.649969,False
LimbicA-DorsAttnA,4.628511,False
LimbicA-DorsAttnB,0.53603,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,7.356387,False
LimbicA-SalVentAttnA,0.387667,False
LimbicA-SalVentAttnB,10.915997,False
LimbicA-SomMotA,4.052315,False
LimbicA-SomMotB,0.738092,False
LimbicA-TempPar,1.906968,False
LimbicA-VisCent,3.408574,False
LimbicA-VisPeri,4.833923,False
