network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,6.04745,False
ContA-ContC,0.322629,False
ContA-DefaultA,6.191729,False
ContA-DefaultB,6.820204,False
ContA-DefaultC,0.250659,False
ContA-DorsAttnA,1.345099,False
ContA-DorsAttnB,1.94365,False
ContA-LimbicA,32.526899,False
ContA-LimbicB,13.74331,False
ContA-SalVentAttnA,4.305725,False
ContA-SalVentAttnB,2.815615,False
ContA-SomMotA,7.637895,False
ContA-SomMotB,1.711371,False
ContA-TempPar,0.890332,False
ContA-VisCent,23.575408,False
ContA-VisPeri,12.177435,False
ContB-ContA,3.351953,False
ContB-ContB,0.0,True
ContB-ContC,4.504268,False
ContB-DefaultA,0.74475,False
ContB-DefaultB,16.776548,False
ContB-DefaultC,0.564479,False
ContB-DorsAttnA,0.112114,False
ContB-DorsAttnB,4.085671,False
ContB-LimbicA,7.157648,False
ContB-LimbicB,3.861321,False
ContB-SalVentAttnA,0.318025,False
ContB-SalVentAttnB,0.869869,False
ContB-SomMotA,8.239647,False
ContB-SomMotB,8.824767,False
ContB-TempPar,2.671351,False
ContB-VisCent,9.966842,False
ContB-VisPeri,15.49602,False
ContC-ContA,0.306996,False
ContC-ContB,2.547272,False
ContC-ContC,0.0,True
ContC-DefaultA,0.658042,False
ContC-DefaultB,1.567371,False
ContC-DefaultC,0.295259,False
ContC-DorsAttnA,2.708865,False
ContC-DorsAttnB,0.109708,False
ContC-LimbicA,0.090116,False
ContC-LimbicB,0.661024,False
ContC-SalVentAttnA,0.724069,False
ContC-SalVentAttnB,1.440988,False
ContC-SomMotA,1.172136,False
ContC-SomMotB,0.854011,False
ContC-TempPar,0.272933,False
ContC-VisCent,0.76739,False
ContC-VisPeri,2.654005,False
DefaultA-ContA,0.680536,False
DefaultA-ContB,1.504053,False
DefaultA-ContC,9.590942,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,0.76718,False
DefaultA-DefaultC,0.029377,False
DefaultA-DorsAttnA,0.911839,False
DefaultA-DorsAttnB,1.271886,False
DefaultA-LimbicA,1.834177,False
DefaultA-LimbicB,6.126264,False
DefaultA-SalVentAttnA,1.235465,False
DefaultA-SalVentAttnB,3.269647,False
DefaultA-SomMotA,0.005688,False
DefaultA-SomMotB,0.169581,False
DefaultA-TempPar,0.619768,False
DefaultA-VisCent,4.05264,False
DefaultA-VisPeri,3.140036,False
DefaultB-ContA,2.208618,False
DefaultB-ContB,6.11464,False
DefaultB-ContC,1.689143,False
DefaultB-DefaultA,1.279318,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,0.547404,False
DefaultB-DorsAttnA,1.209279,False
DefaultB-DorsAttnB,1.378121,False
DefaultB-LimbicA,2.701467,False
DefaultB-LimbicB,2.390792,False
DefaultB-SalVentAttnA,0.735146,False
DefaultB-SalVentAttnB,0.229353,False
DefaultB-SomMotA,7.107609,False
DefaultB-SomMotB,11.040127,False
DefaultB-TempPar,10.160452,False
DefaultB-VisCent,3.325218,False
DefaultB-VisPeri,12.056626,False
DefaultC-ContA,1.078906,False
DefaultC-ContB,8.353225,False
DefaultC-ContC,10.325474,False
DefaultC-DefaultA,1.477095,False
DefaultC-DefaultB,43.438568,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.88538,False
DefaultC-DorsAttnB,1.102633,False
DefaultC-LimbicA,1.049806,False
DefaultC-LimbicB,1.411808,False
DefaultC-SalVentAttnA,0.709408,False
DefaultC-SalVentAttnB,1.476343,False
DefaultC-SomMotA,12.035699,False
DefaultC-SomMotB,14.875545,False
DefaultC-TempPar,13.180293,False
DefaultC-VisCent,8.730225,False
DefaultC-VisPeri,12.381742,False
DorsAttnA-ContA,0.718578,False
DorsAttnA-ContB,0.006405,False
DorsAttnA-ContC,1.345839,False
DorsAttnA-DefaultA,3.439796,False
DorsAttnA-DefaultB,1.35864,False
DorsAttnA-DefaultC,3.588689,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,7.180789,False
DorsAttnA-LimbicA,1.585404,False
DorsAttnA-LimbicB,0.574939,False
DorsAttnA-SalVentAttnA,1.172716,False
DorsAttnA-SalVentAttnB,0.104026,False
DorsAttnA-SomMotA,0.088966,False
DorsAttnA-SomMotB,0.323294,False
DorsAttnA-TempPar,2.300833,False
DorsAttnA-VisCent,0.038852,False
DorsAttnA-VisPeri,0.277959,False
DorsAttnB-ContA,1.437398,False
DorsAttnB-ContB,1.398242,False
DorsAttnB-ContC,1.929485,False
DorsAttnB-DefaultA,5.820104,False
DorsAttnB-DefaultB,1.207529,False
DorsAttnB-DefaultC,1.214287,False
DorsAttnB-DorsAttnA,2.68038,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.162688,False
DorsAttnB-LimbicB,0.13023,False
DorsAttnB-SalVentAttnA,3.72874,False
DorsAttnB-SalVentAttnB,0.104764,False
DorsAttnB-SomMotA,2.4645,False
DorsAttnB-SomMotB,1.250003,False
DorsAttnB-TempPar,4.439081,False
DorsAttnB-VisCent,0.533716,False
DorsAttnB-VisPeri,2.137188,False
LimbicA-ContA,6.934709,False
LimbicA-ContB,1.929231,False
