network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,16.60366,False
ContA-ContC,6.945787,False
ContA-DefaultA,2.535708,False
ContA-DefaultB,10.366582,False
ContA-DefaultC,5.498843,False
ContA-DorsAttnA,7.050761,False
ContA-DorsAttnB,2.409144,False
ContA-LimbicA,24.276871,False
ContA-LimbicB,10.871687,False
ContA-SalVentAttnA,1.393238,False
ContA-SalVentAttnB,4.071036,False
ContA-SomMotA,1.922828,False
ContA-SomMotB,3.628604,False
ContA-TempPar,5.36739,False
ContA-VisCent,3.755377,False
ContA-VisPeri,6.408188,False
ContB-ContA,4.479224,False
ContB-ContB,0.0,True
ContB-ContC,6.778436,False
ContB-DefaultA,1.966018,False
ContB-DefaultB,3.300164,False
ContB-DefaultC,5.845923,False
ContB-DorsAttnA,7.502039,False
ContB-DorsAttnB,0.332857,False
ContB-LimbicA,12.198364,False
ContB-LimbicB,12.720288,False
ContB-SalVentAttnA,3.065738,False
ContB-SalVentAttnB,10.62111,False
ContB-SomMotA,1.795644,False
ContB-SomMotB,1.013299,False
ContB-TempPar,2.953494,False
ContB-VisCent,2.100196,False
ContB-VisPeri,1.121008,False
ContC-ContA,11.2675,False
ContC-ContB,28.825162,False
ContC-ContC,0.0,True
ContC-DefaultA,16.67941,False
ContC-DefaultB,19.354875,False
ContC-DefaultC,3.495919,False
ContC-DorsAttnA,8.47147,False
ContC-DorsAttnB,1.609137,False
ContC-LimbicA,30.616285,False
ContC-LimbicB,10.808495,False
ContC-SalVentAttnA,1.69222,False
ContC-SalVentAttnB,4.689339,False
ContC-SomMotA,3.251802,False
ContC-SomMotB,2.576969,False
ContC-TempPar,3.454849,False
ContC-VisCent,4.399916,False
ContC-VisPeri,2.989234,False
DefaultA-ContA,11.131969,False
DefaultA-ContB,28.604939,False
DefaultA-ContC,47.774798,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,51.176126,False
DefaultA-DefaultC,5.096697,False
DefaultA-DorsAttnA,7.408693,False
DefaultA-DorsAttnB,3.480038,False
DefaultA-LimbicA,30.05406,False
DefaultA-LimbicB,18.732825,False
DefaultA-SalVentAttnA,0.443263,False
DefaultA-SalVentAttnB,9.121848,False
DefaultA-SomMotA,5.673987,False
DefaultA-SomMotB,6.485458,False
DefaultA-TempPar,5.719093,False
DefaultA-VisCent,6.178102,False
DefaultA-VisPeri,6.243151,False
DefaultB-ContA,7.729936,False
DefaultB-ContB,7.34884,False
DefaultB-ContC,21.426662,False
DefaultB-DefaultA,18.664573,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,11.143974,False
DefaultB-DorsAttnA,4.273061,False
DefaultB-DorsAttnB,1.285307,False
DefaultB-LimbicA,14.245154,False
DefaultB-LimbicB,16.55269,False
DefaultB-SalVentAttnA,3.989767,False
DefaultB-SalVentAttnB,10.902355,False
DefaultB-SomMotA,4.344378,False
DefaultB-SomMotB,2.37837,False
DefaultB-TempPar,5.826558,False
DefaultB-VisCent,4.168973,False
DefaultB-VisPeri,0.505717,False
DefaultC-ContA,1.371178,False
DefaultC-ContB,4.495546,False
DefaultC-ContC,6.71117,False
DefaultC-DefaultA,9.355615,False
DefaultC-DefaultB,6.227011,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.689187,False
DefaultC-DorsAttnB,0.922582,False
DefaultC-LimbicA,6.029521,False
DefaultC-LimbicB,5.439607,False
DefaultC-SalVentAttnA,4.283646,False
DefaultC-SalVentAttnB,5.252338,False
DefaultC-SomMotA,0.120421,False
DefaultC-SomMotB,0.286636,False
DefaultC-TempPar,0.103273,False
DefaultC-VisCent,0.74862,False
DefaultC-VisPeri,3.168935,False
DorsAttnA-ContA,8.649296,False
DorsAttnA-ContB,9.036372,False
DorsAttnA-ContC,6.700778,False
DorsAttnA-DefaultA,10.111275,False
DorsAttnA-DefaultB,12.75928,False
DorsAttnA-DefaultC,8.624915,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.147876,False
DorsAttnA-LimbicA,1.194484,False
DorsAttnA-LimbicB,2.774667,False
DorsAttnA-SalVentAttnA,3.720895,False
DorsAttnA-SalVentAttnB,0.545024,False
DorsAttnA-SomMotA,0.00203,False
DorsAttnA-SomMotB,0.829957,False
DorsAttnA-TempPar,10.189334,False
DorsAttnA-VisCent,4.684088,False
DorsAttnA-VisPeri,1.009584,False
DorsAttnB-ContA,0.288981,False
DorsAttnB-ContB,2.36321,False
DorsAttnB-ContC,0.466722,False
DorsAttnB-DefaultA,0.277383,False
DorsAttnB-DefaultB,1.721735,False
DorsAttnB-DefaultC,0.030781,False
DorsAttnB-DorsAttnA,2.044684,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,3.611141,False
DorsAttnB-LimbicB,2.156032,False
DorsAttnB-SalVentAttnA,2.433391,False
DorsAttnB-SalVentAttnB,4.007444,False
DorsAttnB-SomMotA,4.791066,False
DorsAttnB-SomMotB,3.395446,False
DorsAttnB-TempPar,1.179607,False
DorsAttnB-VisCent,0.326079,False
DorsAttnB-VisPeri,2.030466,False
LimbicA-ContA,7.744232,False
LimbicA-ContB,9.071413,False
LimbicA-ContC,6.922116,False
LimbicA-DefaultA,8.610976,False
LimbicA-DefaultB,4.578092,False
LimbicA-DefaultC,2.466096,False
LimbicA-DorsAttnA,2.054271,False
LimbicA-DorsAttnB,1.064298,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,19.738931,False
LimbicA-SalVentAttnA,3.692877,False
LimbicA-SalVentAttnB,19.029591,False
LimbicA-SomMotA,5.517794,False
LimbicA-SomMotB,1.550355,False
LimbicA-TempPar,1.483584,False
LimbicA-VisCent,5.005016,False
LimbicA-VisPeri,2.215219,False
LimbicB-ContA,0.028335,False
LimbicB-ContB,6.911421,False
LimbicB-ContC,8.379196,False
LimbicB-DefaultA,8.337754,False
LimbicB-DefaultB,5.327175,False
LimbicB-DefaultC,0.993739,False
LimbicB-DorsAttnA,0.908518,False
LimbicB-DorsAttnB,6.246378,False
LimbicB-LimbicA,9.812772,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,8.113986,False
LimbicB-SalVentAttnB,17.185564,False
LimbicB-SomMotA,7.554791,False
LimbicB-SomMotB,1.980336,False
LimbicB-TempPar,1.240743,False
LimbicB-VisCent,0.851242,False
LimbicB-VisPeri,1.283767,False
SalVentAttnA-ContA,2.117139,False
SalVentAttnA-ContB,0.832306,False
SalVentAttnA-ContC,2.133819,False
SalVentAttnA-DefaultA,1.762578,False
SalVentAttnA-DefaultB,2.081547,False
SalVentAttnA-DefaultC,0.517499,False
SalVentAttnA-DorsAttnA,3.04078,False
SalVentAttnA-DorsAttnB,6.847557,False
SalVentAttnA-LimbicA,0.435419,False
SalVentAttnA-LimbicB,1.352888,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.073654,False
SalVentAttnA-SomMotA,0.926536,False
SalVentAttnA-SomMotB,7.550546,False
SalVentAttnA-TempPar,1.5666,False
SalVentAttnA-VisCent,0.520222,False
SalVentAttnA-VisPeri,0.220831,False
SalVentAttnB-ContA,0.2087,False
SalVentAttnB-ContB,2.520946,False
SalVentAttnB-ContC,3.383869,False
SalVentAttnB-DefaultA,6.123125,False
SalVentAttnB-DefaultB,3.410181,False
SalVentAttnB-DefaultC,0.856322,False
SalVentAttnB-DorsAttnA,2.454267,False
SalVentAttnB-DorsAttnB,10.204333,False
SalVentAttnB-LimbicA,11.588736,False
SalVentAttnB-LimbicB,22.096959,False
SalVentAttnB-SalVentAttnA,18.699289,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,11.638222,False
SalVentAttnB-SomMotB,2.180733,False
SalVentAttnB-TempPar,0.702128,False
SalVentAttnB-VisCent,0.887905,False
SalVentAttnB-VisPeri,4.227622,False
SomMotA-ContA,1.076607,False
SomMotA-ContB,0.087298,False
SomMotA-ContC,3.234565,False
SomMotA-DefaultA,2.044825,False
SomMotA-DefaultB,1.537555,False
SomMotA-DefaultC,7.968185,False
SomMotA-DorsAttnA,1.521041,False
SomMotA-DorsAttnB,3.901421,False
SomMotA-LimbicA,3.148351,False
SomMotA-LimbicB,14.408199,False
SomMotA-SalVentAttnA,8.238814,False
SomMotA-SalVentAttnB,8.396023,False
SomMotA-SomMotA,0.0,True
SomMotA-SomMotB,6.493682,False
SomMotA-TempPar,3.787334,False
SomMotA-VisCent,4.094354,False
SomMotA-VisPeri,5.496818,False
SomMotB-ContA,7.58716,False
SomMotB-ContB,6.140505,False
SomMotB-ContC,5.300582,False
SomMotB-DefaultA,4.01997,False
SomMotB-DefaultB,6.841001,False
SomMotB-DefaultC,2.421698,False
SomMotB-DorsAttnA,5.860345,False
SomMotB-DorsAttnB,3.98343,False
SomMotB-LimbicA,7.143541,False
SomMotB-LimbicB,7.122201,False
SomMotB-SalVentAttnA,0.776905,False
SomMotB-SalVentAttnB,2.431821,False
SomMotB-SomMotA,1.135443,False
SomMotB-SomMotB,0.0,True
SomMotB-TempPar,4.967356,False
SomMotB-VisCent,1.950834,False
SomMotB-VisPeri,0.288562,False
TempPar-ContA,2.785007,False
TempPar-ContB,2.023083,False
TempPar-ContC,0.386508,False
TempPar-DefaultA,2.544166,False
TempPar-DefaultB,1.781728,False
TempPar-DefaultC,4.865951,False
TempPar-DorsAttnA,10.51914,False
TempPar-DorsAttnB,10.563111,False
TempPar-LimbicA,0.172152,False
TempPar-LimbicB,1.968211,False
TempPar-SalVentAttnA,9.890561,False
TempPar-SalVentAttnB,1.605302,False
TempPar-SomMotA,3.357994,False
TempPar-SomMotB,0.916402,False
TempPar-TempPar,0.0,True
TempPar-VisCent,0.206915,False
TempPar-VisPeri,3.061127,False
VisCent-ContA,4.646045,False
VisCent-ContB,3.268444,False
VisCent-ContC,8.768355,False
VisCent-DefaultA,1.317875,False
VisCent-DefaultB,0.049744,False
VisCent-DefaultC,0.37574,False
VisCent-DorsAttnA,1.627886,False
VisCent-DorsAttnB,4.496521,False
VisCent-LimbicA,8.964702,False
VisCent-LimbicB,1.780923,False
VisCent-SalVentAttnA,1.446885,False
VisCent-SalVentAttnB,1.893003,False
VisCent-SomMotA,0.05457,False
VisCent-SomMotB,0.285491,False
VisCent-TempPar,1.204645,False
VisCent-VisCent,0.0,True
VisCent-VisPeri,0.426772,False
VisPeri-ContA,2.245516,False
VisPeri-ContB,6.173189,False
VisPeri-ContC,0.296344,False
VisPeri-DefaultA,0.912501,False
VisPeri-DefaultB,2.624293,False
VisPeri-DefaultC,1.828832,False
VisPeri-DorsAttnA,2.600909,False
VisPeri-DorsAttnB,1.563927,False
VisPeri-LimbicA,9.699787,False
VisPeri-LimbicB,13.359215,False
VisPeri-SalVentAttnA,5.510183,False
VisPeri-SalVentAttnB,5.469493,False
VisPeri-SomMotA,8.376167,False
VisPeri-SomMotB,0.490872,False
VisPeri-TempPar,1.08386,False
VisPeri-VisCent,4.008025,False
VisPeri-VisPeri,0.0,True
