network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.801002,False
ContA-ContC,3.852464,False
ContA-DefaultA,7.665582,False
ContA-DefaultB,1.377048,False
ContA-DefaultC,0.837118,False
ContA-DorsAttnA,2.736453,False
ContA-DorsAttnB,2.054145,False
ContA-LimbicA,9.89374,False
ContA-LimbicB,2.3928,False
ContA-SalVentAttnA,7.1336,False
ContA-SalVentAttnB,5.623771,False
ContA-SomMotA,5.433506,False
ContA-SomMotB,0.446892,False
ContA-TempPar,0.924052,False
ContA-VisCent,0.301412,False
ContA-VisPeri,2.842749,False
ContB-ContA,1.068721,False
ContB-ContB,0.0,True
ContB-ContC,0.227466,False
ContB-DefaultA,0.438891,False
ContB-DefaultB,0.035845,False
ContB-DefaultC,0.061759,False
ContB-DorsAttnA,1.791399,False
ContB-DorsAttnB,0.919425,False
ContB-LimbicA,1.064016,False
ContB-LimbicB,2.651692,False
ContB-SalVentAttnA,1.011405,False
ContB-SalVentAttnB,0.9978,False
ContB-SomMotA,2.091946,False
ContB-SomMotB,0.413835,False
ContB-TempPar,2.661997,False
ContB-VisCent,0.710973,False
ContB-VisPeri,2.829491,False
ContC-ContA,0.16615,False
ContC-ContB,0.213038,False
ContC-ContC,0.0,True
ContC-DefaultA,18.433677,False
ContC-DefaultB,3.362416,False
ContC-DefaultC,0.290151,False
ContC-DorsAttnA,2.544995,False
ContC-DorsAttnB,1.113318,False
ContC-LimbicA,0.524352,False
ContC-LimbicB,2.090541,False
ContC-SalVentAttnA,0.805365,False
ContC-SalVentAttnB,0.482832,False
ContC-SomMotA,1.353059,False
ContC-SomMotB,0.541304,False
ContC-TempPar,2.723851,False
ContC-VisCent,2.130605,False
ContC-VisPeri,1.894914,False
DefaultA-ContA,1.142195,False
DefaultA-ContB,1.89463,False
DefaultA-ContC,31.082456,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,8.050744,False
DefaultA-DefaultC,3.837339,False
DefaultA-DorsAttnA,0.4317,False
DefaultA-DorsAttnB,3.213665,False
DefaultA-LimbicA,1.530754,False
DefaultA-LimbicB,2.530679,False
DefaultA-SalVentAttnA,1.832788,False
