network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,10.369244,False
ContA-ContC,0.036492,False
ContA-DefaultA,4.048633,False
ContA-DefaultB,10.447937,False
ContA-DefaultC,1.601823,False
ContA-DorsAttnA,2.663447,False
ContA-DorsAttnB,1.851298,False
ContA-LimbicA,6.379667,False
ContA-LimbicB,8.820787,False
ContA-SalVentAttnA,1.121483,False
ContA-SalVentAttnB,0.390457,False
ContA-SomMotA,4.341832,False
ContA-SomMotB,4.127057,False
ContA-TempPar,4.644695,False
ContA-VisCent,4.407581,False
ContA-VisPeri,8.352032,False
ContB-ContA,12.20539,False
ContB-ContB,0.0,True
ContB-ContC,4.294023,False
ContB-DefaultA,3.768857,False
ContB-DefaultB,1.031237,False
ContB-DefaultC,0.9159,False
ContB-DorsAttnA,2.333,False
ContB-DorsAttnB,0.825524,False
ContB-LimbicA,7.221593,False
ContB-LimbicB,2.307062,False
ContB-SalVentAttnA,1.587812,False
ContB-SalVentAttnB,0.746356,False
ContB-SomMotA,11.423795,False
ContB-SomMotB,2.019172,False
ContB-TempPar,5.911291,False
ContB-VisCent,1.786689,False
ContB-VisPeri,7.533046,False
ContC-ContA,0.81302,False
ContC-ContB,1.065799,False
ContC-ContC,0.0,True
ContC-DefaultA,6.454499,False
ContC-DefaultB,2.560939,False
ContC-DefaultC,0.084777,False
ContC-DorsAttnA,0.988035,False
ContC-DorsAttnB,1.159774,False
ContC-LimbicA,4.403085,False
ContC-LimbicB,2.158786,False
ContC-SalVentAttnA,0.635536,False
ContC-SalVentAttnB,1.755549,False
ContC-SomMotA,0.893468,False
ContC-SomMotB,1.558205,False
ContC-TempPar,1.844998,False
ContC-VisCent,0.501411,False
ContC-VisPeri,6.32563,False
DefaultA-ContA,6.022513,False
DefaultA-ContB,3.711942,False
DefaultA-ContC,6.468726,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,7.601309,False
DefaultA-DefaultC,4.976821,False
DefaultA-DorsAttnA,2.985302,False
DefaultA-DorsAttnB,3.982347,False
DefaultA-LimbicA,4.729324,False
DefaultA-LimbicB,7.146416,False
DefaultA-SalVentAttnA,0.971897,False
DefaultA-SalVentAttnB,3.554116,False
DefaultA-SomMotA,9.589446,False
DefaultA-SomMotB,1.235177,False
DefaultA-TempPar,7.341181,False
DefaultA-VisCent,0.946259,False
DefaultA-VisPeri,5.222236,False
DefaultB-ContA,1.473223,False
DefaultB-ContB,1.471544,False
DefaultB-ContC,0.090559,False
DefaultB-DefaultA,1.580919,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,5.998062,False
DefaultB-DorsAttnA,0.159852,False
DefaultB-DorsAttnB,2.947206,False
DefaultB-LimbicA,1.881195,False
DefaultB-LimbicB,1.765462,False
DefaultB-SalVentAttnA,2.737884,False
DefaultB-SalVentAttnB,1.131579,False
DefaultB-SomMotA,1.293407,False
DefaultB-SomMotB,1.12144,False
DefaultB-TempPar,1.502675,False
DefaultB-VisCent,1.178739,False
DefaultB-VisPeri,1.386727,False
DefaultC-ContA,2.010649,False
DefaultC-ContB,1.92558,False
DefaultC-ContC,0.366633,False
DefaultC-DefaultA,0.287524,False
DefaultC-DefaultB,18.795642,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.425396,False
DefaultC-DorsAttnB,0.711365,False
DefaultC-LimbicA,1.576562,False
DefaultC-LimbicB,0.383921,False
DefaultC-SalVentAttnA,5.492824,False
DefaultC-SalVentAttnB,0.464588,False
DefaultC-SomMotA,1.301938,False
DefaultC-SomMotB,3.2218,False
DefaultC-TempPar,1.275527,False
DefaultC-VisCent,2.624226,False
DefaultC-VisPeri,2.424036,False
DorsAttnA-ContA,2.825519,False
DorsAttnA-ContB,2.935647,False
DorsAttnA-ContC,1.283871,False
DorsAttnA-DefaultA,8.655376,False
DorsAttnA-DefaultB,15.549496,False
DorsAttnA-DefaultC,7.692654,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.407979,False
DorsAttnA-LimbicA,2.234887,False
DorsAttnA-LimbicB,3.448553,False
DorsAttnA-SalVentAttnA,9.078936,False
DorsAttnA-SalVentAttnB,1.907436,False
DorsAttnA-SomMotA,1.194141,False
DorsAttnA-SomMotB,4.608843,False
DorsAttnA-TempPar,0.209272,False
DorsAttnA-VisCent,1.413719,False
DorsAttnA-VisPeri,1.289655,False
DorsAttnB-ContA,2.033143,False
DorsAttnB-ContB,0.097902,False
DorsAttnB-ContC,0.310659,False
DorsAttnB-DefaultA,0.051179,False
DorsAttnB-DefaultB,2.523891,False
DorsAttnB-DefaultC,3.991412,False
DorsAttnB-DorsAttnA,1.150071,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,4.372837,False
DorsAttnB-LimbicB,0.368869,False
DorsAttnB-SalVentAttnA,2.033731,False
DorsAttnB-SalVentAttnB,1.040204,False
DorsAttnB-SomMotA,0.72454,False
DorsAttnB-SomMotB,0.217582,False
DorsAttnB-TempPar,4.593121,False
DorsAttnB-VisCent,3.293802,False
DorsAttnB-VisPeri,1.338672,False
LimbicA-ContA,23.471119,False
LimbicA-ContB,18.903697,False
LimbicA-ContC,2.501015,False
LimbicA-DefaultA,9.916032,False
LimbicA-DefaultB,1.02486,False
LimbicA-DefaultC,3.204221,False
LimbicA-DorsAttnA,0.70415,False
LimbicA-DorsAttnB,4.078965,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,7.632986,False
LimbicA-SalVentAttnA,1.668493,False
LimbicA-SalVentAttnB,9.37477,False
LimbicA-SomMotA,4.937662,False
LimbicA-SomMotB,11.253884,False
LimbicA-TempPar,7.188676,False
