network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,2.464944,False
ContA-ContC,1.847814,False
ContA-DefaultA,0.206245,False
ContA-DefaultB,0.964706,False
ContA-DefaultC,1.81831,False
ContA-DorsAttnA,1.195645,False
ContA-DorsAttnB,0.432652,False
ContA-LimbicA,26.505535,False
ContA-LimbicB,3.848846,False
ContA-SalVentAttnA,0.672022,False
ContA-SalVentAttnB,18.382081,False
ContA-SomMotA,0.889277,False
ContA-SomMotB,0.027547,False
ContA-TempPar,2.957769,False
ContA-VisCent,0.80906,False
ContA-VisPeri,1.136485,False
ContB-ContA,3.411241,False
ContB-ContB,0.0,True
ContB-ContC,0.904774,False
ContB-DefaultA,0.015712,False
ContB-DefaultB,5.178801,False
ContB-DefaultC,0.300248,False
ContB-DorsAttnA,0.58902,False
ContB-DorsAttnB,2.946492,False
ContB-LimbicA,0.120204,False
ContB-LimbicB,0.525545,False
ContB-SalVentAttnA,0.722975,False
ContB-SalVentAttnB,0.301367,False
ContB-SomMotA,4.536468,False
ContB-SomMotB,1.140449,False
ContB-TempPar,1.679698,False
ContB-VisCent,1.723887,False
ContB-VisPeri,1.054334,False
ContC-ContA,3.574175,False
ContC-ContB,2.681119,False
ContC-ContC,0.0,True
ContC-DefaultA,6.348267,False
ContC-DefaultB,0.640591,False
ContC-DefaultC,0.301981,False
ContC-DorsAttnA,2.33565,False
ContC-DorsAttnB,1.68312,False
ContC-LimbicA,2.327093,False
ContC-LimbicB,7.452313,False
ContC-SalVentAttnA,2.602087,False
ContC-SalVentAttnB,1.292396,False
ContC-SomMotA,3.298281,False
ContC-SomMotB,0.285285,False
ContC-TempPar,4.353819,False
ContC-VisCent,3.916649,False
ContC-VisPeri,1.238165,False
DefaultA-ContA,4.614133,False
DefaultA-ContB,5.044631,False
DefaultA-ContC,5.644874,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.936816,False
DefaultA-DefaultC,2.709185,False
DefaultA-DorsAttnA,4.140762,False
DefaultA-DorsAttnB,0.14569,False
DefaultA-LimbicA,4.186965,False
DefaultA-LimbicB,17.423276,False
DefaultA-SalVentAttnA,1.823112,False
DefaultA-SalVentAttnB,7.633939,False
DefaultA-SomMotA,0.1885,False
DefaultA-SomMotB,0.47685,False
DefaultA-TempPar,14.148458,False
DefaultA-VisCent,0.34869,False
DefaultA-VisPeri,1.543585,False
DefaultB-ContA,1.105008,False
DefaultB-ContB,5.758882,False
DefaultB-ContC,2.185448,False
DefaultB-DefaultA,4.561109,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,2.431229,False
DefaultB-DorsAttnA,0.426739,False
DefaultB-DorsAttnB,5.055749,False
DefaultB-LimbicA,0.54922,False
DefaultB-LimbicB,9.434574,False
DefaultB-SalVentAttnA,9.109401,False
DefaultB-SalVentAttnB,3.027779,False
DefaultB-SomMotA,3.073972,False
DefaultB-SomMotB,0.127316,False
DefaultB-TempPar,7.91253,False
DefaultB-VisCent,2.684521,False
DefaultB-VisPeri,0.418232,False
DefaultC-ContA,1.264656,False
DefaultC-ContB,0.445295,False
DefaultC-ContC,0.26173,False
DefaultC-DefaultA,2.309243,False
DefaultC-DefaultB,6.467393,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,0.314882,False
DefaultC-DorsAttnB,8.614164,False
DefaultC-LimbicA,1.445864,False
DefaultC-LimbicB,0.357059,False
DefaultC-SalVentAttnA,4.081268,False
DefaultC-SalVentAttnB,4.278062,False
DefaultC-SomMotA,5.041753,False
DefaultC-SomMotB,2.053951,False
DefaultC-TempPar,2.013484,False
DefaultC-VisCent,3.494387,False
DefaultC-VisPeri,0.751036,False
DorsAttnA-ContA,0.744622,False
DorsAttnA-ContB,0.021808,False
DorsAttnA-ContC,1.832819,False
DorsAttnA-DefaultA,2.050172,False
DorsAttnA-DefaultB,2.425298,False
DorsAttnA-DefaultC,1.892269,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,0.327464,False
DorsAttnA-LimbicA,0.944056,False
DorsAttnA-LimbicB,0.667684,False
DorsAttnA-SalVentAttnA,3.566548,False
DorsAttnA-SalVentAttnB,1.076118,False
DorsAttnA-SomMotA,2.124273,False
DorsAttnA-SomMotB,5.949376,False
