network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,0.842232,False
ContA-ContC,0.700033,False
ContA-DefaultA,1.397902,False
ContA-DefaultB,1.490274,False
ContA-DefaultC,2.990783,False
ContA-DorsAttnA,0.741339,False
ContA-DorsAttnB,6.168597,False
ContA-LimbicA,20.20321,False
ContA-LimbicB,7.919526,False
ContA-SalVentAttnA,1.490547,False
ContA-SalVentAttnB,2.853769,False
ContA-SomMotA,2.519298,False
ContA-SomMotB,0.109514,False
ContA-TempPar,6.409648,False
ContA-VisCent,0.116869,False
ContA-VisPeri,6.206529,False
ContB-ContA,5.819555,False
ContB-ContB,0.0,True
ContB-ContC,5.843976,False
ContB-DefaultA,3.876451,False
ContB-DefaultB,1.254339,False
ContB-DefaultC,0.315008,False
ContB-DorsAttnA,1.582438,False
ContB-DorsAttnB,0.249913,False
ContB-LimbicA,0.140008,False
ContB-LimbicB,0.286246,False
ContB-SalVentAttnA,3.090325,False
ContB-SalVentAttnB,1.16845,False
ContB-SomMotA,3.386358,False
ContB-SomMotB,7.391317,False
ContB-TempPar,1.065046,False
ContB-VisCent,1.998717,False
ContB-VisPeri,2.1231,False
ContC-ContA,2.180405,False
ContC-ContB,0.741793,False
ContC-ContC,0.0,True
ContC-DefaultA,3.394352,False
ContC-DefaultB,0.430438,False
ContC-DefaultC,1.425769,False
ContC-DorsAttnA,1.143396,False
ContC-DorsAttnB,1.917819,False
ContC-LimbicA,3.807191,False
ContC-LimbicB,3.468268,False
ContC-SalVentAttnA,3.364434,False
ContC-SalVentAttnB,0.569597,False
ContC-SomMotA,0.029872,False
ContC-SomMotB,0.240237,False
ContC-TempPar,1.56871,False
ContC-VisCent,0.34325,False
ContC-VisPeri,0.205536,False
DefaultA-ContA,5.959516,False
DefaultA-ContB,1.610011,False
DefaultA-ContC,27.091322,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,6.448387,False
DefaultA-DefaultC,0.011628,False
DefaultA-DorsAttnA,3.6061,False
DefaultA-DorsAttnB,0.294983,False
DefaultA-LimbicA,7.820895,False
DefaultA-LimbicB,12.171467,False
DefaultA-SalVentAttnA,1.084976,False
DefaultA-SalVentAttnB,2.112403,False
DefaultA-SomMotA,3.075799,False
DefaultA-SomMotB,3.413325,False
DefaultA-TempPar,0.490593,False
DefaultA-VisCent,2.42605,False
DefaultA-VisPeri,0.622455,False
