network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,7.120883,False
ContA-ContC,3.406061,False
ContA-DefaultA,6.156227,False
ContA-DefaultB,9.642441,False
ContA-DefaultC,0.870915,False
ContA-DorsAttnA,3.103575,False
ContA-DorsAttnB,0.055492,False
ContA-LimbicA,17.491777,False
ContA-LimbicB,0.802848,False
ContA-SalVentAttnA,3.632354,False
ContA-SalVentAttnB,2.742644,False
ContA-SomMotA,1.225668,False
ContA-SomMotB,5.81614,False
ContA-TempPar,5.84095,False
ContA-VisCent,0.111662,False
ContA-VisPeri,2.413407,False
ContB-ContA,12.322732,False
ContB-ContB,0.0,True
ContB-ContC,5.031931,False
ContB-DefaultA,11.201808,False
ContB-DefaultB,16.689351,False
ContB-DefaultC,6.319589,False
ContB-DorsAttnA,2.780082,False
ContB-DorsAttnB,0.156907,False
ContB-LimbicA,10.59321,False
ContB-LimbicB,3.53381,False
ContB-SalVentAttnA,4.21966,False
ContB-SalVentAttnB,0.037207,False
ContB-SomMotA,0.915361,False
ContB-SomMotB,5.043173,False
ContB-TempPar,6.379272,False
ContB-VisCent,2.549488,False
ContB-VisPeri,8.697946,False
ContC-ContA,0.287237,False
ContC-ContB,2.104795,False
ContC-ContC,0.0,True
ContC-DefaultA,19.264899,False
ContC-DefaultB,16.770772,False
ContC-DefaultC,2.970179,False
ContC-DorsAttnA,1.801196,False
ContC-DorsAttnB,4.220113,False
ContC-LimbicA,2.813928,False
ContC-LimbicB,7.505768,False
ContC-SalVentAttnA,1.08367,False
ContC-SalVentAttnB,1.767235,False
ContC-SomMotA,2.647865,False
ContC-SomMotB,8.337332,False
ContC-TempPar,3.147015,False
ContC-VisCent,1.104311,False
ContC-VisPeri,7.981355,False
DefaultA-ContA,0.872448,False
DefaultA-ContB,2.130599,False
DefaultA-ContC,9.957427,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,19.044925,False
DefaultA-DefaultC,2.243143,False
DefaultA-DorsAttnA,6.13362,False
DefaultA-DorsAttnB,3.634088,False
DefaultA-LimbicA,6.49738,False
DefaultA-LimbicB,8.51507,False
DefaultA-SalVentAttnA,1.075287,False
DefaultA-SalVentAttnB,1.398448,False
DefaultA-SomMotA,0.925838,False
DefaultA-SomMotB,7.965671,False
DefaultA-TempPar,3.940346,False
DefaultA-VisCent,1.446838,False
DefaultA-VisPeri,2.614911,False
DefaultB-ContA,0.159007,False
DefaultB-ContB,1.214799,False
DefaultB-ContC,0.035828,False
DefaultB-DefaultA,4.293804,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,3.273171,False
DefaultB-DorsAttnA,1.967261,False
DefaultB-DorsAttnB,0.591047,False
DefaultB-LimbicA,0.133149,False
DefaultB-LimbicB,5.501917,False
DefaultB-SalVentAttnA,3.879419,False
DefaultB-SalVentAttnB,0.036442,False
DefaultB-SomMotA,0.295428,False
DefaultB-SomMotB,2.015376,False
DefaultB-TempPar,2.658877,False
DefaultB-VisCent,1.06638,False
DefaultB-VisPeri,0.078136,False
DefaultC-ContA,7.236119,False
DefaultC-ContB,7.600852,False
DefaultC-ContC,6.594954,False
DefaultC-DefaultA,3.272171,False
DefaultC-DefaultB,9.798655,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,1.177359,False
DefaultC-DorsAttnB,2.663408,False
DefaultC-LimbicA,4.386936,False
DefaultC-LimbicB,2.94285,False
DefaultC-SalVentAttnA,0.619856,False
DefaultC-SalVentAttnB,0.425339,False
DefaultC-SomMotA,7.225326,False
DefaultC-SomMotB,3.236007,False
DefaultC-TempPar,3.788356,False
DefaultC-VisCent,1.850389,False
DefaultC-VisPeri,8.642218,False
DorsAttnA-ContA,0.765019,False
DorsAttnA-ContB,0.256675,False
DorsAttnA-ContC,2.38265,False
DorsAttnA-DefaultA,0.616389,False
DorsAttnA-DefaultB,1.513546,False
DorsAttnA-DefaultC,2.983916,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,3.921924,False
DorsAttnA-LimbicA,1.532872,False
DorsAttnA-LimbicB,1.94022,False
DorsAttnA-SalVentAttnA,3.583537,False
DorsAttnA-SalVentAttnB,1.649992,False
DorsAttnA-SomMotA,5.537332,False
DorsAttnA-SomMotB,0.11764,False
DorsAttnA-TempPar,0.100688,False
DorsAttnA-VisCent,1.615146,False
DorsAttnA-VisPeri,5.617607,False
DorsAttnB-ContA,3.203273,False
DorsAttnB-ContB,1.131614,False
DorsAttnB-ContC,1.209289,False
DorsAttnB-DefaultA,0.0396,False
DorsAttnB-DefaultB,0.69896,False
DorsAttnB-DefaultC,2.027307,False
DorsAttnB-DorsAttnA,3.419734,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,1.421949,False
DorsAttnB-LimbicB,4.103456,False
DorsAttnB-SalVentAttnA,6.988357,False
DorsAttnB-SalVentAttnB,4.181026,False
DorsAttnB-SomMotA,7.494768,False
DorsAttnB-SomMotB,1.464967,False
DorsAttnB-TempPar,0.961181,False
DorsAttnB-VisCent,3.64519,False
DorsAttnB-VisPeri,6.301335,False
LimbicA-ContA,12.526521,False
LimbicA-ContB,1.225414,False
LimbicA-ContC,2.000175,False
LimbicA-DefaultA,4.886681,False
LimbicA-DefaultB,11.400933,False
LimbicA-DefaultC,0.875491,False
LimbicA-DorsAttnA,4.473907,False
LimbicA-DorsAttnB,0.212399,False
LimbicA-LimbicA,0.0,True
LimbicA-LimbicB,2.752314,False
LimbicA-SalVentAttnA,1.89633,False
LimbicA-SalVentAttnB,0.744572,False
LimbicA-SomMotA,0.521981,False
LimbicA-SomMotB,8.35467,False
LimbicA-TempPar,6.437995,False
LimbicA-VisCent,0.028432,False
LimbicA-VisPeri,3.62024,False
LimbicB-ContA,1.910332,False
LimbicB-ContB,2.515847,False
LimbicB-ContC,1.190812,False
LimbicB-DefaultA,2.519957,False
LimbicB-DefaultB,0.113467,False
LimbicB-DefaultC,5.574702,False
LimbicB-DorsAttnA,0.198524,False
LimbicB-DorsAttnB,2.688062,False
LimbicB-LimbicA,1.292846,False
LimbicB-LimbicB,0.0,True
LimbicB-SalVentAttnA,4.527302,False
LimbicB-SalVentAttnB,4.907173,False
LimbicB-SomMotA,2.652471,False
LimbicB-SomMotB,1.630137,False
LimbicB-TempPar,0.068899,False
LimbicB-VisCent,0.149686,False
LimbicB-VisPeri,0.603847,False
SalVentAttnA-ContA,2.170252,False
SalVentAttnA-ContB,0.087009,False
SalVentAttnA-ContC,3.028857,False
SalVentAttnA-DefaultA,3.338757,False
SalVentAttnA-DefaultB,0.70116,False
SalVentAttnA-DefaultC,0.104102,False
SalVentAttnA-DorsAttnA,1.740316,False
SalVentAttnA-DorsAttnB,0.269824,False
SalVentAttnA-LimbicA,1.296065,False
SalVentAttnA-LimbicB,3.454583,False
SalVentAttnA-SalVentAttnA,0.0,True
SalVentAttnA-SalVentAttnB,0.838167,False
SalVentAttnA-SomMotA,1.696106,False
SalVentAttnA-SomMotB,3.464336,False
SalVentAttnA-TempPar,4.799189,False
SalVentAttnA-VisCent,3.753105,False
SalVentAttnA-VisPeri,1.553021,False
SalVentAttnB-ContA,2.943401,False
SalVentAttnB-ContB,1.918567,False
SalVentAttnB-ContC,3.560579,False
SalVentAttnB-DefaultA,2.618621,False
SalVentAttnB-DefaultB,1.808936,False
SalVentAttnB-DefaultC,3.101712,False
SalVentAttnB-DorsAttnA,2.428817,False
SalVentAttnB-DorsAttnB,3.916444,False
SalVentAttnB-LimbicA,5.024167,False
SalVentAttnB-LimbicB,28.398233,False
SalVentAttnB-SalVentAttnA,9.022273,False
SalVentAttnB-SalVentAttnB,0.0,True
SalVentAttnB-SomMotA,8.166491,False
SalVentAttnB-SomMotB,3.374606,False
SalVentAttnB-TempPar,0.38399,False
SalVentAttnB-VisCent,0.772026,False
SalVentAttnB-VisPeri,8.460842,False
SomMotA-ContA,8.949716,False
SomMotA-ContB,3.782625,False
SomMotA-ContC,1.197726,False
SomMotA-DefaultA,4.024709,False
