network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,1.546593,False
ContA-ContC,3.159518,False
ContA-DefaultA,4.409561,False
ContA-DefaultB,0.980061,False
ContA-DefaultC,2.911834,False
ContA-DorsAttnA,2.740172,False
ContA-DorsAttnB,0.712852,False
ContA-LimbicA,32.995499,False
ContA-LimbicB,6.993612,False
ContA-SalVentAttnA,1.789916,False
ContA-SalVentAttnB,10.024786,False
ContA-SomMotA,7.702159,False
ContA-SomMotB,0.352152,False
ContA-TempPar,6.059104,False
ContA-VisCent,5.192394,False
ContA-VisPeri,2.646225,False
ContB-ContA,0.090153,False
ContB-ContB,0.0,True
ContB-ContC,6.167323,False
ContB-DefaultA,2.903282,False
ContB-DefaultB,1.285675,False
ContB-DefaultC,5.431909,False
ContB-DorsAttnA,2.661768,False
ContB-DorsAttnB,1.922757,False
ContB-LimbicA,8.854608,False
ContB-LimbicB,5.138372,False
ContB-SalVentAttnA,0.072903,False
ContB-SalVentAttnB,4.667649,False
ContB-SomMotA,10.72993,False
ContB-SomMotB,1.45609,False
ContB-TempPar,4.423737,False
ContB-VisCent,8.207951,False
ContB-VisPeri,2.49463,False
ContC-ContA,0.423889,False
ContC-ContB,0.737608,False
ContC-ContC,0.0,True
ContC-DefaultA,9.83569,False
ContC-DefaultB,6.448362,False
ContC-DefaultC,3.876787,False
ContC-DorsAttnA,0.193296,False
ContC-DorsAttnB,2.310219,False
ContC-LimbicA,0.685626,False
ContC-LimbicB,13.155889,False
ContC-SalVentAttnA,3.733928,False
ContC-SalVentAttnB,4.784236,False
ContC-SomMotA,1.093528,False
ContC-SomMotB,7.409416,False
ContC-TempPar,2.600885,False
ContC-VisCent,0.105523,False
ContC-VisPeri,0.862585,False
DefaultA-ContA,1.394991,False
DefaultA-ContB,1.804729,False
DefaultA-ContC,18.574114,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,18.944605,False
DefaultA-DefaultC,5.972512,False
DefaultA-DorsAttnA,0.346976,False
DefaultA-DorsAttnB,1.444412,False
DefaultA-LimbicA,0.62782,False
DefaultA-LimbicB,9.597164,False
DefaultA-SalVentAttnA,3.086644,False
DefaultA-SalVentAttnB,3.768142,False
DefaultA-SomMotA,6.414425,False
DefaultA-SomMotB,2.10726,False
DefaultA-TempPar,6.530546,False
DefaultA-VisCent,1.428347,False
DefaultA-VisPeri,3.585705,False
DefaultB-ContA,0.815974,False
DefaultB-ContB,1.669915,False
DefaultB-ContC,7.528123,False
DefaultB-DefaultA,6.138448,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,14.21209,False
DefaultB-DorsAttnA,3.898461,False
DefaultB-DorsAttnB,0.441977,False
DefaultB-LimbicA,1.07457,False
DefaultB-LimbicB,6.499069,False
DefaultB-SalVentAttnA,0.28197,False
DefaultB-SalVentAttnB,0.219822,False
DefaultB-SomMotA,2.62143,False
DefaultB-SomMotB,3.947483,False
DefaultB-TempPar,12.048571,False
DefaultB-VisCent,0.008162,False
DefaultB-VisPeri,0.325259,False
DefaultC-ContA,2.280328,False
DefaultC-ContB,2.254179,False
DefaultC-ContC,1.76836,False
DefaultC-DefaultA,0.11214,False
DefaultC-DefaultB,3.348584,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,9.65567,False
DefaultC-DorsAttnB,1.969473,False
DefaultC-LimbicA,1.884716,False
DefaultC-LimbicB,2.431227,False
DefaultC-SalVentAttnA,0.682341,False
DefaultC-SalVentAttnB,0.00318,False
DefaultC-SomMotA,2.752394,False
DefaultC-SomMotB,1.524951,False
DefaultC-TempPar,10.668124,False
