network_connection,gc,within_network
ContA-ContA,0.0,True
ContA-ContB,4.126221,False
ContA-ContC,7.719132,False
ContA-DefaultA,8.137965,False
ContA-DefaultB,9.719896,False
ContA-DefaultC,6.012991,False
ContA-DorsAttnA,4.633946,False
ContA-DorsAttnB,3.472819,False
ContA-LimbicA,17.681854,False
ContA-LimbicB,1.931713,False
ContA-SalVentAttnA,9.673225,False
ContA-SalVentAttnB,2.76569,False
ContA-SomMotA,0.586981,False
ContA-SomMotB,3.810404,False
ContA-TempPar,2.799067,False
ContA-VisCent,2.856271,False
ContA-VisPeri,4.108741,False
ContB-ContA,12.939909,False
ContB-ContB,0.0,True
ContB-ContC,11.13941,False
ContB-DefaultA,11.514897,False
ContB-DefaultB,13.410728,False
ContB-DefaultC,5.188324,False
ContB-DorsAttnA,3.160578,False
ContB-DorsAttnB,4.749632,False
ContB-LimbicA,15.115985,False
ContB-LimbicB,1.798015,False
ContB-SalVentAttnA,6.593581,False
ContB-SalVentAttnB,1.682438,False
ContB-SomMotA,0.328766,False
ContB-SomMotB,3.772917,False
ContB-TempPar,2.015399,False
ContB-VisCent,4.825437,False
ContB-VisPeri,3.728009,False
ContC-ContA,1.788429,False
ContC-ContB,2.629015,False
ContC-ContC,0.0,True
ContC-DefaultA,3.852856,False
ContC-DefaultB,1.334274,False
ContC-DefaultC,1.432678,False
ContC-DorsAttnA,3.884278,False
ContC-DorsAttnB,1.988971,False
ContC-LimbicA,10.594204,False
ContC-LimbicB,3.390402,False
ContC-SalVentAttnA,0.333607,False
ContC-SalVentAttnB,0.538027,False
ContC-SomMotA,0.19584,False
ContC-SomMotB,1.092398,False
ContC-TempPar,0.071019,False
ContC-VisCent,3.571786,False
ContC-VisPeri,0.210757,False
DefaultA-ContA,4.353129,False
DefaultA-ContB,3.143643,False
DefaultA-ContC,21.997898,False
DefaultA-DefaultA,0.0,True
DefaultA-DefaultB,10.57846,False
DefaultA-DefaultC,5.395417,False
DefaultA-DorsAttnA,10.38146,False
DefaultA-DorsAttnB,1.382623,False
DefaultA-LimbicA,9.787251,False
DefaultA-LimbicB,3.732395,False
DefaultA-SalVentAttnA,2.164852,False
DefaultA-SalVentAttnB,0.578435,False
DefaultA-SomMotA,0.61578,False
DefaultA-SomMotB,2.763992,False
DefaultA-TempPar,0.610587,False
DefaultA-VisCent,2.428265,False
DefaultA-VisPeri,4.131788,False
DefaultB-ContA,0.871512,False
DefaultB-ContB,2.302687,False
DefaultB-ContC,3.777229,False
DefaultB-DefaultA,0.220384,False
DefaultB-DefaultB,0.0,True
DefaultB-DefaultC,7.15092,False
DefaultB-DorsAttnA,13.323702,False
DefaultB-DorsAttnB,0.946545,False
DefaultB-LimbicA,2.819366,False
DefaultB-LimbicB,0.222187,False
DefaultB-SalVentAttnA,1.515467,False
DefaultB-SalVentAttnB,1.842337,False
DefaultB-SomMotA,3.402771,False
DefaultB-SomMotB,1.43216,False
DefaultB-TempPar,0.404295,False
DefaultB-VisCent,0.706141,False
DefaultB-VisPeri,4.867192,False
DefaultC-ContA,8.253378,False
DefaultC-ContB,7.733933,False
DefaultC-ContC,4.134107,False
DefaultC-DefaultA,6.874002,False
DefaultC-DefaultB,4.871378,False
DefaultC-DefaultC,0.0,True
DefaultC-DorsAttnA,6.731662,False
DefaultC-DorsAttnB,1.847401,False
DefaultC-LimbicA,2.545808,False
DefaultC-LimbicB,0.00599,False
DefaultC-SalVentAttnA,1.769437,False
DefaultC-SalVentAttnB,2.580535,False
DefaultC-SomMotA,6.043399,False
DefaultC-SomMotB,1.018335,False
DefaultC-TempPar,2.470401,False
DefaultC-VisCent,0.462021,False
DefaultC-VisPeri,2.285649,False
DorsAttnA-ContA,2.268643,False
DorsAttnA-ContB,2.074681,False
DorsAttnA-ContC,1.454899,False
DorsAttnA-DefaultA,4.413527,False
DorsAttnA-DefaultB,9.211738,False
DorsAttnA-DefaultC,10.805788,False
DorsAttnA-DorsAttnA,0.0,True
DorsAttnA-DorsAttnB,1.357551,False
DorsAttnA-LimbicA,1.741144,False
DorsAttnA-LimbicB,3.332378,False
DorsAttnA-SalVentAttnA,1.233417,False
DorsAttnA-SalVentAttnB,0.016845,False
DorsAttnA-SomMotA,8.428868,False
DorsAttnA-SomMotB,5.966238,False
DorsAttnA-TempPar,10.332761,False
DorsAttnA-VisCent,0.887891,False
DorsAttnA-VisPeri,7.46026,False
DorsAttnB-ContA,1.646229,False
DorsAttnB-ContB,0.175287,False
DorsAttnB-ContC,0.452314,False
DorsAttnB-DefaultA,1.365687,False
DorsAttnB-DefaultB,1.036572,False
DorsAttnB-DefaultC,1.309194,False
DorsAttnB-DorsAttnA,1.97926,False
DorsAttnB-DorsAttnB,0.0,True
DorsAttnB-LimbicA,0.492148,False
DorsAttnB-LimbicB,2.023504,False
DorsAttnB-SalVentAttnA,1.021289,False
