ContA-ContB	ContA-ContC	ContA-DefaultA	ContA-DefaultB	ContA-DefaultC	ContA-DorsAttnA	ContA-DorsAttnB	ContA-LimbicA	ContA-LimbicB	ContA-SalVentAttnA	ContA-SalVentAttnB	ContA-SomMotA	ContA-SomMotB	ContA-TempPar	ContA-VisCent	ContA-VisPeri
4.126221	7.719132	8.137965	9.719896	6.012991	4.633946	3.472819	17.681854	1.931713	9.673225	2.76569	0.586981	3.810404	2.799067	2.856271	4.108741
4.805581	0.633744	1.550461	4.879433	0.673688	2.713778	0.270243	17.804733	6.574031	1.13377	2.910815	2.16622	4.185929	1.389239	2.749187	4.257057
4.234495	1.89058	3.893127	3.793702	3.199366	1.306882	0.118206	12.273645	7.501475	0.410994	6.875626	9.945723	0.103502	1.260471	0.938987	7.037829
8.54709	0.923392	1.429227	4.248068	3.515842	1.932633	2.448277	11.38421	10.111979	1.985876	0.583185	2.200236	3.322106	4.909782	2.095582	3.239305
4.213087	1.079934	2.108016	2.455816	0.179822	5.100744	0.14129	15.688256	9.641731	3.198202	4.609234	3.688093	4.406639	0.176939	0.247086	2.227931
0.464225	2.139848	6.684827	6.427484	1.131678	0.505273	1.804253	16.892111	5.103349	3.625366	4.594141	9.738895	0.323319	6.726227	1.000607	14.719939
15.664316	2.61098	10.571329	14.36968	1.843012	1.469441	3.230751	29.685575	12.019665	0.14659	5.062073	12.434883	11.441277	0.850441	3.004896	10.813069
4.785358	4.534918	2.56544	0.152005	1.472241	6.560709	0.107699	25.284987	1.81548	3.851897	2.727507	11.645021	0.910885	1.069984	5.855923	10.678656
2.345646	2.570277	0.175376	4.486159	5.88891	1.202013	1.031153	0.012441	0.176386	0.570879	1.730109	0.021688	0.67188	9.247618	4.307337	1.460474
2.935562	1.050661	4.026864	0.146269	1.19044	0.740016	1.925413	26.707747	2.676384	1.444234	3.098729	2.403228	0.157357	4.615192	4.228049	4.194389
1.341837	1.804743	0.660806	0.114621	0.052501	0.506444	3.92643	12.073624	0.485545	0.603457	0.791401	0.319792	0.157152	2.168532	0.841681	1.600198
2.638587	0.493998	7.080938	7.079404	2.463426	4.348497	3.779683	23.681541	9.238018	6.079453	2.422417	11.043043	1.199817	0.290824	1.031997	5.718007
7.510749	1.115393	1.481718	12.473249	6.220435	4.137536	0.453296	17.886551	11.590116	1.232354	6.060038	3.793036	0.546959	1.475476	1.605514	3.918441
10.484892	13.627793	12.621577	7.484942	6.663137	0.813018	0.907147	11.02214	5.563215	10.411387	6.984897	3.925972	1.702048	2.343945	2.716846	0.727634
8.984895	0.76616	4.926978	5.941844	3.332162	1.610527	5.908679	40.787781	10.886297	4.886574	8.432126	12.200523	0.820429	1.324343	1.169746	2.751171
23.200241	5.063846	5.954689	4.613824	0.321582	0.219716	0.238224	23.709058	16.906266	2.32222	12.295668	7.263489	3.449667	0.310681	0.432041	6.068744
5.340959	2.375823	2.664278	1.211637	2.501472	1.446911	0.10274	8.51089	6.541437	1.216916	3.906209	6.644731	1.342691	1.013704	4.082777	4.471535
4.049963	0.776602	0.734698	1.389983	0.661136	0.891756	1.386432	10.246164	2.775646	1.178166	1.021183	8.820958	2.492826	3.94558	5.392034	5.325682
5.551523	5.412674	3.31933	9.866315	1.665622	2.133526	1.889927	36.315693	10.847183	4.286495	4.748329	5.146403	0.519642	0.240811	3.959826	3.591141
15.211304	1.342393	0.312129	2.123192	4.549157	0.133981	0.570906	14.624283	9.958718	1.260617	3.756139	11.203743	9.072316	1.105136	3.423993	4.894694
5.573209	1.972406	0.071604	0.727438	0.741443	0.503974	0.501573	19.359495	5.927603	1.386268	2.518428	5.163025	2.190923	3.49464	0.073294	5.465127
27.496554	2.154917	7.815099	12.073825	2.10527	0.265728	3.704661	26.319306	18.518536	0.4252	7.347448	14.173314	1.037518	2.234138	1.565088	13.172786
14.285469	3.573728	2.82579	7.742098	2.461164	3.151172	1.047999	11.125262	3.134272	0.880756	6.898555	12.78701	8.303232	2.700642	1.180841	1.119215
4.20389	0.847774	4.49403	4.10307	0.453841	7.054122	2.091782	28.344111	5.704503	1.247645	3.740053	9.385277	1.228404	3.398893	1.850248	2.174577
13.900284	9.988709	1.323016	11.099335	1.620722	2.98178	1.416261	33.183123	34.279952	0.170488	6.379416	14.655552	25.67221	0.738124	2.581395	5.9267
1.849502	1.853768	0.982201	0.735701	2.370818	9.470456	0.061263	19.870842	5.199685	8.856539	1.521188	6.807467	13.370957	0.389665	0.613365	1.127147
14.454305	4.054298	11.266932	3.98337	2.020851	1.228335	0.241059	47.631393	22.747874	0.675004	15.519492	17.186853	1.939334	0.379281	1.582408	7.537922
25.012525	14.756034	19.23584	14.515862	5.257632	2.258503	3.003655	51.331929	17.162797	5.387926	6.732161	14.974085	8.632717	0.449577	1.397709	5.621004
1.135275	0.528894	0.16939	2.548544	0.311494	4.473577	0.718219	11.664612	2.941208	0.699269	1.751724	5.393723	1.073335	3.072886	5.476946	11.258857
4.190874	5.737455	8.696246	3.544257	1.000392	3.600925	3.150599	15.712594	3.519713	0.696055	2.721263	3.803774	4.205798	2.380284	0.247271	0.430941
16.520652	3.30606	5.794191	4.013025	2.607482	14.1032	3.28841	4.161987	3.064569	2.456144	2.397682	0.727331	8.831511	0.34731	2.334727	0.855624
20.918556	5.254403	5.603352	7.489006	4.29172	0.856422	1.189277	46.691416	11.779822	5.546678	7.482141	7.454786	6.235427	5.442448	4.333074	4.092749
5.304799	2.573922	9.076951	9.562761	0.669843	6.899658	0.241109	17.445773	16.356673	2.066784	8.334546	4.354453	1.33615	1.37692	2.392506	5.740292
0.749469	2.881114	0.541933	0.847763	0.611011	3.56734	1.192505	24.936107	9.886455	2.666657	23.629379	2.173443	0.414475	0.141815	1.024223	4.288488
4.617077	5.264734	1.91686	2.760694	0.401991	4.100066	0.937051	27.89686	5.715634	2.440229	6.023723	8.483599	6.289103	0.287845	1.712628	4.78958
4.760239	0.663094	1.56696	0.177245	0.822837	0.417269	2.140223	8.278249	9.009781	5.463236	4.929555	3.705567	0.474737	0.245865	1.935366	1.24717
9.231467	0.24788	0.671276	2.035768	0.026679	1.317709	3.674787	13.61483	4.976901	2.768007	1.799819	6.757246	7.836763	0.08711	0.381123	6.624692
1.823587	2.983619	9.429313	8.506724	0.150552	1.187067	2.821497	25.975051	14.249897	2.823906	3.590271	1.654867	1.238585	0.571333	0.688676	0.592604
5.197381	0.139086	3.525399	6.809287	1.030048	1.912403	1.200669	23.737926	18.833227	0.315301	11.973843	2.648404	4.119873	1.764629	0.338521	2.17776
12.62909	2.226369	0.147817	0.416385	6.48163	1.44085	4.068767	10.389382	6.044382	1.218621	4.784513	0.807639	0.022422	2.570524	2.986637	3.278122
0.03067	1.570259	0.182326	10.908935	12.150851	0.10012	0.507679	18.462222	9.309297	1.76831	4.230537	3.600417	15.272911	7.870956	11.18503	3.04285
6.502616	2.682044	9.833925	4.328391	1.603418	3.196781	4.323248	23.965889	5.744846	3.234376	6.238115	3.18711	5.803611	1.534147	4.986431	4.327536
1.449703	1.762572	0.735135	4.164261	6.757621	0.885833	1.746521	20.872109	0.740219	5.529037	1.796211	2.079141	1.888973	11.678967	0.01332	3.294458
19.872152	4.66813	3.630994	6.857048	13.012016	4.758846	1.088978	27.925139	16.51144	0.092234	10.94804	13.229419	2.747585	10.473846	1.162055	7.707993
1.14168	14.707053	5.965491	0.916425	0.448367	3.551708	1.151301	24.559759	10.628581	0.368008	1.838613	0.664212	2.465898	2.559142	5.543495	2.16553
16.550479	2.0365	2.50797	7.838529	5.1831	0.772437	1.253371	18.862528	17.41106	0.177081	9.569399	12.492358	1.295962	1.379256	0.636292	3.510175
2.391769	7.191077	10.632027	3.725939	7.819156	0.50684	0.855297	41.171934	8.268529	1.010373	4.894149	0.679694	0.327732	1.079983	2.002009	1.181894
12.570547	1.188828	4.831141	2.690136	1.515358	0.282244	2.577858	38.415862	10.699023	0.028171	7.729365	4.511395	0.844601	0.365777	0.859968	3.575588
1.765298	0.472889	1.132738	0.86724	2.6136	1.325596	2.313219	8.30048	2.405557	1.273607	1.090854	9.639866	1.115341	3.062145	3.559832	6.260079
8.367847	1.146452	1.788192	4.49706	1.200194	1.532983	3.480171	32.985397	11.614518	1.321702	7.531919	9.090242	5.760506	0.14005	11.899895	8.292213
2.358762	15.443681	7.584257	0.791162	1.558368	3.797397	2.30018	33.643749	17.499072	3.084604	6.30702	13.054365	5.652402	8.109414	2.107168	2.462925
7.48694	1.858318	0.622412	2.786387	0.356771	0.433247	0.221168	14.185302	8.067041	0.344444	0.590258	2.650324	1.964052	5.034488	0.904778	0.701837
7.474856	6.405986	0.666527	3.603794	13.729752	0.693389	0.693077	13.018095	0.351844	4.616799	1.494819	4.068997	1.504674	9.006627	19.278447	4.340677
0.488304	7.053784	11.930732	0.114938	0.030921	6.001847	0.795365	5.726843	4.360988	0.284513	1.964981	0.207658	0.968514	1.685029	2.702511	0.816592
3.867894	1.087953	1.973252	3.033194	0.727197	1.896586	3.001274	12.818039	0.896918	0.088569	3.401669	0.635108	0.155871	1.15386	1.292542	0.99145
6.173377	6.376001	1.095046	0.017494	0.636787	1.458312	0.637683	34.31757	5.157181	1.263124	7.024963	1.246425	10.404166	5.748894	0.161872	1.700684
