ContB-ContA	ContB-ContC	ContB-DefaultA	ContB-DefaultB	ContB-DefaultC	ContB-DorsAttnA	ContB-DorsAttnB	ContB-LimbicA	ContB-LimbicB	ContB-SalVentAttnA	ContB-SalVentAttnB	ContB-SomMotA	ContB-SomMotB	ContB-TempPar	ContB-VisCent	ContB-VisPeri
12.939909	11.13941	11.514897	13.410728	5.188324	3.160578	4.749632	15.115985	1.798015	6.593581	1.682438	0.328766	3.772917	2.015399	4.825437	3.728009
10.650183	3.811358	3.05248	3.945387	0.170006	1.149708	1.551629	8.910475	2.609837	1.568431	0.890052	1.451934	5.222661	1.048954	1.4891	4.400107
0.346762	1.831979	1.625497	3.000305	5.085982	0.528872	1.722786	1.22128	0.144979	0.05788	0.875516	0.549983	0.210101	6.749388	3.974751	0.137307
4.59219	7.924532	8.639148	8.094171	12.985844	1.412034	1.810248	0.801359	7.068643	3.339235	0.616899	6.444776	12.1773	3.191018	2.692193	8.987657
8.014782	3.214774	7.181294	11.916867	8.914861	7.102329	4.654022	6.122951	6.230877	0.615924	1.215844	13.857167	9.352257	1.1494	3.251029	3.997662
2.571229	0.011792	0.651032	1.667391	0.412644	2.902794	1.425049	0.573583	0.225187	2.268964	1.883455	8.55543	3.658701	1.110764	1.75432	7.168275
5.108472	5.476451	13.425914	16.71459	4.978737	5.427617	8.873508	10.144908	16.058296	1.093179	8.506524	22.033811	14.313226	0.836842	6.560603	10.31064
3.55596	1.728086	0.252206	1.222587	1.299619	4.022145	2.26192	2.001171	2.201098	0.686865	0.460853	4.430241	1.660713	2.423812	5.097128	9.211468
1.848922	0.536937	4.210297	0.777573	0.884631	0.981066	0.983321	3.227625	3.215083	4.935155	1.382687	2.103214	3.541711	6.517695	0.325869	0.718053
0.225315	0.881705	1.074782	1.195849	0.038354	0.540534	2.981723	0.732052	0.706962	3.762171	0.07203	2.698134	1.49252	0.659835	4.530601	3.586878
1.139507	6.057033	1.802806	3.900258	0.408426	0.978207	1.280341	1.405019	0.13769	0.08016	0.827411	2.883989	2.324083	1.724313	4.802072	2.228078
2.13918	1.03492	0.559754	9.297332	7.526508	4.490697	1.38617	3.282273	2.103334	1.747028	1.206085	11.590294	8.726437	2.741612	1.921604	5.166036
12.337638	0.600447	0.214024	12.207861	6.461009	1.146571	0.866229	9.037579	2.428938	2.808494	1.478851	5.914502	2.948086	2.814128	1.181131	1.480756
1.731697	10.405539	6.338004	9.651306	7.624859	1.057857	0.277726	13.242653	5.212946	5.888927	2.123388	2.261951	4.848288	3.262168	4.859384	0.247423
9.573706	0.74707	1.838989	3.625201	2.770272	1.715693	1.541348	8.952709	2.716438	2.055357	1.460954	5.912705	0.681121	1.545536	0.301828	8.215535
3.335852	3.627348	0.925518	1.775444	0.066478	0.144493	0.562374	5.851719	1.534279	0.462322	0.829926	3.906861	1.32342	0.104369	0.638859	2.261079
1.252534	0.642751	1.33539	1.182393	1.995632	3.50543	0.582084	0.468015	4.296054	0.510629	0.037796	4.772895	4.146659	0.03552	0.981755	2.667679
1.244521	0.229672	0.342271	0.298059	0.540098	1.478083	1.194602	1.819077	2.500005	1.783277	0.413366	2.135602	4.551311	2.3443	2.096553	1.467734
1.755527	0.424167	0.106354	3.335931	0.640175	2.630718	0.910213	6.026224	2.870078	10.748702	0.762333	5.122862	0.265695	1.675031	0.448088	0.740684
