ContC-ContA	ContC-ContB	ContC-DefaultA	ContC-DefaultB	ContC-DefaultC	ContC-DorsAttnA	ContC-DorsAttnB	ContC-LimbicA	ContC-LimbicB	ContC-SalVentAttnA	ContC-SalVentAttnB	ContC-SomMotA	ContC-SomMotB	ContC-TempPar	ContC-VisCent	ContC-VisPeri
1.788429	2.629015	3.852856	1.334274	1.432678	3.884278	1.988971	10.594204	3.390402	0.333607	0.538027	0.19584	1.092398	0.071019	3.571786	0.210757
0.262717	1.022372	3.553283	0.610972	0.789021	0.538625	1.718848	0.970846	5.380662	4.863075	1.539625	1.077709	1.745874	0.081452	0.875875	1.470278
0.250088	3.925431	9.474262	4.384862	4.654198	0.30309	1.204743	7.488025	12.618817	2.637331	3.170675	1.411583	1.636301	3.61248	0.704165	4.584176
1.627347	1.292375	20.2548	8.273803	8.231355	2.034253	0.540391	0.726734	4.553477	2.258104	0.228804	6.854887	8.553758	2.219965	3.448206	6.220803
1.714262	0.526795	4.430997	1.541277	1.415187	5.326265	3.133181	0.341118	2.229323	2.090674	0.008799	7.645508	9.164013	0.133976	2.734183	2.656255
3.56052	3.106863	4.699024	7.877588	0.723054	0.186876	0.734563	2.293373	8.859396	0.741	2.04802	3.808927	1.651173	0.533286	0.099111	5.140086
2.203785	4.267951	18.361652	11.189087	0.7147	5.279795	2.306449	10.131272	10.76725	0.908464	8.772142	11.769465	16.121278	0.657647	1.827308	3.439558
1.105322	1.078727	6.268342	0.498865	0.236729	5.458852	0.926865	0.832058	1.740585	8.380685	4.771925	0.67509	2.362492	0.501714	1.333822	0.611884
1.120127	1.128909	2.726587	5.228377	0.708662	0.748626	0.828806	6.462513	4.326549	3.185826	2.986516	5.085035	1.867008	1.532095	3.623486	4.201369
0.005376	1.030226	3.709422	5.994036	0.060277	3.031935	1.147708	1.153824	4.150392	3.170944	0.554968	2.161786	0.894741	0.686067	2.361913	0.962442
4.942361	0.106032	5.202701	0.941066	1.662156	0.531284	0.701187	0.857312	3.707834	0.387253	0.889391	0.410956	0.210739	0.714218	1.272686	0.533972
1.161499	1.450446	17.431614	3.078701	0.023252	7.060695	0.923576	1.070746	8.396645	3.14784	1.456116	0.498652	4.671414	2.215109	0.158473	2.661606
0.280291	0.041999	6.936984	0.024905	4.488106	0.307131	1.539184	6.173851	9.391286	0.844914	2.535649	0.562257	0.530486	3.286824	0.454566	0.618203
6.591668	3.443681	5.286796	3.464925	3.308428	2.888458	0.524088	0.45856	0.456699	1.82103	1.215679	2.622112	0.584216	4.097481	2.642918	2.768019
5.574639	1.412228	18.115957	5.590549	0.161421	2.248098	2.831141	4.480168	5.287923	3.079199	6.233606	1.027136	1.079235	0.529391	0.469371	0.104039
1.423804	0.732476	6.908714	1.381932	1.873665	0.702682	0.606519	0.541246	2.989388	0.122103	4.13559	0.223866	0.887498	0.400081	0.259079	1.13693
1.237223	1.296114	20.993215	14.963704	0.886839	3.439879	3.177784	0.979823	7.167469	0.662136	6.877434	0.973111	0.884148	0.277145	0.513519	2.376675
0.304743	0.094312	2.780298	0.545527	1.812948	3.941457	2.275008	2.642891	4.697458	1.595047	0.702511	2.210578	2.273802	1.473201	2.371142	2.896504
5.932249	0.02509	2.275224	1.596042	0.251052	1.480398	0.360208	4.637931	1.421583	1.675689	1.147362	3.8898	0.828664	4.492574	1.226455	2.461974
4.94319	1.292359	3.323462	4.054509	8.445612	0.522455	0.285179	2.123975	2.141383	1.611032	0.518902	2.045252	1.752159	1.295211	6.43811	0.807279
0.147318	0.639652	30.685381	6.970247	0.10442	1.896979	0.750998	4.689029	15.00504	1.333158	2.87024	2.096101	1.518486	1.088278	2.155939	1.239043
3.33888	5.496206	2.873861	15.488168	3.358127	4.27473	2.392919	3.140402	7.587144	8.675458	1.995096	4.592712	7.017934	4.312168	0.077291	1.94941
6.907924	0.963721	15.163175	13.265742	2.349505	0.92453	3.255894	11.999776	16.515572	7.345004	18.406714	0.651905	3.095663	7.770209	5.337264	3.862623
1.165983	1.712516	6.689063	6.09744	8.024798	6.233307	0.535072	1.632877	2.560429	0.26313	3.897807	3.15392	2.326739	0.328453	0.30645	2.958731
19.039808	26.207813	8.874066	18.667687	3.849614	5.59503	2.158645	21.293678	20.575366	2.371851	3.196255	8.588966	40.265946	4.059108	2.98838	1.41402
1.661416	1.1917	0.252555	0.518929	1.411414	1.860155	1.040856	1.754549	4.346147	0.433735	0.322881	4.058052	2.326563	2.147477	3.117936	3.551979
1.33956	1.069199	8.105799	5.787901	6.193704	0.112018	0.970057	0.74561	4.036095	0.8916	1.258644	0.145197	0.126198	5.381317	1.278005	0.983015
0.462438	2.603805	6.15276	2.468328	2.715315	1.043885	0.646654	2.551818	5.891923	3.989632	1.510722	4.001296	2.781701	2.59732	2.287183	2.636139
0.690932	0.057957	6.048262	2.689315	0.30763	2.616514	0.189169	2.526265	4.367012	1.009777	0.837461	5.070597	1.350404	0.61346	1.798158	6.571536
1.142567	0.174882	21.411485	6.507312	0.72881	1.587406	0.825726	2.853478	8.62301	1.179549	5.164461	1.667528	0.685571	1.060932	0.758691	0.202916
2.765862	1.379772	22.037006	17.78751	0.778597	7.962786	11.348283	15.344572	18.245658	31.673975	6.310023	10.425014	23.422471	16.837497	9.292615	5.776305
6.062309	5.956349	4.760782	3.894409	6.379848	0.913826	0.340826	4.825977	8.618176	1.098358	1.017027	1.259973	1.40332	5.101111	3.48132	3.213569
1.115282	0.076373	3.532345	4.250904	3.950741	0.468894	2.417908	0.347848	0.393803	2.881502	0.11136	1.04155	5.576186	5.069114	4.582759	1.729656
0.447308	0.977099	3.55796	3.337291	2.529543	3.531166	0.430313	1.661228	1.237809	1.524879	1.937573	1.697585	2.173652	0.165938	2.086599	0.332472
2.010047	5.215415	21.517268	4.578056	0.49155	4.901627	0.054682	0.895627	4.003688	2.156719	2.670127	9.761323	3.734198	0.479338	2.627782	3.199108
6.578783	2.609167	0.477949	2.528069	2.426108	0.673065	1.61289	6.8724	5.636755	4.261679	3.448002	5.475273	0.734732	2.685985	0.704084	5.049296
0.883748	0.034055	12.108192	12.575404	3.281746	1.177789	0.019331	3.548748	6.568937	0.079537	1.17486	3.303213	4.017583	2.082307	5.294757	2.343338
