DefaultA-ContA	DefaultA-ContB	DefaultA-ContC	DefaultA-DefaultB	DefaultA-DefaultC	DefaultA-DorsAttnA	DefaultA-DorsAttnB	DefaultA-LimbicA	DefaultA-LimbicB	DefaultA-SalVentAttnA	DefaultA-SalVentAttnB	DefaultA-SomMotA	DefaultA-SomMotB	DefaultA-TempPar	DefaultA-VisCent	DefaultA-VisPeri
4.353129	3.143643	21.997898	10.57846	5.395417	10.38146	1.382623	9.787251	3.732395	2.164852	0.578435	0.61578	2.763992	0.610587	2.428265	4.131788
0.077092	3.708769	22.230048	2.205934	0.710365	0.525939	0.314843	3.485077	9.810535	1.782979	4.973548	0.271529	0.251621	0.55972	1.694701	3.193602
1.768895	7.427679	7.824214	2.349521	6.41421	0.617711	1.093745	0.221971	14.304583	1.746545	1.51605	1.338032	1.26212	4.008045	0.522446	1.125368
2.193315	3.138724	24.351872	7.072883	5.260125	1.931118	1.439229	0.677036	7.542214	1.626317	1.918372	10.153504	2.967585	1.046137	2.523382	8.688745
8.75937	2.543367	9.11675	8.177295	1.417548	8.322272	0.835856	4.133758	10.655571	1.584839	1.881514	8.177076	9.995269	1.743039	1.090251	2.730609
9.824197	0.600296	16.382373	6.645816	0.261702	1.392357	0.700222	11.828034	20.333459	2.445504	10.41119	7.66001	0.210977	3.294141	2.151551	9.244543
9.092568	8.339233	9.697683	21.386989	2.157601	6.087606	1.791859	7.789036	25.467661	2.879852	12.944935	18.377769	12.274565	1.162607	7.560787	8.251313
5.17428	2.388233	28.334977	3.319813	0.38141	7.705862	0.269753	3.033417	7.278424	9.861353	8.739185	0.575029	5.388037	0.283498	2.437477	0.849126
0.148657	1.989074	7.600286	0.158667	0.372987	0.29052	0.389286	2.674118	0.746788	2.003895	14.144393	3.945494	0.865298	1.97716	1.925233	1.466885
0.587186	2.82329	16.500754	6.625469	2.305994	5.192815	1.300525	0.055077	6.997079	3.685761	3.383525	2.378546	0.987472	1.4422	3.846908	0.456357
2.403365	0.404324	6.44535	4.58449	0.704875	0.271686	0.059012	0.326353	8.234533	0.818792	0.979917	0.915604	1.448385	1.185938	0.033821	0.259296
0.065714	2.701224	22.841606	5.804537	0.192489	1.97852	1.207371	0.767439	4.103965	6.943547	4.500222	7.032575	2.638467	0.081712	0.532877	8.616433
1.399242	0.381338	33.740631	0.406528	2.025514	1.045991	2.794202	6.851896	12.888878	2.115338	11.649397	3.874089	0.709081	4.451719	0.029036	1.351405
0.787523	0.830488	21.131994	1.729515	1.796096	0.797374	5.885375	0.607731	3.988207	1.327854	0.769877	0.571588	0.802022	2.860266	3.52815	2.862152
0.86098	0.157163	11.683103	11.465974	1.68598	2.026665	0.747095	1.071552	3.8117	1.106393	1.445549	1.403785	1.473075	1.381113	0.379121	0.117927
1.884596	3.906521	25.349562	3.169582	0.730113	1.649521	0.035034	0.26427	1.405873	0.229002	1.708834	3.485107	0.125783	0.159036	0.840944	1.363362
0.222779	1.458098	12.222254	18.840294	1.999877	5.033038	1.40635	0.457149	5.061511	1.830284	5.50026	11.151918	9.009852	0.372407	3.57058	4.140201
1.287298	2.202936	13.598381	2.06941	2.726384	4.666332	4.328126	1.700225	3.685163	3.219342	1.173024	3.089028	3.315126	2.906114	2.347235	0.993512
0.082636	1.141462	1.86082	1.238108	2.450675	3.815633	0.733813	1.300686	2.479131	1.563476	0.32318	0.90207	0.928042	0.803712	1.541467	0.200345
6.154229	1.032632	24.891188	8.005526	9.11364	1.682649	0.368985	4.208205	11.268485	2.513902	5.814059	8.813743	3.968575	2.276284	1.989655	17.74811
1.199032	3.543976	46.31276	4.720022	3.953254	7.977676	1.519709	6.477028	19.511024	2.134941	9.034447	1.001251	3.311607	10.800493	1.324944	0.600769
5.676899	10.942953	30.667674	38.483406	2.140523	2.16596	2.761286	8.737326	10.80358	4.026512	3.537761	4.494687	5.01424	4.876589	0.728658	6.205891
15.277384	3.119334	54.642011	15.03562	3.234132	2.224809	8.065293	36.052798	35.105554	16.588024	33.522994	2.319414	8.205508	23.005301	9.63176	1.512566
0.414996	0.188542	10.780544	10.952682	2.96957	5.797407	5.47617	3.781799	10.213122	1.271475	8.086406	5.443918	1.234235	0.120891	0.151173	5.903264
26.8842	30.690268	23.894584	36.693913	8.243424	7.333689	3.298636	27.100526	31.22526	2.501389	5.571451	9.635885	33.184604	4.315072	1.383016	1.766696
0.833884	1.072303	0.121314	1.758933	2.581918	11.238024	1.141727	1.981926	18.459601	4.716006	1.026669	8.984898	7.69813	1.70842	0.359648	4.546027
2.031218	5.152248	22.29017	25.373615	4.140745	1.902276	1.406768	5.09864	5.796564	0.1498	1.522527	6.320791	0.156993	5.814791	2.003966	1.593006
4.913468	11.6443	32.028585	24.588687	0.894448	5.020024	1.989581	4.775003	11.578436	0.764134	1.734718	8.420997	12.134187	0.326318	1.856571	4.48834
0.501514	2.076342	20.871994	6.537374	2.438384	10.779469	0.542821	8.723641	12.826	1.169419	0.494394	6.740605	2.534494	15.149049	1.833847	15.384615
0.097382	2.897933	19.771749	9.82632	2.018245	5.312726	0.154359	1.240799	25.50589	2.750335	5.727719	0.207013	0.125363	4.780158	1.102578	0.71807
4.034741	2.131225	26.020055	21.340797	0.528525	11.245596	14.302637	18.293287	22.25045	40.493325	12.261625	7.696827	37.695093	19.526586	15.735929	9.159044
18.633433	14.767199	41.977131	21.768497	5.11497	2.185157	1.11301	19.203763	21.403235	2.124596	3.341026	3.6166	6.789209	4.377661	4.889431	4.258228
3.694936	3.605819	12.367428	6.37864	5.518008	1.291447	1.320614	2.508951	3.160139	3.63406	0.524621	3.622417	2.767391	10.446485	3.769307	0.718892
0.553893	2.216189	8.070236	11.810856	0.806221	8.21076	2.792407	4.468959	9.426871	0.383897	6.496239	5.36697	2.404143	6.799859	2.716685	3.362272
4.733448	9.808643	42.68787	18.519559	0.54682	15.01305	1.405672	5.816479	18.145862	3.035278	4.134803	15.20161	8.223903	3.487779	1.758276	15.037125
13.386443	2.482935	32.67946	6.640582	2.714554	0.192698	0.411426	13.808818	12.945246	3.523663	7.962144	5.544647	0.892986	7.947077	0.231887	4.13132
3.682996	0.656759	10.423156	26.879265	1.818866	1.922005	0.583213	8.425617	6.775216	0.148854	0.506231	4.409198	7.517307	0.925064	3.664417	2.032167
4.170419	0.150253	11.589175	18.339003	0.090702	10.195955	6.78962	2.764524	8.485725	9.086961	6.632615	2.310475	2.161939	0.387105	1.913042	0.258702
1.935872	0.023206	22.937295	1.751881	0.015053	0.257159	0.993713	0.572738	3.92463	0.221559	2.725607	1.179491	0.776472	0.031749	4.371722	0.708952
0.434862	5.396164	19.997822	19.644282	0.209947	1.682761	7.414325	7.974465	13.200105	1.090151	1.681406	2.134801	4.70607	0.688563	3.239408	0.860862
1.865578	2.639828	8.365272	3.396918	18.388833	4.089455	2.566927	0.204182	7.87882	2.408505	1.296393	2.543702	2.290176	2.909392	3.200454	3.312497
2.768927	0.458726	9.471063	6.067157	1.50969	2.026788	0.617555	1.095014	1.121007	5.599193	0.191159	0.517266	0.607428	2.752078	2.746255	2.675598
2.178805	0.551125	18.754012	6.57757	5.216347	4.81179	0.800176	4.920068	0.106583	3.301343	1.757392	5.166855	0.444632	5.868295	0.093279	1.028453
9.007824	6.582702	29.149782	23.857638	9.417276	5.661888	0.541285	12.562092	21.847351	3.522831	6.115351	8.078882	4.179831	14.351159	1.137149	7.393787
7.570247	1.489455	28.034958	11.267772	0.636876	0.101156	0.643512	14.493602	34.476783	3.399805	16.791936	3.253361	3.097955	1.464327	0.778914	2.209518
0.094717	0.798951	7.891106	5.63883	1.624786	7.406641	1.408343	2.920056	1.003062	1.239479	0.288407	0.195641	1.778186	1.558049	2.676129	0.560179
3.383849	0.144762	15.25427	5.912444	3.472065	2.282427	2.388674	9.482094	10.323046	3.795979	8.517796	3.938272	3.58873	5.877934	0.593891	0.543823
5.087152	0.336345	6.284203	2.389028	2.284913	0.972542	1.006924	5.744819	10.932674	2.60423	0.962542	0.563561	0.07711	3.541677	0.379158	0.913498
5.245322	8.043998	8.304248	9.438219	9.154579	4.01618	1.594057	5.3599	9.916012	3.620315	8.961903	2.452548	1.964337	6.620044	4.326366	7.859265
1.333804	0.237876	31.676333	4.684128	1.139171	1.511182	0.497433	2.9089	4.004876	2.107533	1.101722	7.880805	1.491647	0.703169	3.782712	2.202979
4.385248	0.24092	44.034903	7.350372	1.370709	5.332892	1.841841	5.667799	30.616474	3.897172	6.766697	1.041615	0.671236	4.992844	3.962138	0.841394
3.560911	4.217905	14.856051	6.377802	6.433879	2.73091	1.73023	2.448584	11.536393	2.751973	3.140485	9.255337	1.416717	3.945198	1.071856	0.509154
5.547745	7.720813	20.168209	6.236209	0.344822	2.794381	3.330343	6.557434	12.234689	1.027588	6.412815	3.951471	3.940892	3.919005	2.016944	1.619486
0.003137	0.488654	5.705878	0.253061	2.20361	2.825318	0.222511	1.462456	3.45733	1.91049	0.360021	1.377146	0.873703	4.138256	1.899817	2.263957
0.150112	1.356882	13.708601	2.085425	3.978382	3.41721	0.411961	9.340729	1.977788	0.182402	4.156981	0.260122	3.187854	0.423379	1.721547	0.207452
6.993566	0.435719	17.656714	5.431812	2.099391	10.310338	0.942494	19.690734	23.452032	1.291462	13.155395	1.118219	10.94337	3.304277	3.795178	0.155626
0.684196	0.165561	5.187351	7.999526	0.060253	0.422633	0.440971	2.538296	2.336195	3.889003	4.723272	2.128868	1.079514	0.289718	4.09326	5.465319
5.986493	1.89994	28.575768	0.732505	7.613569	3.62427	2.213023	5.471401	17.066246	5.349578	11.037623	3.863398	0.422602	1.944739	0.059291	1.316913
2.467135	1.099864	30.994313	17.576889	1.294064	7.325221	2.602954	2.67909	11.11147	3.080079	10.983931	8.417315	1.55942	3.770303	2.167445	8.032964
