DefaultB-ContA	DefaultB-ContB	DefaultB-ContC	DefaultB-DefaultA	DefaultB-DefaultC	DefaultB-DorsAttnA	DefaultB-DorsAttnB	DefaultB-LimbicA	DefaultB-LimbicB	DefaultB-SalVentAttnA	DefaultB-SalVentAttnB	DefaultB-SomMotA	DefaultB-SomMotB	DefaultB-TempPar	DefaultB-VisCent	DefaultB-VisPeri
0.871512	2.302687	3.777229	0.220384	7.15092	13.323702	0.946545	2.819366	0.222187	1.515467	1.842337	3.402771	1.43216	0.404295	0.706141	4.867192
1.917603	0.419227	2.806028	1.955799	3.126111	4.356408	4.263243	1.716992	3.95101	3.23046	0.646545	1.806701	1.258439	1.223996	0.368713	1.194726
1.861464	3.278476	0.027883	1.821996	13.749247	3.536117	0.104713	0.366278	1.963359	1.156994	0.056982	0.390853	1.152143	7.167375	0.424454	0.75892
1.053471	21.55989	9.483677	11.615861	31.442117	0.486584	6.760588	0.510183	0.957389	4.950424	0.8084	14.827098	6.064741	15.864887	5.110915	5.847125
5.720815	1.991255	3.955823	7.536671	0.360822	7.674234	2.579752	2.839004	4.47016	3.399722	0.445175	3.246397	8.216759	0.981641	4.463005	1.734644
0.924496	4.574859	1.235736	2.543834	2.30637	7.787339	0.290819	0.26655	3.162137	2.854006	0.893528	6.205371	3.120324	1.380618	0.671524	5.081651
7.146928	21.542895	9.817397	8.093322	12.33892	5.924386	0.894542	6.203767	12.938629	0.672682	4.363056	6.932143	7.085131	17.008521	1.407621	4.832922
1.093905	0.485568	9.126127	4.888001	2.382871	20.112683	1.661612	2.050048	13.825561	15.780523	5.53992	0.402822	4.354787	2.883924	3.019051	0.38256
2.941091	4.314402	3.198374	0.781007	4.602278	0.629734	0.872321	9.490547	0.213082	1.307013	2.060343	2.988423	1.252841	18.611816	0.332544	0.726214
0.338156	1.817356	1.228304	2.659233	1.025023	1.599251	0.529027	0.791986	3.613835	0.232681	1.711015	0.099725	2.419087	1.542751	2.931584	0.449195
5.823047	0.159196	2.833553	6.741772	1.375249	0.788599	4.085654	2.099156	2.614963	0.619298	0.637069	1.813045	1.429881	1.712531	0.200182	1.357383
0.467359	4.932768	0.624676	3.087311	6.051115	10.332332	2.899691	0.125941	6.962332	4.996838	2.434915	7.280962	2.484751	2.543137	2.659807	9.908527
6.206535	8.266448	0.724512	0.363858	11.56196	2.423301	0.074077	5.675361	3.056555	2.271425	3.050882	8.69557	1.189832	4.183769	2.327023	2.641353
0.561872	0.139104	21.821317	7.896344	11.464559	7.515289	2.54635	2.218483	2.551478	3.993325	0.106456	1.654705	2.810446	5.267726	3.65958	0.454176
3.06156	1.123492	3.19325	5.096563	1.40058	4.222322	1.505601	2.324839	5.545847	3.61316	5.004544	1.033444	0.691761	3.665328	0.01667	1.158907
0.037566	2.254669	11.391261	8.149503	2.957429	1.454766	0.122369	0.927588	0.538632	6.946825	1.34941	0.632545	0.164755	1.127388	0.043013	0.935591
0.414115	3.769513	1.368465	9.181802	7.130541	12.785211	2.321436	0.864996	3.102656	2.52898	0.865416	3.693427	3.19149	2.524681	1.267379	1.990942
