DefaultC-ContA	DefaultC-ContB	DefaultC-ContC	DefaultC-DefaultA	DefaultC-DefaultB	DefaultC-DorsAttnA	DefaultC-DorsAttnB	DefaultC-LimbicA	DefaultC-LimbicB	DefaultC-SalVentAttnA	DefaultC-SalVentAttnB	DefaultC-SomMotA	DefaultC-SomMotB	DefaultC-TempPar	DefaultC-VisCent	DefaultC-VisPeri
8.253378	7.733933	4.134107	6.874002	4.871378	6.731662	1.847401	2.545808	0.00599	1.769437	2.580535	6.043399	1.018335	2.470401	0.462021	2.285649
0.517047	1.303602	4.110406	7.985918	7.793152	5.625969	1.928866	1.775335	0.940319	2.574658	0.284465	2.447687	2.907164	1.511114	0.106049	0.052945
4.775319	1.556987	3.012519	3.401605	1.958585	5.912317	3.432938	4.178935	3.777036	1.367944	10.311617	6.919091	2.185309	2.741034	0.426122	4.577581
1.093483	3.840511	5.362006	2.480631	5.545167	1.218922	1.562666	0.401415	1.412145	4.172568	0.072527	3.266193	3.08909	3.551674	0.371403	1.326127
5.362481	2.765173	0.593162	3.174255	16.630652	5.853223	4.890967	4.566022	5.932175	6.415306	1.017989	9.956948	3.961498	3.063006	3.116253	1.345341
0.546312	1.742222	0.30641	1.325447	2.243255	12.673562	1.109532	2.983533	3.697117	0.431987	2.315381	5.306261	9.36384	0.960699	0.252437	2.465961
7.35487	9.476504	2.186308	2.696527	16.442581	6.453778	1.507386	3.59863	3.566448	1.030744	0.744088	2.752154	3.569541	23.585536	1.17016	3.605998
1.532443	3.486873	2.308741	0.003154	7.34793	9.377956	0.478695	1.428326	2.682509	2.298932	0.864714	1.03929	1.819645	16.923595	4.915917	1.086477
3.857188	2.142188	0.272045	1.804243	5.311593	0.314643	0.322992	11.878962	1.603461	3.12481	1.368713	2.461372	0.283483	27.491192	4.04239	0.880348
0.187887	10.992895	1.42806	5.557497	5.780368	0.787703	0.124534	1.423	1.032985	2.332449	1.105615	3.475556	0.621377	3.322089	2.100689	2.644546
8.980399	4.142784	3.622628	2.038429	8.687491	0.631845	3.222142	8.332624	0.003596	0.520116	0.537536	2.364571	0.007194	4.455289	2.568367	2.620137
0.034136	4.715086	1.463316	0.368568	22.697501	9.456952	1.255818	0.314943	2.47785	3.207687	1.407585	9.287343	8.030065	1.008623	7.033028	4.747391
2.849839	6.807635	0.574616	0.015798	19.988734	1.667666	1.593712	2.879674	1.484115	0.791037	2.235888	3.04401	2.266202	1.950569	1.564622	2.289179
0.353079	2.307719	8.93878	6.772853	26.082456	7.610016	1.444507	0.427784	3.14713	4.244193	0.844613	8.289159	3.303142	4.686404	5.739867	2.418015
