DorsAttnA-ContA	DorsAttnA-ContB	DorsAttnA-ContC	DorsAttnA-DefaultA	DorsAttnA-DefaultB	DorsAttnA-DefaultC	DorsAttnA-DorsAttnB	DorsAttnA-LimbicA	DorsAttnA-LimbicB	DorsAttnA-SalVentAttnA	DorsAttnA-SalVentAttnB	DorsAttnA-SomMotA	DorsAttnA-SomMotB	DorsAttnA-TempPar	DorsAttnA-VisCent	DorsAttnA-VisPeri
2.268643	2.074681	1.454899	4.413527	9.211738	10.805788	1.357551	1.741144	3.332378	1.233417	0.016845	8.428868	5.966238	10.332761	0.887891	7.46026
1.827405	2.54537	0.126871	0.194319	4.180201	11.409005	5.693571	1.663022	0.46376	2.27364	0.30747	2.914706	0.223157	1.955929	0.550061	0.836263
1.415769	0.199088	0.350937	0.028442	1.195099	0.886837	3.012699	0.66493	2.012934	12.392719	2.48268	2.038023	2.969018	4.992114	0.365944	0.911513
0.741722	0.575966	0.750875	0.582563	2.026498	6.606964	5.382532	0.592041	1.034173	2.756427	2.325235	1.18344	5.885821	13.67893	0.496768	1.917546
1.233218	3.087543	6.03736	5.24076	17.160592	8.679972	7.909133	0.301154	5.39111	0.307196	2.848531	0.518718	0.088139	4.55831	0.518021	0.482331
1.041669	5.25593	1.049843	0.213596	2.515242	7.191362	4.418255	0.462276	0.222301	3.324937	0.262473	0.270189	0.741861	4.769367	0.56551	0.654736
4.623612	7.354138	3.071201	13.808564	14.343575	4.627045	17.967185	9.55965	6.226525	2.310407	9.601448	6.784111	2.511587	3.538383	1.707091	3.509298
13.690324	2.694126	6.238473	8.305364	16.475929	6.281328	0.944435	4.945528	15.016019	13.26171	15.129256	1.184678	0.693311	1.66493	2.641701	0.115223
2.609365	0.156134	0.984001	6.151026	6.183394	0.578219	8.032149	1.031154	3.349286	0.558816	4.008656	2.014335	0.000591	1.20762	2.965341	0.858644
1.461887	2.841836	15.549266	3.863309	5.962242	0.067042	4.640317	0.275139	7.063546	1.292961	0.661396	2.499609	6.101587	0.136332	0.087441	1.354834
2.249119	2.378306	1.336897	4.233744	4.317126	0.50382	0.253862	2.722315	11.159043	8.726844	4.639103	0.025522	1.726404	0.221038	3.399693	0.072727
4.473799	2.203384	2.65057	10.916238	8.05273	5.138338	12.184289	0.337905	5.10719	2.157157	0.316024	1.876972	0.51059	3.118163	1.308136	0.526273
7.55252	5.025129	2.112988	7.833097	18.043003	12.595838	3.34118	2.215488	1.372216	3.241517	0.111819	2.423509	10.741257	10.045694	1.608912	2.350862
0.92688	1.630712	5.874441	3.961445	12.523012	1.161101	6.52178	3.847993	5.592017	1.199685	3.812362	0.613652	1.12962	1.1021	0.139047	6.544272
1.659016	2.02774	1.830163	6.641983	8.101718	2.337198	12.103888	0.573041	2.182318	0.650571	0.301489	5.498951	0.298996	6.781295	1.113804	11.712239
7.274884	0.746989	1.453656	2.804132	1.996161	1.435054	2.140458	0.387381	1.512898	1.780141	1.192691	0.844256	0.4261	4.650504	2.037282	1.744407
0.552361	0.780262	2.044591	3.203469	15.672965	10.106607	15.417799	0.143753	3.855661	0.3701	0.31598	3.285812	2.350978	8.911341	4.093817	1.276289
4.279133	1.452074	1.759827	3.912841	4.528596	3.820261	6.919068	2.521694	1.915741	11.626725	3.058904	1.709847	9.55813	6.766705	1.464279	1.147614
6.716879	1.140836	2.213131	2.135749	3.69464	3.807107	6.12145	5.739691	5.022757	2.833435	1.403418	1.85743	0.855836	2.794705	0.566523	4.59258
0.132516	1.164316	2.169917	2.186494	3.613662	4.952485	4.594039	3.140772	0.187097	0.611876	1.720139	9.158083	6.485819	8.449132	6.236171	9.822703
8.289337	8.159355	3.590121	12.840295	23.137644	31.789319	8.20389	2.469209	4.39448	10.101572	0.204056	4.576186	5.094404	14.785787	3.082257	0.790265
0.770669	0.708227	5.556122	2.36052	6.709299	3.935161	0.3348	0.98328	1.685452	20.239741	1.640705	4.883391	1.195181	6.153837	5.67862	1.760419
5.458046	0.792396	1.197481	1.01961	1.777345	2.890211	1.775956	0.098658	2.243586	6.291722	1.06309	1.391289	0.037597	6.370738	0.411977	0.876793
4.336568	0.66386	4.105004	9.530074	9.310884	2.93409	8.861729	4.446648	1.466965	4.498267	1.579693	0.101496	1.990176	2.103275	1.626393	0.845351
