DorsAttnB-ContA	DorsAttnB-ContB	DorsAttnB-ContC	DorsAttnB-DefaultA	DorsAttnB-DefaultB	DorsAttnB-DefaultC	DorsAttnB-DorsAttnA	DorsAttnB-LimbicA	DorsAttnB-LimbicB	DorsAttnB-SalVentAttnA	DorsAttnB-SalVentAttnB	DorsAttnB-SomMotA	DorsAttnB-SomMotB	DorsAttnB-TempPar	DorsAttnB-VisCent	DorsAttnB-VisPeri
1.646229	0.175287	0.452314	1.365687	1.036572	1.309194	1.97926	0.492148	2.023504	1.021289	0.068922	1.441059	1.651163	1.289001	2.729257	3.424719
1.301641	0.113369	2.812721	0.336406	1.808345	1.739372	1.74829	0.755616	4.032213	0.67159	2.64082	0.157492	2.205852	1.991189	0.453505	0.571537
4.284783	4.247944	8.279799	3.567164	3.872808	0.287053	2.377356	4.035829	11.583124	8.608496	7.796644	19.690558	2.263187	1.176734	8.080435	7.803579
2.626349	1.477178	0.822128	0.334674	2.931753	4.462781	1.995992	3.322725	3.667099	0.841183	2.97916	2.944079	1.389637	1.95108	0.102873	1.57614
6.010587	1.797574	0.316026	1.734513	0.387365	3.091012	3.557918	6.299845	1.381353	1.114152	0.435303	1.534985	4.390576	1.008175	1.413877	0.626934
0.490912	3.48861	1.269643	0.126856	3.351849	1.534557	4.355927	1.553832	0.043468	4.348443	0.027904	0.744533	0.301776	2.27382	0.914536	1.070131
0.439581	0.005021	0.675411	1.223613	1.119779	1.762414	0.697163	1.117601	0.080405	1.289198	0.658497	1.8113	1.07373	4.071466	0.150841	0.576363
0.027766	0.359647	1.003713	0.2717	1.284048	1.361938	0.361339	0.043215	2.990885	0.183003	1.394545	2.253852	1.073648	0.116597	0.912427	0.454366
0.425006	5.045741	2.498559	2.165174	5.549561	3.539429	3.406039	0.156163	3.865813	0.162027	3.633987	0.724291	2.910032	0.058888	1.27597	6.293465
1.268827	7.015868	2.747968	0.870346	1.472816	4.796817	1.923172	0.772631	0.341953	0.698905	0.395556	11.195913	0.397321	2.412068	1.34906	7.625483
1.178251	2.232543	0.232955	2.03768	2.961565	1.092033	0.071847	0.514095	0.120445	2.576101	0.057848	1.372449	1.924374	3.755232	0.437159	0.379255
5.859726	0.840346	0.669401	2.597757	2.146106	0.826458	2.131551	2.876142	1.019888	2.336216	1.05961	0.817906	4.536317	1.371678	1.384807	3.862747
0.860857	0.738349	1.305175	0.560687	2.435647	4.859975	4.305296	2.154817	2.546102	1.09548	2.501838	6.913816	6.362898	2.964373	2.049868	10.764646
4.982134	5.551655	1.137376	0.600039	1.584778	2.221212	3.260738	4.508449	5.552781	7.622549	2.051924	3.315432	8.00334	0.326008	3.760477	1.024997
4.145153	6.675587	0.205784	1.443011	2.009107	0.807689	3.171856	8.282059	1.296889	4.022735	1.829779	2.188991	0.416668	1.950667	0.512486	3.303008
2.464026	8.990654	0.447687	1.609259	1.108368	0.479259	3.145432	0.763909	1.225256	0.54332	0.409396	1.150678	8.162851	0.874182	3.42407	2.573742
4.40855	1.326331	0.844021	0.337488	0.052481	2.089232	9.197615	3.895862	1.71994	0.555622	0.198089	2.010049	1.55584	1.426957	1.380161	0.15049
0.649391	0.541534	2.473024	3.61386	2.713615	2.647895	0.341856	2.849951	2.856347	0.458297	0.969238	3.345767	0.637028	3.839916	2.447572	3.326646
2.18523	2.47832	4.154061	1.553939	2.508179	0.156686	3.496324	3.750164	0.692171	3.837077	0.763027	1.431407	1.137021	0.152219	1.437915	1.282476
5.638608	2.214025	0.241088	7.799484	0.716168	2.009812	4.476796	7.78959	9.078265	1.173596	0.914014	9.414956	12.946389	8.137229	2.024204	6.375162
3.618715	1.855599	1.666911	2.028309	6.132559	7.561501	3.325662	0.938921	3.077834	6.548274	1.724035	0.454824	0.246298	5.696985	0.978215	0.185008
0.099612	0.415251	2.125197	2.199102	2.759977	0.927318	4.098692	0.52637	1.595489	2.122438	0.319004	11.825083	0.186079	1.552123	0.54068	4.447555
