LimbicA-ContA	LimbicA-ContB	LimbicA-ContC	LimbicA-DefaultA	LimbicA-DefaultB	LimbicA-DefaultC	LimbicA-DorsAttnA	LimbicA-DorsAttnB	LimbicA-LimbicB	LimbicA-SalVentAttnA	LimbicA-SalVentAttnB	LimbicA-SomMotA	LimbicA-SomMotB	LimbicA-TempPar	LimbicA-VisCent	LimbicA-VisPeri
3.437116	0.743868	2.224665	0.039754	0.072208	0.324786	1.044724	1.743971	2.272656	1.476334	2.074573	0.051235	1.724457	1.410648	0.557121	1.655473
8.027651	0.872667	1.772748	0.45858	3.635948	1.142253	1.454963	0.020382	6.379483	1.060683	6.544708	2.283265	1.278552	1.206537	1.008104	5.256469
9.028583	5.58287	2.08749	1.574718	1.403731	3.380404	0.612892	2.490234	18.418351	3.944839	3.90083	7.616528	0.846399	4.150822	0.216673	7.280604
16.263292	4.383969	0.900261	0.822005	1.907198	1.943363	0.588101	0.396053	10.308998	0.052053	6.778409	7.561229	1.929477	3.926806	1.08848	0.436807
14.440861	5.210175	5.788797	3.696255	2.722109	0.256412	2.651429	0.123415	11.84865	3.172126	9.606295	5.325338	5.115374	0.270052	0.564743	6.004618
5.522503	0.540363	3.85956	4.604045	0.988314	0.2736	1.158369	1.077798	16.324196	5.670915	3.774167	1.785675	1.475776	2.690482	0.531546	2.805447
25.417877	16.959129	3.58085	12.91427	14.923627	2.832753	3.835268	5.673602	34.926409	2.359682	9.451474	22.51756	10.504167	3.509486	4.33511	8.579657
10.279025	1.080191	4.71135	2.887135	0.443176	0.138298	3.390416	1.453443	2.338203	4.585995	5.143037	0.674936	1.598064	0.0216	3.415829	5.220927
7.005044	1.430332	6.174103	2.111723	5.083729	5.877425	0.637753	2.469228	1.415738	2.733329	2.566925	0.23318	0.015925	1.460386	9.828978	1.60594
6.551905	0.0289	1.33807	0.843754	0.907231	0.497176	0.30032	2.71964	7.039345	2.9394	7.77488	1.959152	0.018409	2.502142	2.176933	7.797514
1.7091	2.89622	3.339426	0.28063	3.561186	0.136337	1.055044	1.000347	0.821882	0.861905	0.92577	1.069084	0.237644	0.978827	0.792797	1.415016
29.134356	2.900889	6.640828	5.473629	5.333816	0.687857	0.196014	2.116362	7.592227	5.160327	6.012122	4.408447	5.37569	0.564876	2.345368	4.622038
16.133131	7.781335	5.17252	1.752319	9.779329	5.017424	1.843404	3.394157	8.299565	0.952366	12.883415	7.883168	1.747803	2.126288	0.619076	4.142335
2.305823	7.990624	1.57568	0.468962	3.794173	6.248284	2.323888	0.522356	1.558508	3.555565	0.095581	0.946761	0.133054	0.57564	1.188824	0.413632
24.16165	5.243671	5.178396	2.611547	6.720528	1.404586	0.670308	7.362901	14.955415	5.909105	6.415652	2.960798	0.309538	0.455706	0.898921	1.086029
14.838452	19.717065	7.527879	19.074799	2.047672	0.613455	0.956483	0.628844	23.665503	5.43301	13.61104	7.628412	1.208987	0.142258	0.026862	4.972813
16.104106	6.878094	0.99652	1.944874	1.178947	4.509912	1.013052	1.647372	7.108964	0.09641	3.329992	0.997611	0.265687	3.671455	3.556468	2.366704
13.620096	2.526528	3.832484	0.571471	1.660769	1.710884	0.858422	0.393674	5.459741	0.837384	6.170258	6.650534	4.004172	5.482175	3.489272	4.823341
2.96167	8.308829	2.820997	0.283128	6.171325	2.510567	2.131175	0.02385	5.499681	3.349808	0.536888	3.47321	0.013845	0.621001	5.698955	1.990219
23.601894	13.35539	5.800353	4.615827	2.502853	1.28241	1.129107	1.601935	19.651287	1.895874	16.122284	6.568727	7.259717	4.126556	2.279186	4.99107
1.370726	7.020108	6.168658	1.079951	5.56458	4.51929	1.764525	0.725157	14.976017	6.35519	10.449586	2.790956	2.383446	5.777929	0.533086	1.70708
26.736484	20.341697	2.542812	5.645642	4.570955	1.690112	0.205799	4.670655	29.656746	0.262711	9.086439	22.726834	0.177958	0.901506	2.083176	14.109915
27.953568	8.408696	10.21246	13.925256	18.162949	1.258693	0.031002	5.983722	11.959455	8.810999	16.514702	10.645059	10.343875	6.380155	1.919974	0.091064
5.645104	3.998217	2.386519	4.865158	1.889358	0.284904	3.801128	3.399081	11.13343	2.681129	3.12034	6.636553	0.46809	0.472666	0.081562	2.282388
4.700624	7.704771	2.189205	2.16971	2.871871	0.976615	0.731328	1.65266	29.527288	0.116855	5.673666	14.124415	12.803443	0.131036	2.102149	6.557702
2.878954	0.446667	0.167737	0.147086	1.409117	2.358767	4.385153	0.17017	6.511916	6.962147	1.359745	3.529509	2.273115	0.770926	0.247853	0.26788
25.219407	10.323955	0.871391	5.492395	2.654635	0.926905	0.385727	0.280876	15.463806	0.214119	6.763848	20.712332	1.560572	0.374054	0.958432	4.137168
9.731357	11.12186	9.297729	6.21539	1.791108	0.241133	0.099506	2.5181	13.216801	4.410283	6.617767	14.433117	0.097925	2.975511	1.225472	9.822759
0.27834	0.354101	0.586696	1.812003	3.482899	2.561174	0.399839	1.352623	2.965101	2.30491	1.62572	4.454165	0.978099	6.559764	6.869237	14.51665
4.521661	0.919739	4.002321	2.278935	0.785193	2.318806	3.700144	7.063762	3.86961	0.069592	4.064295	4.752603	2.594838	2.473611	2.500416	0.157702
11.662941	4.339217	3.743054	3.713316	8.400336	0.001515	17.710873	15.041232	2.348514	17.032621	2.926646	2.506943	27.621839	4.686426	3.09615	0.602576
5.113112	5.965665	4.924825	6.015459	4.556041	4.603797	1.027623	2.58494	22.443494	11.544688	8.91862	7.274224	2.412609	6.028392	4.446226	7.03457
14.951981	8.477115	3.043202	2.188436	4.782484	0.499066	3.856519	1.31887	10.747567	0.949823	9.188766	9.910088	0.171376	0.162907	2.187076	0.022592
5.519987	0.672499	1.634321	0.513055	1.466761	0.996221	0.924178	3.759293	9.389183	6.129563	20.268397	6.513516	0.701235	0.66903	0.489942	7.296995
14.333805	1.355326	4.118659	3.350878	1.69884	1.694802	4.676609	1.055018	10.278192	5.780156	5.67276	3.360076	3.041032	1.417761	1.168198	3.547035
17.482548	5.211568	3.258951	1.050176	1.037771	0.200361	0.066053	3.276015	20.097124	10.212444	9.79596	3.569012	0.840091	0.279463	0.718625	2.354896
10.029135	3.819493	0.230126	0.265056	1.809908	0.512032	0.820452	4.45515	8.052575	2.063345	6.637645	6.645441	0.163164	2.786113	2.622387	3.789282
11.196352	2.483867	1.105026	4.266605	5.250581	0.747624	0.063222	1.001888	13.950082	0.28167	12.054096	6.108402	0.361674	0.386652	2.510082	0.358842
17.565645	6.159905	0.440404	2.403744	10.242978	3.398606	0.317263	1.043518	26.646342	0.719971	12.805491	10.596205	2.184204	3.381772	0.851442	5.246988
3.62984	9.946772	2.846223	2.212413	5.426613	0.0554	2.344681	2.787005	13.597852	0.275874	4.591739	0.746926	2.749516	0.856463	0.299397	0.12909
5.781889	0.62898	1.34015	0.424582	3.671205	5.662518	1.460611	1.469001	10.084287	2.915895	2.419676	2.190227	7.665463	2.043459	11.988887	1.78617
4.915458	9.192864	3.485601	3.718062	1.694334	1.33156	4.339852	6.596217	5.428925	1.55006	10.396638	6.362977	3.497283	1.173024	6.273758	7.246373
6.898392	0.630477	0.941778	1.570466	0.445221	0.822418	1.661657	1.982069	0.244092	1.386991	3.305676	1.024628	1.214627	0.825218	2.048742	1.494667
12.286818	12.728391	3.492434	1.462717	2.727357	10.798215	4.642846	0.181414	18.780701	3.799223	6.585047	8.235863	0.816969	7.077972	2.883336	7.594524
5.73748	0.707589	6.408798	1.84132	0.067149	0.396393	0.14589	1.276946	12.877205	1.999823	4.882592	1.232302	2.141115	0.976017	1.408521	1.823741
14.108356	8.017716	0.916612	3.52615	5.352	4.3327	0.812006	1.997138	22.121085	3.399424	14.425932	10.7845	1.088071	2.835432	0.761151	3.954636
7.003451	0.363182	1.639464	1.101519	2.038621	2.800423	0.607708	0.042241	5.429518	1.949148	1.931615	0.244574	0.213668	2.332686	0.23306	1.632873
19.291461	6.104344	1.551042	1.840729	2.159778	1.902484	0.550925	7.327092	11.80383	1.682988	6.916039	5.094425	0.023598	6.224609	1.468389	2.420536
9.848425	1.547771	0.319858	0.152983	0.219265	1.589383	0.604511	0.20182	3.063227	4.141129	1.983752	7.829158	0.731903	1.988126	3.65472	8.556642
18.965743	15.224239	2.154265	1.512101	1.91739	2.138404	0.492226	4.187189	7.338092	0.655458	2.449156	6.722274	1.968555	0.941899	8.083099	4.300416
13.646073	3.415328	16.503109	5.811348	0.674019	3.522554	3.861711	2.318723	26.573083	4.669172	6.289005	5.187475	1.927271	6.495832	2.387758	2.290935
38.482557	10.414821	0.413436	0.75242	1.73368	0.926932	0.772468	1.618484	12.817688	0.342032	5.439749	4.568375	0.287614	6.35419	1.11142	4.250129
2.888223	1.838931	4.169532	0.718979	2.368577	5.945318	6.000423	2.652233	8.569141	0.040158	1.672717	8.41312	0.531775	3.91369	3.454988	4.316885
6.104768	2.0772	13.560539	13.692759	0.31614	0.056647	0.298551	1.549356	2.284826	2.09611	0.557892	0.056201	0.52851	0.611068	0.022323	0.305093
9.872966	6.67852	2.076527	2.013006	0.723956	0.036609	5.66998	5.229199	3.67081	0.010309	8.900042	1.39667	0.472835	1.248776	2.817601	0.201913
4.28888	2.396626	8.526979	4.459293	0.184316	0.957553	0.527963	0.700809	5.384328	0.168876	2.915044	4.289425	6.146221	3.81241	0.610574	4.203219
23.160133	3.975505	2.438584	2.673789	0.296362	3.156024	0.51761	1.533946	9.949531	2.01446	7.234886	1.088578	0.653613	0.163053	0.005669	0.675396
21.522221	0.829415	6.076068	7.362992	0.995213	3.499105	2.513439	7.579169	12.047491	0.808568	13.326485	10.794888	5.532579	2.244607	3.309139	0.211288
15.740657	3.775801	5.276833	7.790214	4.943167	0.698764	1.347469	2.263982	13.02608	0.8671	10.802489	6.712421	2.108004	4.311681	4.819641	3.647005
23.026752	2.687587	3.496824	1.257797	2.886669	0.731291	3.766975	1.402559	6.641096	1.06295	2.591244	5.665335	2.98918	1.497968	0.255097	2.525779
7.509521	1.892148	0.523833	0.335823	1.595598	0.262044	0.507603	3.961471	7.436895	0.752653	3.375905	1.359985	2.936767	1.085834	3.421388	2.489809
5.951291	6.315147	7.20196	2.983424	1.217315	0.3418	3.999385	1.900943	9.522694	0.029767	6.459688	2.35212	3.696629	0.533727	0.422883	2.313379
9.199533	8.557009	0.962196	1.726448	2.706319	1.908911	0.302117	3.818826	6.571482	0.630447	12.417793	6.977665	0.262046	1.208595	2.744318	1.602436
6.277569	3.023668	0.318448	0.332878	1.563391	0.985317	2.393934	2.650606	0.827936	1.211298	3.590014	4.753139	3.274525	6.078192	6.588815	12.630519
