LimbicB-ContA	LimbicB-ContB	LimbicB-ContC	LimbicB-DefaultA	LimbicB-DefaultB	LimbicB-DefaultC	LimbicB-DorsAttnA	LimbicB-DorsAttnB	LimbicB-LimbicA	LimbicB-SalVentAttnA	LimbicB-SalVentAttnB	LimbicB-SomMotA	LimbicB-SomMotB	LimbicB-TempPar	LimbicB-VisCent	LimbicB-VisPeri
3.050423	2.278249	5.125748	4.330452	5.237275	3.816684	1.327373	2.572986	10.586903	4.485045	4.743235	1.839255	0.470721	3.177025	0.444422	5.859136
1.884832	0.761099	2.993805	0.818772	2.555603	0.29035	0.122987	0.778004	5.786248	1.073972	7.545418	0.883784	0.036352	1.842596	1.178188	0.725629
0.094725	0.90903	2.583385	3.375389	5.932274	10.722744	1.172028	1.689461	2.374794	8.249773	2.223864	3.591336	1.428531	1.794267	0.861978	1.190854
6.946823	3.030337	1.615808	4.355894	5.541434	4.439736	4.283452	0.034649	4.582906	1.703121	5.703205	3.936603	4.574053	5.015139	0.681765	1.480997
3.4898	1.6454	3.66542	1.721379	1.421043	0.753141	4.020186	1.667347	1.784437	4.016929	11.832353	5.118242	3.587939	0.847686	0.451733	2.104615
4.73432	2.036144	6.858086	13.227523	6.662589	0.649925	0.959826	0.271649	5.621772	4.83201	6.845878	3.575537	0.248644	1.384831	1.225857	3.492458
4.486339	5.37569	10.07719	20.64536	21.35916	3.458235	3.772656	7.240369	13.42429	1.294134	12.494144	13.579782	15.838162	2.915111	1.896199	6.428604
3.439185	1.766904	19.87568	7.098586	3.521087	2.166152	1.43266	1.352767	5.764758	11.92611	20.629254	2.617082	0.622602	1.319696	5.36395	0.990048
3.641247	0.647468	4.04383	3.677903	8.532329	3.750833	0.194476	2.220437	3.767283	0.290858	4.918691	0.832761	1.076474	2.159658	1.812645	1.925118
0.308216	2.101109	0.512054	4.8845	6.994607	0.899362	0.577401	1.154386	0.196053	9.036047	6.31509	1.953305	0.225291	0.522665	1.454077	0.747337
0.167606	1.121168	1.552609	4.209892	0.908925	2.002375	0.136425	0.087784	3.811578	0.244794	5.541079	0.105626	0.387831	0.783434	0.847103	1.300537
9.789953	5.620753	8.349254	9.399523	10.172487	1.992238	2.149913	1.968782	15.057953	6.949538	13.590821	7.34083	8.664829	0.143423	0.117247	3.215223
6.347566	0.993183	7.417361	5.311862	3.08526	0.271342	2.302551	0.727692	5.392079	1.437691	17.248227	7.833721	0.039663	2.417956	0.28623	4.426271
13.007844	10.191164	22.567324	17.877968	20.296012	8.797042	3.981344	0.003477	4.873908	4.895432	11.367807	6.476279	3.367391	1.1191	4.027196	2.7634
8.219003	2.546347	8.016475	9.767803	9.987373	1.073361	4.005354	4.374002	20.298684	11.976068	12.371196	5.402214	1.36702	1.914552	0.750243	1.124887
6.27989	9.532044	0.986427	7.580065	4.091462	0.96642	0.072573	1.054223	8.597739	4.069905	18.146091	5.498231	0.249326	2.269503	0.047588	3.847599
3.979633	4.988742	7.2484	4.725902	3.711996	6.699644	3.65134	0.883208	3.456165	4.453639	6.234269	4.21518	0.03399	0.791788	2.63368	0.914501
1.230789	0.723523	0.399378	1.675893	0.541069	1.379698	0.501196	2.781059	0.155443	0.283468	3.98835	0.323985	1.231092	1.075027	1.273749	0.07466
2.181375	2.46949	0.822034	0.829159	3.519998	2.909572	2.017057	0.001822	2.37992	0.586385	2.670826	1.470347	0.083179	5.215485	0.268295	1.720437
2.538468	0.586071	4.19583	3.162565	6.848817	3.081261	0.57488	3.172711	4.965955	5.262556	1.940041	7.35049	1.874176	5.794037	2.846566	5.228829
