SalVentAttnA-ContA	SalVentAttnA-ContB	SalVentAttnA-ContC	SalVentAttnA-DefaultA	SalVentAttnA-DefaultB	SalVentAttnA-DefaultC	SalVentAttnA-DorsAttnA	SalVentAttnA-DorsAttnB	SalVentAttnA-LimbicA	SalVentAttnA-LimbicB	SalVentAttnA-SalVentAttnB	SalVentAttnA-SomMotA	SalVentAttnA-SomMotB	SalVentAttnA-TempPar	SalVentAttnA-VisCent	SalVentAttnA-VisPeri
1.716033	0.75237	7.52145	8.280189	21.384909	11.564994	7.240353	1.962468	2.016461	0.616183	4.21081	3.399674	1.600835	10.59285	0.11001	10.651481
2.672194	0.837421	0.610669	3.191308	1.325096	1.995127	0.689111	0.197554	2.235896	3.415988	0.854452	0.063581	2.752873	1.226364	1.020724	0.801092
0.54818	2.926921	2.769243	1.338283	0.137537	0.760412	2.605418	0.963917	0.277005	2.77835	0.389496	2.405167	0.748684	1.803266	0.342168	1.295748
0.01124	2.360621	2.427455	2.379894	1.824796	3.216535	1.852067	0.606901	0.802861	1.352058	1.425032	2.308671	4.214766	0.177362	1.394599	0.961087
0.398641	0.860383	0.177637	1.426267	0.968121	0.148517	0.216684	1.221591	0.162721	1.377263	0.801659	2.21026	2.257368	0.244472	0.40691	0.864951
0.783437	0.753035	0.407869	0.068245	0.231404	3.399719	1.139335	1.525965	1.680112	0.498482	0.718523	5.298428	0.281223	3.385036	0.410342	0.852236
0.238785	0.419039	4.804047	3.931305	4.90837	1.001158	3.632566	1.808655	1.068298	7.850712	3.842363	3.222012	3.675097	0.445167	1.445938	0.2023
0.297599	0.293624	0.012012	0.260171	1.356589	0.963523	1.580056	0.293217	1.207268	1.637526	0.612681	0.468012	1.012504	1.731578	0.777966	0.591291
0.688396	1.963136	6.742061	2.87994	2.268229	0.30497	10.107288	10.739685	0.000812	2.633594	4.083997	4.587461	10.435876	1.691605	6.754515	2.226571
0.932869	0.365184	0.227583	0.997354	1.794711	1.11012	2.509171	2.232112	1.817239	13.037055	3.86996	2.049226	0.026469	2.693482	1.664221	0.61116
0.017921	3.95355	0.453414	1.014246	1.181611	2.599976	2.308688	1.32444	0.062526	0.263871	0.157615	1.855463	3.057622	2.259926	0.585886	0.998402
2.639635	1.46578	1.733815	0.28405	4.77038	0.657614	0.560337	0.36718	2.667788	1.314472	2.02577	0.411226	1.766683	0.622013	0.847583	0.049521
1.415827	2.444533	1.844158	0.376036	2.450097	1.949604	0.883625	0.982502	1.87148	2.878982	3.35602	0.273073	1.332298	0.411824	2.256025	0.051706
2.088248	5.69499	3.242671	1.905161	4.053584	5.67711	4.474523	4.637078	3.629791	3.631827	2.420329	3.083901	1.419124	1.003655	0.65492	2.305307
2.281721	3.56381	0.519447	0.674186	0.260931	0.381079	0.063485	4.200754	3.084599	2.073563	1.51756	3.18609	7.034476	0.492433	1.554614	1.007438
0.731028	0.540006	0.640471	0.534475	2.821902	0.110175	1.465603	1.142793	0.598929	1.098752	0.001676	2.082869	2.449005	4.374472	0.267755	3.404592
2.920095	0.173905	2.223387	3.824312	3.328623	0.083876	1.014077	0.393632	2.689834	3.802116	0.995061	0.962166	0.175739	2.889252	1.039383	1.459755
0.555795	2.782285	0.833854	5.063786	3.508504	2.362566	2.539292	1.84846	1.275498	2.128113	8.92283	0.220505	7.04226	2.675647	0.674173	0.317705
2.160319	0.135675	1.294513	0.08257	0.484212	1.182273	0.021949	2.334752	2.628136	2.616218	0.753114	0.876386	1.62916	0.440256	1.542743	1.00576
0.340969	0.90172	1.258211	0.236802	1.722306	2.253429	9.329741	3.432196	0.338735	2.885479	0.617159	2.560072	3.068591	0.239081	2.372286	1.795655
5.728179	6.217191	6.974065	6.428997	2.318675	1.279489	0.873649	1.494593	1.346701	1.758737	6.541902	3.055139	2.328379	2.520304	2.979131	1.171876
1.684601	0.619085	3.700699	2.433417	1.032765	0.107194	1.891237	1.142665	6.586177	0.237888	4.927453	5.224319	4.097614	0.135954	4.189829	1.936041
3.466443	1.582647	8.683191	8.814913	16.127315	4.061252	1.03595	0.912973	5.420262	12.664631	2.628907	3.76485	1.933288	3.055971	1.601761	0.187688
4.175258	1.340408	0.379983	0.153874	0.045241	0.338823	1.124813	0.642874	0.369845	2.877527	4.319031	2.035047	0.172406	0.647957	0.416122	0.847509
0.277952	0.191062	1.505038	1.74924	0.32048	3.042057	4.113087	3.536387	0.608853	0.50625	0.687135	0.519496	4.011122	3.932651	3.102596	2.215948
1.786824	1.397683	0.680234	3.115864	3.609949	1.024019	7.975157	0.660854	1.74859	1.722744	1.106564	1.450381	6.009581	1.321913	0.443529	3.627633
1.503141	0.583898	1.800665	0.557212	0.107563	0.154274	0.259683	0.159669	1.533743	2.762926	1.269983	0.29233	3.138493	2.242935	0.357316	0.874918
1.078156	0.60057	3.673113	0.411413	0.734142	0.147192	0.187487	0.364628	0.469142	2.045927	3.254893	3.52743	1.963988	2.869271	2.678018	1.14905
1.005109	2.199173	1.165918	0.460598	1.286829	0.670632	9.345136	1.266403	3.912749	1.289125	0.902454	0.27477	0.199818	0.802648	0.326042	3.665222
1.469001	1.362891	5.549176	3.782423	4.234241	0.419016	3.41553	5.571004	0.637661	15.020836	6.122118	0.295099	0.295206	0.781101	2.54804	0.974814
2.03411	1.64099	14.974967	10.002593	9.748446	1.054146	4.988312	6.680771	18.007571	18.479983	7.268425	2.536569	19.46769	14.08293	3.452922	1.287006
0.593009	0.151359	1.669017	1.776973	2.338312	0.175682	2.577511	5.071186	5.500316	1.886924	0.001749	3.287141	1.399351	3.732077	1.305566	4.241854
3.03516	1.362813	0.92004	1.215858	0.196046	7.365963	0.816841	0.213784	1.935624	1.655065	3.602135	0.298012	0.10304	4.145382	0.510645	0.573562
3.676605	0.868465	1.198603	2.295379	7.018222	4.525973	3.287702	5.994133	1.644573	0.086959	0.446556	14.018221	2.944235	2.153898	3.462267	15.914814
0.154954	5.734655	0.627198	1.080311	6.559818	1.261605	2.919123	1.591998	1.580108	0.218068	2.427042	1.943991	0.38214	5.032425	1.090425	1.167798
6.372921	0.119919	3.371443	0.740289	0.283906	1.33943	1.19414	2.742677	5.350974	3.587089	2.807937	4.964673	0.205572	1.442838	1.840722	1.323248
1.087303	1.511237	0.679498	0.977738	1.77291	0.339565	0.610009	1.441165	0.423166	7.862086	3.936674	0.574197	0.857457	1.365778	0.987024	0.24742
0.609749	0.456012	3.609403	1.206716	1.71138	0.318241	1.168088	1.620502	0.283572	0.519887	6.542716	0.777966	0.16969	0.06987	0.977774	0.387898
1.456979	0.572936	1.476169	1.538979	0.862964	0.903289	0.886476	1.56982	0.131275	1.792021	0.825074	1.162849	2.135001	0.52178	2.994929	0.053369
0.582523	2.108769	0.49301	4.473647	3.238079	6.162181	8.723422	3.439763	0.171181	0.527832	0.866321	7.148095	1.875101	5.125994	0.340405	4.510187
6.153623	4.384777	0.583398	3.752306	6.322353	17.691765	4.234607	0.896387	4.107962	3.975251	3.146246	1.217949	4.405397	3.217951	0.794094	0.845578
1.92281	4.622431	0.683662	1.479581	0.469027	3.53958	0.663549	3.633124	1.212442	0.724148	0.553153	1.815945	0.92531	0.141012	0.407368	0.06443
0.26445	0.878947	1.867059	1.955753	1.174382	2.850301	3.414593	4.714083	1.631524	3.359863	0.008068	8.306044	1.06319	0.998295	2.950035	9.587967
1.020528	0.491232	6.961137	4.652157	0.995315	0.173937	1.174329	2.493271	0.399741	0.788435	0.121462	0.212427	0.534948	1.099997	1.182387	1.520153
0.00464	0.024328	0.126023	0.911223	1.963603	2.147853	1.5595	0.194329	0.59999	1.193541	2.669826	0.770265	7.325344	2.04737	0.992921	0.50219
0.664009	1.188024	2.380752	1.017058	0.649771	5.82588	1.143709	1.32413	0.477066	0.846068	2.923353	2.65524	0.930539	6.940806	0.339479	1.774149
0.977198	0.990965	2.076422	3.163192	0.093614	2.646724	0.160337	2.416596	0.172799	0.000811	1.292392	0.230845	0.07273	0.328876	0.213733	0.269748
