SalVentAttnB-ContA	SalVentAttnB-ContB	SalVentAttnB-ContC	SalVentAttnB-DefaultA	SalVentAttnB-DefaultB	SalVentAttnB-DefaultC	SalVentAttnB-DorsAttnA	SalVentAttnB-DorsAttnB	SalVentAttnB-LimbicA	SalVentAttnB-LimbicB	SalVentAttnB-SalVentAttnA	SalVentAttnB-SomMotA	SalVentAttnB-SomMotB	SalVentAttnB-TempPar	SalVentAttnB-VisCent	SalVentAttnB-VisPeri
0.846906	1.729945	2.014945	3.512499	6.237484	7.624948	3.70176	6.180521	10.242007	13.181828	10.922776	2.850473	1.190117	2.80119	1.130179	4.627041
1.589157	1.431835	0.874607	1.137273	0.382865	3.507088	3.099407	4.14726	12.098913	11.893888	1.514398	3.795914	1.012057	2.976681	0.373369	0.081542
0.617091	3.345236	5.895297	9.357013	4.781767	7.174566	1.279235	1.885127	4.599504	23.421789	17.711486	9.430445	0.569981	1.64647	0.219865	3.560392
4.132034	1.250657	0.481875	0.141916	1.784487	2.180263	4.179059	2.188345	20.905362	25.952046	0.511245	10.555755	1.789443	3.975066	1.056921	1.116025
13.963427	11.308243	4.818284	2.354106	0.502392	0.705745	7.54133	0.924	10.690574	42.913307	7.388244	8.319007	8.964005	0.023122	0.679218	0.19611
5.096297	0.25079	8.040897	5.480108	3.455502	0.685065	1.332043	1.140406	10.960365	24.279887	7.809361	5.760113	0.610781	4.698941	1.087729	6.38008
11.667924	9.904918	5.149726	34.837192	25.865491	1.964511	6.324527	10.493027	23.58479	110.880316	6.048949	25.442773	14.04078	5.049236	6.975326	10.544512
1.902007	0.261459	24.757266	3.488587	1.596292	0.241559	6.419169	0.934184	5.179872	18.065547	6.762619	0.464899	2.401604	0.985457	5.151607	3.233708
2.585081	2.446705	11.618317	2.688511	1.209424	0.030063	1.246921	1.415448	8.428312	0.220513	1.496151	2.789747	2.381934	2.264641	3.017604	1.669198
4.182288	1.875411	0.392674	2.181588	0.614638	0.370566	0.962222	0.030256	10.429485	22.017356	15.648702	0.345104	0.670101	1.248333	0.006227	1.254572
1.379152	1.61189	0.071826	1.890339	0.263704	5.15402	2.487494	0.435717	8.873771	11.490154	0.092567	5.08233	0.004336	0.837363	1.018236	2.734598
16.958687	2.794271	13.302454	9.932023	7.695673	4.666515	1.107907	3.211735	19.56175	55.024679	9.73707	12.502678	8.466667	0.353882	0.07715	8.020633
0.20756	1.096958	7.640564	1.80179	0.188081	1.093744	4.60536	4.74665	4.012256	25.706461	4.033969	6.399807	0.345855	0.977633	0.283288	2.175787
15.409002	8.521355	24.03163	25.909804	15.139017	8.51107	4.466722	0.374362	12.549632	37.249062	9.909763	10.085904	2.518892	1.487677	6.62654	0.679207
8.607512	1.076345	16.552379	16.178933	6.581421	0.946965	4.739459	4.269651	14.84768	47.743094	26.912025	0.334474	2.259198	3.407128	0.297486	1.068958
13.978013	18.785837	7.260358	14.977578	2.896407	0.795321	0.14212	1.592494	14.447364	34.907402	9.68367	7.716451	4.422165	1.966655	0.005274	9.191358
