SomMotA-ContA	SomMotA-ContB	SomMotA-ContC	SomMotA-DefaultA	SomMotA-DefaultB	SomMotA-DefaultC	SomMotA-DorsAttnA	SomMotA-DorsAttnB	SomMotA-LimbicA	SomMotA-LimbicB	SomMotA-SalVentAttnA	SomMotA-SalVentAttnB	SomMotA-SomMotB	SomMotA-TempPar	SomMotA-VisCent	SomMotA-VisPeri
1.511816	0.886123	1.379259	1.638399	1.142217	1.188146	0.047166	1.980724	0.652538	3.328914	2.284793	0.659689	3.378711	0.707076	8.294479	8.519162
6.67007	2.419401	0.385729	0.107523	5.482632	8.738336	4.411254	0.049574	5.058733	3.664777	0.438087	6.266357	8.961813	2.07212	15.67842	12.211496
3.423404	2.476655	2.0415	7.914217	6.898828	13.108636	0.583148	2.715064	4.403091	14.431464	2.557547	3.369049	1.331171	8.669607	0.057245	3.409683
5.344115	17.885204	7.323682	6.36944	8.968503	11.06772	3.475475	2.933918	8.465898	2.78377	0.430075	0.281742	5.891053	6.012701	13.203286	5.108221
22.625437	21.692677	7.227008	17.718116	14.22789	11.641759	4.985442	0.813398	12.297047	14.35008	1.378882	6.470609	23.696954	4.770503	6.503126	1.59074
2.793758	12.305184	4.351183	5.448941	15.728165	6.227408	1.259874	1.219374	4.227315	7.775964	5.49538	3.509245	5.526832	0.118853	1.502484	14.684944
5.889977	26.319665	4.249009	10.376079	20.422082	2.014482	2.077026	9.91023	16.476541	21.407733	0.592319	14.190819	19.101676	3.472316	4.646101	8.314155
11.361453	11.881786	11.821045	3.698999	2.794723	2.960749	0.523456	4.276105	13.296146	12.93375	1.131503	10.343736	3.711514	3.15025	5.484255	9.406201
0.151434	0.200382	1.232618	0.374473	1.514536	0.208754	3.817555	3.649715	0.705266	6.21518	2.042381	0.524307	3.3843	0.331949	5.221215	5.492458
1.427707	9.138077	0.494018	0.241352	2.56824	0.700078	0.657876	8.574388	3.67688	0.932141	1.107127	3.451714	2.328495	0.385906	4.56684	6.001856
0.37963	2.716717	2.182161	3.531228	3.018679	1.698643	0.102736	7.458563	2.080291	2.954333	2.257099	1.023331	0.202126	1.097474	2.658143	1.194022
8.569481	16.79488	9.152281	10.792529	24.406505	8.673932	1.608459	5.52939	5.403628	16.965134	9.376518	20.343727	21.594411	3.276815	14.951287	17.66397
3.79431	7.72009	0.995996	1.089099	7.16839	3.255946	7.218581	3.598297	8.907404	4.485113	0.260072	11.825957	8.624998	2.661291	4.302909	4.973784
23.833644	18.402766	20.859585	20.556097	15.125463	7.398249	6.022432	1.679538	21.195871	15.309625	18.262722	11.806636	7.929099	3.2897	14.245695	12.559696
16.334628	11.341134	3.809454	0.556248	3.331376	3.928323	5.662823	12.360927	23.723587	8.480217	6.365751	12.874871	2.59123	3.016633	1.025755	12.612842
9.476016	18.702754	5.644096	8.680094	6.181705	0.203655	3.183495	7.249327	13.608824	20.086304	7.108044	15.564977	2.80969	1.984634	0.52726	11.549149
4.492842	5.517447	2.987691	9.290838	4.990957	3.66587	3.491495	0.661942	2.417908	15.539971	4.096905	2.854753	8.7268	1.879763	8.579617	4.517901
7.48481	5.152247	2.029694	0.517707	0.625787	5.807347	4.139521	0.5892	9.051638	1.173707	0.193398	1.302371	4.534802	13.985235	3.208504	12.127981
6.636352	11.92246	0.485546	7.272236	16.930394	4.377537	0.585258	0.98062	11.891808	13.421822	4.753442	9.159408	10.893293	2.057847	14.677837	5.592267
8.697955	15.651673	0.252269	3.236774	3.325452	1.034742	1.665815	3.158794	3.290154	13.320231	3.134427	14.782502	9.484662	4.015771	10.631914	8.345285
8.022299	9.445747	0.302266	0.280306	3.645808	9.074514	1.304293	0.647267	4.13018	3.640117	0.342801	2.50099	4.337395	2.87865	8.009604	9.51839
19.388042	14.711985	4.59715	8.011918	9.840295	3.120991	2.194588	12.838673	23.541059	18.222154	0.698299	11.992815	3.12879	1.175371	7.696286	9.449319
