SomMotB-ContA	SomMotB-ContB	SomMotB-ContC	SomMotB-DefaultA	SomMotB-DefaultB	SomMotB-DefaultC	SomMotB-DorsAttnA	SomMotB-DorsAttnB	SomMotB-LimbicA	SomMotB-LimbicB	SomMotB-SalVentAttnA	SomMotB-SalVentAttnB	SomMotB-SomMotA	SomMotB-TempPar	SomMotB-VisCent	SomMotB-VisPeri
1.506411	0.063952	0.101017	0.059426	0.626016	2.48776	0.518295	6.681447	1.047916	1.66237	1.01892	0.626369	2.950749	2.439013	4.978847	4.519967
6.067952	2.88056	0.397307	1.630585	1.976539	2.133227	3.279138	1.866962	4.036018	0.401694	1.068985	1.048036	1.765343	3.61793	2.942696	1.345646
1.362756	3.347967	2.684705	4.922436	13.461591	4.8297	1.20149	4.619993	1.144771	4.62115	0.318873	2.696027	6.205858	1.383584	1.878817	2.064211
7.823054	10.374205	9.227919	6.581181	11.144175	8.724894	10.168696	1.220523	3.521271	4.850289	3.382612	0.369918	5.745211	10.243164	1.224811	1.007659
0.538203	8.235121	2.699019	0.006296	4.401084	10.252585	1.21628	1.804302	0.133413	0.705015	3.272288	2.110382	1.417983	9.899072	10.836882	1.670951
1.103682	6.302007	8.09051	1.672261	3.598354	4.046071	2.003301	1.232702	0.309678	0.65779	0.363699	0.014233	1.716373	1.962975	2.421897	2.76915
4.20291	4.899096	1.249048	2.669317	3.33092	2.861281	0.3444	1.856742	2.601558	4.120561	0.584146	0.331602	2.74989	4.142403	13.728353	1.478728
7.155433	1.646471	9.953903	8.735636	10.406831	5.019707	0.525947	1.737968	5.519992	6.788769	0.752555	15.89415	5.034791	1.558836	2.667482	4.300176
2.244438	0.939035	4.47082	2.47587	3.838432	0.712229	8.124337	5.975588	1.416018	7.42126	6.08773	1.997737	5.520596	1.147407	0.780208	4.186148
1.790113	1.309502	7.737034	2.938215	3.280517	0.318087	0.768353	0.516664	0.505291	0.939928	3.377714	1.941609	1.527058	0.308277	2.09219	0.159053
0.652807	0.050024	4.507573	4.237053	3.499817	0.90156	0.518182	1.14768	1.181508	2.476338	1.66942	0.37477	0.05722	2.451771	0.105629	1.661183
0.994378	2.685716	7.649467	6.446047	7.396328	2.030655	0.89917	0.412898	0.990006	2.819127	5.75244	5.332438	5.897365	0.539726	6.522295	1.92975
2.803067	1.512434	2.511465	3.235566	2.948628	3.832201	1.563247	1.416978	1.788769	4.37011	0.837312	2.277946	2.749457	8.337743	7.911224	1.678401
2.90081	6.326051	7.547766	1.149836	10.111108	3.78161	2.166697	0.881299	3.221115	3.731732	0.536642	1.048613	6.972599	2.785222	3.224054	3.533779
3.441405	3.948803	0.184724	1.294887	6.060918	6.692602	0.883202	1.70822	5.396505	2.527471	3.033791	2.661992	2.456259	2.416571	2.699652	0.505571
0.990915	0.396076	2.640031	0.741992	0.44522	0.536899	5.757171	3.558989	0.649885	0.628643	0.718751	2.560922	1.081592	0.506362	0.680945	2.249744
1.31971	0.556629	0.093157	2.378637	8.783573	0.500828	0.407409	2.344583	1.174898	2.272014	1.735139	1.074672	3.841097	0.796892	0.095039	0.991717
2.281153	2.128726	1.124455	0.057505	1.494514	1.903906	0.771418	0.630838	0.03226	1.325761	14.132237	4.001743	0.011561	7.627386	0.053327	0.502894
0.223763	0.282563	0.674594	0.597129	1.845025	1.91097	0.2542	0.675436	1.34583	0.283003	2.738746	0.054864	0.300735	3.13335	5.987012	0.987207
7.966196	11.755979	0.177471	1.372286	5.088125	2.481199	0.520999	10.6669	5.20818	1.872255	1.427815	4.382717	6.292758	0.686419	1.590231	2.937002
6.109462	6.860693	5.483526	10.607617	20.830515	9.877628	1.170213	2.562147	2.601196	4.38089	2.894177	0.024294	0.120814	3.267528	1.84687	1.08719
0.722411	0.15632	0.177554	0.312787	2.209454	3.374754	0.059145	1.53194	0.208934	1.485829	8.829779	0.255832	1.805529	0.932826	0.779562	0.30494
0.394423	0.275356	1.562809	0.879372	4.341469	5.443541	1.055473	1.028611	0.051381	4.254127	0.621541	1.663426	3.129804	1.1059	0.33326	0.602542
5.652904	9.809145	0.915138	0.367989	4.038729	3.646225	1.368717	1.448042	0.712325	2.76834	6.003661	3.790486	7.125321	0.411579	3.398111	1.200025
5.806993	8.426148	4.799876	4.54355	5.74573	5.070136	5.757228	0.618432	10.598128	9.955161	0.409734	2.344999	8.179332	1.335438	3.005386	2.908092
7.57937	8.687265	10.399596	11.857189	8.2202	4.036773	2.779431	8.521202	13.12266	4.353507	7.739273	7.152723	1.117515	2.034351	0.354028	4.895621
2.220828	0.413242	2.167055	0.7433	0.826343	0.107353	3.451156	4.183262	0.163771	0.813989	0.25329	0.801561	8.352865	2.509729	12.749011	0.346487
5.124979	4.318595	10.690423	14.822574	6.732806	2.871142	2.359957	0.847345	4.86859	5.988536	4.777781	2.273061	3.541992	1.745299	5.293291	0.815248
0.837647	0.023918	0.439738	0.015982	1.164216	0.059671	1.58718	2.474512	1.464906	0.16015	2.321272	1.323234	0.131389	2.989619	0.281454	1.874912
1.839612	2.006419	0.348009	1.948356	0.978013	3.733717	1.80654	1.161702	0.728948	2.091849	9.602775	1.891737	1.551249	6.934986	5.344359	3.858446
2.241443	1.270205	4.056175	3.095002	6.841408	1.25733	1.688538	5.215978	12.043446	6.651431	16.262713	6.699433	0.130837	5.209932	1.610138	0.927242
4.393896	6.180779	6.49243	3.538861	12.927584	4.392649	3.156141	0.830549	3.03877	5.170198	2.961165	1.455486	4.028766	1.108745	0.862646	1.076997
4.143047	2.867079	9.842841	15.309661	6.297789	10.815239	0.427688	1.595524	2.269203	3.600723	4.917861	3.17015	0.278037	8.603621	1.998348	0.094051
13.936089	3.763008	0.052972	3.513618	0.854087	0.266498	4.519736	0.993227	2.767703	2.908578	6.065646	1.102	1.569981	4.688752	7.601456	2.182107
1.309653	9.700505	7.787432	12.133855	4.356548	4.056546	0.591627	2.305551	1.659064	4.316257	0.705498	2.64451	3.204712	9.269603	0.915397	0.066942
0.403059	1.747272	1.561833	2.50605	2.300023	1.440216	1.785639	0.457579	0.601729	1.749904	0.634718	1.554665	0.250206	4.464916	4.183809	0.280806
3.322354	2.473379	0.629672	2.377406	2.936466	2.278666	2.977766	1.872901	5.598279	3.379857	3.084694	5.534198	5.4818	13.947774	1.298202	2.834752
0.359931	0.876968	3.179753	0.751233	0.001735	2.976813	0.006252	5.102986	0.085405	0.674852	0.66026	3.747079	3.53216	1.171616	2.894926	1.083046
0.258898	6.381039	4.039523	7.685233	5.237239	2.131979	0.147959	0.296851	2.052085	1.5281	0.535104	4.4624	0.120763	0.297473	4.023918	0.115797
8.771402	6.730291	7.235891	8.335663	10.997541	3.791445	0.791286	0.742423	5.610961	0.491689	3.081503	1.155277	0.085911	0.83151	1.479629	1.405529
2.142954	1.136155	0.559875	0.919578	1.079935	1.620973	3.006579	0.883072	1.126577	2.441223	2.629234	0.258276	0.061381	2.315785	3.476117	0.16074
0.497935	2.77541	4.777948	2.383391	0.004559	6.391895	7.58245	7.214779	1.176426	1.101745	10.841464	0.34696	3.015175	0.308854	4.599471	1.341839
1.185937	7.010968	1.623798	0.548983	0.522911	0.477197	1.799457	4.96547	4.183696	1.118874	3.0487	0.407886	0.168087	1.302611	0.799909	2.099877
3.569326	3.970596	3.389334	3.278298	5.013157	9.52918	0.525985	1.133279	7.015159	12.587188	1.154644	7.32981	2.508647	13.589757	4.783969	3.219768
0.182813	5.049706	0.587666	1.381726	0.849999	4.820536	0.021456	0.533583	0.065287	0.686897	10.62885	0.852228	0.877773	6.07833	1.119825	1.200144
0.075755	0.783769	2.392442	0.742083	3.456918	0.539486	1.494277	4.916365	0.857668	0.147087	0.016193	0.367227	2.375828	0.116193	0.68381	0.410817
12.285589	6.258228	14.419847	4.944428	3.914106	0.014853	1.779188	2.32794	6.685143	1.252071	3.784326	1.461854	0.035124	3.329581	0.202047	1.406157
4.222507	2.893396	1.229615	3.385023	2.210049	1.585224	1.123759	2.886108	5.330046	6.526303	0.832068	3.487196	3.483856	0.841822	3.708193	4.807823
0.029332	2.510541	7.581122	4.170463	3.849072	4.298488	0.31891	4.921066	4.325973	4.760218	2.626293	3.172633	0.388705	3.073659	0.053192	1.75046
6.607776	4.96973	1.548231	3.488321	8.202857	2.737697	1.689123	6.796514	6.38268	11.784221	3.128267	6.968927	2.682906	3.102903	5.936869	0.247307
