TempPar-ContA	TempPar-ContB	TempPar-ContC	TempPar-DefaultA	TempPar-DefaultB	TempPar-DefaultC	TempPar-DorsAttnA	TempPar-DorsAttnB	TempPar-LimbicA	TempPar-LimbicB	TempPar-SalVentAttnA	TempPar-SalVentAttnB	TempPar-SomMotA	TempPar-SomMotB	TempPar-VisCent	TempPar-VisPeri
3.070772	0.030353	1.135994	0.415498	0.59846	4.895921	4.708137	0.220036	0.902321	0.412304	0.255862	3.333921	0.919154	0.796077	2.17619	2.190861
1.515671	6.188988	5.238251	5.398365	1.929644	0.378393	2.094251	1.919178	0.17224	1.448395	2.428607	2.883457	1.539875	3.119617	1.607383	1.126631
18.92099	11.664599	2.317312	5.958703	7.617203	0.279727	7.423956	2.980281	14.444489	18.514389	3.530277	19.339635	25.722912	0.584623	4.054403	19.679455
0.01649	4.33926	3.775014	3.67934	5.037117	19.197261	2.529566	7.039368	0.707732	0.945021	1.25155	0.568455	0.715981	3.164712	4.765911	1.372528
3.97685	1.221968	0.266296	0.799759	1.985703	0.41772	0.318619	0.860767	2.385178	1.860421	1.972154	0.442753	2.891021	0.84496	0.149173	0.482362
0.03092	0.27986	0.414192	1.357009	0.360312	0.298641	8.325751	3.815685	0.296418	0.547248	2.931004	0.041382	0.762551	8.476437	1.948588	0.358712
4.509581	5.733651	3.392161	3.502537	8.461361	22.314748	1.066137	4.304513	2.619826	3.031306	0.910879	1.030585	5.887687	1.295626	2.032952	5.199765
1.272513	1.311943	1.711248	1.654067	1.831005	1.213481	1.283716	1.960358	0.815682	0.540616	0.986007	0.484592	0.467647	2.865266	0.779922	0.426733
3.20832	0.859609	2.265248	2.776095	4.147125	7.355085	2.371026	0.223058	7.097877	2.272068	3.860611	2.221713	4.699149	4.316555	6.518272	1.612641
2.683652	8.028738	0.338919	2.340204	0.729295	5.283054	2.085556	1.245518	2.287586	4.547623	9.770866	3.489354	3.370517	0.551995	0.53764	0.621839
1.768711	4.046382	5.458452	2.607379	2.842678	2.159703	1.210625	1.459911	5.601429	0.804294	2.717202	0.019677	1.363969	1.501642	1.615261	2.566075
1.07173	1.035199	2.419599	1.723018	1.269316	0.882129	6.24339	0.100231	1.66913	0.970247	3.313003	1.774873	0.451837	1.926666	8.710848	0.714772
0.340821	5.176013	0.115769	0.000617	12.293442	22.133004	7.0401	5.27804	0.163847	1.136331	2.622154	0.997324	0.006499	6.635142	3.345849	0.159466
0.767369	1.848925	1.870618	1.241293	4.842004	5.951571	0.986256	0.910291	0.449536	1.235346	1.684178	0.63578	3.324425	3.003817	15.396602	3.325565
0.018498	1.99701	2.475662	3.757611	0.96691	1.971342	0.066787	1.181645	0.656391	2.811756	12.725478	6.952605	2.701978	0.030879	0.202155	4.738797
5.345072	3.246598	0.200995	1.210201	1.576681	2.252454	0.207479	2.13914	4.186728	3.438206	6.218976	1.612974	2.384013	2.101055	4.427127	1.253605
1.487802	0.425655	1.528111	0.688676	1.207323	0.558707	2.732672	0.982936	3.300847	0.602447	0.492185	0.171025	1.30916	0.821266	2.580486	1.511205
3.046493	6.004856	4.351902	0.156703	3.319009	6.875602	0.877946	0.436306	0.97026	0.08449	2.06453	1.537504	3.845022	3.910087	2.756006	4.760455
0.192818	1.469376	0.491454	1.512838	1.348659	3.577902	3.637823	2.283663	0.247707	0.314025	1.091062	0.127477	2.625784	3.457266	1.323353	0.783818
3.344245	1.908451	1.275082	1.064267	0.090678	3.608241	0.011093	6.234685	4.617462	5.656394	4.444006	2.97027	4.740552	8.519469	0.048087	2.130808
2.111776	9.015609	3.602307	4.581761	3.634831	4.996227	16.057081	4.179494	8.905631	7.822876	9.893261	5.13974	0.902949	11.612898	0.864332	0.066044
4.654113	6.266153	6.285571	6.445421	9.288852	10.233427	5.195037	2.3227	3.988081	3.275632	6.123517	2.138363	1.045853	3.598069	0.22848	0.412196
10.980639	0.55691	11.417704	11.462508	9.19242	0.560078	4.037226	7.16438	15.734076	15.05837	9.532292	11.106168	5.471761	0.435077	21.266799	10.871236
2.885884	0.57022	0.77488	1.474943	1.233496	1.673201	3.630432	0.787576	0.612133	0.185829	0.827389	1.646708	2.002305	4.437543	5.075617	0.897739
8.959562	5.546607	5.523175	7.6073	9.536035	0.5007	2.058868	3.754428	3.414102	3.657273	0.287637	0.215457	1.081355	2.91979	1.239521	1.482718
2.153947	2.489482	3.909981	0.252892	4.331205	1.558877	10.863103	0.057468	0.517054	0.076749	6.707152	2.107898	6.776087	20.381471	0.172299	1.092213
0.22805	2.77312	0.551184	0.211872	1.103526	4.021964	0.025965	0.517546	1.119822	0.360728	0.958909	0.618206	2.342752	2.114331	3.943269	5.038187
2.668866	9.80389	0.053408	0.478671	2.157709	4.564029	4.011987	5.144532	5.702198	0.688432	5.383494	1.861153	1.685882	0.70062	3.569479	0.66944
2.020737	2.72227	6.96446	10.037928	7.22945	0.976243	1.926718	1.182518	7.990136	9.473931	4.383656	3.403633	0.461638	0.562302	0.452415	1.09068
1.448802	2.845668	9.618275	4.657962	3.170519	1.665023	3.456065	4.419487	2.00902	13.187824	25.737343	11.372668	2.815654	9.592649	12.045156	4.696059
2.468847	2.809338	17.906891	14.591021	7.551968	1.10901	15.359188	8.658871	17.901205	18.769506	38.929956	15.027024	3.270748	21.247083	11.964255	0.650649
21.775492	17.558585	7.665879	25.405221	12.817844	7.617796	1.533787	5.597155	21.780356	4.954498	0.617451	6.128049	0.44568	1.801811	1.748749	0.256683
2.911558	1.724123	5.81243	2.883168	2.03413	3.541635	0.260659	0.175189	1.634734	0.322089	2.862619	0.675825	0.414855	5.004948	3.04543	1.709264
9.273265	1.704299	0.010183	2.404734	2.230027	0.397955	0.077477	5.136603	7.258865	0.471781	1.559201	1.598238	0.524887	3.509823	0.494911	1.635497
1.00568	4.440203	2.736527	0.848903	6.222396	12.167317	2.368723	1.819922	2.117971	0.298407	7.875883	4.054819	2.922536	5.870945	2.164699	1.087561
6.845501	0.114712	6.655847	1.175619	0.770089	0.764217	0.631247	2.777089	7.159164	2.986159	5.696844	1.342658	1.203619	3.899838	9.152885	0.796477
0.782607	1.77271	0.193269	0.213205	0.444415	6.733098	5.083856	0.58412	0.911723	0.566734	1.607036	0.243249	0.343936	3.332199	0.451094	0.113718
0.608597	1.100009	3.013258	1.829362	4.638831	2.512964	12.831727	3.157477	0.750233	0.956542	0.576955	0.001885	1.611006	0.373363	1.233219	2.230204
0.571694	1.746862	1.683147	0.38598	0.541655	0.235954	0.089734	0.355735	0.005258	3.160624	2.658605	0.800653	0.190242	0.590112	0.190603	0.422754
4.981494	3.277766	0.194681	4.096396	4.590944	2.296149	3.078371	0.244827	0.341122	0.116804	0.493769	3.942411	0.266255	3.876568	1.220105	0.068939
2.767455	0.281553	1.640092	0.334304	4.869177	17.068686	0.163454	0.41713	1.720357	8.484162	8.366364	4.366647	0.150569	3.933442	0.692553	1.280433
9.330283	12.045113	1.404121	2.288794	0.188062	3.129072	2.29025	6.665918	8.055406	2.039079	0.857164	11.134611	1.292266	6.383754	3.70523	1.21357
0.150807	9.268948	6.356901	2.556967	3.232343	2.051084	12.466233	7.091971	0.817084	1.536344	3.232216	1.305388	4.254578	0.912423	2.49661	4.810468
4.770834	1.321821	5.299181	1.715649	0.631843	4.865488	1.17182	1.510711	3.298379	1.50683	2.265829	2.515991	2.269098	2.014455	3.407966	1.015767
0.745524	0.728723	0.864201	1.130635	1.429482	1.692561	0.982768	1.308551	0.497682	0.688533	5.234887	7.717025	0.549439	8.899729	0.578745	0.244169
1.084472	0.20177	1.259244	4.661071	2.579044	0.662626	3.30489	1.957773	1.001857	1.810399	0.943034	0.040695	3.621875	5.403597	0.712671	7.645766
0.157183	0.150033	1.520293	3.738456	0.198696	1.176546	1.943069	1.879647	0.525845	1.258357	4.073215	1.100966	5.083078	1.730942	1.067117	8.399789
4.121385	2.1445	1.429936	3.960699	0.451874	0.274908	4.38437	3.975497	12.319868	1.412109	4.344393	1.400006	2.483257	1.733664	0.125687	0.796744
0.693348	1.173856	0.665445	0.432266	0.409257	8.189303	1.329929	0.092999	3.985221	0.084705	1.19169	0.039486	3.627568	0.569485	0.170718	6.322569
2.304426	6.68587	0.541356	0.207127	8.068472	6.267707	0.346544	0.234469	1.9447	0.153743	2.002491	0.151458	3.350199	0.764541	2.441312	4.026641
4.998165	3.204856	7.944727	1.345684	4.110779	1.697162	4.934154	2.974672	3.536948	4.779387	7.015286	2.196016	0.962296	0.401644	3.94743	0.154793
3.586027	12.943829	4.884956	3.648401	0.376347	1.230228	6.33443	9.898183	4.79334	2.928094	0.361568	7.340057	0.766534	3.05251	2.303482	0.065109
0.74075	0.374665	1.307569	4.008517	1.595152	2.115734	2.032423	1.498627	1.605704	1.37623	3.645765	0.838142	0.273526	17.221037	1.854846	2.817172
2.942186	1.310475	1.195029	4.358867	7.197022	1.554572	11.378785	0.931784	1.549944	4.662221	0.173948	4.786887	9.774493	13.727394	8.13879	5.82253
2.669785	0.496886	8.690199	4.702855	4.04003	4.030763	1.317235	0.604684	4.962562	2.042469	0.982805	5.472539	0.825796	0.083288	1.291292	1.403158
1.092581	0.620716	0.920831	2.36343	7.339576	0.705797	1.090907	1.88145	6.91192	14.232843	3.786683	9.444769	1.972674	0.661852	1.8105	0.260669
